requirement_id,canonical_requirement_id,function_type,reason,integration_requests
CPF-FR-001916,CORE-FILE,MULTI_INSTANCE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001917,CORE-FILE,LOCAL_REMOTE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001918,CORE-FILE,MIXED_VERSION,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001929,CORE-FILE,HEALTH,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001930,CORE-FILE,ALERT_RUNBOOK,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001931,CORE-FILE,RESOURCE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001932,CORE-FILE,DB_OWNER,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001933,CORE-FILE,DB_SCHEMA,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001934,CORE-FILE,DB_QUERY,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001935,CORE-FILE,DB_MIGRATION,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001936,CORE-FILE,DB_ROLLBACK,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001937,CORE-FILE,DB_VENDOR,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001938,CORE-FILE,API_OPENAPI,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001939,CORE-FILE,FRONTEND,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001940,CORE-FILE,ADM_UI,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001941,CORE-FILE,BZA_UI,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001942,CORE-FILE,GENERATOR,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001943,CORE-FILE,SAMPLE_EDU,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001944,CORE-FILE,JAVADOC,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001945,CORE-FILE,GUIDE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001948,CORE-FILE,INTEGRATION_TEST,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001949,CORE-FILE,RUNTIME_TEST,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001950,CORE-FILE,FAULT_TEST,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-001977,CORE-MESSAGE,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001978,CORE-MESSAGE,LOCAL_REMOTE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001979,CORE-MESSAGE,MIXED_VERSION,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001990,CORE-MESSAGE,HEALTH,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001991,CORE-MESSAGE,ALERT_RUNBOOK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001992,CORE-MESSAGE,RESOURCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001993,CORE-MESSAGE,DB_OWNER,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001994,CORE-MESSAGE,DB_SCHEMA,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001995,CORE-MESSAGE,DB_QUERY,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001996,CORE-MESSAGE,DB_MIGRATION,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001997,CORE-MESSAGE,DB_ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001998,CORE-MESSAGE,DB_VENDOR,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-001999,CORE-MESSAGE,API_OPENAPI,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002000,CORE-MESSAGE,FRONTEND,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002001,CORE-MESSAGE,ADM_UI,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002002,CORE-MESSAGE,BZA_UI,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002003,CORE-MESSAGE,GENERATOR,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002004,CORE-MESSAGE,SAMPLE_EDU,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002005,CORE-MESSAGE,JAVADOC,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002006,CORE-MESSAGE,GUIDE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002009,CORE-MESSAGE,INTEGRATION_TEST,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002010,CORE-MESSAGE,RUNTIME_TEST,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-002011,CORE-MESSAGE,FAULT_TEST,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-FR-003197,GWY-ENTRY,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003198,GWY-ENTRY,LOCAL_REMOTE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003199,GWY-ENTRY,MIXED_VERSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003210,GWY-ENTRY,HEALTH,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003211,GWY-ENTRY,ALERT_RUNBOOK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003212,GWY-ENTRY,RESOURCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003213,GWY-ENTRY,DB_OWNER,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003214,GWY-ENTRY,DB_SCHEMA,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003215,GWY-ENTRY,DB_QUERY,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003216,GWY-ENTRY,DB_MIGRATION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003217,GWY-ENTRY,DB_ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003218,GWY-ENTRY,DB_VENDOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003219,GWY-ENTRY,API_OPENAPI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003220,GWY-ENTRY,FRONTEND,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003221,GWY-ENTRY,ADM_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003222,GWY-ENTRY,BZA_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003223,GWY-ENTRY,GENERATOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003224,GWY-ENTRY,SAMPLE_EDU,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003225,GWY-ENTRY,JAVADOC,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003226,GWY-ENTRY,GUIDE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003229,GWY-ENTRY,INTEGRATION_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003230,GWY-ENTRY,RUNTIME_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003231,GWY-ENTRY,FAULT_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003258,GWY-ROUTING,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003259,GWY-ROUTING,LOCAL_REMOTE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003260,GWY-ROUTING,MIXED_VERSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003271,GWY-ROUTING,HEALTH,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003272,GWY-ROUTING,ALERT_RUNBOOK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003273,GWY-ROUTING,RESOURCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003274,GWY-ROUTING,DB_OWNER,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003275,GWY-ROUTING,DB_SCHEMA,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003276,GWY-ROUTING,DB_QUERY,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003277,GWY-ROUTING,DB_MIGRATION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003278,GWY-ROUTING,DB_ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003279,GWY-ROUTING,DB_VENDOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003280,GWY-ROUTING,API_OPENAPI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003281,GWY-ROUTING,FRONTEND,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003282,GWY-ROUTING,ADM_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003283,GWY-ROUTING,BZA_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003284,GWY-ROUTING,GENERATOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003285,GWY-ROUTING,SAMPLE_EDU,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003286,GWY-ROUTING,JAVADOC,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003287,GWY-ROUTING,GUIDE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003290,GWY-ROUTING,INTEGRATION_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003291,GWY-ROUTING,RUNTIME_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003292,GWY-ROUTING,FAULT_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003319,GWY-TRUST,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003320,GWY-TRUST,LOCAL_REMOTE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003321,GWY-TRUST,MIXED_VERSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003332,GWY-TRUST,HEALTH,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003333,GWY-TRUST,ALERT_RUNBOOK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003334,GWY-TRUST,RESOURCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003335,GWY-TRUST,DB_OWNER,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003336,GWY-TRUST,DB_SCHEMA,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003337,GWY-TRUST,DB_QUERY,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003338,GWY-TRUST,DB_MIGRATION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003339,GWY-TRUST,DB_ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003340,GWY-TRUST,DB_VENDOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003341,GWY-TRUST,API_OPENAPI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003342,GWY-TRUST,FRONTEND,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003343,GWY-TRUST,ADM_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003344,GWY-TRUST,BZA_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003345,GWY-TRUST,GENERATOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003346,GWY-TRUST,SAMPLE_EDU,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003347,GWY-TRUST,JAVADOC,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003348,GWY-TRUST,GUIDE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003351,GWY-TRUST,INTEGRATION_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003352,GWY-TRUST,RUNTIME_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003353,GWY-TRUST,FAULT_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003380,GWY-RESILIENCE,MULTI_INSTANCE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003381,GWY-RESILIENCE,LOCAL_REMOTE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003382,GWY-RESILIENCE,MIXED_VERSION,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003393,GWY-RESILIENCE,HEALTH,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003394,GWY-RESILIENCE,ALERT_RUNBOOK,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003395,GWY-RESILIENCE,RESOURCE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003396,GWY-RESILIENCE,DB_OWNER,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003397,GWY-RESILIENCE,DB_SCHEMA,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003398,GWY-RESILIENCE,DB_QUERY,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003399,GWY-RESILIENCE,DB_MIGRATION,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003400,GWY-RESILIENCE,DB_ROLLBACK,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003401,GWY-RESILIENCE,DB_VENDOR,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003402,GWY-RESILIENCE,API_OPENAPI,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003403,GWY-RESILIENCE,FRONTEND,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003404,GWY-RESILIENCE,ADM_UI,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003405,GWY-RESILIENCE,BZA_UI,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003406,GWY-RESILIENCE,GENERATOR,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003407,GWY-RESILIENCE,SAMPLE_EDU,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003408,GWY-RESILIENCE,JAVADOC,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003409,GWY-RESILIENCE,GUIDE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003412,GWY-RESILIENCE,INTEGRATION_TEST,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
