scenario_id,requirement_id,canonical_requirement_id,scenario_type,reason,integration_requests
CPF-SC-000645,CPF-FR-003234,GWY-ROUTING,PROCESS_KILL,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000646,CPF-FR-003234,GWY-ROUTING,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000647,CPF-FR-003234,GWY-ROUTING,ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000657,CPF-FR-003295,GWY-TRUST,PROCESS_KILL,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000658,CPF-FR-003295,GWY-TRUST,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000659,CPF-FR-003295,GWY-TRUST,ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000669,CPF-FR-003356,GWY-RESILIENCE,PROCESS_KILL,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-000670,CPF-FR-003356,GWY-RESILIENCE,MULTI_INSTANCE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-000671,CPF-FR-003356,GWY-RESILIENCE,ROLLBACK,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-000681,CPF-FR-003417,API-LIMIT,PROCESS_KILL,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000682,CPF-FR-003417,API-LIMIT,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000683,CPF-FR-003417,API-LIMIT,ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000693,CPF-FR-003478,EXS-INST,PROCESS_KILL,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000694,CPF-FR-003478,EXS-INST,MULTI_INSTANCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000695,CPF-FR-003478,EXS-INST,ROLLBACK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000705,CPF-FR-003539,EXS-REST,PROCESS_KILL,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000706,CPF-FR-003539,EXS-REST,MULTI_INSTANCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000707,CPF-FR-003539,EXS-REST,ROLLBACK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000717,CPF-FR-003600,EXS-FIXED,PROCESS_KILL,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-SC-000718,CPF-FR-003600,EXS-FIXED,MULTI_INSTANCE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-SC-000719,CPF-FR-003600,EXS-FIXED,ROLLBACK,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-SC-000729,CPF-FR-003661,EXS-SEC,PROCESS_KILL,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000730,CPF-FR-003661,EXS-SEC,MULTI_INSTANCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000731,CPF-FR-003661,EXS-SEC,ROLLBACK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-SC-000741,CPF-FR-003722,EXS-FILE,PROCESS_KILL,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-SC-000742,CPF-FR-003722,EXS-FILE,MULTI_INSTANCE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-SC-000743,CPF-FR-003722,EXS-FILE,ROLLBACK,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-SC-000753,CPF-FR-003783,EXS-UNKNOWN,PROCESS_KILL,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-000754,CPF-FR-003783,EXS-UNKNOWN,MULTI_INSTANCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-000755,CPF-FR-003783,EXS-UNKNOWN,ROLLBACK,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-000765,CPF-FR-003844,EXS-RECON,PROCESS_KILL,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-000766,CPF-FR-003844,EXS-RECON,MULTI_INSTANCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-000767,CPF-FR-003844,EXS-RECON,ROLLBACK,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-000777,CPF-FR-003905,EVENT-CORE,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000778,CPF-FR-003905,EVENT-CORE,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000779,CPF-FR-003905,EVENT-CORE,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000789,CPF-FR-003966,EVENT-OUTBOX,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000790,CPF-FR-003966,EVENT-OUTBOX,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000791,CPF-FR-003966,EVENT-OUTBOX,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000801,CPF-FR-004027,EVENT-BROKER,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000802,CPF-FR-004027,EVENT-BROKER,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000803,CPF-FR-004027,EVENT-BROKER,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000813,CPF-FR-004088,EVENT-MQ,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000814,CPF-FR-004088,EVENT-MQ,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000815,CPF-FR-004088,EVENT-MQ,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000825,CPF-FR-004149,EVENT-JMS,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000826,CPF-FR-004149,EVENT-JMS,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000827,CPF-FR-004149,EVENT-JMS,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000837,CPF-FR-004210,EVENT-IBM-MQ,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000838,CPF-FR-004210,EVENT-IBM-MQ,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000839,CPF-FR-004210,EVENT-IBM-MQ,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000849,CPF-FR-004271,EVENT-AMQP,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000850,CPF-FR-004271,EVENT-AMQP,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000851,CPF-FR-004271,EVENT-AMQP,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000861,CPF-FR-004332,EXS-TCP,PROCESS_KILL,"Real TCP peer, TLS, connection pool contention, process kill and multi-instance durable store require target environment.",S03-ICR-001;S03-ICR-004
CPF-SC-000862,CPF-FR-004332,EXS-TCP,MULTI_INSTANCE,"Real TCP peer, TLS, connection pool contention, process kill and multi-instance durable store require target environment.",S03-ICR-001;S03-ICR-004
CPF-SC-000863,CPF-FR-004332,EXS-TCP,ROLLBACK,"Real TCP peer, TLS, connection pool contention, process kill and multi-instance durable store require target environment.",S03-ICR-001;S03-ICR-004
CPF-SC-000873,CPF-FR-004393,EVENT-DLQ,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000874,CPF-FR-004393,EVENT-DLQ,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000875,CPF-FR-004393,EVENT-DLQ,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-007717,CPF-FR-017483,GWY-ENTRY,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007723,CPF-FR-017483,GWY-ENTRY,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007725,CPF-FR-017483,GWY-ENTRY,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007726,CPF-FR-017483,GWY-ENTRY,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007730,CPF-FR-017483,GWY-ENTRY,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007731,CPF-FR-017502,GWY-ROUTING,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007737,CPF-FR-017502,GWY-ROUTING,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007739,CPF-FR-017502,GWY-ROUTING,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007740,CPF-FR-017502,GWY-ROUTING,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007744,CPF-FR-017502,GWY-ROUTING,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007745,CPF-FR-017521,GWY-ROUTING,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007751,CPF-FR-017521,GWY-ROUTING,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007753,CPF-FR-017521,GWY-ROUTING,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007754,CPF-FR-017521,GWY-ROUTING,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007758,CPF-FR-017521,GWY-ROUTING,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007759,CPF-FR-017540,GWY-ROUTING,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007765,CPF-FR-017540,GWY-ROUTING,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007767,CPF-FR-017540,GWY-ROUTING,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007768,CPF-FR-017540,GWY-ROUTING,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007772,CPF-FR-017540,GWY-ROUTING,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007773,CPF-FR-017561,GWY-ROUTING,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007779,CPF-FR-017561,GWY-ROUTING,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007781,CPF-FR-017561,GWY-ROUTING,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007782,CPF-FR-017561,GWY-ROUTING,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007786,CPF-FR-017561,GWY-ROUTING,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007815,CPF-FR-017620,GWY-RESILIENCE,LOAD,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007821,CPF-FR-017620,GWY-RESILIENCE,SESSION,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007823,CPF-FR-017620,GWY-RESILIENCE,DEEP_LINK,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007824,CPF-FR-017620,GWY-RESILIENCE,KEYBOARD,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007828,CPF-FR-017620,GWY-RESILIENCE,PERFORMANCE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007829,CPF-FR-017639,GWY-RESILIENCE,LOAD,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007835,CPF-FR-017639,GWY-RESILIENCE,SESSION,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007837,CPF-FR-017639,GWY-RESILIENCE,DEEP_LINK,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007838,CPF-FR-017639,GWY-RESILIENCE,KEYBOARD,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007842,CPF-FR-017639,GWY-RESILIENCE,PERFORMANCE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007843,CPF-FR-017658,GWY-RESILIENCE,LOAD,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007849,CPF-FR-017658,GWY-RESILIENCE,SESSION,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007851,CPF-FR-017658,GWY-RESILIENCE,DEEP_LINK,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007852,CPF-FR-017658,GWY-RESILIENCE,KEYBOARD,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007856,CPF-FR-017658,GWY-RESILIENCE,PERFORMANCE,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-SC-007857,CPF-FR-017679,API-LIMIT,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007863,CPF-FR-017679,API-LIMIT,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007865,CPF-FR-017679,API-LIMIT,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007866,CPF-FR-017679,API-LIMIT,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007870,CPF-FR-017679,API-LIMIT,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007871,CPF-FR-017700,GWY-TRUST,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007877,CPF-FR-017700,GWY-TRUST,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007879,CPF-FR-017700,GWY-TRUST,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007880,CPF-FR-017700,GWY-TRUST,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007884,CPF-FR-017700,GWY-TRUST,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007885,CPF-FR-017721,GWY-TRUST,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007891,CPF-FR-017721,GWY-TRUST,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007893,CPF-FR-017721,GWY-TRUST,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007894,CPF-FR-017721,GWY-TRUST,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007898,CPF-FR-017721,GWY-TRUST,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007899,CPF-FR-017742,GWY-ROUTING,LOAD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007905,CPF-FR-017742,GWY-ROUTING,SESSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007907,CPF-FR-017742,GWY-ROUTING,DEEP_LINK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007908,CPF-FR-017742,GWY-ROUTING,KEYBOARD,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007912,CPF-FR-017742,GWY-ROUTING,PERFORMANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-007941,CPF-FR-017805,EXS-UNKNOWN,LOAD,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-007947,CPF-FR-017805,EXS-UNKNOWN,SESSION,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-007949,CPF-FR-017805,EXS-UNKNOWN,DEEP_LINK,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-007950,CPF-FR-017805,EXS-UNKNOWN,KEYBOARD,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-007954,CPF-FR-017805,EXS-UNKNOWN,PERFORMANCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-SC-007955,CPF-FR-017824,EXS-RECON,LOAD,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
