path,action,owner,requirement_scope,reason,sha256,integration_required,delete
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfBrokerHeaderPolicy.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,e58aae440f1644ce430e2a7ba76d1d368403b806edbd77eeb7f880e71d0a5b77,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfBrokerUnknownResultReconciler.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,49a68ee6afb80415086de4ddc2a69431f7a34c87acfa2f2a502995197d114dcd,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfProviderBrokerPublisher.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,b5c3007d9bb9b06742948c2acbd26b1bd680c3635a5f3c03c0333c2f47a441f3,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfReliableBrokerClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,e334f58d235b4b0a745af5ab106bd54e78de5b6bafb42b648866d24a66842983,false,false
cpf-starters/messaging/reliability-jdbc/src/test/java/com/cpf/core/common/broker/CpfBrokerOutboxIdentityTest.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,597afa163af3eb907844e21bf7fcb65c87348c4fe835c46e2a8fc426c229a7de,false,false
cpf-starters/messaging/reliability-jdbc/src/test/java/com/cpf/core/common/broker/CpfBrokerPublisherWorkerUnknownResultTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,fb93e084ec06dd214193f100a7413584da02a3443c98abed0f999ae9a20c5fbd,false,false
cpf-starters/messaging/reliability-jdbc/src/test/java/com/cpf/starter/messaging/reliability/CpfBrokerHeaderPolicyTest.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,d2d0b68dd26e8eb039efa067f19c33637b6499246247c2b304031e97d58242ec,false,false
cpf-starters/messaging/reliability-jdbc/src/test/java/com/cpf/starter/messaging/reliability/CpfBrokerUnknownResultReconcilerTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,e6433070092b3fdf9197b061af2d60b54d1339b21d904964024223474f9b2192,false,false
cpf-starters/messaging/reliability-jdbc/src/test/java/com/cpf/starter/messaging/reliability/CpfProviderBrokerPublisherTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,d1698323b073b84264d9d8b70df49a4dda886d3d1eaca19af48635d02feac5b9,false,false
cpf-starters/messaging/reliability-jdbc/src/test/java/com/cpf/starter/messaging/reliability/CpfReliableBrokerClientTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,8fda2da71133b7fa5e2953c974a328257c43beb92a6421f83a1f3f507a0175d3,false,false
