status,tool_or_gate,class,purpose,manual,basis_sha
PASS,check-frontend-route-targets.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-source-documentation-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-architecture-ownership.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-core-owner-boundary.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-service-call-boundary.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-repository-hygiene.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-document-links.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-utf8.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-java25-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-legacy-name.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-legacy-batch-migration.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-log-management-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-openapi-source-coverage.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-sample-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-sample-coverage.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-transaction-id-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-sql-canonical.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-sql-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-spring-batch-sequence-contract.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-db-vendor-pack-parity.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-offline-db-resource-pack.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-official-db-vendor-readiness.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-query-contract-integrity.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-admin-data-safety.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-data-safety-schema-contract.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-r12-product-hardening.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-migration-checksums.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,check-database-profile-standard.ps1,full-product-gate,verify-full-product integrated gate,05,64049044956924032360fa80be83b5e37c64f828
PASS,generate-official-db-vendor-source.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,build-official-db-vendor-packs.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,build-all-install-sql.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,check-spring-batch-sequence-contract.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,sync-platform-runtime-query-packs.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,sync-bat-runtime-query-pack.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,check-query-contract-integrity.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,sync-platform-nullable-empty-string-repair.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,generate-migration-checksums.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,generate-database-schema-manifest.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,check-database-schema-drift.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
PASS,check-database-profile-standard.ps1,database-sync-chain,sync-database-artifacts canonical child stage,05;DB-standard,64049044956924032360fa80be83b5e37c64f828
