key,env,type,default,required,range_condition,consumer,profile_capability,restart,secret,symptom,check,expected,rollback,source_path
cpf.data.cache.valkey.required,CPF_DATA_CACHE_VALKEY_REQUIRED,Boolean,true,enabled=true,true 고정 운영 권고,CpfValkeyProperties,cache:valkey,필요,아니오,Provider 장애 시 기대 fail-open/closed 의미 불일치,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.cache.valkey.tls,CPF_DATA_CACHE_VALKEY_TLS,Boolean,false,아니오,true/false,CpfValkeyProperties,cache:valkey,필요,아니오,TLS 정책 불일치,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.cache.valkey.maximum-payload-bytes,CPF_DATA_CACHE_VALKEY_MAXIMUM_PAYLOAD_BYTES,Integer,1048576,enabled=true,1..67108864,CpfValkeyProperties,cache:valkey,필요,아니오,oversize 거부,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.cache.valkey.scan-count,CPF_DATA_CACHE_VALKEY_SCAN_COUNT,Integer,500,enabled=true,10..10000,CpfValkeyProperties,cache:valkey,필요,아니오,scan 비용/기동 검증 실패,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.persistence.jdbc.enabled,CPF_DATA_PERSISTENCE_JDBC_ENABLED,Boolean,true,아니오,true/false,CpfJdbcStarterProperties,data:jdbc,필요,아니오,JDBC capability 비활성/Bean 부재,DB health,선택 Data Provider와 일치,이전 값 복원 후 재기동,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/starter/data/persistence/jdbc/CpfJdbcStarterProperties.java
cpf.data.persistence.jdbc.required,CPF_DATA_PERSISTENCE_JDBC_REQUIRED,Boolean,true,아니오,true/false,CpfJdbcStarterProperties,data:jdbc,필요,아니오,DB 장애 시 readiness 의미 불일치,DB health,required 정책과 readiness 일치,이전 값 복원 후 재기동,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/starter/data/persistence/jdbc/CpfJdbcStarterProperties.java
cpf.data.persistence.jdbc.validation-query,CPF_DATA_PERSISTENCE_JDBC_VALIDATION_QUERY,String,SELECT 1,아니오,Vendor에서 유효한 read-only query,CpfJdbcStarterProperties,data:jdbc,필요,아니오,readiness 검증 실패,DB health/readiness,query 성공,이전 query 복원 후 재기동,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/starter/data/persistence/jdbc/CpfJdbcStarterProperties.java
cpf.data.persistence.jdbc.validation-timeout-seconds,CPF_DATA_PERSISTENCE_JDBC_VALIDATION_TIMEOUT_SECONDS,Integer,5,아니오,1..60,CpfJdbcStarterProperties,data:jdbc,필요,아니오,과도한 health 지연/기동 검증 실패,DB health timeout,정해진 시간 안에 health 판정,이전 값 복원 후 재기동,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/starter/data/persistence/jdbc/CpfJdbcStarterProperties.java
cpf.db.vendor,CPF_DB_VENDOR,Enum,없음,예,mariadb|postgresql|oracle,CpfSqlResourceResolver,all DB consumers,필요,아니오,기동 단계에서 unsupported/missing 실패,DB pack verify,선택 Vendor와 pack.json vendor 일치,이전 Vendor/pack 쌍 복원,cpf-core/src/main/java/com/cpf/core/common/database/CpfSqlResourceResolver.java
cpf.db.resource-root,CPF_DB_RESOURCE_ROOT,Path,없음,제품 Runtime에서 예,검증된 중앙 Vendor Pack root,CpfVendorResourceRoot,all DB consumers,필요,아니오,Module-local fallback 없이 기동 실패,pack.json/schemaVersion/vendor 확인,real path가 root 안이며 pack schemaVersion=1,이전 승인 Pack root 복원,cpf-core/src/main/java/com/cpf/core/common/database/CpfVendorResourceRoot.java
cpf.db.read-routing.enabled,CPF_DB_READ_ROUTING_ENABLED,Boolean,false,아니오,true/false,CpfDataSourceConfig,data:jdbc|mybatis,필요,아니오,read replica 예상과 다른 routing,read/write routing smoke,write 후 read-your-write 정책 충족,false 또는 이전 정책으로 복원,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/core/config/CpfDataSourceConfig.java
cpf.db.read-routing.max-replica-lag-ms,CPF_DB_READ_ROUTING_MAX_REPLICA_LAG_MS,Long,5000,read-routing=true,>=0,CpfDataSourceConfig,data:jdbc|mybatis,필요,아니오,stale read 허용 범위 오류,replica lag metric,허용 lag 이내만 replica 사용,이전 값 복원,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/core/config/CpfDataSourceConfig.java
cpf.db.read-routing.read-after-write-ms,CPF_DB_READ_ROUTING_READ_AFTER_WRITE_MS,Long,3000,read-routing=true,>=0,CpfDataSourceConfig,data:jdbc|mybatis,필요,아니오,write 직후 stale read,read-after-write test,기간 내 primary/read-safe 경로,이전 값 복원,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/core/config/CpfDataSourceConfig.java
spring.datasource.cpf.*,SPRING_DATASOURCE_CPF__,Spring datasource group,Spring Boot binding,예,URL/driver/pool 정책,CpfDataSourceConfig,data:jdbc|mybatis,필요,username/password 포함,DB 연결 실패,DataSource health + 최소 query,CPF primary datasource 연결/검증 성공,이전 datasource secret/config 복원,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/core/config/CpfDataSourceConfig.java
spring.datasource.cpf.replica.*,SPRING_DATASOURCE_CPF_REPLICA__,Spring datasource group,없음,read-routing 사용 시,Replica datasource binding,CpfDataSourceConfig,data:jdbc|mybatis,필요,username/password 포함,Replica health/routing 실패,replica health/lag test,허용 lag 내 read route,read-routing=false 또는 이전 replica 복원,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/core/config/CpfDataSourceConfig.java
cpf.file.archive.max-entries,CPF_FILE_ARCHIVE_MAX_ENTRIES,Integer,10000,아니오,>=1,CpfArchiveProperties,file/archive,필요,아니오,Archive entry 폭증 방어,Archive negative corpus,제한 초과 archive 거부,이전 제한 복원,cpf-starters/file/archive/src/main/java/com/cpf/starter/archive/CpfArchiveProperties.java
cpf.file.archive.max-expanded-bytes,CPF_FILE_ARCHIVE_MAX_EXPANDED_BYTES,Long,2147483648,아니오,>=1,CpfArchiveProperties,file/archive,필요,아니오,Archive bomb expanded bytes 차단,Archive negative corpus,제한 초과 archive 거부,이전 제한 복원,cpf-starters/file/archive/src/main/java/com/cpf/starter/archive/CpfArchiveProperties.java
cpf.file.archive.max-expansion-ratio,CPF_FILE_ARCHIVE_MAX_EXPANSION_RATIO,Integer,100,아니오,>=1,CpfArchiveProperties,file/archive,필요,아니오,압축률 폭증 차단,Archive negative corpus,제한 초과 archive 거부,이전 제한 복원,cpf-starters/file/archive/src/main/java/com/cpf/starter/archive/CpfArchiveProperties.java
cpf.framework.attachment.root,CPF_FRAMEWORK_ATTACHMENT_ROOT,Path,prod: 없음 / 그 외 java.io.tmpdir/cpf-attachments,prod에서 예,쓰기 가능하고 승인된 root,CpfAttachmentAutoConfiguration,file/attachment,필요,아니오,prod 기동 실패 또는 잘못된 저장 위치,upload/download + path traversal test,파일이 root 밖으로 탈출하지 않음,이전 root 복원,cpf-starters/file/attachment/src/main/java/com/cpf/core/config/CpfAttachmentAutoConfiguration.java
cpf.framework.attachment.max-bytes,CPF_FRAMEWORK_ATTACHMENT_MAX_BYTES,Long,10485760,아니오,positive,CpfAttachmentAutoConfiguration,file/attachment,필요,아니오,oversize 업로드 거부/용량 위험,upload size test,상한 초과 거부,이전 제한 복원,cpf-starters/file/attachment/src/main/java/com/cpf/core/config/CpfAttachmentAutoConfiguration.java
cpf.framework.attachment.allowed-extensions,CPF_FRAMEWORK_ATTACHMENT_ALLOWED_EXTENSIONS,CSV,"txt,csv,json,xml,pdf,png,jpg,jpeg,gif,zip",아니오,승인 extension allowlist,CpfAttachmentAutoConfiguration,file/attachment,필요,아니오,허용되지 않은 형식 업로드,upload negative test,allowlist만 저장,이전 allowlist 복원,cpf-starters/file/attachment/src/main/java/com/cpf/core/config/CpfAttachmentAutoConfiguration.java
cpf.file.sftp.enabled,CPF_FILE_SFTP_ENABLED,Boolean,false,아니오,true/false,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.host,CPF_FILE_SFTP_HOST,String,없음,enabled=true,non-blank,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.port,CPF_FILE_SFTP_PORT,Integer,22,enabled=true,1..65535,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.username,CPF_FILE_SFTP_USERNAME,String,없음,enabled=true,non-blank,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.password-secret,CPF_FILE_SFTP_PASSWORD_SECRET,Secret reference,없음,enabled=true,provider:key,CpfSftpProperties,file:sftp,필요,예,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.connect-timeout,CPF_FILE_SFTP_CONNECT_TIMEOUT,Duration,10s,enabled=true,positive,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.operation-timeout,CPF_FILE_SFTP_OPERATION_TIMEOUT,Duration,30s,enabled=true,positive,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.started-recovery-age,CPF_FILE_SFTP_STARTED_RECOVERY_AGE,Duration,15m,enabled=true,positive,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.buffer-bytes,CPF_FILE_SFTP_BUFFER_BYTES,Integer,65536,enabled=true,>=4096,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.max-transfer-bytes,CPF_FILE_SFTP_MAX_TRANSFER_BYTES,Long,1073741824,enabled=true,positive,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.ledger-required,CPF_FILE_SFTP_LEDGER_REQUIRED,Boolean,true,enabled=true,true; 비활성 금지,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.local-root,CPF_FILE_SFTP_LOCAL_ROOT,Path,.,enabled=true,approved local root,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.remote-root,CPF_FILE_SFTP_REMOTE_ROOT,Path,/,enabled=true,approved remote root,CpfSftpProperties,file:sftp,필요,아니오,검증 실패/전송 실패/원장 불일치,SFTP health + transfer/response-loss test,원자 transfer + ledger 종결,이전 값/secret ref 복원,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.file.sftp.password,CPF_FILE_SFTP_PASSWORD,String,없음,금지,raw secret 금지,CpfSftpProperties validation,file:sftp,필요,예,값이 있으면 기동 실패,startup negative test,지속 미설정,삭제하고 password-secret 사용,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java
cpf.service-call.enabled,CPF_SERVICE_CALL_ENABLED,Boolean,true,아니오,true/false,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.default-timeout-millis,CPF_SERVICE_CALL_DEFAULT_TIMEOUT_MILLIS,Integer,3000,아니오,positive,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.default-retry-count,CPF_SERVICE_CALL_DEFAULT_RETRY_COUNT,Integer,1,아니오,0..max-retry-count,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.max-history-query-limit,CPF_SERVICE_CALL_MAX_HISTORY_QUERY_LIMIT,Integer,500,아니오,positive,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.max-retry-count,CPF_SERVICE_CALL_MAX_RETRY_COUNT,Integer,3,아니오,>=0,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.circuit-open-failure-threshold,CPF_SERVICE_CALL_CIRCUIT_OPEN_FAILURE_THRESHOLD,Integer,3,아니오,positive,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.circuit-open-retry-after-millis,CPF_SERVICE_CALL_CIRCUIT_OPEN_RETRY_AFTER_MILLIS,Long,30000,아니오,positive,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.retry-backoff-millis,CPF_SERVICE_CALL_RETRY_BACKOFF_MILLIS,Long,100,아니오,>=0,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.max-retry-backoff-millis,CPF_SERVICE_CALL_MAX_RETRY_BACKOFF_MILLIS,Long,2000,아니오,>=retry-backoff,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.service-call.fallback-to-configured-endpoint,CPF_SERVICE_CALL_FALLBACK_TO_CONFIGURED_ENDPOINT,Boolean,true,아니오,true/false,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java
cpf.http-client.connect-timeout-millis,CPF_HTTP_CLIENT_CONNECT_TIMEOUT_MILLIS,Integer,3000,아니오,positive,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfHttpClientProperties.java
cpf.http-client.read-timeout-millis,CPF_HTTP_CLIENT_READ_TIMEOUT_MILLIS,Integer,5000,아니오,positive,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfHttpClientProperties.java
cpf.http-client.max-in-memory-size-kb,CPF_HTTP_CLIENT_MAX_IN_MEMORY_SIZE_KB,Integer,2048,아니오,positive/bounded,CpfServiceCallProperties/CpfHttpClientProperties,integration-transport:http,필요,아니오,timeout/retry/circuit/body buffer 정책 오류,service-call history + outbound log/fault test,timeout budget·retry·UNKNOWN_RESULT 분류 일치,이전 값 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfHttpClientProperties.java
cpf.services.<serviceId>.base-url,동적 Key — 해당 service/provider 식별자로 치환,URI,없음,서비스 사용 시,approved http/https target,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.description,동적 Key — 해당 service/provider 식별자로 치환,String,없음,서비스 사용 시,text,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.allow-dns,동적 Key — 해당 service/provider 식별자로 치환,Boolean,false,서비스 사용 시,true/false,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.allow-private,동적 Key — 해당 service/provider 식별자로 치환,Boolean,false,서비스 사용 시,true/false,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.allow-public,동적 Key — 해당 service/provider 식별자로 치환,Boolean,true,서비스 사용 시,true/false,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.allowed-cidrs,동적 Key — 해당 service/provider 식별자로 치환,List<CIDR>,[],서비스 사용 시,valid CIDR,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.allowed-ports,동적 Key — 해당 service/provider 식별자로 치환,List<Integer>,"[443,8443,9443]",서비스 사용 시,1..65535,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.services.<serviceId>.pinned-addresses,동적 Key — 해당 service/provider 식별자로 치환,List<IP>,[],서비스 사용 시,valid IP,CpfServiceEndpointProperties,integration-transport:http,필요,아니오,SSRF/pinning/endpoint resolution 오류,connection-test + DNS/address pinning fault,allowlist/pin을 통과한 대상만 연결,이전 endpoint snapshot 복원,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java
cpf.integration.resilience.enabled,CPF_INTEGRATION_RESILIENCE_ENABLED,Boolean,false,아니오,true/false,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.locking.local-provider-enabled,CPF_INTEGRATION_RESILIENCE_LOCKING_LOCAL_PROVIDER_ENABLED,Boolean,false,아니오,true/false,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
