no,route_id,path,menu_id,label,group,risk,feature_flag,component,inputs_defaults,display_contract,actions,activation_permission,version_approval_idempotency,recovery_contract,source_ref,verification_status
11,standardExecutions,/standardExecutions,STANDARD_EXECUTION,표준 실행,online,MEDIUM,adm.route.standardExecutions.enabled,cpf-admin/frontend/src/features/standard-executions/StandardExecutionsPage.vue,"유형(전체/ONLINE/BATCH), 소유 업무, 검색어(ID/실행명/source/endpoint). / 유형 전체.","표준 실행 ID, 유형, 실행명, 소유 업무, Source 모듈, Endpoint; 선택 상세.","조회, 행 선택 상세.",읽기 전용.,Catalog 조회 화면.,Source/Endpoint가 비어 있으면 상세에서 Owner 정의를 확인한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
12,channelPolicy,/channelPolicy,CHANNEL_POLICY,채널 정책,online,HIGH,adm.route.channelPolicy.enabled,cpf-admin/frontend/src/features/channel-policy/ChannelPolicyPage.vue,"채널 코드(<=30), 채널명(<=100), 유형 CLIENT/OPERATOR/SYSTEM, 신뢰 EXTERNAL/INTERNAL, 최초/내부/인증/서명/사용, 설명·감사사유(<=500); 정책키(<=100), 표준실행ID(<=10), 최초/호출채널(<=30), 요청유형(<=30), maxTPS>=0, 허용/인증/서명/사용, 사유; Package JSON, Dry-run. / 현재 Snapshot version 표시. Package Import Dry-run 체크 가능.",채널/명칭/유형/신뢰/인증/서명/사용/버전; 정책키/표준실행/최초채널/호출채널/요청유형/허용/maxTPS/버전.,"조회, Snapshot 갱신, Package 반출/반입, 채널 저장, 거래정책 저장.",갱신/반입/저장은 CHANNEL_POLICY write. 반출은 조회 가능.,불변 Snapshot version 및 각 Row version을 표시.,반입은 Dry-run으로 먼저 검증하고 Snapshot 갱신 후 Gateway/온라인 거래에서 적용 Version을 확인한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
13,serviceRegistry,/serviceRegistry,SERVICE_REGISTRY,서비스 레지스트리,online,MEDIUM,adm.route.serviceRegistry.enabled,cpf-admin/frontend/src/features/service-registry/ServiceRegistryPage.vue,Toolbar Service ID/Endpoint/Instance 상태. Service: ID/명/유형/Owner/use/설명/reason>=5. Endpoint: code/service/name/type HTTP·HTTPS·GRPC·LOCAL·TCP·SFTP/baseURL/context/timeout>=1/retry>=0/use/reason>=5. Instance: ID/service/endpoint/name/baseURL/host/port1~65535/env/zone/cell/weight>=1/priority>=0/active/reason>=5. / 기존 Service/Endpoint/Instance의 식별자는 version>0이면 잠금.,"Service 원장, Endpoint, Instance·Health, Health History, Routing·Circuit, 최근 Service Call(Transaction/Trace/Retry/Failure) Tab.","조회, Service/Endpoint/Instance 등록·수정·삭제, Instance DRAIN/RESUME/DISABLE.","쓰기/삭제 권한 분리. DRAIN은 미Drain, RESUME은 draining, DISABLE은 active인 Instance에서만 노출. 상태조치 reason>=5.",각 Service/Endpoint/Instance version 표시. 삭제 Dialog에도 version을 사용해 최신 대상을 확인.,Health·Routing·Circuit·Call History를 교차 확인한다. 상태변경 응답 유실 시 Instance 현재 상태와 호출 이력부터 재조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
14,runtimeControl,/runtimeControl,RUNTIME_CONTROL,Deployment·Promotion·Rollback,online,HIGH,adm.route.runtimeControl.enabled,cpf-admin/frontend/src/features/operations/OnlineDeploymentWorkbenchPage.vue,"Environment, Service ID, Change ID, Operation ID; Change Type, Expected Version>=0, Approval ID, Break-glass ID, Target JSON, Payload JSON, 사유>=10; Cancel/Rollback Operation ID·사유>=10. / Expected Version=0, payload schema version=1, Target JSON 예시 DEV/serviceIds, Payload {}. Operation ID는 UUID 생성.","Health, Capabilities, Runtime State 카드; Preview/Change/Operation 구조화 결과.","상태 새로고침, 결과 조회, Preview, 변경 실행, Cancel, Rollback.",변경 실행은 Preview 영향 확인 checkbox + reason>=10. Cancel/Rollback은 resultChangeId 필요하며 별도 확인 checkbox+reason>=10.,"Expected Version CAS, Approval/Break-glass, Operation ID를 함께 사용.",결과 불명은 동일 Operation ID로 조회. Cancel/Rollback 응답 유실도 재실행하지 말고 Operation 상태를 확인한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
15,maintenance,/maintenance,MAINTENANCE,점검·Drain,framework,HIGH,adm.route.maintenance.enabled,cpf-admin/frontend/src/features/maintenance/MaintenancePage.vue,"Service, Endpoint, Instance, Action(DRAIN/DISABLE/RESUME), 감사 사유>=5. / Action DRAIN. 조회 limit 100.","시간, Service, Endpoint, Instance, Action, 결과, 사유, Operation.","새로고침, 운영 명령.",`session.canWrite(maintenance)` 필요. 실행 중 입력/닫기 비활성.,Server가 인증 Operator·Transaction ID·Operation ID를 감사 기록.,실패 또는 결과 불명확 메시지에서 **재시도하지 말고 실행 이력을 조회해 대사**하도록 명시되어 있다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
16,cache,/cache,CACHE,캐시,framework,HIGH,adm.route.cache.enabled,cpf-admin/frontend/src/features/cache/CachePage.vue,"Tenant, Namespace, Key, Version>=1, 감사 사유(required). / Version 최소 1.",Cache summary/operation 구조화 결과.,"조회, Target별 갱신, 단일 Key 제거, Namespace 제거, Durable 재조정.",CACHE_REFRESH/CACHE_EVICT_KEY/CACHE_EVICT_NAMESPACE/CACHE_RECONCILE 각 Button permission으로 분리.,Control Version을 입력하고 durable reconcile에서 현재 원장과 맞춘다.,Evict/refresh 응답 유실 시 대상 Key/Namespace와 durable state를 재조회한 뒤 reconcile한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
17,configs,/configs,CONFIG,설정,framework,HIGH,adm.route.configs.enabled,cpf-admin/frontend/src/features/configs/ConfigsPage.vue,"Config ID, Config Key, Config Value, 유형, 암호화(Y/N), 사유. / 암호화 select Y/N.",설정 조회/상세/처리 결과.,"조회, 등록, 수정, 상세, 삭제.",등록/수정/삭제는 CONFIG write.,Config Owner의 상세 결과를 기준으로 변경 후 재조회.,암호화 설정은 평문 노출 여부를 확인하고 적용 결과를 재조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
18,responseCodes,/responseCodes,RESPONSE_CODE,응답코드,framework,MEDIUM,adm.route.responseCodes.enabled,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue,"Response Code, Message Code, 결과(S/E), 모듈, 그룹, 일련번호, HTTP 상태, 사유. / 결과 선택 S/E.",응답코드 조회/상세/처리 결과.,"조회, 등록, 수정, 삭제, 상세.",등록/수정은 write; 삭제는 delete permission.,Owner 상세를 재조회해 변경 상태 확인.,HTTP/업무 응답 매핑 변경 후 실제 조회 결과와 Consumer 계약을 확인한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
19,businessCalendar,/businessCalendar,BUSINESS_CALENDAR,영업일·휴일,framework,MEDIUM,adm.route.businessCalendar.enabled,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue,"Calendar ID, 기준일, 영업일/휴일, Day Type, 기관코드, 업무 사유, 감사 사유; resolve용 Calendar ID/date/offset. / Calendar ID DEFAULT, 기준일 오늘, businessDay=false, Day Type HOLIDAY, resolve offset=1.","Calendar Provider WRITE/READ ONLY, 권한, 일자/구분/Type/기관/사유/Version.","조회, 저장, 삭제, 영업일 계산.",Backend writable=true + BUSINESS_CALENDAR write/delete permission. 삭제는 version>0.,PUT/DELETE에 expectedVersion을 전달. 409를 `동시 변경 충돌`로 표시.,409이면 최신 Calendar row/version을 다시 읽고 재판단한다. 같은 expectedVersion으로 무조건 반복하지 않는다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
20,recoveryCenter,/recoveryCenter,RECOVERY_CENTER,복구 센터,monitoring,MEDIUM,adm.route.recoveryCenter.enabled,cpf-admin/frontend/src/features/recovery-center/RecoveryCenterPage.vue,"DLQ Message ID, Unknown ID, Recovery Target, Recovery Event ID, 사유. / 표시 목록 각 최대 20건.",Unknown/DLQ/Outbox/File Transfer KPI; Unknown ID/유형/상태/거래ID; DLQ Message/Topic/상태.,"복구 상태, DLQ Replay, 결과 확정, Poison Retry, 복구 실행.",실제 변경은 Reliability 화면의 권한·감사사유·멱등 Gate를 재사용.,Unknown/DLQ/Recovery 원장의 식별자와 상태를 기준으로 조치.,Blind retry가 아니라 대상 원장 상태를 확인해 Replay/Reconcile/Poison Recovery를 분리한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
21,incidents,/incidents,INCIDENT,Error·Unknown Result,monitoring,HIGH,adm.route.incidents.enabled,cpf-admin/frontend/src/features/operations/ErrorWorkbenchPage.vue,"Tab unknown/dlq/recovery, Status, Transaction ID, Topic(DLQ만); 위험조치 Expected Version>=0, 사유10~500, Unknown action RECONCILE/REPLAY/COMPENSATE/MARK_FAILED. / Tab unknown, expectedVersion은 선택 Row version에서 채움.","ID, 상태, Transaction, Topic/Target, Version, 발생시각; 대상 구조화 상세.","결과 확정, DLQ Replay, Recovery 실행.",RELIABILITY_RESOLVE/RELIABILITY_REPLAY/RELIABILITY_RECOVERY_RUN Button permission. 확인 checkbox+reason>=10.,선택 Row의 version/expectedVersion 사용.,UNKNOWN을 실패로 단정하지 않는다. action 의미에 따라 Reconcile/Replay/Compensate/Mark Failed를 선택하고 실행 후 재조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
22,reliability,/reliability,RELIABILITY,Analysis Center,monitoring,MEDIUM,adm.route.reliability.enabled,cpf-admin/frontend/src/features/operations/AnalysisCenterPage.vue,"Transaction ID, Topic. / 각 Unknown/DLQ/Outbox/Idempotency/File I/O 최대 200.","영역별 count/risky 카드; 영역, 상태, 건수, 대표 Transaction 표; Freshness/filters 상세.",분석/재분석.,읽기 전용.,조회 화면.,5개 데이터 원천은 PromiseAllSettled. 일부 실패 시 `부분 실패 n/5`를 표시하고 성공 데이터는 유지한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
23,notifications,/notifications,NOTIFICATION,알림,integration,MEDIUM,adm.route.notifications.enabled,cpf-admin/frontend/src/features/notifications/NotificationsPage.vue,"Rule ID, Event Type/Sub Type, Channel, Severity(INFO/WARN/ERROR), Receiver Group, useYn, 수신자, 테스트 메시지, 규칙 변경 사유; Delivery ID/Expected Version/Operation ID(readonly), 운영조치 사유. / Severity 선택값, useYn Y/N. 선택 Delivery의 Version/Operation을 자동 반영.",규칙 ID/Event/채널/심각도/수신그룹/사용; Delivery/Operation+requestHash/상태/대상/수신자/시도/다음시도/오류/Lease/Version/요청·수정; Provider Attempt 이력.,"전체조회, DLQ조회, 규칙 저장/비활성, 테스트 발송, CSV, Delivery 재시도/취소, 상세/신규/수정.",각 NOTIFICATION_* Button permission. Retry/Cancel은 선택 Delivery 상태와 action eligibility를 함께 확인.,"Delivery Expected Version, Operation ID, Request Hash, Lease Version을 표시.",DLQ/Retry 상태·Attempt·Lease를 확인하고 재시도한다. 응답 유실 시 Operation/Delivery 상태를 먼저 조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
24,batch,/batch,BATCH,Batch / Center-Cut,batch,MEDIUM,adm.route.batch.enabled,cpf-admin/frontend/src/features/batch/BatchPage.vue,"Job ID/명/유형(TASKLET/CHUNK/RETRY), Execution ID, Schedule ID, 파라미터, Calendar, 영업일, 시뮬레이션 1~62일, Dispatch 상태, Heartbeat 30~86400초, Lock Key, Ghost Action(FAIL/ABANDON/RELEASE_LOCK), 사유; 실행추적 Job/Transaction/Spring Instance/Worker/Server/limit1~500; Center-Cut Job/status/result/limit. / 실행추적 limit=100. Dispatch placeholder WAITING.","Execution trace 9열; Center-Cut 전체/대기/처리중/성공/실패 KPI, Job/Target/Result 상세; 배치 작업 구조화 응답.","조회, Job 등록/수동실행/재수행/중지, Scheduler 1회, Job 상세/시뮬레이션/관계/대상/Step/Worker/Lock/Ghost/운영로그/CSV, Lock 해제, Center-Cut 조회.",Mutation은 BATCH write. Lock/Ghost/재실행은 대상 상태·사유를 확인.,Execution/Lock/Worker/Center-Cut 식별자와 transaction/segment 연결.,Ghost/Lock/UNKNOWN을 별도 조회하고 바로 재실행하지 않는다. Center-Cut은 Target/Result 상태와 거래 Segment를 함께 대사한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
25,batch-overview,/batch-overview,BATCH_OVERVIEW,Batch Overview,batch,MEDIUM,adm.route.batch-overview.enabled,cpf-admin/frontend/src/features/batch-overview/BatchOverviewPage.vue → BatchOperationsWorkbench.vue(mode=overview),별도 필터 없음. 새로고침. / 최근 실행 Snapshot.,KPI Job/Schedule/실행/실패/실행중/Worker/Stale Worker/Unknown Result; 최근 실행 Execution/Job/상태/시작.,"새로고침, 행 상세.",조회 전용 mode.,상세에서 운영 상태와 식별자 확인.,partial/stale/failure Banner를 통해 재조회. 위험조치는 다른 전용 mode로 이동.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
26,batch-runtime,/batch-runtime,BATCH_RUNTIME,Runtime Topology,batch,HIGH,adm.route.batch-runtime.enabled,cpf-admin/frontend/src/features/batch-runtime-control/RuntimeTopologyPage.vue → BatchOperationsWorkbench.vue(mode=topology),별도 검색 없음. / 현재 Runtime view.,"Instance, Role, 상태, Heartbeat; 선택 Node 상세/원본 JSON/운영 이력.","새로고침, 상세 열기.",조회 전용.,Runtime node 식별자/heartbeat.,stale/partial 상태를 Banner로 구분하고 Worker/Agent 화면에서 원인 조치.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
27,batch-instances,/batch-instances,BATCH_INSTANCES,Runtime Instances,batch,MEDIUM,adm.route.batch-instances.enabled,cpf-admin/frontend/src/features/batch-instances/BatchInstancesPage.vue → BatchOperationsWorkbench.vue(mode=instances),별도 검색 없음. / 현재 instance view.,"Instance, Service, 상태, Artifact, Fencing; 상세/운영이력.","새로고침, 상세.",조회 전용 route.,Artifact version + fencing token.,Artifact drift/heartbeat/fencing을 확인하고 Agent/Deployment route로 이동.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
28,batch-scheduler,/batch-scheduler,BATCH_SCHEDULER,Scheduler HA,batch,MEDIUM,adm.route.batch-scheduler.enabled,cpf-admin/frontend/src/features/batch-scheduler/BatchSchedulerPage.vue → BatchOperationsWorkbench.vue(mode=scheduler),통합 검색. / page size 50(20/50/100).,"Schedule, Job, Cron/Policy, 상태, Next Fire; 상세/원본/운영이력.","조회/초기화, Scheduler 1회 실행, Schedule 활성/비활성.",Schedule enable/disable는 HIGH + approval + expectedVersion. Scheduler 1회는 CRITICAL + approval.,Schedule expectedVersion을 위험조치 Dialog에 사용.,Misfire/중복 실행 영향을 확인하고 결과불명은 실행이력·Operation을 조회.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
29,batch-worker-pools,/batch-worker-pools,BATCH_WORKER_POOLS,Worker Pools,batch,MEDIUM,adm.route.batch-worker-pools.enabled,cpf-admin/frontend/src/features/batch-worker-pools/BatchWorkerPoolsPage.vue → RuntimeFleetWorkbench.vue(view=worker-pools),"자유검색, Command(DRAIN/RESUME/RESTART), 사유>=5, 승인요청 ID, 승인자, 승인정책 Version. / approvalPolicyVersion=BAT-RUNTIME-V1.","ID, Role/Pool, State, Host/Zone, Version, Heartbeat, Fencing; 선택 상세/Command 결과.","DRAIN, RESUME, RESTART, Command 상태 조회.","BATCH_RUNTIME_COMMAND/BAT_RUNTIME_COMMAND/BATCH_{ACTION}; DRAIN은 RUNNING/UP/ACTIVE, RESUME은 DRAINING/DRAINED/STOPPED/DOWN. 요청자와 승인자 분리, 최종확인 필수.","idempotencyKey=`view:target:action:version`, target Snapshot SHA-256, expectedVersion, expiresAt=요청+10분.",UNKNOWN_RESULT이면 자동 재실행하지 않고 Command 상태를 조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
30,batch-center-cut,/batch-center-cut,BATCH_CENTER_CUT,Center-Cut,batch,MEDIUM,adm.route.batch-center-cut.enabled,cpf-admin/frontend/src/features/batch-center-cut/BatchCenterCutPage.vue,Job 선택. 위험조치 사유/멱등키/승인 ID는 DangerousActionDialog에서 입력. / Job 목록 조회 후 선택 Execution을 대상으로 함.,Job/이름/상태; Execution/Result/상태/메시지/운영조치; Summary 최대 12항목.,"FAILED Execution 실패 재처리, UNKNOWN Execution 대사.","FAILED+executionId만 reprocess, UNKNOWN+executionId만 reconcile. CRITICAL. 승인 Ticket이 없으면 먼저 승인 요청 생성 후 실행.",Job 단위 일괄 변경 금지. Execution 단위 승인/멱등키.,UNKNOWN은 blind retry 금지. Owner/외부 결과 대사 후 선택 Execution만 reconcile.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
31,batch-agents,/batch-agents,BATCH_AGENTS,Host Agents,batch,MEDIUM,adm.route.batch-agents.enabled,cpf-admin/frontend/src/features/batch-agents/BatchAgentsPage.vue → RuntimeFleetWorkbench.vue(view=agents),"자유검색, Command DRAIN/RESUME/RESTART/STOP/START/ROLLBACK, 사유>=5, 승인 ID/승인자/정책. / approvalPolicyVersion=BAT-RUNTIME-V1.","ID, Role/Pool, State, Host/Zone, Version, Heartbeat, Fencing; 상세/Command 결과.","DRAIN/RESUME/RESTART/STOP/START/ROLLBACK, Command 상태조회.",Runtime button grant + 상태조건 + 요청자/승인자 분리 + 확인.,"Snapshot hash, expectedVersion, idempotency key, expiresAt 10분.",UNKNOWN_RESULT 자동 재실행 금지. 상태조회 후 Rollback/Resume 여부 판단.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
