no,group,question,status,evidence
40,tool,Tool documented: create-domain.ps1,PASS,create-domain.ps1
41,tool,Tool documented: check-work-context.ps1,PASS,check-work-context.ps1
42,tool,Tool documented: sync-generated-domain-artifacts.ps1,PASS,sync-generated-domain-artifacts.ps1
43,tool,Tool documented: check-generator-arbitrary-domain-parity.ps1,PASS,check-generator-arbitrary-domain-parity.ps1
44,tool,Tool documented: verify-full-product.ps1,PASS,verify-full-product.ps1
45,tool,Tool documented: cpf-tools/build/gradle-plugin,PASS,cpf-tools/build/gradle-plugin
46,tool,Tool documented: cpf-tools/build/platform-bom,PASS,cpf-tools/build/platform-bom
47,tool,Tool coverage matrix includes public axes + subordinate gates,PASS,52
48,generator,Generator uses -CapabilityProfile,PASS,present
49,generator,Generator does not use obsolete -Profile secure-api,PASS,absent
50,generator,Generator Apply example is executable without placeholder,PASS,no placeholder
51,generator,DryRun and Apply semantics separated,PASS,explicit
52,tool,Generated-domain user modification fails closed,PASS,present
53,edu,EDU coverage rows exactly 135,PASS,135
54,edu,EDU IDs unique,PASS,135 unique
55,edu,DEV detailed EDU cards 45/45,PASS,45
56,edu,BAT detailed EDU cards 30/30,PASS,30
57,edu,ADM detailed EDU cards 17/17,PASS,17
58,edu,BZA detailed EDU cards 14/14,PASS,14
59,edu,GW detailed EDU cards 14/14,PASS,14
60,edu,OPS detailed EDU cards 15/15,PASS,15
61,edu,Every EDU card includes Fault,PASS,135
62,edu,Every EDU card includes Recovery,PASS,135
63,edu,Every EDU card includes Source/Test Trace,PASS,135
64,edu,Every EDU card includes practical transition,PASS,135
65,edu,EDU-DEV-05 idempotency/unknown deep dive present,PASS,present
66,edu,EDU-DEV-14 DB3 migration deep dive present,PASS,present
67,edu,EDU-BZA-14 compensation/rollback present,PASS,present
68,edu,EDU process runner environment contract present,PASS,present
69,adm,ADM route cards exactly 63,PASS,63
70,adm,ADM route source contract rows exactly 63,PASS,63
71,adm,All ADM source routes have feature flag,PASS,63
72,adm,Router permission recomputation documented,PASS,present
73,adm,Router feature guard documented,PASS,present
74,adm,Route expectedOperationIds not equated to buttons,PASS,explicit
75,adm,/logs exact field documented: transactionId,PASS,transactionId
76,adm,/logs exact field documented: traceId,PASS,traceId
77,adm,/logs exact field documented: businessTransactionId,PASS,businessTransactionId
78,adm,/logs exact field documented: memberNo,PASS,memberNo
79,adm,/logs exact field documented: customerNo,PASS,customerNo
80,adm,/logs exact field documented: channelCode,PASS,channelCode
81,adm,/logs exact field documented: logType,PASS,logType
82,adm,/logs Artifact download action documented,PASS,present
83,bza,BZA route matrix exactly 26,PASS,26
84,bza,BZA actual route operations captured,PASS,26
85,bza,Organizations screen does not invent save button,PASS,explicit
86,config,Actual runtime property catalog has >=200 rows,PASS,243
87,config,Property keys unique,PASS,243
88,config,Every property has consumer,PASS,all
89,config,Every property has check,PASS,all
90,config,Every property has expected result,PASS,all
91,config,Every property has rollback,PASS,all
92,config,Every property has source path,PASS,all
93,config,Catalog namespace vs runtime leaf is explicitly separated,PASS,explicit
94,config,Caffeine actual runtime prefix documented,PASS,present
95,config,Valkey current defaults documented,PASS,present
96,db,Three DB vendors documented,PASS,3
97,db,DB vendor and resource-root required contracts documented,PASS,present
98,security,Resource server exactly-one issuer/JWK rule documented,PASS,present
99,security,SFTP raw password prohibition documented,PASS,present
100,security,Session fail-closed documented,PASS,present
101,batch,Batch nine product submodules documented,PASS,9
102,gateway,Gateway HMAC/Nonce/SSRF/Attempt/LKG/ACK-NACK documented,PASS,present
103,recovery,UNKNOWN_RESULT never treated as simple failure,PASS,present
104,recovery,Partial apply preserves successful targets,PASS,present
105,design,Architecture design contains ownership/dependency/public API concepts,PASS,present
106,design,Technical specification covers HTTP/OpenAPI/Messaging/Batch/Admin/Gateway,PASS,present
107,design,DB standard covers migration/drift/rollback/vendor,PASS,present
108,hygiene,No future-stage placeholder phrases,PASS,none
109,hygiene,No merge conflict markers,PASS,none
110,hygiene,All markdown code fences balanced,PASS,balanced
111,hygiene,No prohibited broad marketing claims,PASS,none
