no,path,component,status,checks,runtime_execution
13,/serviceRegistry,cpf-admin/frontend/src/features/service-registry/ServiceRegistryPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
14,/runtimeControl,cpf-admin/frontend/src/features/operations/OnlineDeploymentWorkbenchPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
15,/maintenance,cpf-admin/frontend/src/features/maintenance/MaintenancePage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
16,/cache,cpf-admin/frontend/src/features/cache/CachePage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
17,/configs,cpf-admin/frontend/src/features/configs/ConfigsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
18,/responseCodes,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
19,/businessCalendar,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
20,/recoveryCenter,cpf-admin/frontend/src/features/recovery-center/RecoveryCenterPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
21,/incidents,cpf-admin/frontend/src/features/operations/ErrorWorkbenchPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
22,/reliability,cpf-admin/frontend/src/features/operations/AnalysisCenterPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
23,/notifications,cpf-admin/frontend/src/features/notifications/NotificationsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
24,/batch,cpf-admin/frontend/src/features/batch/BatchPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
25,/batch-overview,cpf-admin/frontend/src/features/batch-overview/BatchOverviewPage.vue → BatchOperationsWorkbench.vue(mode=overview),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
26,/batch-runtime,cpf-admin/frontend/src/features/batch-runtime-control/RuntimeTopologyPage.vue → BatchOperationsWorkbench.vue(mode=topology),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
27,/batch-instances,cpf-admin/frontend/src/features/batch-instances/BatchInstancesPage.vue → BatchOperationsWorkbench.vue(mode=instances),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
28,/batch-scheduler,cpf-admin/frontend/src/features/batch-scheduler/BatchSchedulerPage.vue → BatchOperationsWorkbench.vue(mode=scheduler),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
29,/batch-worker-pools,cpf-admin/frontend/src/features/batch-worker-pools/BatchWorkerPoolsPage.vue → RuntimeFleetWorkbench.vue(view=worker-pools),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
30,/batch-center-cut,cpf-admin/frontend/src/features/batch-center-cut/BatchCenterCutPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
31,/batch-agents,cpf-admin/frontend/src/features/batch-agents/BatchAgentsPage.vue → RuntimeFleetWorkbench.vue(view=agents),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
32,/batch-job-packs,cpf-admin/frontend/src/features/batch-job-packs/BatchJobPacksPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
33,/batch-executions,cpf-admin/frontend/src/features/batch-executions/BatchExecutionsPage.vue → BatchOperationsWorkbench.vue(mode=executions),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
34,/batch-deployment,cpf-admin/frontend/src/features/batch-deployment/BatchDeploymentPage.vue → BatchOperationsWorkbench.vue(mode=deployment),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
35,/batch-recovery,cpf-admin/frontend/src/features/batch-recovery/BatchRecoveryPage.vue → BatchOperationsWorkbench.vue(mode=recovery),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
36,/batch-leases,cpf-admin/frontend/src/features/batch-leases/BatchLeasesPage.vue → BatchOperationsWorkbench.vue(mode=leases),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
37,/batch-alerts,cpf-admin/frontend/src/features/batch-alerts/BatchAlertsPage.vue → BatchOperationsWorkbench.vue(mode=alerts),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
38,/batch-audit,cpf-admin/frontend/src/features/batch-audit/BatchAuditEvidencePage.vue → BatchOperationsWorkbench.vue(mode=audit),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
39,/workers,cpf-admin/frontend/src/features/workers/WorkersPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
40,/downloads,cpf-admin/frontend/src/features/downloads/DownloadsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
41,/file-jobs,cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
42,/messages,cpf-admin/frontend/src/features/operations/ProtocolMessageWorkbenchPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
43,/codes,cpf-admin/frontend/src/features/codes/CodesPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
44,/gateway-dashboard,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=dashboard),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
45,/gateway-servers,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=servers),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
46,/gateway-groups,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=groups),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
47,/gateway-routes,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=bindings),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
48,/gateway-security,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=security),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
49,/gateway-health,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=health),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
50,/gateway-transactions,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=transactions),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
51,/gateway-log-policies,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=log-policies),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
52,/gateway-apply-status,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue(initialMode=apply),PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
53,/permissions,cpf-admin/frontend/src/features/permissions/PermissionsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
54,/password,cpf-admin/frontend/src/features/password/PasswordPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
55,/security,cpf-admin/frontend/src/features/security/SecurityPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
56,/operators,cpf-admin/frontend/src/features/operators/OperatorsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
57,/secrets,cpf-admin/frontend/src/features/secrets/SecretsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
58,/approvals,cpf-admin/frontend/src/features/approvals/ApprovalsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
59,/breakGlass,cpf-admin/frontend/src/features/break-glass/BreakGlassPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
60,/featureFlags,cpf-admin/frontend/src/features/feature-flags/FeatureFlagsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
61,/integrationClosure,cpf-admin/frontend/src/features/integration-closure/IntegrationClosurePage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
62,/openApiOperations,cpf-admin/frontend/src/features/openapi-operations/OpenApiOperationsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
63,/resiliencePolicies,cpf-admin/frontend/src/features/resilience-policies/ResiliencePoliciesPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
