requirement_id,family,canonical_role,catalog_row_accounted,direct_current_handler_opened,qa37_gate_source_reviewed,static_verdict,runtime_verdict,QA_closure,linked_finding,review_notes,exact_sha
EDU-DEV-16,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-17,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-18,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-19,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-20,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-21,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-22,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-23,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-24,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-25,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-26,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-27,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-28,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-29,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-30,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-31,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-32,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-33,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-34,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-35,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-36,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-37,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-38,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-39,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-40,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-41,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-42,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-43,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-44,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-45,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-01,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-02,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-03,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-04,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-05,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-06,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-07,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-08,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-09,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-10,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-11,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-12,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-13,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-14,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-15,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-16,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-17,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-18,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-19,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-20,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-21,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-22,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-23,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-24,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-25,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-26,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-27,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-28,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-29,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-BAT-30,BAT,CPF_BATCH_OPERATOR,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-01,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-02,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-03,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-04,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-05,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-06,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-07,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-08,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-09,ADM,CPF_ADM_OPERATOR,Y,Y,Y,FAIL,미검증,미통과,AB-R6-028;QA-B-R6J-NEW-001,"current handler directly opened; canonical role=CPF_ADM_OPERATOR, actual role=CPF_REFERENCE_PLATFORM_OPERATOR; architecture classification required.",3ed676061246c9db3e44f29e254c0393ecca3929
