finding_id,priority,area,title,source_verdict,runtime_verdict,QA_검수결과,current_exact_sha,evidence_basis,acceptance_to_close,rework_required,updated_at,updated_by
AB-R6-022,P0,Approval/Security,HMAC capability 자체에 expiry/nonce-consumption single-use 없음,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,TTL + durable JDBC nonce + atomic consume source verified; multi-instance DB runtime absent,DB3 + concurrent multi-instance single-use PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-023,P0,Approval/Security,Integration Closure secret가 raw ConfigurationProperties 문자열로 주입 가능,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,prod/stg profile guard rejects raw secret and requires secret-ref provider; runtime absent,prod/stg startup negative/positive tests,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-024,P1,Approval/Security,Approval Policy immutability/active overlap이 DB까지 닫히지 않음,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,Oracle/PostgreSQL/MariaDB V105+R105 triggers/locks verified; live DB absent,3-vendor direct SQL overlap/update/delete + rollback/reapply PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-025,P0,Runtime/Release,Owner success 후 DB finalization/DB outage의 durable UNKNOWN 보장 부족,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,"service attempts UNKNOWN finalization, but generic Owner reconcile unsupported for many owners",durable post-owner outcome + owner observation reconcile + DB outage test,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-026,P1,Management/Quality,BAT Approved Remote Port가 localhost/local instance default로 fail-open,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,source configured fail-closed remote selection reviewed previously; current multiprocess absent,remote multi-instance wrong/missing endpoint negative PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-027,P1,Management/Quality,InMemory DQ replay는 multi-instance/process-kill idempotency 증거가 아님,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,JDBC DQ provider/ledger source added; live DB/process kill absent,2-instance JDBC DQ replay/process-kill PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-028,P0,EDU/Sample,EDU 135 Catalog ↔ Handler/Scenario requiredRole 불일치,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,EDU-ADM 17/17 current handlers declare CPF_REFERENCE_PLATFORM_OPERATOR while canonical QA37 role is CPF_ADM_OPERATOR,fix/reclassify entire ADM family after architecture decision; QA37 --compile must pass,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-029,P0,EDU/Sample,EDU 135의 5종 Test가 실제 8종 Product Consumer Runtime을 증명하지 않음,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,QA37 source checks 5 tests/consumer binding but no current runtime evidence; ADM family also architecture-conflicted,architecture classification + actual consumer runtime per retained EDU,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-030,P0,EDU/Sample,EDU-ADM 17이 요구 의미보다 template/common-state-machine 중심,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,17 handlers are REF generic ledger handlers; canonical says product ADM internals must not be duplicated into EDU,architecture decision and product/extension reclassification,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-031,P0,EDU/Sample,EDU-ADM readOnly 정본 불일치,RECHECK_REQUIRED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,individual ADM handler readOnly values inspected but family canonical role/architecture mismatch blocks closure,catalog/handler exact parity after classification,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-032,P0,EDU/Sample,EDU-ADM-04 승인 교육 예제가 실제 승인 정책/SoD/만료/범위를 구현하지 않음,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,handler performs payload-field checks rather than actual ADM Approval Engine product integration,reclassify or bind to public extension/integration contract; real approval runtime test,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-033,P0,EDU/Sample,EDU-ADM-08 보안 교육 예제가 masking/IDOR/browser role matrix를 구현하지 않음,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,current handler trusts payload permission string containing RAW to expose unmasked data,remove client-supplied authorization semantics; bind server authority; browser role matrix,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-034,P0,EDU/Sample,EDU-ADM-09 version conflict/browser flow 의미 불일치,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,version conflict semantics improved in source; no browser/runtime evidence,actual concurrent/version/browser conflict PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-035,P0,EDU/Sample,EDU-ADM-10 bulk target semantics가 pseudo partition으로 대체,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,target list/failed subset/result file semantics now explicit; architecture/runtime remain open,retained EDU actual target runtime + partial failure/reprocess PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-036,P1,EDU/Sample,EDU-ADM-11 maintenance/LKG rollback 의미가 선언에 그침,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,current handler models LKG/rollback via request payload flags/generic ledger instead of real product config owner,reclassify or bind public configuration extension with actual rollback runtime,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-037,P0,EDU/Sample,EDU-ADM-12~17 핵심 운영 의미가 generic JDBC state machine으로 대체,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,incident/evidence/topology/correlation/notification/session handlers remain generic REF ledger simulations,architecture reclassify; retained extensions must use actual public contracts,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-038,P0,EDU/Sample,QA37 EDU Source Closure Gate가 semantic drift를 탐지하지 못함,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,"QA37 source now compares role/readOnly/etc, but current ADM17 mismatch means current --compile should fail; claimed PASS log absent",fix source then run QA37 --compile at exact SHA and commit evidence,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-039,P0,EDU/Sample,Current SHA에서 EDU 135 target runtime 증거 없음,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,no current exact-SHA target runtime evidence committed,retained EDU target runtime evidence per family/topology,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-040,P0,Runtime/Release,QA 진입 전 Codex/필수 Target Runtime 미완료,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,Codex/current release runtime absent,Codex independent review + mandatory release qualification,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-001,P0,Architecture/EDU,ADM Product와 EDU-ADM generic duplicate implementation의 canonical architecture 충돌,ARCHITECTURE_DECISION_REQUIRED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,CPF_FINAL_TARGET_REQUIREMENTS는 ADM을 제품으로 규정하고 제품 내부 기능의 generic EDU 복제를 금지,중앙 Architecture가 ADM17을 PRODUCT_ADM/EXTENSION_SAMPLE/MERGE/REMOVE로 확정 후 source/catalog/manual/test 동시 정리,ARCH_DECISION,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-002,P0,Runtime/Release,GitHub Release Workflow ADM frontend URL preflight 변수명 불일치,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,workflow env는 CPF_FRONTEND_URL을 설정하지만 preflight는 CPF_ADM_FRONTEND_URL을 요구,변수명 단일화 후 workflow_dispatch/push exact-SHA SUCCESS,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-003,P0,BZA/Frontend/Consumer,Retired HTTP 410 Approval GET가 route metadata/workbench real consumer로 노출됨,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,approvalInbox expectedOperationIds에 retired GET list/detail 포함; backend는 410; GET workbench가 consumer로 계산,retired GET 제거/명시적 retirement UX; gate가 410 metadata를 consumer로 세지 않게 수정,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-004,P0,Approval/Recovery,UNKNOWN-producing Approval Owner ports 다수가 observation reconcile을 구현하지 않음,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,SPI default reconcile=UNKNOWN/UNSUPPORTED; BAT/Gateway/Broker/CenterCut 등 execute는 UNKNOWN 가능하지만 override 없음,각 Owner의 idempotent observation reconcile + process kill/response loss test,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-005,P0,ADM/Recovery,RecoveryCenter가 canonical Reliability mutation의 permission/CAS 계약을 약화한 중복 Consumer,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,RecoveryCenter replay/resolve가 button grant와 expectedVersion 없이 호출; ErrorWorkbench는 둘 다 강제,RecoveryCenter 제거/통합 또는 동일 canonical command DTO/permission/version 적용,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-006,P0,Core/Logging,CPF-LOGFAIL canonical durable spool/retry/dedup/loss recovery owner 부재,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,CpfFileLogWriter write failure는 counter+warn+false만 수행; inspected current source에서 durable spool/retransmit/dedup owner를 찾지 못함,LOGFAIL owner 구현 + disk-full/permission/read-only/process-kill/restart tests + ADM alert/recovery,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-007,P1,ADM/Frontend/Security,여러 HIGH/CRITICAL ADM 전용 화면의 action-level UI permission projection 불일치,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,Secrets/FeatureFlags/OpenAPI/Resilience/Operators 일부/FileJobs direct controls가 exact button grant 없이 노출,전용 action별 hasButton/canAction 통일 + direct URL/API browser role matrix,Y,2026-08-07T20:49:00+09:00,QA-B
QA-B-R6J-NEW-008,P1,BZA/Frontend/Security,BZA Approval 계열 mutation 버튼이 menu 진입 권한만 의존하고 action-level permission projection 누락,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,Inbox/Submissions/Policies/Delegations 등 mutation controls가 hasBzaPermission action gate 없이 노출,approval action manifest/gating 통일 + unauthorized browser/API tests,Y,2026-08-07T20:49:00+09:00,QA-B
