index,route_id,path,risk_level,component_or_shared_owner,source_open_mode,route_auth_guard,generic_workbench,static_verdict,runtime_browser_verdict,QA_closure,linked_finding,review_notes,exact_sha
27,batch-instances,/batch-instances,MEDIUM,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
28,batch-scheduler,/batch-scheduler,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
29,batch-worker-pools,/batch-worker-pools,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
30,batch-center-cut,/batch-center-cut,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
31,batch-agents,/batch-agents,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
32,batch-job-packs,/batch-job-packs,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
33,batch-executions,/batch-executions,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
34,batch-deployment,/batch-deployment,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
35,batch-recovery,/batch-recovery,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
36,batch-leases,/batch-leases,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
37,batch-alerts,/batch-alerts,MEDIUM,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
38,batch-audit,/batch-audit,MEDIUM,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
39,workers,/workers,MEDIUM,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
40,downloads,/downloads,MEDIUM,cpf-admin/frontend/src/features/downloads/DownloadsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
41,file-jobs,/file-jobs,HIGH,cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-007,one or more high-risk direct controls lack exact action-level UI permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
42,messages,/messages,MEDIUM,cpf-admin/frontend/src/features/messages/MessagesPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
43,codes,/codes,MEDIUM,cpf-admin/frontend/src/features/codes/CodesPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
44,gateway-dashboard,/gateway-dashboard,MEDIUM,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
45,gateway-servers,/gateway-servers,HIGH,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
46,gateway-groups,/gateway-groups,HIGH,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
47,gateway-routes,/gateway-routes,HIGH,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
48,gateway-security,/gateway-security,HIGH,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
49,gateway-health,/gateway-health,MEDIUM,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
50,gateway-transactions,/gateway-transactions,MEDIUM,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
51,gateway-log-policies,/gateway-log-policies,MEDIUM,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
52,gateway-apply-status,/gateway-apply-status,MEDIUM,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; high-risk Owner UNKNOWN path requires reconcile review,3ed676061246c9db3e44f29e254c0393ecca3929
53,permissions,/permissions,MEDIUM,cpf-admin/frontend/src/features/permissions/PermissionsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
54,password,/password,HIGH,cpf-admin/frontend/src/features/password/PasswordPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
55,security,/security,HIGH,cpf-admin/frontend/src/features/security/SecurityPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
56,operators,/operators,HIGH,cpf-admin/frontend/src/features/operators/OperatorsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-007,one or more high-risk direct controls lack exact action-level UI permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
57,secrets,/secrets,HIGH,cpf-admin/frontend/src/features/secrets/SecretsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-007,one or more high-risk direct controls lack exact action-level UI permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
58,approvals,/approvals,HIGH,cpf-admin/frontend/src/features/approvals/ApprovalsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,"route registry + component/shared owner + session/router/workbench contract inspected; Approval page action permission good, backend owner reconcile issue remains",3ed676061246c9db3e44f29e254c0393ecca3929
59,breakGlass,/breakGlass,HIGH,cpf-admin/frontend/src/features/break-glass/BreakGlassPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
60,featureFlags,/featureFlags,CRITICAL,cpf-admin/frontend/src/features/feature-flags/FeatureFlagsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-007,one or more high-risk direct controls lack exact action-level UI permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
61,integrationClosure,/integrationClosure,CRITICAL,cpf-admin/frontend/src/features/integration-closure/IntegrationClosurePage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
62,openApiOperations,/openApiOperations,HIGH,cpf-admin/frontend/src/features/openapi-operations/OpenApiOperationsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-007,one or more high-risk direct controls lack exact action-level UI permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
63,resiliencePolicies,/resiliencePolicies,CRITICAL,cpf-admin/frontend/src/features/resilience-policies/ResiliencePoliciesPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-007,one or more high-risk direct controls lack exact action-level UI permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
