requirement_id,source_type,priority,area,QA_B_검수여부,QA_B_검수회차,QA_B_검사내용,QA_B_검수결과,QA_B_미통과사유,development_status,verification_status,baseline_sha,evidence_path,open_issue,next_action,updated_at,updated_by
AB-R6-011,QA_FINDING,P1,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,release lifecycle/parity scripts improved; current runtime source-of-truth execution absent,미통과,BACKEND_RUNTIME OpenAPI lifecycle PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-011,BACKEND_RUNTIME OpenAPI lifecycle PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-012,QA_FINDING,P1,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,consumer verifier demands generated direct calls for high-risk mutations; full current closure not executed,미통과,full 332-operation runtime OpenAPI consumer closure,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-012,full 332-operation runtime OpenAPI consumer closure,2026-08-07T20:49:00+09:00,QA-B
AB-R6-013,QA_FINDING,P0,Management/Quality,완료,R6J-DEEP-REAUDIT,BZA approvalInbox registry exposes retired 410 GET through generic workbench; RecoveryCenter stale duplicate consumer,미통과,remove retired 410 ops from route consumer metadata and close duplicate stale consumers,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-013,remove retired 410 ops from route consumer metadata and close duplicate stale consumers,2026-08-07T20:49:00+09:00,QA-B
AB-R6-014,QA_FINDING,P0,Management/Quality,완료,R6J-DEEP-REAUDIT,behavior checker source has semantic mutation checks but current gate proof is absent and static token mutation is not target runtime behavior,미통과,execute real mutation/failure behavior against product runtime and retain exact evidence,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-014,execute real mutation/failure behavior against product runtime and retain exact evidence,2026-08-07T20:49:00+09:00,QA-B
AB-R6-015,QA_FINDING,P1,Runtime/Release,완료,R6J-DEEP-REAUDIT,DB3 runner now clears child env and sends connection JSON via stdin; live DB3 not executed,미통과,3-vendor live runner process behavior PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-015,3-vendor live runner process behavior PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-016,QA_FINDING,P0,BZA/Frontend,완료,R6J-DEEP-REAUDIT,BZA workbench resolves canonical bzaPermissionManifest and GET-only permission,통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source independently verified,2026-08-07T20:49:00+09:00,QA-B
AB-R6-017,QA_FINDING,P0,BZA/Frontend,완료,R6J-DEEP-REAUDIT,release workflow source exists but preflight env bug NEW-002 blocks run; no browser artifact,미통과,fix NEW-002 + real BZA 3-browser release PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-017,fix NEW-002 + real BZA 3-browser release PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-018,QA_FINDING,P2,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,Integration Closure documents localStorage pending/confirmed TTL and implementation source exists; runtime evidence absent,미통과,browser TTL/reload/response-loss runtime PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-018,browser TTL/reload/response-loss runtime PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-019,QA_FINDING,P0,Approval/Security,완료,R6J-DEEP-REAUDIT,"Owner ports implement supports(ownerModule,ownerCommand,actionType,targetType) exact tuples",통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source independently verified,2026-08-07T20:49:00+09:00,QA-B
AB-R6-020,QA_FINDING,P0,Approval/Security,완료,R6J-DEEP-REAUDIT,"lease sweeper converts stale RUNNING to UNKNOWN, but many Owner ports inherit reconcile=UNSUPPORTED and cannot close UNKNOWN",미통과,implement observation-only reconcile for all UNKNOWN-producing owner ports + process-kill test,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-020,implement observation-only reconcile for all UNKNOWN-producing owner ports + process-kill test,2026-08-07T20:49:00+09:00,QA-B
AB-R6-021,QA_FINDING,P0,Approval/Security,완료,R6J-DEEP-REAUDIT,ADM-owned correction gateway verifyAndConsume before provider mutation,통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source independently verified,2026-08-07T20:49:00+09:00,QA-B
AB-R6-022,QA_FINDING,P0,Approval/Security,완료,R6J-DEEP-REAUDIT,TTL + durable JDBC nonce + atomic consume source verified; multi-instance DB runtime absent,미통과,DB3 + concurrent multi-instance single-use PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-022,DB3 + concurrent multi-instance single-use PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-023,QA_FINDING,P0,Approval/Security,완료,R6J-DEEP-REAUDIT,prod/stg profile guard rejects raw secret and requires secret-ref provider; runtime absent,미통과,prod/stg startup negative/positive tests,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-023,prod/stg startup negative/positive tests,2026-08-07T20:49:00+09:00,QA-B
AB-R6-024,QA_FINDING,P1,Approval/Security,완료,R6J-DEEP-REAUDIT,Oracle/PostgreSQL/MariaDB V105+R105 triggers/locks verified; live DB absent,미통과,3-vendor direct SQL overlap/update/delete + rollback/reapply PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-024,3-vendor direct SQL overlap/update/delete + rollback/reapply PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-025,QA_FINDING,P0,Runtime/Release,완료,R6J-DEEP-REAUDIT,"service attempts UNKNOWN finalization, but generic Owner reconcile unsupported for many owners",미통과,durable post-owner outcome + owner observation reconcile + DB outage test,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-025,durable post-owner outcome + owner observation reconcile + DB outage test,2026-08-07T20:49:00+09:00,QA-B
AB-R6-026,QA_FINDING,P1,Management/Quality,완료,R6J-DEEP-REAUDIT,source configured fail-closed remote selection reviewed previously; current multiprocess absent,미통과,remote multi-instance wrong/missing endpoint negative PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-026,remote multi-instance wrong/missing endpoint negative PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-027,QA_FINDING,P1,Management/Quality,완료,R6J-DEEP-REAUDIT,JDBC DQ provider/ledger source added; live DB/process kill absent,미통과,2-instance JDBC DQ replay/process-kill PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-027,2-instance JDBC DQ replay/process-kill PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-028,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,EDU-ADM 17/17 current handlers declare CPF_REFERENCE_PLATFORM_OPERATOR while canonical QA37 role is CPF_ADM_OPERATOR,미통과,fix/reclassify entire ADM family after architecture decision; QA37 --compile must pass,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-028,fix/reclassify entire ADM family after architecture decision; QA37 --compile must pass,2026-08-07T20:49:00+09:00,QA-B
AB-R6-029,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,QA37 source checks 5 tests/consumer binding but no current runtime evidence; ADM family also architecture-conflicted,미통과,architecture classification + actual consumer runtime per retained EDU,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-029,architecture classification + actual consumer runtime per retained EDU,2026-08-07T20:49:00+09:00,QA-B
AB-R6-030,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,17 handlers are REF generic ledger handlers; canonical says product ADM internals must not be duplicated into EDU,미통과,architecture decision and product/extension reclassification,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-030,architecture decision and product/extension reclassification,2026-08-07T20:49:00+09:00,QA-B
AB-R6-031,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,individual ADM handler readOnly values inspected but family canonical role/architecture mismatch blocks closure,미통과,catalog/handler exact parity after classification,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-031,catalog/handler exact parity after classification,2026-08-07T20:49:00+09:00,QA-B
AB-R6-032,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,handler performs payload-field checks rather than actual ADM Approval Engine product integration,미통과,reclassify or bind to public extension/integration contract; real approval runtime test,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-032,reclassify or bind to public extension/integration contract; real approval runtime test,2026-08-07T20:49:00+09:00,QA-B
AB-R6-033,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,current handler trusts payload permission string containing RAW to expose unmasked data,미통과,remove client-supplied authorization semantics; bind server authority; browser role matrix,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-033,remove client-supplied authorization semantics; bind server authority; browser role matrix,2026-08-07T20:49:00+09:00,QA-B
AB-R6-034,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,version conflict semantics improved in source; no browser/runtime evidence,미통과,actual concurrent/version/browser conflict PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-034,actual concurrent/version/browser conflict PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-035,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,target list/failed subset/result file semantics now explicit; architecture/runtime remain open,미통과,retained EDU actual target runtime + partial failure/reprocess PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-035,retained EDU actual target runtime + partial failure/reprocess PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-036,QA_FINDING,P1,EDU/Sample,완료,R6J-DEEP-REAUDIT,current handler models LKG/rollback via request payload flags/generic ledger instead of real product config owner,미통과,reclassify or bind public configuration extension with actual rollback runtime,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-036,reclassify or bind public configuration extension with actual rollback runtime,2026-08-07T20:49:00+09:00,QA-B
AB-R6-037,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,incident/evidence/topology/correlation/notification/session handlers remain generic REF ledger simulations,미통과,architecture reclassify; retained extensions must use actual public contracts,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-037,architecture reclassify; retained extensions must use actual public contracts,2026-08-07T20:49:00+09:00,QA-B
AB-R6-038,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,"QA37 source now compares role/readOnly/etc, but current ADM17 mismatch means current --compile should fail; claimed PASS log absent",미통과,fix source then run QA37 --compile at exact SHA and commit evidence,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-038,fix source then run QA37 --compile at exact SHA and commit evidence,2026-08-07T20:49:00+09:00,QA-B
AB-R6-039,QA_FINDING,P0,EDU/Sample,완료,R6J-DEEP-REAUDIT,no current exact-SHA target runtime evidence committed,미통과,retained EDU target runtime evidence per family/topology,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-039,retained EDU target runtime evidence per family/topology,2026-08-07T20:49:00+09:00,QA-B
AB-R6-040,QA_FINDING,P0,Runtime/Release,완료,R6J-DEEP-REAUDIT,Codex/current release runtime absent,미통과,Codex independent review + mandatory release qualification,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-040,Codex independent review + mandatory release qualification,2026-08-07T20:49:00+09:00,QA-B
FDEV-001,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-001,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-002,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-002,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-003,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-003,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-004,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-004,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-005,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-005,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-006,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-006,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-007,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-007,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-008,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-008,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-009,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-009,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-010,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-010,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-011,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-011,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-012,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-012,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-013,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-013,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-014,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-014,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-015,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-015,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-016,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-016,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-017,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-017,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
