function_point_id,work_item_id,canonical_requirement_id,axis,axis_title,requirement_count,scenario_count,development_status,verification_status,overall_status,evidence_path,remaining_runtime_gap
FP-6E-015,CPF-WP-DB-FRESH-06-GENERATION_COMPATIBILITY,DB-FRESH,GENERATION_COMPATIBILITY,생성·Artifact·호환성,9,9,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-016,CPF-WP-DB-MIGRATION-01-CONTRACT_OWNERSHIP,DB-MIGRATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-017,CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,DB-MIGRATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,7,18,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-018,CPF-WP-DB-MIGRATION-03-VERIFICATION_EVIDENCE,DB-MIGRATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,8,8,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-019,CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY,DB-MIGRATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,11,11,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-020,CPF-WP-DB-MIGRATION-05-DATA_MIGRATION,DB-MIGRATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,6,6,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-021,CPF-WP-DB-MIGRATION-06-GENERATION_COMPATIBILITY,DB-MIGRATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,9,9,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-022,CPF-WP-DB-ROLLBACK-01-CONTRACT_OWNERSHIP,DB-ROLLBACK,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-023,CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,DB-ROLLBACK,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,7,18,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-024,CPF-WP-DB-ROLLBACK-03-VERIFICATION_EVIDENCE,DB-ROLLBACK,VERIFICATION_EVIDENCE,검증·Evidence·추적성,8,8,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-025,CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY,DB-ROLLBACK,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,11,11,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-026,CPF-WP-DB-ROLLBACK-05-DATA_MIGRATION,DB-ROLLBACK,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,15,15,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-027,CPF-WP-DB-BACKUP-01-CONTRACT_OWNERSHIP,DB-BACKUP,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-028,CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,DB-BACKUP,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,7,18,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-029,CPF-WP-DB-BACKUP-03-VERIFICATION_EVIDENCE,DB-BACKUP,VERIFICATION_EVIDENCE,검증·Evidence·추적성,8,8,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-030,CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY,DB-BACKUP,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,11,11,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-031,CPF-WP-DB-BACKUP-05-DATA_MIGRATION,DB-BACKUP,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,15,15,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-032,CPF-WP-DB-MULTI-VENDOR-01-CONTRACT_OWNERSHIP,DB-MULTI-VENDOR,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-033,CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,DB-MULTI-VENDOR,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,7,18,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-034,CPF-WP-DB-MULTI-VENDOR-03-VERIFICATION_EVIDENCE,DB-MULTI-VENDOR,VERIFICATION_EVIDENCE,검증·Evidence·추적성,8,8,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-035,CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY,DB-MULTI-VENDOR,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,11,11,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-036,CPF-WP-DB-MULTI-VENDOR-05-DATA_MIGRATION,DB-MULTI-VENDOR,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,15,15,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-037,CPF-WP-DB-SQL-01-CONTRACT_OWNERSHIP,DB-SQL,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-038,CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,DB-SQL,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,18,29,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-039,CPF-WP-DB-SQL-03-VERIFICATION_EVIDENCE,DB-SQL,VERIFICATION_EVIDENCE,검증·Evidence·추적성,144,263,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-040,CPF-WP-DB-SQL-04-DATA_MIGRATION,DB-SQL,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,15,15,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-041,CPF-WP-DB-PERF-01-CONTRACT_OWNERSHIP,DB-PERF,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
