path,change_type,baseline_sha256,result_sha256,description,owner
cpf-tools/db/generated/cpf-db-operations.openapi.json,ADD,,b00a60159926b067fcb0a8a328561fc8e07e0f5e9c8c06271067fe2cdab41c24,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/db/sample/operability/db-operation-negative-unknown-without-reconcile.json,ADD,,89f5fec552e15551b222c02cfbc9b77d36ca94fe53fc1ccab2aadbbd7dab3f73,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/db/sample/operability/db-operation-positive.json,ADD,,62972fc8186c3ffe1e5091ba8336874a00ff7ba9d9d677e0488fa2f1af8a75d7,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/scripts/backup-cpf-database.ps1,MODIFY,a1b9a57253fc2e7789538bc9b7724589396dabd2fd13ff1c1993b0eb3d845004,94453a87dd426e5d73be8dec69971e7ab32d10b84370498b63a39b84404e7e9e,"Three-vendor encrypted backup consumer, atomic artifact/manifest and audit failure handling.",DEVGPT-6E
cpf-tools/scripts/cpf-backup-crypto.py,ADD,,719b48be87b514495ff59a616819a93b72fbe76ef592f2fdd428e5dcb2fb8ee8,Chunked AES-256-GCM backup encryption/decryption helper.,DEVGPT-6E
cpf-tools/scripts/cpf-backup-lifecycle-common.ps1,ADD,,82795775c9f14c2dc596a641576cf93387ddcb06ff1c1d775eec1ab39b8c2a12,"Shared backup manifest, audit and validation helpers.",DEVGPT-6E
cpf-tools/scripts/generate-cpf-data-retention-sql.py,ADD,,2f2026323d3759bbcaf8c6f67df1d8b58ba1c4b3e5125ede58dbd971b80b446c,Canonical explicit-column archive/purge SQL generator for three vendors.,DEVGPT-6E
cpf-tools/scripts/generate-cpf-db-operations-openapi.py,ADD,,17b48e997be253d86e5e13ebc39e4c285c9d56f6cf5a3f8a7f9e4948d61161e2,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/scripts/generate-cpf-test-data-pack.py,ADD,,c5f80d60def7bfefc8b19a851967800dfc326169929261a5a268839f548d814d,Canonical deterministic masking and synthetic dataset generator.,DEVGPT-6E
cpf-tools/scripts/invoke-cpf-backup-retention.ps1,ADD,,a7eae20a4f25648f9cca717c27a56fc102c4610e3f261eba4244adf2030b3baf,Legal-hold/replica-aware reviewed purge with quarantine and UNKNOWN recovery.,DEVGPT-6E
cpf-tools/scripts/invoke-cpf-data-observability-gate.ps1,ADD,,07b373e93009ba67b7f07d2d27fd6963a861a8b3b24145903c1919cb19e5833e,Reviewed lineage/quality/reconciliation evidence execution consumer.,DEVGPT-6E
cpf-tools/scripts/invoke-cpf-data-retention.ps1,ADD,,d82cf1d869cae4040d1ae95764c6451c37f0efe625d31f456ce0801c166f385d,Reviewed archive-before-purge execution consumer.,DEVGPT-6E
cpf-tools/scripts/invoke-cpf-datasource-runtime-gate.ps1,ADD,,37dd01e95c338a2ed0034858491cc8a01f877f75dad4ede72e9e879044158314,Reviewed multi-datasource runtime evidence execution consumer.,DEVGPT-6E
cpf-tools/scripts/invoke-cpf-db-operability-gate.ps1,ADD,,2aeecef742b999e0c745f656ad3f475a7e83692dd605f114faaa54b71d26a069,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/scripts/invoke-cpf-db-performance-gate.ps1,ADD,,bdde39fecdde1ca614e3e0ec855799d76ad768c7a676c4294b4ed46546633fdf,Runtime performance evidence consumer and approval gate.,DEVGPT-6E
cpf-tools/scripts/invoke-cpf-pitr-restore.ps1,ADD,,8b7d42e2c456272f9d8cdc24d3defea47ada383da2f02869658bfd6693c4b794,"MariaDB binlog, PostgreSQL WAL and Oracle RMAN PITR consumer.",DEVGPT-6E
cpf-tools/scripts/invoke-official-db-vendor-sql.ps1,MODIFY,bbe9cbed14385001d83764afe9ab74f845c7f8177641d736d144455b70cc7366,a7b91ea25f5fcd8d1fcf2d0730ffd1bdd2c5b75b8ba6ee3f79b13870943b5df4,Oracle SQLPlus secret transport and output masking hardened.,DEVGPT-6E
cpf-tools/scripts/invoke-platform-database-migration.ps1,MODIFY,df94c9366a8291c61785795cbfa84e296840341d543be80f5f2491d4ead12a57,87dd50c4e6acbb67ba6a3fbe553d468a45104e1686bc03ce61d0ca6b36e4b894,"Encrypted checkpoint, reviewed plan/approval and partial failure UNKNOWN contract.",DEVGPT-6E
cpf-tools/scripts/normalize-cpf-db-operation-evidence.py,ADD,,01245b5099fc9a552a18629c8faf1b0d801db0ab0f3613f7d1637f616bd822de,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/scripts/prepare-cpf-test-data.ps1,ADD,,f0c61bcbaf3b32c1fe00ba15986d91a60cebf2531ce7b9812c28e378cba81014,Non-production masking/synthetic data execution wrapper.,DEVGPT-6E
cpf-tools/scripts/replicate-cpf-backup-artifact.ps1,ADD,,9724d4929a91f50761af0c6eff7b25f303475146a21bfbced6535fccb40768f2,Cross-region artifact+manifest replication and hash verification.,DEVGPT-6E
cpf-tools/scripts/restore-cpf-database.ps1,MODIFY,8c28c7ca1567927a702a6dde419f04878176e61512eeab5d7d74f263cd4fad07,274c57974a325e35c328c2c463b2ea232e9a490e88964a8635242ca17bbd8e75,"Three-vendor restore, approval separation, hash/vendor/database guards and UNKNOWN reconciliation.",DEVGPT-6E
cpf-tools/scripts/set-cpf-backup-legal-hold.ps1,ADD,,7881e87f8fae29e462460e03265236d800b2a8ea3228fca9494dfcf958acc04d,Audited legal-hold state transition consumer.,DEVGPT-6E
cpf-tools/scripts/simulate-cpf-migration-lifecycle.py,ADD,,d2a4cdb4f5db0144dd1b4aa0082df0a44fb596b1f1200c2e7691345274dd2903,Migration/reapply/partial-failure state model simulator.,DEVGPT-6E
cpf-tools/scripts/tests/test_backup_lifecycle_contract.py,ADD,,c21e937d6633404dc2721da33ccb4a79481533cbfc177dd381b168b3e70f0314,"Backup lifecycle, official vendors, restore and retention.",DEVGPT-6E
cpf-tools/scripts/tests/test_backup_operational_safety.py,ADD,,6cba87a120430d7faf6e088df0d12495de88a04c3dc325bfafb2558a5399b252,"Failure cleanup, side-effect UNKNOWN and reviewed purge.",DEVGPT-6E
cpf-tools/scripts/tests/test_backup_replica_contract.py,ADD,,4abeb7da190dfa3332d1ac7fa8eff160c4db8dc0f9e019fa7828cc114863fb24,Cross-region replica and purge fail-closed contract.,DEVGPT-6E
cpf-tools/scripts/tests/test_cpf_backup_crypto.py,ADD,,831dd1074948ea9252d4e34cc78b0fdaf0784e2b47b49dde1b763e156a69010f,"Encryption integrity, corruption and wrong-key negative tests.",DEVGPT-6E
cpf-tools/scripts/tests/test_data_observability_contract.py,ADD,,163671b9fb2390a04255e41b8976f81408668d17e1983be898c88fbfe9185cde,Positive and negative lineage/quality/reconciliation contract tests.,DEVGPT-6E
cpf-tools/scripts/tests/test_data_retention_contract.py,ADD,,2b4e45ca413e003832aaaab1d6a2d7bfbf19e87a446bf2e9493be665ad4b86c9,"Archive column parity, legal hold and purge safety.",DEVGPT-6E
cpf-tools/scripts/tests/test_datasource_runtime_contract.py,ADD,,7fe9fbc940af78af9b9ce7e82d320d4108f924685743938a65a8bb689cd550b2,Positive and negative datasource routing/lag/retry/transaction/capacity tests.,DEVGPT-6E
cpf-tools/scripts/tests/test_db_development_static_contract.py,ADD,,6e45a776ea599676b757be9037d16ff6bec7cf83d739d37d4a9d515bc8f36a0b,Integrated contract path/stage/consumer closure.,DEVGPT-6E
cpf-tools/scripts/tests/test_db_operability_contract.py,ADD,,7fe16c2e69222ba034c5ad63f6b91e930d83b123a87138fc058aeead1f9cb0d1,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/scripts/tests/test_db_performance_contract.py,ADD,,c44d0067c0818ea4d98cb051d138d88cd6eff47ceec620a40bc420780459d12e,Representative scale and evidence gate.,DEVGPT-6E
cpf-tools/scripts/tests/test_db_schema_governance.py,ADD,,4285f51f24538b719048b1bdab2972fca9c7ef4b7d38e58eca0ce3366c929b48,Owner/logical DB/key/index/FK governance.,DEVGPT-6E
cpf-tools/scripts/tests/test_dr_restore_vendor_contract.py,ADD,,03482ccb33f39d9ee99eb3b39c687f8699ee15ebe664121f32852c53abd23520,Three-vendor DR restore contract.,DEVGPT-6E
cpf-tools/scripts/tests/test_migration_lifecycle_simulator.py,ADD,,5a8f7923086494902fb50f03c9c2bd9191cf69722c62a6ac7c5783215545ee64,Migration simulator transitions and recovery.,DEVGPT-6E
cpf-tools/scripts/tests/test_migration_lifecycle_state_model.py,ADD,,7d142226998e0e27e01a8f147e9663ad3b63aeebe1f98224e5f0c1a56b737077,Partial/UNKNOWN/reapply state contract.,DEVGPT-6E
cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py,MODIFY,524c77948d0fd6b5f25bc472eb284b61370adc8c21df7dcef3524529cc674bf2,ec88a1d9359bdf219b259a902b49365195750b47e736a7377372010ec91582d5,"Negative corpus expanded for argv, escaped SQL body and stdout/stderr masking.",DEVGPT-6E
cpf-tools/scripts/tests/test_pitr_lifecycle_contract.py,ADD,,8b42d2681d70da9123fd5d39a8773e1ddb17a84ae157042c01499fbf450c7614,Vendor-native PITR plan/execute safety.,DEVGPT-6E
cpf-tools/scripts/tests/test_platform_migration_safety_contract.py,ADD,,2a7c1c1da6ccf7c359b489e2d6e8e8395dabbea7cd99b34331ef763fa2c0cee3,Checkpoint/approval/secret/UNKNOWN migration gate.,DEVGPT-6E
cpf-tools/scripts/tests/test_seed_bundle_semantic_closure.py,ADD,,bfe8b0b2bf510c9b9d866d1f3db1de41b830a3eee80f132044e58b01b89d516b,Canonical statement count/order and byte parity.,DEVGPT-6E
cpf-tools/scripts/tests/test_seed_dialect_lint.py,ADD,,30a3646a926fcbda6873053075edd8b5e908c3b33d2f0a2338b3c7123c917f7a,Vendor dialect and idempotency negative corpus.,DEVGPT-6E
cpf-tools/scripts/tests/test_test_data_policy.py,ADD,,932e15beaa88cf9022b8faef75a291bf908e0dfdba4e45f1c2b8ebec92f7df66,Masking/synthetic/production prohibition.,DEVGPT-6E
cpf-tools/scripts/tests/test_vendor_lifecycle_orchestrator.py,ADD,,b0d91927d869b7d7911b00a83db989d736a58f47c9bef8a097a31346d5118422,Install-upgrade-rollback-reapply orchestrator contract.,DEVGPT-6E
cpf-tools/scripts/verify-cpf-data-observability-evidence.py,ADD,,d1b723764c9c5beea134513bd2d9581ec3bbe61ff22864a382c4990cf2cc73ba,"Fail-closed lineage, quality, reconciliation and UNKNOWN evidence verifier.",DEVGPT-6E
cpf-tools/scripts/verify-cpf-datasource-runtime-evidence.py,ADD,,0fea7671e7e0a150ecea87f0e5f9646e779c53724952f9d7ad5533d7c6e33ed1,"Fail-closed routing, lag, retry, transaction, pool, timeout and capacity verifier.",DEVGPT-6E
cpf-tools/scripts/verify-cpf-db-development-contract.py,ADD,,2d1b8acd5d5f61c033e644a22067ce637fb34509dc6a007ac24a4da032fabb2b,Integrated DB development static contract verifier.,DEVGPT-6E
cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py,MODIFY,2f75b0e3ab2ae07868926d65ce3e70ddb5a2063cb08dfe2491db91603895c03a,d18ca2278ecb4633171892aea3edd040b630881f35319809afa5ddcd553bc5f8,"Lifecycle verifier extended for security, recovery and performance stages.",DEVGPT-6E
cpf-tools/scripts/verify-cpf-db-performance-evidence.py,ADD,,0f1f1c28873abf0b3ab52951c1b8bda342fce4fbaf144a09b347145f9bd088c9,Performance evidence semantic/hash/secret verifier.,DEVGPT-6E
cpf-tools/scripts/verify-cpf-db-schema-governance.py,ADD,,25b90876534d4ca147e474ff4ddf99aca59fe26e34940e67bf5f96d4026f645f,201-table owner/logical DB/PK/UK/index/FK governance verifier.,DEVGPT-6E
cpf-tools/scripts/verify-cpf-seed-dialect.py,MODIFY,e900d0b1ee585e8d2f985b0c431d2b190e6b849a9b2cdac910c280247136a04b,bef11737146893a050d4e8eeb6b81336bb592e3b080be01c36ecd62abec7b39f,Replace quote-count dialect lint with comment/string-aware parser; accept valid MariaDB backslash-escaped quotes and fail closed on true unbalanced literals.,DEVGPT-6E
cpf-tools/scripts/verify-dr-restore.ps1,MODIFY,2aa2938f1504ecc852ee643171f8df8a0136a623bb0b223004702d5409e0a90e,8868972837dab5602ca57e138027a01493c424ccfca7157155668bb573af7025,"Three-vendor DR validation, audit/evidence and fail-closed verification.",DEVGPT-6E
