atomic_id,atomic_type,canonical_requirement_id,work_item_id,assertion_id,assertion_family,acceptance_verdict,evidence_path,evidence_sha256,development_status,verification_status
CPF-FR-002085,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002085-STATE,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002086,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002086-TRANSITION,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002087,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002087-COMMAND,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002088,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002088-QUERY,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002089,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002089-IDEMPOTENCY,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002090,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002090-CONCURRENCY,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002091,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002091-DEADLINE,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002092,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002092-RETRY,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002093,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002093-CIRCUIT,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002094,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002094-UNKNOWN,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002095,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002095-RECONCILE,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002096,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002096-RECOVERY,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002097,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002097-COMPENSATION,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002098,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002098-ROLLBACK,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002099,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002099-MULTI_INSTANCE,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002100,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002100-LOCAL_REMOTE,FAILURE_RECOVERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002101,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002101-MIXED_VERSION,GENERATION_COMPATIBILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002102,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002102-AUTHN,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002103,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002103-AUTHZ,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002104,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002104-DATA_SCOPE,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002105,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002105-MASKING,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002106,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002106-REASON,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002107,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002107-APPROVAL,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002108,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002108-AUDIT,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002109,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002109-LOG,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002110,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002110-METRIC,OPERATIONS_PERFORMANCE,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002111,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002111-TRACE,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002112,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002112-HEALTH,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002113,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002113-ALERT_RUNBOOK,SECURITY_AUDIT_OBSERVABILITY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002114,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002114-RESOURCE,OPERATIONS_PERFORMANCE,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002115,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002115-DB_OWNER,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002116,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002116-DB_SCHEMA,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002117,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002117-DB_QUERY,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002118,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002118-DB_MIGRATION,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002119,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002119-DB_ROLLBACK,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002120,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002120-DB_VENDOR,DATA_DB_QUERY,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
