path,phase,category,impact,deletion_reason,history_preservation,replacement,conflict_control,recommendation
cpf-docs/work/current/CPF_20260730_QA32_CODEX_REVIEW_READY.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_QA32_DEVELOPMENT_REMEDIATION_REQUEST.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_QA32_GPT_DEVELOPMENT_INSTRUCTION.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_QA32_PACKAGE_INDEX.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA32_NEXT_DEVELOPMENT_REQUIREMENTS.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA32_OSS_PRIMARY_ENGINE_AMENDMENT_PACKAGE_INDEX.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA32_OSS_PRIMARY_ENGINE_STEERING.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA33_DEVELOPMENT_AND_VERIFICATION_REQUEST.md,QA33,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA33_DEVELOPMENT_COMPLETION_REPORT.md,QA33,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA33_GPT_DEVELOPMENT_INSTRUCTION.md,QA33,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA33_PACKAGE_INDEX.md,QA33,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA33_POST_PUSH_REMEDIATION_REQUEST.md,QA33,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA34_CODEX_FINAL_INDEPENDENT_VERIFICATION_REQUEST.md,QA34,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA34_GPT_FINAL_DEVELOPMENT_COMPLETION_REPORT.md,QA34,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260731_QA34_INDEPENDENT_VERIFICATION_AND_REPAIR_REQUEST.md,QA34,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_01_DEVELOPMENT_COMPLETION_REPORT.md,GENERIC,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_02_WINDOWS_VALIDATION_REMEDIATION_REPORT.md,GENERIC,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_QA35_ADM_BENCHMARK_REVIEW_COMPLETION_REPORT.md,QA35,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_QA35_CODEX_FINAL_VERIFICATION_REQUEST.md,QA35,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_QA35_FINAL_COMPLETION_DEVELOPMENT_REQUEST.md,QA35,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_QA35_FINAL_PRODUCT_CLOSURE_REQUEST.md,QA35,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_QA36_GPT_PROJECT_WIDE_FINAL_INSTRUCTION.md,QA36,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260801_QA36_PROJECT_WIDE_FINAL_QA_REQUEST.md,QA36,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_CODEX_20260801_01_INDEPENDENT_VERIFICATION_REQUEST.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_CODEX_20260801_02_WINDOWS_VALIDATION_REMEDIATION_REQUEST.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_CODEX_20260801_03_INDEPENDENT_VERIFICATION_REQUEST.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_CODEX_FINAL_FULL_VALIDATION_AND_REMEDIATION_REQUEST_20260729.md,PRE_QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_CODEX_SELF_DEVELOPMENT_VERIFICATION_REQUEST.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_CURRENT_SELF_DEVELOPMENT_REQUEST.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_INTEGRATED_VERIFICATION_PLAN.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_NEXT_WORK_REQUEST.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_REMAINING_REQUIREMENT_MATRIX_20260728_02.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_SELF_DEVELOPMENT_EXECUTION_PROMPT.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_SELF_DEVELOPMENT_REQUIREMENTS.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
