canonical_requirement_id,aspect_or_capability,개발GPT_수행상태,개발GPT_자체검수상태,requirement_count
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Circuit Breaker Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Connection Pool,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,DR Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Data Purge Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Deployment Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Download Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,External Endpoint,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Feature Flag,완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,File Transfer Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Gateway Route,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Health Threshold,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,IP Allowlist,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Idempotency Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Log Level,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Log Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,MFA Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Maintenance Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Masking Rule,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Message Catalog,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Notification Rule,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Password Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Permission Manifest,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Rate Limit,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Reconciliation Policy,완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Response Code,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Retention Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Retry Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Routing Weight,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Runtime Group,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,SLO Threshold,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Schema Compatibility,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Secret Reference,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Service Registry Metadata,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Session Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Target Selector,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Tenant Capability,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Timeout Budget,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Trace Sampling,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Worker Concurrency,미완료,미완료,1
OPS-DRIFT,ADM_UI,미완료,미완료,1
OPS-DRIFT,ALERT_RUNBOOK,미완료,미완료,1
OPS-DRIFT,API_OPENAPI,미완료,미완료,1
OPS-DRIFT,APPROVAL,미완료,미완료,1
OPS-DRIFT,AUDIT,완료,완료,1
OPS-DRIFT,AUTHN,미완료,미완료,1
OPS-DRIFT,AUTHZ,미완료,미완료,1
OPS-DRIFT,BZA_UI,미완료,미완료,1
OPS-DRIFT,CIRCUIT,완료,완료,1
OPS-DRIFT,COMMAND,완료,완료,1
OPS-DRIFT,COMPENSATION,완료,완료,1
OPS-DRIFT,CONCURRENCY,완료,완료,1
OPS-DRIFT,CONFIG,완료,완료,1
OPS-DRIFT,CONSUMER,미완료,미완료,1
OPS-DRIFT,CONTRACT_TEST,완료,완료,1
OPS-DRIFT,DATA_SCOPE,미완료,미완료,1
OPS-DRIFT,DB_MIGRATION,완료,미완료,1
OPS-DRIFT,DB_OWNER,완료,완료,1
OPS-DRIFT,DB_QUERY,완료,완료,1
OPS-DRIFT,DB_ROLLBACK,미완료,미완료,1
OPS-DRIFT,DB_SCHEMA,완료,완료,1
OPS-DRIFT,DB_VENDOR,완료,미완료,1
OPS-DRIFT,DEADLINE,완료,완료,1
OPS-DRIFT,EVIDENCE,완료,완료,1
OPS-DRIFT,EXTENSION_SPI,완료,완료,1
OPS-DRIFT,FAULT_TEST,미완료,미완료,1
OPS-DRIFT,FRONTEND,미완료,미완료,1
OPS-DRIFT,GENERATOR,미완료,미완료,1
OPS-DRIFT,GUIDE,미완료,미완료,1
OPS-DRIFT,HEALTH,완료,완료,1
OPS-DRIFT,HYGIENE,완료,완료,1
OPS-DRIFT,IDEMPOTENCY,완료,완료,1
OPS-DRIFT,INPUT,완료,완료,1
OPS-DRIFT,INTEGRATION_TEST,미완료,미완료,1
OPS-DRIFT,INTERNAL_IMPL,완료,완료,1
OPS-DRIFT,JAVADOC,완료,미완료,1
OPS-DRIFT,LOCAL_REMOTE,완료,완료,1
OPS-DRIFT,LOG,완료,완료,1
OPS-DRIFT,MASKING,미완료,미완료,1
OPS-DRIFT,METRIC,미완료,미완료,1
OPS-DRIFT,MIXED_VERSION,완료,완료,1
OPS-DRIFT,MULTI_INSTANCE,완료,미완료,1
OPS-DRIFT,OUTPUT,완료,완료,1
OPS-DRIFT,OWNER,완료,완료,1
OPS-DRIFT,PUBLIC_API,완료,완료,1
OPS-DRIFT,PURPOSE,미완료,미완료,1
OPS-DRIFT,QUERY,완료,완료,1
OPS-DRIFT,REASON,완료,완료,1
OPS-DRIFT,RECONCILE,완료,완료,1
OPS-DRIFT,RECOVERY,완료,완료,1
OPS-DRIFT,RESOURCE,완료,완료,1
OPS-DRIFT,RETRY,완료,완료,1
OPS-DRIFT,ROLLBACK,완료,완료,1
OPS-DRIFT,RUNTIME_TEST,미완료,미완료,1
OPS-DRIFT,SAMPLE_EDU,미완료,미완료,1
OPS-DRIFT,STATE,완료,완료,1
OPS-DRIFT,TRACE,미완료,미완료,1
OPS-DRIFT,TRANSITION,완료,완료,1
OPS-DRIFT,UI,미완료,미완료,57
OPS-DRIFT,UNIT_TEST,완료,완료,1
OPS-DRIFT,UNKNOWN,완료,완료,1
OPS-DRIFT,VALIDATION,완료,완료,1
