scenario_id,linked_requirement_id,canonical_requirement_ids,priority,area,scenario_type,title,topology,environment,expected_result,failure_criteria,required_evidence,work_package_id,execution_phase_id,_part
CPF-SC-001547,CPF-FR-007809,OPS-CONFIG,P1,OPS,ROLLBACK,[OPS-CONFIG] Rollback/Forward Recovery,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,데이터 보존·actual 일치·audit,부분 rollback·drift,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001548,CPF-FR-007809,OPS-CONFIG,P1,OPS,SECURITY_LEAK,[OPS-CONFIG] 민감정보 누출,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001549,CPF-FR-007870,OPS-DRIFT,P1,OPS,POSITIVE,[OPS-DRIFT] 정상 수직 흐름,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001550,CPF-FR-007870,OPS-DRIFT,P1,OPS,INVALID,[OPS-DRIFT] 입력·경계 오류,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001551,CPF-FR-007870,OPS-DRIFT,P1,OPS,UNAUTHORIZED,[OPS-DRIFT] 미인증·권한 부족,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,Server 거부·Audit·민감정보 0,버튼만 숨김/default allow,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001552,CPF-FR-007870,OPS-DRIFT,P1,OPS,CONFLICT,[OPS-DRIFT] Version·Hash 충돌,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,409·기존 결과 보존·lost update 0,후행 요청 덮어씀,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001553,CPF-FR-007870,OPS-DRIFT,P1,OPS,DUPLICATE,[OPS-DRIFT] 중복 요청,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,"동일 replay, 다른 payload conflict",side effect 2회,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001554,CPF-FR-007870,OPS-DRIFT,P1,OPS,TIMEOUT_PRE,[OPS-DRIFT] Side effect 전 Timeout,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,retryable failure·side effect 0,UNKNOWN/성공 오인,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001555,CPF-FR-007870,OPS-DRIFT,P1,OPS,RESPONSE_LOSS,[OPS-DRIFT] Side effect 후 응답 유실,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,UNKNOWN·blind retry 금지·reconcile,자동 실패/무조건 retry,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001556,CPF-FR-007870,OPS-DRIFT,P1,OPS,PARTIAL,[OPS-DRIFT] 부분 실패,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,개별 성공/실패/unknown 보존,전체 성공/실패로 축약,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001557,CPF-FR-007870,OPS-DRIFT,P1,OPS,PROCESS_KILL,[OPS-DRIFT] Process Kill·Restart,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,lease 회수·stale fencing·복구,고아 상태·중복,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001558,CPF-FR-007870,OPS-DRIFT,P1,OPS,MULTI_INSTANCE,[OPS-DRIFT] 다중 Instance,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,version/state 일치·중복 0,local state 의존,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001559,CPF-FR-007870,OPS-DRIFT,P1,OPS,ROLLBACK,[OPS-DRIFT] Rollback/Forward Recovery,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,데이터 보존·actual 일치·audit,부분 rollback·drift,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001560,CPF-FR-007870,OPS-DRIFT,P1,OPS,SECURITY_LEAK,[OPS-DRIFT] 민감정보 누출,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-DRIFT,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007409,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,LOAD,[ADM / System/Artifact Version] 초기 Load·Route,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007410,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,DATA,[ADM / System/Artifact Version] 검색·Paging·상세,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007411,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,EMPTY,[ADM / System/Artifact Version] 빈 결과,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007412,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,ERROR,[ADM / System/Artifact Version] API 500/Timeout,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007413,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,FORBIDDEN,[ADM / System/Artifact Version] 403·직접 URL/API,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007414,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,CONFLICT,[ADM / System/Artifact Version] 409 expectedVersion,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007415,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,SESSION,[ADM / System/Artifact Version] Session 만료·권한 회수,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007416,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,PARTIAL,[ADM / System/Artifact Version] Partial/STALE,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007417,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,DEEP_LINK,[ADM / System/Artifact Version] Refresh·Back/Forward·Query,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007418,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,KEYBOARD,[ADM / System/Artifact Version] Keyboard·Focus·A11y,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007419,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,MASKING,[ADM / System/Artifact Version] PII Masking·Raw View,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007420,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,COMMAND,[ADM / System/Artifact Version] 위험 Command Preview·승인,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007421,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,UNKNOWN,[ADM / System/Artifact Version] 비동기 UNKNOWN·대사,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007422,CPF-FR-017033,OPS-DRIFT,P1,ADM_UI,PERFORMANCE,[ADM / System/Artifact Version] 대량 데이터·느린 네트워크,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-HOME,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007577,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,LOAD,[ADM / Target Snapshot Preview] 초기 Load·Route,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007578,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,DATA,[ADM / Target Snapshot Preview] 검색·Paging·상세,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007579,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,EMPTY,[ADM / Target Snapshot Preview] 빈 결과,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007580,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,ERROR,[ADM / Target Snapshot Preview] API 500/Timeout,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007581,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,FORBIDDEN,[ADM / Target Snapshot Preview] 403·직접 URL/API,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007582,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,CONFLICT,[ADM / Target Snapshot Preview] 409 expectedVersion,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007583,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,SESSION,[ADM / Target Snapshot Preview] Session 만료·권한 회수,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007584,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,PARTIAL,[ADM / Target Snapshot Preview] Partial/STALE,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007585,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,DEEP_LINK,[ADM / Target Snapshot Preview] Refresh·Back/Forward·Query,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007586,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,KEYBOARD,[ADM / Target Snapshot Preview] Keyboard·Focus·A11y,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007587,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,MASKING,[ADM / Target Snapshot Preview] PII Masking·Raw View,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007588,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,COMMAND,[ADM / Target Snapshot Preview] 위험 Command Preview·승인,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007589,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,UNKNOWN,[ADM / Target Snapshot Preview] 비동기 UNKNOWN·대사,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007590,CPF-FR-017269,OPS-CONFIG,P0,ADM_UI,PERFORMANCE,[ADM / Target Snapshot Preview] 대량 데이터·느린 네트워크,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-007647,CPF-FR-017378,OPS-CONFIG,P0,ADM_UI,LOAD,[ADM / Cache Evict·Refresh·Reconcile] 초기 Load·Route,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Playwright trace/screenshot/video·console/network·API/DB/audit·report hash,P09-ADM-UI-ONLINE,P09,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
