requirement_id,requirement_title,priority,owner_module,owner_package,source_documents,canonical_requirement_ids,actual_consumer,acceptance_criteria,verification_method,record_type,requirement_level,parent_requirement_id,work_package_id,execution_phase_id,overall_status,development_status,verification_status,_part
CPF-FR-007819,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 상태 Catalog 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,STATE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007820,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 상태 전이 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,TRANSITION Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007821,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 명령 실행 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,COMMAND Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007822,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 조회·검색 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,QUERY Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007823,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 멱등성 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,IDEMPOTENCY Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007824,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 동시성 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,CONCURRENCY Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007825,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Timeout Budget 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,DEADLINE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007826,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 재시도 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,RETRY Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007827,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Circuit·Bulkhead 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,CIRCUIT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007828,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 결과 불명 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,UNKNOWN Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P10-OPS-OPS-CONFIG,P10,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007829,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 대사 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,RECONCILE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007830,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 복구 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,RECOVERY Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P10-OPS-OPS-CONFIG,P10,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007831,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 보상 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,COMPENSATION Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007832,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Rollback·Forward Recovery 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,ROLLBACK Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007833,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 다중 인스턴스 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,MULTI_INSTANCE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P10-OPS-OPS-CONFIG,P10,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007834,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Local/Remote 동등성 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,LOCAL_REMOTE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007835,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 혼합 버전 호환 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,MIXED_VERSION Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007836,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 인증 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,AUTHN Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007837,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 권한 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,AUTHZ Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007838,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Data Scope 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,DATA_SCOPE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007839,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Masking·Privacy 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,MASKING Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007840,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 사유 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,REASON Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007841,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 승인 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,APPROVAL Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007842,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 감사 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,AUDIT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007843,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Log 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,LOG Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007844,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Metric 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,METRIC Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
