requirement_id,parent_requirement_id,capability_name,canonical_requirement_ids,catalog_delivery_support,actual_applier_status,actual_source,actual_consumer_call_path,single_group_all_target_acceptance,scenario_ids,evidence_ref,remaining_gap,development_status,verification_status
CPF-FR-021705,RTC-BATCH-SCHEDULE,Batch Schedule,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Batch Schedule가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010623;CPF-SC-010624;CPF-SC-010625;CPF-SC-010626;CPF-SC-010627;CPF-SC-010628;CPF-SC-010629;CPF-SC-010630;CPF-SC-010631;CPF-SC-010632,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021715,RTC-WORKER-CONCURRENCY,Worker Concurrency,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Worker Concurrency가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010633;CPF-SC-010634;CPF-SC-010635;CPF-SC-010636;CPF-SC-010637;CPF-SC-010638;CPF-SC-010639;CPF-SC-010640;CPF-SC-010641;CPF-SC-010642,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021725,RTC-RATE-LIMIT,Rate Limit,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Rate Limit가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010643;CPF-SC-010644;CPF-SC-010645;CPF-SC-010646;CPF-SC-010647;CPF-SC-010648;CPF-SC-010649;CPF-SC-010650;CPF-SC-010651;CPF-SC-010652,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021735,RTC-MASKING-RULE,Masking Rule,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Masking Rule가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010653;CPF-SC-010654;CPF-SC-010655;CPF-SC-010656;CPF-SC-010657;CPF-SC-010658;CPF-SC-010659;CPF-SC-010660;CPF-SC-010661;CPF-SC-010662,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021745,RTC-SECRET-REFERENCE,Secret Reference,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Secret Reference가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010663;CPF-SC-010664;CPF-SC-010665;CPF-SC-010666;CPF-SC-010667;CPF-SC-010668;CPF-SC-010669;CPF-SC-010670;CPF-SC-010671;CPF-SC-010672,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021755,RTC-BROKER-CONSUMER,Broker Consumer,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Broker Consumer가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010673;CPF-SC-010674;CPF-SC-010675;CPF-SC-010676;CPF-SC-010677;CPF-SC-010678;CPF-SC-010679;CPF-SC-010680;CPF-SC-010681;CPF-SC-010682,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021765,RTC-BROKER-RETRY-DLQ,Broker Retry/DLQ,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Broker Retry/DLQ가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010683;CPF-SC-010684;CPF-SC-010685;CPF-SC-010686;CPF-SC-010687;CPF-SC-010688;CPF-SC-010689;CPF-SC-010690;CPF-SC-010691;CPF-SC-010692,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021775,RTC-SCHEMA-COMPATIBILITY,Schema Compatibility,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Schema Compatibility가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010693;CPF-SC-010694;CPF-SC-010695;CPF-SC-010696;CPF-SC-010697;CPF-SC-010698;CPF-SC-010699;CPF-SC-010700;CPF-SC-010701;CPF-SC-010702,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021785,RTC-CACHE-POLICY,Cache Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Cache Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010703;CPF-SC-010704;CPF-SC-010705;CPF-SC-010706;CPF-SC-010707;CPF-SC-010708;CPF-SC-010709;CPF-SC-010710;CPF-SC-010711;CPF-SC-010712,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021795,RTC-CONNECTION-POOL,Connection Pool,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Connection Pool가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010713;CPF-SC-010714;CPF-SC-010715;CPF-SC-010716;CPF-SC-010717;CPF-SC-010718;CPF-SC-010719;CPF-SC-010720;CPF-SC-010721;CPF-SC-010722,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021805,RTC-SLO-THRESHOLD,SLO Threshold,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,SLO Threshold가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010723;CPF-SC-010724;CPF-SC-010725;CPF-SC-010726;CPF-SC-010727;CPF-SC-010728;CPF-SC-010729;CPF-SC-010730;CPF-SC-010731;CPF-SC-010732,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021815,RTC-ALERT-THRESHOLD,Alert Threshold,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Alert Threshold가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010733;CPF-SC-010734;CPF-SC-010735;CPF-SC-010736;CPF-SC-010737;CPF-SC-010738;CPF-SC-010739;CPF-SC-010740;CPF-SC-010741;CPF-SC-010742,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021825,RTC-TRACE-SAMPLING,Trace Sampling,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Trace Sampling가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010743;CPF-SC-010744;CPF-SC-010745;CPF-SC-010746;CPF-SC-010747;CPF-SC-010748;CPF-SC-010749;CPF-SC-010750;CPF-SC-010751;CPF-SC-010752,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021835,RTC-DOWNLOAD-POLICY,Download Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Download Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010753;CPF-SC-010754;CPF-SC-010755;CPF-SC-010756;CPF-SC-010757;CPF-SC-010758;CPF-SC-010759;CPF-SC-010760;CPF-SC-010761;CPF-SC-010762,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021845,RTC-API-CLIENT-POLICY,API Client Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,API Client Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010763;CPF-SC-010764;CPF-SC-010765;CPF-SC-010766;CPF-SC-010767;CPF-SC-010768;CPF-SC-010769;CPF-SC-010770;CPF-SC-010771;CPF-SC-010772,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021855,RTC-MAINTENANCE-POLICY,Maintenance Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Maintenance Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010773;CPF-SC-010774;CPF-SC-010775;CPF-SC-010776;CPF-SC-010777;CPF-SC-010778;CPF-SC-010779;CPF-SC-010780;CPF-SC-010781;CPF-SC-010782,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021865,RTC-HEALTH-THRESHOLD,Health Threshold,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Health Threshold가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010783;CPF-SC-010784;CPF-SC-010785;CPF-SC-010786;CPF-SC-010787;CPF-SC-010788;CPF-SC-010789;CPF-SC-010790;CPF-SC-010791;CPF-SC-010792,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021875,RTC-CERTIFICATE-ACTIVATION,Certificate Activation,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Certificate Activation가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010793;CPF-SC-010794;CPF-SC-010795;CPF-SC-010796;CPF-SC-010797;CPF-SC-010798;CPF-SC-010799;CPF-SC-010800;CPF-SC-010801;CPF-SC-010802,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021885,RTC-NOTIFICATION-RULE,Notification Rule,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Notification Rule가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010803;CPF-SC-010804;CPF-SC-010805;CPF-SC-010806;CPF-SC-010807;CPF-SC-010808;CPF-SC-010809;CPF-SC-010810;CPF-SC-010811;CPF-SC-010812,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021895,RTC-EXTERNAL-ENDPOINT,External Endpoint,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,External Endpoint가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010813;CPF-SC-010814;CPF-SC-010815;CPF-SC-010816;CPF-SC-010817;CPF-SC-010818;CPF-SC-010819;CPF-SC-010820;CPF-SC-010821;CPF-SC-010822,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021905,RTC-CIRCUIT-BREAKER-POLICY,Circuit Breaker Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Circuit Breaker Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010823;CPF-SC-010824;CPF-SC-010825;CPF-SC-010826;CPF-SC-010827;CPF-SC-010828;CPF-SC-010829;CPF-SC-010830;CPF-SC-010831;CPF-SC-010832,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021915,RTC-TIMEOUT-BUDGET,Timeout Budget,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Timeout Budget가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010833;CPF-SC-010834;CPF-SC-010835;CPF-SC-010836;CPF-SC-010837;CPF-SC-010838;CPF-SC-010839;CPF-SC-010840;CPF-SC-010841;CPF-SC-010842,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021925,RTC-RETRY-POLICY,Retry Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Retry Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010843;CPF-SC-010844;CPF-SC-010845;CPF-SC-010846;CPF-SC-010847;CPF-SC-010848;CPF-SC-010849;CPF-SC-010850;CPF-SC-010851;CPF-SC-010852,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021935,RTC-BULKHEAD,Bulkhead,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Bulkhead가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010853;CPF-SC-010854;CPF-SC-010855;CPF-SC-010856;CPF-SC-010857;CPF-SC-010858;CPF-SC-010859;CPF-SC-010860;CPF-SC-010861;CPF-SC-010862,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
