scenario_id,linked_requirement_id,canonical_requirement_id,scenario_type,title,topology,environment,acceptance_expected_result,failure_criteria,test_method,assertion,execution_command,exit_code_actual_result,evidence_path,개발GPT_자체검수상태,remaining_runtime_difference,primary_work_item_id
CPF-SC-001547,CPF-FR-007809,OPS-CONFIG,ROLLBACK,[OPS-CONFIG] Rollback/Forward Recovery,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,데이터 보존·actual 일치·audit,부분 rollback·drift,Java21 state/contract/failure-injection harness,데이터 보존·actual 일치·audit; 부분 rollback·drift,See TEST_AND_EVIDENCE.md command matrix,0; ROLLBACK generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-SC-001548,CPF-FR-007809,OPS-CONFIG,SECURITY_LEAK,[OPS-CONFIG] 민감정보 누출,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,security source trace only,원문 0 또는 승인 범위; Log/DOM/Storage/Evidence 원문,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; SECURITY_LEAK: controller/security integration and target authorization runtime not executed.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,미완료,ADM/Security owner negative authorization and secret-leak runtime required.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-SC-001549,CPF-FR-007870,OPS-DRIFT,POSITIVE,[OPS-DRIFT] 정상 수직 흐름,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,Java21 state/contract/failure-injection harness,정상 상태·side effect·tracking 일치; Mock-only 또는 Consumer 미호출,See TEST_AND_EVIDENCE.md command matrix,0; POSITIVE generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001550,CPF-FR-007870,OPS-DRIFT,INVALID,[OPS-DRIFT] 입력·경계 오류,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,Java21 state/contract/failure-injection harness,표준 field/path 오류·side effect 0; 500/raw exception/부분 저장,See TEST_AND_EVIDENCE.md command matrix,0; INVALID generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001551,CPF-FR-007870,OPS-DRIFT,UNAUTHORIZED,[OPS-DRIFT] 미인증·권한 부족,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,Server 거부·Audit·민감정보 0,버튼만 숨김/default allow,security source trace only,Server 거부·Audit·민감정보 0; 버튼만 숨김/default allow,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; UNAUTHORIZED: controller/security integration and target authorization runtime not executed.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,미완료,ADM/Security owner negative authorization and secret-leak runtime required.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001552,CPF-FR-007870,OPS-DRIFT,CONFLICT,[OPS-DRIFT] Version·Hash 충돌,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,409·기존 결과 보존·lost update 0,후행 요청 덮어씀,Java21 state/contract/failure-injection harness,409·기존 결과 보존·lost update 0; 후행 요청 덮어씀,See TEST_AND_EVIDENCE.md command matrix,0; CONFLICT generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001553,CPF-FR-007870,OPS-DRIFT,DUPLICATE,[OPS-DRIFT] 중복 요청,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,"동일 replay, 다른 payload conflict",side effect 2회,Java21 state/contract/failure-injection harness,"동일 replay, 다른 payload conflict; side effect 2회",See TEST_AND_EVIDENCE.md command matrix,0; DUPLICATE generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001554,CPF-FR-007870,OPS-DRIFT,TIMEOUT_PRE,[OPS-DRIFT] Side effect 전 Timeout,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,retryable failure·side effect 0,UNKNOWN/성공 오인,Java21 state/contract/failure-injection harness,retryable failure·side effect 0; UNKNOWN/성공 오인,See TEST_AND_EVIDENCE.md command matrix,0; TIMEOUT_PRE generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001555,CPF-FR-007870,OPS-DRIFT,RESPONSE_LOSS,[OPS-DRIFT] Side effect 후 응답 유실,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,UNKNOWN·blind retry 금지·reconcile,자동 실패/무조건 retry,Java21 state/contract/failure-injection harness,UNKNOWN·blind retry 금지·reconcile; 자동 실패/무조건 retry,See TEST_AND_EVIDENCE.md command matrix,0; RESPONSE_LOSS generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001556,CPF-FR-007870,OPS-DRIFT,PARTIAL,[OPS-DRIFT] 부분 실패,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,개별 성공/실패/unknown 보존,전체 성공/실패로 축약,Java21 state/contract/failure-injection harness,개별 성공/실패/unknown 보존; 전체 성공/실패로 축약,See TEST_AND_EVIDENCE.md command matrix,0; PARTIAL generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001557,CPF-FR-007870,OPS-DRIFT,PROCESS_KILL,[OPS-DRIFT] Process Kill·Restart,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,lease 회수·stale fencing·복구,고아 상태·중복,Java21 child JVM Runtime.halt(23) recovery harness,lease 회수·stale fencing·복구; 고아 상태·중복,See TEST_AND_EVIDENCE.md command matrix,0; PREPARED persisted; restart replay APPLIED; ACK cleanup EMPTY PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_PROCESS_KILL_HARNESS.txt,완료,Java25 formal child-process repeat remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001558,CPF-FR-007870,OPS-DRIFT,MULTI_INSTANCE,[OPS-DRIFT] 다중 Instance,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,version/state 일치·중복 0,local state 의존,fencing/reclaim harness + source/SQL CAS trace,version/state 일치·중복 0; local state 의존,See TEST_AND_EVIDENCE.md command matrix,"N/A or partial; stale fence rejected and deferred reclaim PASS, but two JVM + real DB was not executed.",cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_FENCE_RECOVERY_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,미완료,Java25 two JVM and Oracle/PostgreSQL/MariaDB contention execution required.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001559,CPF-FR-007870,OPS-DRIFT,ROLLBACK,[OPS-DRIFT] Rollback/Forward Recovery,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,데이터 보존·actual 일치·audit,부분 rollback·drift,Java21 state/contract/failure-injection harness,데이터 보존·actual 일치·audit; 부분 rollback·drift,See TEST_AND_EVIDENCE.md command matrix,0; ROLLBACK generic Runtime Control state/side-effect invariant PASS.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_AGENT_ACK_HARNESS.txt,완료,Java25 formal target execution remains.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-001560,CPF-FR-007870,OPS-DRIFT,SECURITY_LEAK,[OPS-DRIFT] 민감정보 누출,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,원문 0 또는 승인 범위,Log/DOM/Storage/Evidence 원문,security source trace only,원문 0 또는 승인 범위; Log/DOM/Storage/Evidence 원문,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; SECURITY_LEAK: controller/security integration and target authorization runtime not executed.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,미완료,ADM/Security owner negative authorization and secret-leak runtime required.,CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER
CPF-SC-007409,CPF-FR-017033,OPS-DRIFT,LOAD,[ADM / System/Artifact Version] 초기 Load·Route,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Node OpenAPI negative gate + source trace,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치; white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; requestBody/query/generated-client/raw-URL contract failure; Browser scenario not executable,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json,미완료,6A OpenAPI/Generated Client correction and Browser E2E required.,CPF-WP-OPS-DRIFT-07-GENERATION_COMPATIBILITY
CPF-SC-007410,CPF-FR-017033,OPS-DRIFT,DATA,[ADM / System/Artifact Version] 검색·Paging·상세,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Node OpenAPI negative gate + source trace,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치; white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; requestBody/query/generated-client/raw-URL contract failure; Browser scenario not executable,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json,미완료,6A OpenAPI/Generated Client correction and Browser E2E required.,CPF-WP-OPS-DRIFT-07-GENERATION_COMPATIBILITY
CPF-SC-007411,CPF-FR-017033,OPS-DRIFT,EMPTY,[ADM / System/Artifact Version] 빈 결과,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Node OpenAPI negative gate + source trace,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치; white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; requestBody/query/generated-client/raw-URL contract failure; Browser scenario not executable,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json,미완료,6A OpenAPI/Generated Client correction and Browser E2E required.,CPF-WP-OPS-DRIFT-07-GENERATION_COMPATIBILITY
CPF-SC-007412,CPF-FR-017033,OPS-DRIFT,ERROR,[ADM / System/Artifact Version] API 500/Timeout,ADM/BZA BFF + 실제/격리 DB,Node/npm clean + Chromium/Firefox/WebKit,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치,white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,Node OpenAPI negative gate + source trace,구조화 UX·Server 판정·상태·다음 Action·민감정보 보호 일치; white screen·Raw JSON·UI-only 권한·stale overwrite·console error·원문 노출,See TEST_AND_EVIDENCE.md command matrix,N/A or partial; requestBody/query/generated-client/raw-URL contract failure; Browser scenario not executable,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json,미완료,6A OpenAPI/Generated Client correction and Browser E2E required.,CPF-WP-OPS-DRIFT-07-GENERATION_COMPATIBILITY
