control_execution_id,control_id,required_for_final,execution_type,command_or_gate,status,evidence,source_identity,completion_rule
CTRL-EXEC-011,HARN-CTRL-011,true,POLICY,standards/CPF_CONFIGURATION_PROFILE_AND_COMMENT_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-012,HARN-CTRL-012,true,POLICY,standards/CPF_SOURCE_STRUCTURE_NAMING_AND_DOCUMENTATION_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-013,HARN-CTRL-013,true,STATIC_VERIFIER,validators/validate_current_product_conformance.py,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,Static UTF-8/NFC/Product Conformance PASS; actual runtime stdout/stderr/PowerShell/Java/Python/Tee/log mojibake=0 still mandatory.
CTRL-EXEC-014,HARN-CTRL-014,true,POLICY,standards/CPF_STANDALONE_WINDOWS_LINUX_RUNTIME_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-015,HARN-CTRL-015,true,STATIC_VERIFIER,validators/validate_development_harness.py,BLOCKED_EXTERNAL,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,Fresh Windows Java25/Gradle Buildship Problems Error=0 Warning=0 required.
CTRL-EXEC-016,HARN-CTRL-016,true,POLICY,standards/CPF_ARCHITECTURE_PATH_AND_ROLE_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-017,HARN-CTRL-017,true,POLICY,product/CPF_PRODUCT_ARCHITECTURE_AND_REQUIREMENTS.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-018,HARN-CTRL-018,true,POLICY,product/CPF_PRODUCT_ARCHITECTURE_AND_REQUIREMENTS.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-019,HARN-CTRL-019,true,POLICY,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,BLOCKED_EXTERNAL,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-020,HARN-CTRL-020,true,POLICY,product/CPF_PRODUCT_ARCHITECTURE_AND_REQUIREMENTS.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-021,HARN-CTRL-021,true,POLICY,standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-022,HARN-CTRL-022,true,POLICY,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,BLOCKED_EXTERNAL,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-023,HARN-CTRL-023,true,POLICY,standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-024,HARN-CTRL-024,true,POLICY,standards/CPF_SUPPLY_CHAIN_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-025,HARN-CTRL-025,true,POLICY,standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,BLOCKED_EXTERNAL,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-026,HARN-CTRL-026,true,POLICY,standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,BLOCKED_EXTERNAL,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-027,HARN-CTRL-027,true,POLICY,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,BLOCKED_EXTERNAL,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-028,HARN-CTRL-028,true,POLICY,standards/CPF_HARNESS_CURRENT_ONLY_AND_GARBAGE_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/HARNESS_STATIC_FINAL_EXACT.log,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,Migration semantic closure PASS; exact legacy deletion on user repository remains NOT_EXECUTED.
CTRL-EXEC-029,HARN-CTRL-029,true,POLICY,standards/CPF_REVIEW_OUTPUT_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-030,HARN-CTRL-030,true,POLICY,standards/CPF_ROLE_REVIEW_QA_STANDARD.md,NOT_EXECUTED,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-031,HARN-CTRL-031,true,POLICY,standards/CPF_AGENT_CONTINUITY_STANDARD.md,NOT_EXECUTED,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-032,HARN-CTRL-032,true,POLICY,standards/CPF_FINAL_DELIVERY_AND_HANDOVER_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-033,HARN-CTRL-033,true,STATIC_VERIFIER,validators/validate_session_merge_protocol.py,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/sessions/DEVGPT_CURRENT_SESSION/SESSION_REPORT.md,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires all session manifests valid and Current Merge Control pending/conflict exact; MANIFEST_MISSING or pending session remains fail-closed.
