bridge_requirement_id,canonical_requirement_id,owner_scope,requirement,acceptance_basis,bridge_reason,development_status,verification_status,source_identity
CPF-CBR-0011,BAT-NO-REMOTE-KAFKA,cpf-batch,"CPF 일반 Batch·Worker·Scheduler·Center-Cut은 Kafka 기반 Batch Remote Execution을 사용하지 않는다. `cpf-batch/remote-kafka`, `REMOTE_PARTITION`, `REMOTE_CHUNK`, `REMOTE_STEP`, Remote Worker/Config/API/진단, `BAT_REMOTE_MESSAGE_LEDGER`의 Current Schema·Query·Publication·Harness는 제거하고 새 Remote Transport나 대체 Broker를 만들지 않는다. 공용 CPF Kafka Messaging은 별도 Messaging Owner/Consumer가 있을 때만 독립 Capability로 존재하며 Batch 때문에 존치하지 않는다. Released V87/R87은 immutable history로 보존하고 V140/R140으로 Upgrade/Recovery를 제공한다.","실제 Consumer/Bean Wiring/Runtime Config/DB Query 역추적, Active Remote Dead Surface 0, 일반 Batch 5 Runtime·Center-Cut Domain Invocation·2+ Worker·Kill·Retry/UNKNOWN/Recovery, DB3 V140/R140, Fresh Replay Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0012,MBW-BUSINESS,cpf-backoffice,고객 업무 관리자 메뉴·권한·업무 조회·등록·변경·download·approval을 업무 Domain Public Contract로 수행한다.,"Server 권한 Test, API/OpenAPI, DB migration, Chromium·Firefox·WebKit E2E, 위험조치 audit Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0013,MBW-ORG,cpf-backoffice,"조직 hierarchy, 직원, 사번, 직급/직책, 유효기간 assignment, 겸직/파견/대행, masked profile과 결재 snapshot을 제공한다.","Server 권한 Test, API/OpenAPI, DB migration, Chromium·Firefox·WebKit E2E, 위험조치 audit Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0014,MBW-APPROVAL,cpf-backoffice,순차/병렬/개인/role/조직/ALL/ANY/N_OF_M/위임/대결/회수/재상신/만료/동시승인과 policy/instance 분리를 제공한다.,"Server 권한 Test, API/OpenAPI, DB migration, Chromium·Firefox·WebKit E2E, 위험조치 audit Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0015,MBW-SEQUENCE-SAMPLE,cpf-backoffice,업무 채번을 선택형 Customization Sample로 제공하되 기본 Runtime 의존을 만들지 않고 규칙·시험·승인·audit를 교육한다.,"Server 권한 Test, API/OpenAPI, DB migration, Chromium·Firefox·WebKit E2E, 위험조치 audit Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0016,DEVEX-LAYER,Foundation/Starter owners + Domain owners + generator,Controller/Service/Batch 등 주요 실행 계층이 `CPF 공통 → Domain 공통 → 업무 구현` 표준 확장점을 경유하며 Runtime 의존 Base는 Core 밖의 올바른 Owner가 소유한다. DTO/Entity/Repository는 기술 제약에 따라 interface/composition/meta-annotation으로 동등한 확장성을 제공한다.,"Generated/handwritten 실제 Consumer 계층, ArchUnit/compile gate, stale base FQCN 0, Native extension Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0017,DEVEX-ANNOTATION,Foundation/Web/Data/Batch/Messaging/Integration owners,CPF 의미가 있는 meta-annotation과 declarative API로 등록·Context·Validation·Error·Audit·Transaction·Retry 등의 plumbing을 단순화하되 표준 Spring/Jakarta API와 Native Escape를 유지하고 no-op wrapper/annotation pollution을 금지한다.,"Annotation consumer matrix, IDE/JavaDoc, boot/AOP/interceptor runtime, misuse negative test, Native API parity Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0018,DEVEX-VALIDATION,Foundation/Web/Batch/Messaging/Integration + generator,Bean Validation을 기본으로 Body/Query/Path/Header/Method/Batch Parameter/Message/Integration DTO와 CPF 전용 값/교차필드 검증을 일관되게 제공하고 실패를 CPF Error/OpenAPI/Frontend 계약으로 연결한다.,"실제 validation consumer, invalid corpus, header trust 분리, Generator/OpenAPI/Frontend parity Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0019,DEVEX-ERROR,Core error semantics + endpoint/provider owners,개발자가 반복 try/catch·ErrorResponse 조립을 하지 않도록 기술중립 Error taxonomy와 endpoint별 mapping을 제공한다. HTTP/Persistence/External/Batch/Message mapping은 각 Owner가 담당하고 secret/stack/provider detail은 외부 응답에 노출하지 않는다.,"Web/DB/Integration/Message/Batch error runtime, mapping contract, masking/unknown/retry negative Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0020,DEVEX-LOGGING,platform-operations/observability + runtime owners,"일반 SLF4J 사용만으로 Context/trace/instance/operation이 구조화 로그에 자동 연결되고 masking, slow/error, integration/message/batch lifecycle을 제공한다. Audit/Performance annotation은 필요한 곳에만 사용하며 전 메서드 log annotation 강제를 금지한다.","실제 업무/Batch/Message/Integration 로그, MDC leak test, masking, dynamic level, ADM trace lookup Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0021,DEVEX-UTILITY,base + capability owners,반복 업무 Utility를 Date/Time/BusinessDate/Money/Decimal/ID/Validation/Text/Collection/JSON/File/Hash/Paging 등 올바른 Owner에 제공하되 OSS 단순 재포장·God Utils·Core utility dump를 금지하고 typed/safe API와 Test를 제공한다.,"Utility ownership catalog, duplicate/dead check, boundary/security tests, actual consumer/EDU Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0022,DEVEX-TESTKIT,cpf-tools/testing/cpf-testkit + capability owners,Context/Security/Tenant/Transaction/BusinessDate/DB/REST/Message/Batch/Logging/Audit/Idempotency/Retry fixture와 assertion을 제공하여 제품 Golden Path를 쉽게 검증하고 실제 Provider runtime test로 연결한다.,"Testkit actual consumers, provider runtime bridge, leak/failure/retry/restart assertions, Generated Domain Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0023,CACHE-REDIS-PROVIDER,data/cache provider,"기존 `cache-valkey`를 유지하면서 `cache-redis`를 공식 Optional Provider Starter로 추가한다. Redis/Valkey는 `CpfCache`/invalidation/health/metrics/recovery 의미와 Spring Data Redis protocol runtime을 내부 공통 leaf로 공유하고, `cache=redis` 또는 `cache=valkey`를 Catalog/Profile/Generator에서 명시적으로 선택한다. Redis 연결 정상·장애·재연결, durable invalidation, multi-instance, duplicate/out-of-order/version fence, process-kill/reconcile을 검증하며 미선택 Provider는 0-footprint를 지킨다.","`cache-redis`/`cache-valkey` provider parity, shared-runtime duplicate 0, Catalog/BOM/Metadata/Generator/Profile/Sample/EDU, Redis actual runtime outage/reconnect, Valkey regression, multi-instance/process-kill/reconcile Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0024,CPF-SYSTEM6,cpf-core contract + trusted ingress/runtime adapters,"업무 Domain Online Transaction의 논리 거래 Context를 `X-Transaction-Id`, `X-Original-System-Code`, `X-System-Code`, `X-Caller-System-Code`, `X-Target-System-Code`, `X-Target-Operation-Id` 6개로 고정한다. Browser는 작성하지 못하고 Same-JVM은 in-process Context, Remote 경계는 6개를 serialize/deserialize하며 Receiver는 System/Target/Operation 정합을 Controller 실행 전에 검증한다.","Header/Context unit+contract, Browser spoof negative, Same-JVM/Remote parity, mismatch pre-controller reject, async/retry propagation Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0025,CPF-INSTANCE,runtime identity + platform operations,"`instanceId`는 명시 property/env를 우선하고 없으면 실제 runtime hostname을 bootstrap 시 1회 확정한다. localhost/unknown/Domain명 등 fabricated fallback을 금지한다. 동일 Host에서 동일 System의 다중 Process는 explicit instanceId가 필수이며 active `{systemCode,instanceId}` 충돌 시 READY 금지다.","bootstrap unit, hostname failure, same-host multiprocess collision, registry/readiness, log/trace/ADM identity Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0026,CPF-OPERATION,online transaction contract + operation registry/policy,"`@CpfOnlineTransaction.operationId` = OpenAPI operationId = Target Operation Header = Domain Client = Registry/ADM/Log/Trace의 단일 안정 ID다. Source는 operation 사실/metadata/discovery를, ADM Policy는 enabled/allowedCallerSystems 및 별도 channel policy를 소유한다. Source 미발견은 단일 instance 기준 자동삭제하지 않는다.","annotation/OpenAPI/client parity, policy seed/override, multi-instance discovery, ALL/unknown/disabled negative, LKG/fail-close Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0027,GEN-DOMAIN,cpf-tools generator + generated business domain contract,"Generated Business Domain은 고객 개발자가 실제 업무를 개발하는 결과물 영역이다. `cpf-<domain>/online/<feature>/<technical-role>` Feature-First를 기본으로 하고 `batch=true`일 때만 `batch/<feature>/<role>`을 생성한다. 공유 `domain/`은 실제 2개 이상 Runtime Consumer가 있을 때만 만든다. Public Starter/API와 Developer-Facing Source/Build/설정만 노출하며 Internal Leaf, vendor DB source folder, Generator 입력·lock·state·cache·evidence를 생성하지 않는다.","fresh generate normalized parity, root cleanliness, package/ownership gate, forbidden metadata 0, internal dependency 0, optional batch include/exclude, user source protection Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0028,GEN-SETUP,cpf-tools domain setup/sync,"Domain root의 source-controlled `gradle.properties` `cpf.domain.*` Developer Contract에 logical identity/module/capability/dependency/integration을 선언하고 `domain setup/create/sync/diff`가 workspace, build, Public Starter, config template, generated clients, bootstrap/runtime discovery 준비를 일관되게 처리한다. 명시적 외부 descriptor는 transient 입력일 뿐 결과 Root에 저장하지 않는다. 위험 변경과 exact Generated-owned 삭제는 dry-run/diff 및 명시적 승인으로 fail-closed하고 user-owned source를 silent overwrite하지 않는다.","setup validation corpus, duplicate/port/dependency cycle negative, dry-run/idempotency/sync, stateless regenerate, user-owned protection, public workspace consumer Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0029,GEN-CUSTOM-LIB,cpf-tools customer shared library generator,고객사는 `cpf-common`을 수정하지 않고 회사 공통 함수·DTO·검증·공통 서비스를 독립 JAR 작업공간으로 생성할 수 있다. `cpf library create/attach/sync/verify`는 `customer-libraries/<name>`을 만들고 Java 25 build/publication 계약을 제공한다. Customer Library는 모든 Domain에 자동 주입하지 않으며 개발자가 선택한 Domain에만 Generated Gradle composite/dependency를 연결한다. 생성 Source와 CLI 도움말은 한글 설명을 기본으로 하고 `com.cpf.*` namespace 및 CPF Internal dependency를 fail-closed한다.,"create/attach/sync/verify, Korean generated guidance, explicit domain consumer, idempotent sync, internal dependency negative, Java25 build/test/publication Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0030,DB-BINDING,cpf-tools DB lifecycle + generated domain setup,"Logical Domain Definition과 environment-specific DB Binding을 분리한다. Generated Domain의 logical DB ID는 기본 `<systemCode lower>DB`이고 Oracle/PostgreSQL/MariaDB 중 Domain별 vendor를 독립 선택한다. host/service/database/schema, migration principal, runtime principal, secret reference는 Binding이 소유하며 raw secret은 Source/Evidence에 금지한다.","DB3 binding matrix, migration/runtime account separation, secret scan, persistence=none/no-binding, required DB missing fail-close, vendor-change dry-run Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0031,MBW-WEB,cpf-backoffice-web,"Backoffice Web은 Frontend SPA + Spring Boot BFF Reference다. DB dependency, CPF Internal Java dependency, Business Domain Java project dependency는 0이어야 한다. Published OpenAPI/protocol schema로 생성된 HTTP Client 사용은 허용·권장하며 Browser session/cookie/CSRF와 server-side credential propagation은 BFF가 소유하고 Browser는 protected CPF Header를 작성하지 않는다.","dependency gate, OpenAPI generated client consumer, session/CSRF/security negative, Browser header spoof negative, Gateway→MBW E2E Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0032,CPF-LOGTX,cpf-starters logging + transaction log persistence,업무 Transaction의 성공/rollback/handled 4xx·5xx/exception과 무관하게 거래 DB Log Summary/Segment는 `cpfTransactionManager`의 독립 `REQUIRES_NEW` 경계로 요청·응답·상태·error metadata를 마스킹하여 보존한다. 업무 rollback으로 거래 추적이 함께 rollback되면 FAIL이며 DB log 장애는 durable fallback→recovery/replay로 추적성을 유지한다.,"REQUIRES_NEW static gate, success/business rollback/handled error/exception runtime, File↔DB↔Segment↔Timeline transactionId parity, masking/secret, fallback/recovery Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0033,REL-PUBLIC-WORKSPACE,cpf-tools release/public workspace,Public Git Workspace는 empty-directory default-deny staging으로 PUBLIC 분류된 developer source/config/script/docs만 포함하고 Private framework/internal/provider/governance/QA/evidence/secret과 누적 CPF JAR을 포함하지 않는다. commit/push는 자동화하지 않는다.,"unclassified=0, private leakage=0, secret=0, manifest/hash, clean clone build/setup/bootstrap, manual commit boundary Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0034,REL-PUBLIC-BINARY,publication/BOM/public artifact owners,Public Binary Repository는 Public BOM/API/Starter/Generator 및 공개 Runtime artifact를 버전·호환성·SBOM·서명과 함께 제공한다. Public Workspace는 이를 중앙 repository URL/version으로 소비하고 `mavenLocal()` 또는 Private repository에 의존하지 않는다.,"isolated cache consumer build, BOM resolution, publication metadata/signature/SBOM, private repo/mavenLocal negative Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
