work_item_id,source_requirement_ids,priority,work_package,development_status,verification_status,runtime_status,overall_status,development_completion_reason,verification_incomplete_reason,source_identity,devgpt_status,independent_reviewer_status,qa_status,current_action,closure_rule
WP-R01.04,IDE-BATCH-NOTIFICATION,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,Batch worker의 CpfNotificationProperties/Worker unresolved,Worker 알림 dispatch 성공/중복/실패/DLQ/retry/restart/optional-off,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Worker 알림 dispatch 성공/중복/실패/DLQ/retry/restart/optional-off,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.05,IDE-FILE-SFTP,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,SFTP module의 file transfer API/SPI/history/inspection/duplicate prevention/protocol unresolved 다수,local+SFTP transfer upload/download/duplicate/unknown/retry/reconnect/history/inspection/process failure,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,local+SFTP transfer upload/download/duplicate/unknown/retry/reconnect/history/inspection/process failure,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.06,IDE-FILE-ARCHIVE,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,Archive checksum/InputStreamSupplier 관련 unresolved/functional-interface 진단,"large streaming archive, corrupt entry, duplicate, interruption/recovery, checksum verification",bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,"large streaming archive, corrupt entry, duplicate, interruption/recovery, checksum verification",현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.07,IDE-DATA-JPA,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,CpfJpaSpecificationFactory generic inference/Operator enum/Predicate 타입 진단,DB3 JPA search paging/sort/filter boundary 및 invalid operator/field,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,DB3 JPA search paging/sort/filter boundary 및 invalid operator/field,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.08,IDE-DATA-MYBATIS,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,CpfSqlResourceResolver unresolved,DB3 mapper resource load/query/runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,DB3 mapper resource load/query/runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.09,IDE-GENERIC-LAMBDA,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,ADM/Batch/Base/Backoffice comparator inference와 lambda variable shadowing 다수,정렬/라우팅/operation registry 실제 데이터 다건/동률/empty runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,정렬/라우팅/operation registry 실제 데이터 다건/동률/empty runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.10,RT-97,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,full-distributed artifact pack에서 필수 배포 JAR 누락,Fresh build 후 full-distributed pack→deploy manifest→start/readiness→stop; missing/corrupt artifact negative,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Fresh build 후 full-distributed pack→deploy manifest→start/readiness→stop; missing/corrupt artifact negative,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.01,REOPEN-12;REOPEN-13,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,"최신 VSCode dump 50 diagnostics / 30 resources; severity 8=18, 4=29, 2=3",Java25+Gradle9.1 Fresh Import/Buildship/JDT sync 완료 후 Problems Error 0 / Warning 0 실측,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Java25+Gradle9.1 Fresh Import/Buildship/JDT sync 완료 후 Problems Error 0 / Warning 0 실측,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.02,IDE-TYPE-RESOLUTION,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,최신 18 Error에는 실제 type/import/API/constructor/generic 결함과 build-path cascade가 혼재,Fresh IDE import + root/generated/application runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Fresh IDE import + root/generated/application runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.03,IDE-GENERICS,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,"ADM Comparator, Policy Store version inference, Logging Map.Entry, HTTP Header sanitizer, fallback comparator 등 실제 JDT/javac 영향 후보 확인",실제 multi-value/empty/null payload 경로,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,실제 multi-value/empty/null payload 경로,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.04,IDE-TEST-CLASSPATH,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,Valkey build path/test classpath 등 fresh Gradle import에서 재확인이 필요한 classpath 진단 포함,전체 Java test suites Java25 실행,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,전체 Java test suites Java25 실행,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.05,IDE-DEPRECATION-UNUSED,P1,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,최신 Warning 29에 null-safety/unused/suppressions/bridge adapter 진단 포함; warning disable로 숨기지 않음,영향 기능 회귀 runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,영향 기능 회귀 runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.06,IDE-NULL-RESOURCE,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,nullness method-reference 경고를 실제 Source 의미/consumer 기준으로 보정하고 Fresh JDT에서 재검증 필요,null/empty/provider failure/timeout/interruption 실제 runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,null/empty/provider failure/timeout/interruption 실제 runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.07,IDE-BUILD-PATH-CYCLE,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,cache-valkey→spring-data-redis build path 및 composite/source-set Fresh Import 재검증 필요,Fresh clone/import/build,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Fresh clone/import/build,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R02.08,IDE-WARNING-POLICY;REOPEN-12,P0,WP-R02 VSCode Java25 Fresh Import — Error 0 / Warning 0,완료,미검증,NOT_EXECUTED,미검증,warning 숨김 방식 금지,Fresh IDE 0 warnings,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Fresh IDE 0 warnings,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R03.01,RT-79,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,NOT_EXECUTED,미검증,verify-cpf-execution-scope-exhaustive.py가 외부 temp audit path를 root.relative_to로 변환해 실패,Full Runtime temp evidence 실제 생성→audit/work-package output→package,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Full Runtime temp evidence 실제 생성→audit/work-package output→package,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R03.02,RT-06,P1,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,NOT_EXECUTED,미검증,Runtime 당시 root-generated-domain-prefix FAIL; 최신 ZIP에서 단독 gate는 PASS,Generator lifecycle/Fresh Replay에서 같은 gate PASS,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Generator lifecycle/Fresh Replay에서 같은 gate PASS,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R03.03,HARNESS-FAIL-CASCADE;REOPEN-13,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,NOT_EXECUTED,미검증,공통 compile 결함이 여러 단계에서 반복되어 root cause가 흐려짐,실제 compile/runtime fault injection 후 summary 정확성,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,실제 compile/runtime fault injection 후 summary 정확성,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R03.04,HARNESS-MANDATORY-SKIP;REOPEN-15,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,NOT_EXECUTED,미검증,mandatory Batch stage가 SKIP_ENV로 종료,환경 정상 시 mandatory skip 0; 장애 시 actionable FAIL,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,환경 정상 시 mandatory skip 0; 장애 시 actionable FAIL,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R03.05,HARNESS-EVIDENCE-IDENTITY;RT-155,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,NOT_EXECUTED,미검증,Source State After PASS이나 Managed State After FAIL,Full Runtime 후 Source drift 0 / Managed drift 0 / Fresh Replay 동일,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Full Runtime 후 Source drift 0 / Managed drift 0 / Fresh Replay 동일,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R03.06,HARNESS-HIGH-INTENSITY;REOPEN-14;REOPEN-15,P0,WP-R03 Verification Harness / False-Green / Evidence Path Closure,완료,미검증,NOT_EXECUTED,미검증,Smoke 명칭/부분 contract가 다수 존재,Full lifecycle E2E mandatory stages 전부 실행,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Full lifecycle E2E mandatory stages 전부 실행,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.01,RT-109;GEN-DOMAIN,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,localqa Generated Domain build 실패,scratch online/batch variants build/test/start/operation/stop,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,scratch online/batch variants build/test/start/operation/stop,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.02,GEN-IDEMP-MBR,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,cpf-member SampleTransactionControllerContractTest generator idempotent diff 실패 관측,MBR online+batch build/test/DB3/runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,MBR online+batch build/test/DB3/runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.03,GEN-IDEMP-EXS,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,cpf-external 동일 contract test idempotent diff 실패 관측,EXS online build/test/external integration runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,EXS online build/test/external integration runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.04,REOPEN-03,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,새 Domain 추가 자동 discovery 실물 미검증,각 단계 build/test/start/health/operation/stop,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,각 단계 build/test/start/health/operation/stop,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.05,REOPEN-04,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,Domain 추가가 기존 Domain에 zero-impact인지 미검증,add/remove 후 기존 domain E2E regression,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,add/remove 후 기존 domain E2E regression,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.06,GEN-PUBLIC-BOUNDARY;GEN-DOMAIN;GEN-SETUP,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,Generated build가 product source composite/public boundary에 의존,isolated public binary workspace build/runtime,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,isolated public binary workspace build/runtime,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R04.07,GEN-DB3;DB-BINDING,P0,WP-R04 Generator / Generated Domain / Idempotency / Consumer Closure,완료,미검증,NOT_EXECUTED,미검증,Generated domain DB3 runtime closure 필요,Oracle/PostgreSQL/MariaDB actual domain CRUD/transaction/rollback,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Oracle/PostgreSQL/MariaDB actual domain CRUD/transaction/rollback,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.01,REOPEN-07;REOPEN-08,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,Batch role별 실제 독립 Shell 대신 중앙 harness/tool 중심,각 role Orchestrator 없이 직접 start→readiness→operation→stop→rerun→kill→recovery,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,각 role Orchestrator 없이 직접 start→readiness→operation→stop→rerun→kill→recovery,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.02,REOPEN-07;REOPEN-10,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,control-plane 독립 Windows/Bash run/stop 실물 미확인,control-plane direct start/readiness/real operation/stop/rerun/process-kill/recovery,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,control-plane direct start/readiness/real operation/stop/rerun/process-kill/recovery,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.03,REOPEN-07;REOPEN-10,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,scheduler 독립 Windows/Bash run/stop 실물 미확인,scheduler direct start/readiness/real operation/stop/rerun/process-kill/recovery,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,scheduler direct start/readiness/real operation/stop/rerun/process-kill/recovery,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.04,REOPEN-07;REOPEN-10,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,worker 독립 Windows/Bash run/stop 실물 미확인,worker direct start/readiness/real operation/stop/rerun/process-kill/recovery,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,worker direct start/readiness/real operation/stop/rerun/process-kill/recovery,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.05,REOPEN-07;REOPEN-10,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,agent 독립 Windows/Bash run/stop 실물 미확인,agent direct start/readiness/real operation/stop/rerun/process-kill/recovery,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,agent direct start/readiness/real operation/stop/rerun/process-kill/recovery,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.06,REOPEN-07;REOPEN-10,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,center-cut 독립 Windows/Bash run/stop 실물 미확인,center-cut direct start/readiness/real operation/stop/rerun/process-kill/recovery,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,center-cut direct start/readiness/real operation/stop/rerun/process-kill/recovery,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.07,SHELL-WIN-LINUX-PARITY;REOPEN-07,P0,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,Windows/Linux parity 미검증,Windows PowerShell + Linux Bash 동일 시나리오,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Windows PowerShell + Linux Bash 동일 시나리오,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R05.08,SHELL-GARBAGE;GOV-GARBAGE-ZERO,P1,WP-R05 Standalone Runtime Shell — Every Executable Role,완료,미검증,NOT_EXECUTED,미검증,중복 wrapper/retired shell 생성 위험,fresh replay에서 retired shell 재생성 0,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,fresh replay에서 retired shell 재생성 0,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R06.01,REOPEN-09,P0,WP-R06 Batch Dev/Test/Prod Profile & Effective Configuration,완료,미검증,NOT_EXECUTED,미검증,agent만 application-prod.yml 존재; control-plane/scheduler/worker/center-cut은 공통 yml/properties 중심,각 role dev/test 실제 기동 + prod-safe config validation,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,각 role dev/test 실제 기동 + prod-safe config validation,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
