requirement_id,priority,area,development_status,verification_status,evidence,next_check
QA35-REQ-044,P0,ADM Batch Definition,미구현,미검증,QA35 V2 request baseline only,"Definition detail completeness, version/impact, consumer and execution linkage"
QA35-REQ-045,P0,ADM Batch DAG,미구현,미검증,QA35 V2 request baseline only,"DAG persisted version, cycle fail, critical path, execution overlay"
QA35-REQ-046,P0,ADM Batch Execution Safety,미구현,미검증,QA35 V2 request baseline only,"maker-checker, duplicate/conflict/response-loss/process-kill evidence"
QA35-REQ-047,P0,ADM Batch Infrastructure,미구현,미검증,QA35 V2 request baseline only,stale/takeover/quarantine/capacity alert and audit
QA35-REQ-048,P0,ADM Batch Operational Configuration,미구현,미검증,QA35 V2 request baseline only,"schema validation, rollout, safe log/report download, notification delivery trace"
QA35-REQ-049,P0,ADM Center-Cut,미구현,미검증,QA35 V2 request baseline only,"profile version/publish, rate/partition metrics, failure/restart/reconcile"
QA35-REQ-050,P0,ADM Cross-domain Operations,미구현,미검증,QA35 V2 request baseline only,"공통 correlation ID, entity resolution, deep links, partial/unknown/recovery timeline"
QA35-REQ-051,P0,ADM Analytics,미구현,미검증,QA35 V2 request baseline only,집계 정의·timezone·freshness·drill-down·governed export·saved report
QA35-REQ-052,P0,ADM Screen Completeness,미구현,미검증,QA35 V2 request baseline only,"ADM-Q-001~020 applicable row 100%, N/A 근거 필수"
QA35-REQ-053,P0,ADM Browser Product Verification,미구현,미검증,QA35 V2 request baseline only,"URL/menu/heading/component/operation/result/state/permission assertions, false-green fixtures"
QA35-REQ-054,P0,ADM Superset Closure,미구현,미검증,QA35 V2 request baseline only,"87 capability + CPF advanced capabilities 양방향 closure, orphan command 0"
QA35-REQ-055,P0,ADM Baseline Regression Gate,미구현,미검증,QA35 V2 request baseline only,"capability row count/hash, route/API/permission/test evidence, approved N/A only"
