exact_id,record_type,developer_development_status,developer_verification_status,developer_result_sha,qa_a_current_status,qa_a_current_sha,qa_a_note
AB-R6-023,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-024,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-025,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-026,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-027,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,PARTIAL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-028,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-029,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-030,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-031,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-032,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-033,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-034,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-035,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,PARTIAL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-036,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-037,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-038,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-039,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-040,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-001,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-002,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-003,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-004,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-005,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-006,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-007,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-008,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-009,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-010,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-011,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-012,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-013,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-014,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-015,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-016,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-017,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-018,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-019,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-020,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-021,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-022,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-023,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-024,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
FDEV-025,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-001,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-002,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-003,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-004,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,DEVELOPER_VERIFIED_RECHECK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-005,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-006,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-007,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-008,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-009,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-010,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-011,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,DEVELOPER_VERIFIED_RECHECK_REQUIRED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
MGR-HARDEN-012,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,UNVERIFIED_NOT_INHERITED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
QA-A-R6J-NEW-001,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,"Required release workflow exports CPF_FRONTEND_URL from CPF_ADM_FRONTEND_URL, but preflight requires CPF_ADM_FRONTEND_URL itself. The variable is not exported into the step environment."
QA-A-R6J-NEW-002,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Frontend contract gate does not detect semantic removal of risky-operation permission enforcement.
QA-A-R6J-NEW-003,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Observability qualification accepts self-attested boolean proof and can false-green without authoritative telemetry checks.
QA-A-R6J-NEW-004,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,07_02 added release-critical transaction/file/DB logging requirements after the 77-row R6I developer ledger; 77/77 implementation claim no longer represents the current canonical target.
QA-A-R6J-NEW-005,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,"ADM transactionId one-shot view is only partial: current service aggregates transaction segment/header/external candidates but not all required message, DLQ, batch, file, trace/audit and source freshness states."
QA-A-R6J-NEW-006,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Canonical CPF_TRANSACTION_SEGMENT schema/query surface alone does not carry or expose the full new standard identifier set or multi-source linkage.
QA-A-R6J-NEW-007,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,"EDU runtime authorization trusts caller-provided actor, roles and data-scope headers."
QA-A-R6J-NEW-008,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,PROCESS EDU consumer inherits parent process environment and writes full command payload to an OS temp JSON file.
QA-A-R6J-NEW-009,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,QA37 EDU gate encodes the old self-contained cpf-reference duplication model and conflicts with latest §16.1 product/EDU boundary.
QA-A-R6J-NEW-010,R6J_QA_A_NEW,재개발 필요,실패,,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,"Backend Approval validation returns HTTP 422, but committed critical OpenAPI response profiles and Integration Closure frontend error taxonomy omit 422."
