record_type,finding_id,severity,area,requirement_ids,prior_status,qa_a_current_status,issue,target_files,qa_a_current_evidence,required_action,acceptance,failure_criteria,source_qa,prior_finding_ids,baseline_sha,qa_a_current_sha,qa_round
REGRESSION_R6I,AB-R6-011,P1,ADM/Frontend/Contract,"FDEV-016,FDEV-020",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Frontend enrich script가 validation/security response 계약의 제2 정본 역할,cpf-admin/frontend/scripts/enrich-adm-openapi-contract.mjs,enrich-adm-openapi-contract.mjs is validation-only and verifies pre/post hash rather than generating a second canonical artifact.,controller/runtime schema를 정본으로 하고 frontend script는 검증/annotation 범위로 축소.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-018,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-012,P1,ADM/Frontend/Contract,"FDEV-014,FDEV-016,FDEV-017",OPEN,PARTIAL,Generated Client가 high-risk 실제 Consumer를 compile-time으로 충분히 구속하지 않음,cpf-admin/frontend/src/shared/cpfApi.ts;integrationClosureApi.ts;orval-mutator.ts,Approval high-risk page directly consumes eight generated cpf-api functions; full compile/runtime binding across all high-risk consumers not independently executed.,high-risk API는 generated request/response/status를 actual consumer에서 직접 사용.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-008,018,028",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-013,P0,Management/Quality,"FDEV-014,FDEV-015,FDEV-016,FDEV-017,FDEV-020,FDEV-025",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Operation consumer Gate False Green,cpf-admin/frontend/scripts/verify-operation-consumer.mjs;cpf-biz-admin/frontend/scripts/verify-operation-consumer.mjs,"ADM/BZA operation consumer scripts now distinguish generated consumers, GET-only workbench and high-risk mutations. Current full npm verify not executed; separate frontend contract semantic permission mutation still survives.",실제 component callsite/typed generated API 호출을 증명하고 registry-only 소비를 금지.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-016,019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-014,P0,Management/Quality,"FDEV-020,FDEV-025",OPEN,PARTIAL,R6 Behavior Mutation Gate가 실제 mutation execution이 아닌 tautology,cpf-tools/verification/final-dev/verify-r6-behavior-contracts.py,"verify-r6-behavior-contracts.py now runs 17 child verifier token-deletion mutations, but base assertions remain heavily required/forbidden-token based; semantic mutations preserving tokens are not proven killed.",temp checkout/copy에 real mutation 적용 → 실제 gate 실행 → nonzero exit 확인.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-015,P1,Runtime/Release,"FDEV-005,FDEV-013,FDEV-019,FDEV-020,FDEV-025",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,DB Runner Security Test가 process behavior가 아니라 문자열 검사 중심,cpf-tools/verification/final-dev/tests/run-db3-lifecycle.Tests.ps1;verify-db3-runner-contract.py,"run-db3-lifecycle.Tests.ps1 is process-behavioral: child stdin credential envelope, child env secret count, timeout grandchild kill and URL credential rejection. pwsh/live DB runtime unavailable.",dummy child로 secret inheritance/timeout/tree-kill/stdout redaction 실제 runtime test.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-015,019,027",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-016,P0,BZA/Frontend,"FDEV-013,FDEV-015,FDEV-017",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,BZA Workbench permission code가 canonical manifest와 불일치,cpf-biz-admin/frontend/src/components/RouteOperationWorkbench.vue;cpf-tools/db/metadata/bza-permission-manifest.json,BZA workbench is GET-only and resolves permissions from canonical bza-permission-manifest action rules. Runtime/browser unverified.,canonical actionRules 기반 operation permission으로 교체.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-016,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-017,P0,BZA/Frontend,"FDEV-015,FDEV-016,FDEV-017,FDEV-023",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,BZA Release Integrity 미완성,cpf-biz-admin/build.gradle;cpf-biz-admin/frontend/\*\*,Release runner includes BZA npm/openapi/browser checks and BZA URL fail-closed source logic; current-SHA BZA runtime evidence absent.,ADM/BZA 동일한 generation reproducibility + BZA browser release gate.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-017,023",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-018,P2,ADM/Frontend/Contract,"FDEV-012,FDEV-014",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Frontend idempotency storage 정책/표현 불일치,integrationClosureIdempotency.ts/.test.ts,"Integration Closure idempotency code/tests consistently use localStorage v3 with pending 24h, confirmed 7d, generation rotation and no raw payload persistence.",pending retry lifetime/rotation 정책을 명시하고 실제 storage semantics와 UI 문구/Test를 일치.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-026,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-019,P0,Approval/Security,"FDEV-003,FDEV-010,FDEV-013",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Approval Owner Registry 4D binding이 exact tuple이 아니라 fuzzy matching,BatchRuntimeApprovalOwnerCommandAdapter.java;CenterCutApprovalOwnerCommandAdapter.java,BatchRuntimeApprovalOwnerCommandAdapter and CenterCut adapter use exact 4D tuples ownerModule/ownerCommand/actionType/targetType; service resolves exact tuple.,canonical exact allowlist/enum table로 ownerModule+ownerCommand+actionType+targetType 완전일치. near-match negative matrix.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-005,025",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-020,P0,Approval/Security,"FDEV-003,FDEV-006,FDEV-012",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Process Kill 후 Approval EXECUTING/RUNNING 고착 경로,AdmApprovalService.java;AdmApprovalRepository.java;AdmApprovalController.java,Approval repository has execution lease/fence and stale RUNNING/EXECUTING sweep to UNKNOWN; process-kill live runtime not independently executed.,stale RUNNING lease/deadline+sweeper/reconcile entry를 구현하고 owner 호출 전/후 kill을 2-instance에서 검증.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-012,025",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-021,P0,Approval/Security,"FDEV-003,FDEV-013",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Public DQ capability 안전성이 Provider 구현 규율에 의존,cpf-core/.../CpfDataQualityCorrectionPort.java,Production DQ correction path is wrapped by final AdmDataQualityCorrectionGateway which verifyAndConsume()s proof before delegate.,proof verification을 framework-owned final wrapper/token consumption boundary로 이동하거나 provider가 우회할 수 없는 계약으로 변경.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-025,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-022,P0,Approval/Security,"FDEV-003,FDEV-012,FDEV-013",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,HMAC capability 자체에 expiry/nonce-consumption single-use 없음,AdmDataQualityApprovalProofService.java,Approval proof has TTL+nonce; persistent nonce repository performs conditional single-use consume with expiry/reference.,TTL + nonce ledger/single-use token + replay rejection을 DB/cluster-safe하게 구현.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-025,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-023,P0,Approval/Security,FDEV-013,OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Integration Closure secret가 raw ConfigurationProperties 문자열로 주입 가능,AdmIntegrationClosureProperties.java;AdmIntegrationClosureConfiguration.java,Production/staging secret resolution rejects raw secret and requires SecretRef/provider; local/dev compatibility remains.,prod/stg에서는 SecretProvider/KMS/secret-ref만 허용하고 raw key property fail-closed.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-006,013",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-024,P1,Approval/Security,"FDEV-003,FDEV-005,FDEV-013,FDEV-019",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Approval Policy immutability/active overlap이 DB까지 닫히지 않음,AdmApprovalService.java;AdmApprovalRepository.java;DB schema/V104,"V105 PostgreSQL/Oracle/MariaDB all contain immutable policy enforcement, lock bucket, overlap trigger, execution lease/fence and nonce ledger. Live DB3 migration race not executed.",DB immutable trigger/privilege or update prohibition + effective range overlap constraint/transactional conflict.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-013,014",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-025,P0,Runtime/Release,"FDEV-003,FDEV-006,FDEV-012",OPEN,FAIL,Owner success 후 DB finalization/DB outage의 durable UNKNOWN 보장 부족,AdmApprovalService.java;AdmApprovalRepository.java,"Owner call occurs outside DB tx; if finishExecutionAndRequest fails, catch immediately calls markExecutionUnknown/history through the same DB repository. A real DB outage can prevent the durable UNKNOWN record too.",durable command ledger/outbox/fencing + startup sweeper + owner-status reconcile로 side-effect/ledger 분리를 복구.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-012,025",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-026,P1,Management/Quality,"FDEV-003,FDEV-006,FDEV-010,FDEV-013",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,BAT Approved Remote Port가 localhost/local instance default로 fail-open,cpf-admin/src/main/java/com/cpf/admin/opr/batch/runtime/BatApprovalOwnerCommandPort.java,BAT remote approval port requires explicit remote base URL and rejects localhost/127.0.0.1/::1/0.0.0.0 and local/default/unknown caller instance. Runtime topology unverified.,"prod/stg risky command는 explicit endpoint/instance required, localhost/default identity 금지.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-005,023",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-027,P1,Management/Quality,"FDEV-003,FDEV-006,FDEV-012",OPEN,PARTIAL,InMemory DQ replay는 multi-instance/process-kill idempotency 증거가 아님,cpf-common/.../InMemoryCpfDataQualityOperations.java,InMemory DQ implementation explicitly declares process-local/non-production semantics; persistent provider is required for prod/stg. Actual multi-instance/process-kill replay on persistent provider remains unverified.,reference/local scope를 명확히 하고 production persistent provider에서 atomic CAS/idempotency/reconcile proof.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-012,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
