gap_id,priority,decision,proposed_requirement_id,title,requirement,proposed_owner,canonical_integration_target,개발GPT_작업대상상태,continuity_status,acceptance_summary,next_action
GAP-DATA-QUALITY,P1,PROMOTE_NEW_CANONICAL,DATA-QUALITY,Data Quality·Quarantine·Correction,"Rule lifecycle, threshold, quarantine, correction, replay, owner 승인과 SLA를 독립 Requirement로 승격한다.",data owner + operations/admin,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-TIME,P1,PROMOTE_NEW_CANONICAL,CPF-TIME,Time·Clock·Timezone Standard,"UTC/business timezone, monotonic clock, skew, NTP health, serialization, lease/deadline/audit와 Test Clock 계약을 승격한다.",cpf-core time API/SPI + operations health,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-NOTIFICATION,P1,PROMOTE_NEW_CANONICAL,CMN-NOTIFY,Notification Delivery Engine,"Email/SMS/Push/Webhook channel, outbox, preference, rate, retry, bounce/receipt, masking과 audit를 제품 Engine으로 승격한다.",cpf-common policy + channel SPI/providers + ADM,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-SUPPORT-BUNDLE,P1,PROMOTE_NEW_CANONICAL,OPS-SUPPORT,Sanitized Support Bundle,"Version/config/topology/health/log/metric/thread-dump 수집, masking, consent, size, expiry와 integrity를 운영 제품으로 승격한다.",cpf-admin operations + cpf-tools diagnostics,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-SUPPLIER-DUE-DILIGENCE,P1,PROMOTE_NEW_CANONICAL,REL-SUPPLIER,Supplier/Product Due Diligence,"NIST SP 1326 기반 supplier provenance, resilience, foundational practice와 supply-chain tier 검증을 독립 Requirement로 승격한다.",release/product governance + dependency onboarding,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-UPGRADE-ASSISTANT,P1,PROMOTE_NEW_CANONICAL,DEVEX-UPGRADE,CPF Framework Upgrade Assistant,"고객 프로젝트 inventory, compatibility 검사, generated config/SQL/API 변화, dry-run, rollback plan과 report를 제품 Tool로 승격한다.",cpf-tools migration/upgrade tooling,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-TELEMETRY-LIFECYCLE,P1,MERGE_STRENGTHEN,CPF-TRACE;OPS-METRIC;REL-COMPAT,Telemetry Schema/Stability Lifecycle,"OTel stability group, version pin, opt-in, dual emit, dashboard migration과 cardinality 계약을 기존 Requirement에 병합 강화한다.",cpf-core observability + operations,CPF-TRACE;OPS-METRIC;REL-COMPAT,작업 대상,기존 Canonical Acceptance/Work Package 병합 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,지정 Canonical의 Acceptance와 Work Package에 통합하고 회귀 Test 추가
GAP-DESIGN-SYSTEM,P2,MERGE_STRENGTHEN,ADM-UX;CMN-MSG,ADM/BZA Design System·I18N,"Component/token/form/table/error, locale/timezone/number/date, visual regression과 accessibility reuse를 기존 Requirement에 병합 강화한다.",shared frontend design system,ADM-UX;CMN-MSG,작업 대상,기존 Canonical Acceptance/Work Package 병합 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,지정 Canonical의 Acceptance와 Work Package에 통합하고 회귀 Test 추가
GAP-OPENAPI-PROFILE,P1,MERGE_STRENGTHEN,API-CONTRACT;REL-COMPAT,OpenAPI Supported Profile Lifecycle,"3.1.2/3.2.0 지원 결정, generator capability, reference cycle, sanitization과 migration을 기존 Requirement에 병합 강화한다.",API quality/release,API-CONTRACT;REL-COMPAT,작업 대상,기존 Canonical Acceptance/Work Package 병합 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,지정 Canonical의 Acceptance와 Work Package에 통합하고 회귀 Test 추가
GAP-CBOM,P1,MERGE_STRENGTHEN,SEC-CERT;SEC-SECRET;REL-BUILD,Cryptographic BOM,"CycloneDX 1.7 cryptographic asset inventory, deprecated crypto와 PQC readiness를 기존 Requirement에 병합 강화한다.",security + supply chain,SEC-CERT;SEC-SECRET;REL-BUILD,작업 대상,기존 Canonical Acceptance/Work Package 병합 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,지정 Canonical의 Acceptance와 Work Package에 통합하고 회귀 Test 추가
GAP-DEPENDENCY-POLICY,P1,MERGE_STRENGTHEN,RULE-SEC;RULE-QUALITY;REL-BUILD,Dependency·License·Supplier Policy,Source/supplier/license/vulnerability/maintenance/EOL/provenance/waiver expiry를 기존 품질·Release Requirement에 병합 강화한다.,quality/release governance,RULE-SEC;RULE-QUALITY;REL-BUILD,작업 대상,기존 Canonical Acceptance/Work Package 병합 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,지정 Canonical의 Acceptance와 Work Package에 통합하고 회귀 Test 추가
GAP-CONFIG-SCHEMA,P1,MERGE_STRENGTHEN,CORE-CONFIG;OPS-CONFIG;REL-COMPAT,Config Schema Evolution,"Typed schema, secret classification, version migration, deprecation, unknown-key fail policy와 generated docs를 기존 Requirement에 병합한다.",core config + runtime control,CORE-CONFIG;OPS-CONFIG;REL-COMPAT,작업 대상,기존 Canonical Acceptance/Work Package 병합 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,지정 Canonical의 Acceptance와 Work Package에 통합하고 회귀 Test 추가
GAP-DATA-RESIDENCY,P1,REVIEW_FOR_CANONICAL_SPLIT,SEC-PRIVACY;PROD-MULTITENANT;DATA-RETENTION,Data Residency·Localization,지역별 저장·처리·backup·export 정책과 migration evidence가 별도 선택 Capability인지 소유권·규제 검토 후 확정한다.,privacy/data/product policy,,소유권 검토,Owner/규제 검토 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,제품/규제 Owner 결정
GAP-AI-SECURITY,P2,DEFER_OUT_OF_SCOPE,,AI Security Verification,CPF가 AI 기능을 제품 범위에 포함하기 전에는 AISVS/NIST AI 요건을 추가하지 않고 재개 조건만 보존한다.,future product governance,,해당 없음 스킵,재개 조건 전까지 범위 제외,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,AI Capability 공식 도입 시 REQ-GAP 재개
