document,type,audience,focus,baseline_pages,final_pages,baseline_docx_bytes,final_docx_bytes,baseline_pdf_bytes,final_pdf_bytes,body_chars,paragraphs,tables,images,sections,visualization,score
11_데이터_DB_마이그레이션가이드,실무 가이드,Backend 개발자·DBA,Persistence·Lock·Canonical DB·DB3·Migration/Seed/Rollback 적용,신규,2,,88329,,91499,719,31,7,1,1,DB 흐름도·Vendor3·Migration/Seed/Rollback 표,200
12_메시징_외부연계가이드,실무 가이드,연계·업무 개발자,HTTP/Event/Broker/File 연계와 Retry/DLQ/Replay/부분 실패 처리,신규,2,,70143,,92426,564,29,7,1,1,연계 흐름도·경계 선택·실패/복구 표,200
13_보안_권한_감사가이드,실무 가이드,개발·보안 담당자,Trust Boundary·인증/권한·Secret·위험 조치·Audit 적용,신규,2,,63075,,77834,555,30,6,1,1,보안 흐름도·권한/감사 체크리스트,200
14_CLI_도구_검증가이드,실무 가이드,개발·CI 담당자,CLI·Gate·Test·Package/Manifest/Hash 검증 절차 수행,신규,2,,64345,,86338,589,29,5,1,1,도구 흐름도·명령·검증 순서,200
15_Education_예제찾기가이드,실무 가이드,신규 개발자·교육 담당자,실행 가능한 Education Source/Test를 빠르게 찾아 업무에 적용,신규,2,,63762,,81815,720,26,6,1,1,예제 지도·상황→Source/Test 찾기 표,200
16_장애대응_Reconcile가이드,실무 가이드,개발·운영 담당자,UNKNOWN/PARTIAL 판단·Blind Retry 방지·Reconcile/Replay/종결 수행,신규,2,,125883,,99448,702,35,7,2,1,장애 판단 흐름도·대사 순서·복구 선택표,200
90_BZA매뉴얼,핵심 매뉴얼,업무 관리자·BZA 개발/운영 담당자,조직·사용자·권한·승인·감사 기능의 사용과 확장,59,45,346665,346487,1982398,1835618,5433,236,114,4,1,업무관리 화면/Route·권한·상태·오류 표,200
91_Gateway매뉴얼,핵심 매뉴얼,Gateway 개발·운영 담당자,Route·Security·Publish·Health·Transaction 조회와 Rollback/Reconcile,38,18,350028,350017,816006,660195,6783,203,49,4,1,Gateway 흐름·Route/보안/운영 판단표,200
기술사양서,설계 산출물,구현자·검증자,Contract·상태·API·설정·제한조건을 구현/검증 가능한 수준으로 명세,50,23,662404,662319,1292888,794984,7057,260,53,7,1,Contract/상태/제약 표·검증 기준,200
기술표준서,설계 산출물,개발팀·리뷰어,Naming·Dependency·API·Error·Context·Security·DB·Test 준수 기준,38,22,580506,580086,1302258,867297,12421,328,69,6,1,표준 선택표·Do/Do not·검수 기준,200
데이터베이스표준서,설계 산출물,DBA·데이터 설계자·Backend 개발자,DB3 공통 규칙·Schema/DDL/DML/Index/FK·Migration/Seed 기준,34,15,475923,523644,918189,613841,7995,195,51,5,1,DB 표준표·Vendor3·Migration/Backup/Restore 기준,200
산출물목록,설계 산출물,PM·PL·QA·인수 담당자,공식 문서 체계의 목적·독자·진입점을 찾는 문서 지도,33,15,266105,310051,761668,753801,4716,183,74,4,1,문서 지도·독자/목적/사용순서 표,200
아키텍처설계서,설계 산출물,아키텍트·기술리더·검토자,Ownership·의존성·실행 경계·Topology·Failure/Recovery의 설계 근거,43,34,420125,655969,1625429,1219370,37810,661,42,4,1,Architecture/Runtime/DB/실행·복구 도식과 설계 판단표,200
