finding_id,severity,requirement_id,area,title,actual_source,risk,required_fix,reproduction,source_path
QA-A-FINAL-NEW-011,P0,BZA-RETIRED-OPENAPI,BZA/OpenAPI,Retired BZA approval APIs return 410 in backend but checked-in OpenAPI still advertises active 200 operations,Four legacy approval operationIds remain in BZA OpenAPI; BzaBackofficeController throws HttpStatus.GONE for all four. Routes correctly omit them.,Generated clients/operation counts are inflated and contract consumers see wrong success semantics.,Remove retired operations from active spec/client or represent canonical 410 retirement without counting as active consumer operations; enforce runtime zero-drift.,Backend/OpenAPI/route cross-check,cpf-biz-admin/src/main/java/com/cpf/bizadmin/backoffice/controller/BzaBackofficeController.java|cpf-biz-admin/frontend/openapi/cpf-openapi.json
QA-A-FINAL-NEW-012,P1,BZA-ERROR-CONTRACT,BZA/OpenAPI,BZA checked-in OpenAPI omits standard security/error responses,"84 operations exist; checked-in BZA spec has no 401/403/404/409/429/500/503 response entries, while final acceptance requires those where applicable.",Generated client/frontend cannot be contract-bound to required failure UX.,Export runtime OpenAPI with canonical error DTO/responses and regenerate client; test error matrix.,OpenAPI parser,cpf-biz-admin/frontend/openapi/cpf-openapi.json
QA-A-FINAL-NEW-013,P0,FILELOG-REPLAY-SAFETY,FileLog/Recovery,"FileLog spool replay bypasses writer path safety, symlink defense, locks and file permissions","Replay calls createDirectories + Files.writeString(target, CREATE, APPEND) directly using path stored in spool; it does not re-run CpfFileLogWriter safety/NOFOLLOW/lock/permission logic.",Post-enqueue symlink/path swap or concurrent writer can redirect/interleave recovered logs.,Replay through the same hardened writer primitive or revalidate root/symlink/locks/permissions atomically; add symlink/race tests.,Source call-path inspection,cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogRecoverySpool.java|CpfFileLogWriter.java
QA-A-FINAL-NEW-014,P0,FILELOG-DEDUP,FileLog/Recovery,Recovery dedup is disabled for target logs larger than 8 MiB,Replay only scans marker when target size <= 8 MiB; larger targets always append the record.,Restart/replay can duplicate audit/log events under normal production log sizes.,Use durable dedup index/idempotency ledger or bounded tail/index strategy independent of whole-file size.,Source branch inspection,cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogRecoverySpool.java
QA-A-FINAL-NEW-015,P1,FILELOG-TEST-FALSEGREEN,Verification/FileLog,FileLog recovery test named dedup does not execute duplicate replay,"Test enqueues once and calls replay once; no second replay, >8MiB, symlink, partial write, disk-full/read-only or process-kill case.",Current test can remain green while required recovery semantics are broken.,Add adversarial recovery tests and mutation survivors for replay safety/dedup/corruption/process-kill.,Test source review,cpf-core/src/test/java/com/cpf/core/common/logging/file/CpfFileLogRecoveryContractTest.java
QA-A-FINAL-NEW-016,P0,OBS-FALSEGREEN,Verification/Observability,Observability qualifier still accepts synthetic authoritative-looking records,QA fake localhost server generated matching Probe+Metric+Log+Trace+Alert+Audit records and current 07_05 qualifier exited 0 PASS.,A single compromised/mock endpoint can self-manufacture release evidence.,"Require independently authenticated store endpoints/provenance, mandatory sourceSha, immutable record identity and workload-side evidence generated outside queried stores.",Executed adversarial fake stores; exit 0,cpf-tools/verification/final-dev/run-r6-observability-qualification.py
QA-A-FINAL-NEW-017,P0,SECNEG-FALSEGREEN,Verification/Security,Security negative qualifier accepts category labels without attack semantics,11 ordinary requests with category names xss/csrf/ssrf/idor/etc to an always-403 endpoint passed 11/11.,Release can claim security negative coverage without exercising attacks.,"Category-specific corpus schemas, mandatory payload/assertion semantics and boundary-specific proof are required.",Executed trivial 11-case corpus; exit 0,cpf-tools/verification/final-dev/run-r6-security-negative-qualification.py
QA-A-FINAL-NEW-018,P0,RESOURCE-FALSEGREEN,Verification/Performance,Resource qualifier does not compare observed resource usage to declared limits,Fake probe returned memory limit=1 and observed=999999999 with booleans true; gate exited 0.,Severe resource-budget breach can PASS release qualification.,Independently compare numeric observations to limits and require measured workload/cleanup evidence.,Executed adversarial probe; exit 0,cpf-tools/performance/run-resource-contract.py
QA-A-FINAL-NEW-019,P1,BATCH-FALSEGREEN,Verification/Batch,Batch semantic probe can pass on four booleans only,Fake endpoint returned launched/observed/restartSafe/reconciled=true and gate exited 0.,No actual execution/restart/reconcile identity or no-duplicate evidence is required.,"Require execution IDs, state transitions, restart identity and independently queried DB/runtime evidence.",Executed adversarial probe; exit 0,cpf-tools/performance/run-batch-contract.py
QA-A-FINAL-NEW-020,P1,BROKER-FALSEGREEN,Verification/Broker,Broker semantic probe can pass on four booleans only,Fake endpoint returned produced/consumed/reconnected/backpressureBounded=true and gate exited 0.,No offsets/message IDs/reconnect/backpressure measurements are proven.,"Require produced message IDs/offsets, consumption evidence, reconnect fault and measured queue/backpressure evidence.",Executed adversarial probe; exit 0,cpf-tools/performance/run-broker-contract.py
QA-A-FINAL-NEW-021,P0,DR-FALSEGREEN,Verification/DR,DR chaos qualifier accepts self-attested scenario booleans and RPO/RTO,Fake endpoint returned required booleans + RPO/RTO=0 and current gate exited 0.,No actual split-brain/power-loss/rollback fault or restored-data hash is proven.,Drive faults from independent harness and verify data/artifact hashes plus observed recovery times outside target response.,Executed adversarial probe; exit 0,cpf-tools/verification/final-dev/run-r6-dr-chaos-probe.py
QA-A-FINAL-NEW-022,P0,DB3-RUNNER,DB3/Runtime,DB3 lifecycle default Java runner class/path is not present as a real repository module,run-db3-lifecycle.ps1 defaults to com.cpf.tools.db.CpfDbLifecycleRunner in final-dev/build/classes/java/main; repository code search found no class.,Live DB3 gate can be structurally present but not runnable by default.,Provide real canonical runner artifact/classpath and test default invocation before live DB3 acceptance.,Script + repository class search,cpf-tools/verification/final-dev/run-db3-lifecycle.ps1
QA-A-FINAL-NEW-023,P1,ADM-CSP,ADM/Security,ADM CSP permits external unpkg runtime script origin and unsafe-eval,TransactionContextFilter sets script-src 'self' https://unpkg.com 'unsafe-eval'.,Conflicts with no external runtime CDN/script rule and expands XSS execution surface.,Remove unpkg/unsafe-eval unless strictly justified; use nonce/hash CSP and runtime header tests.,Source inspection,cpf-core/src/main/java/com/cpf/core/common/filter/TransactionContextFilter.java
QA-A-FINAL-NEW-024,P0,RUNTIME-13,Release/Runtime,Mandatory Runtime Qualification remains 0/13 PASS at current exact SHA,"Developer matrix is 13/13 미검증 at cd5bacc; QA environment lacks Java25/Gradle9.1/pwsh/live DB3/authenticated browsers/distributed target, and several gate-integrity failures were independently reproduced.",Final product completion cannot be declared.,Rebind every runnable command to current successor SHA and execute all 13 axes with immutable evidence; source defects must be fixed first.,Environment/tool execution,cpf-docs/work/v9i/dev-r6j14/RUNTIME_QUALIFICATION_MATRIX.csv
QA-A-FINAL-NEW-025,P1,EDU-DEAD-SOURCE,EDU/Architecture,13 non-executable PRODUCT_ADM/MERGE_EDU handler classes remain as dormant generic ADM implementations,"Registry correctly exposes only EDU-ADM-02/03/04/07, but all 17 handler source files remain; 13 are disabled only by registry/catalog metadata.","Dormant duplicate product logic can drift, be accidentally re-registered, and violates dead/stale-code hygiene.","With explicit deletion/migration approval, remove or convert dormant handlers to non-executable documentation/redirect artifacts; keep regression that only 4 extensions register.",All 17 current handler files + registry reviewed,cpf-reference/src/main/java/com/cpf/reference/optional/operations/**
