exact_id,product,operation_id,method,path,response_codes,development_status,verification_status,overall_status,qa_status,basis_sha,source_path,qa_comment
ADM-admAuditDeliveryRetry,ADM,admAuditDeliveryRetry,POST,/adm/api/audit-logs/deliveries/{deliveryId}/retry,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admAuthLogin,ADM,admAuthLogin,POST,/adm/api/auth/login,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admAuthLogout,ADM,admAuthLogout,POST,/adm/api/auth/logout,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admAuthMe,ADM,admAuthMe,GET,/adm/api/auth/me,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRuntimeCommand,ADM,admBatchRuntimeCommand,POST,/adm/api/batch-runtime/commands,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRuntimeCommandState,ADM,admBatchRuntimeCommandState,GET,/adm/api/batch-runtime/commands/{key},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRuntimeCreateDeploymentPlan,ADM,admBatchRuntimeCreateDeploymentPlan,POST,/adm/api/batch-runtime/deployment-plans,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRuntimeInstances,ADM,admBatchRuntimeInstances,GET,/adm/api/batch-runtime/instances,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchJobDefinitions,ADM,admBatchJobDefinitions,GET,/adm/api/batch-runtime/job-definitions,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchJobDefinitionSave,ADM,admBatchJobDefinitionSave,POST,/adm/api/batch-runtime/job-definitions/drafts,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchJobDefinitionValidate,ADM,admBatchJobDefinitionValidate,POST,/adm/api/batch-runtime/job-definitions/validate,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchJobDefinitionDetail,ADM,admBatchJobDefinitionDetail,GET,/adm/api/batch-runtime/job-definitions/{jobId}/versions/{version},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchJobDefinitionTransition,ADM,admBatchJobDefinitionTransition,POST,/adm/api/batch-runtime/job-definitions/{jobId}/versions/{version}/transition,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRuntimeView,ADM,admBatchRuntimeView,GET,/adm/api/batch-runtime/views/{view},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindExecutionTargets,ADM,admBatchFindExecutionTargets,GET,/adm/api/batch/execution-targets,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindExecutions,ADM,admBatchFindExecutions,GET,/adm/api/batch/executions,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindExecutionPage,ADM,admBatchFindExecutionPage,GET,/adm/api/batch/executions/page,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindExecutionDetail,ADM,admBatchFindExecutionDetail,GET,/adm/api/batch/executions/{executionId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRetryExecution,ADM,admBatchRetryExecution,POST,/adm/api/batch/executions/{executionId}/retry,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchStopExecution,ADM,admBatchStopExecution,POST,/adm/api/batch/executions/{executionId}/stop,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindGhostCandidates,ADM,admBatchFindGhostCandidates,GET,/adm/api/batch/ghost-candidates,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchActGhostExecution,ADM,admBatchActGhostExecution,POST,/adm/api/batch/ghost-candidates/{executionId}/actions,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindInstances,ADM,admBatchFindInstances,GET,/adm/api/batch/instances,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindJobs,ADM,admBatchFindJobs,GET,/adm/api/batch/jobs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRegisterJob,ADM,admBatchRegisterJob,POST,/adm/api/batch/jobs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindJobDetail,ADM,admBatchFindJobDetail,GET,/adm/api/batch/jobs/{jobId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRunJob,ADM,admBatchRunJob,POST,/adm/api/batch/jobs/{jobId}/run,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindLocks,ADM,admBatchFindLocks,GET,/adm/api/batch/locks,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchReleaseLock,ADM,admBatchReleaseLock,POST,/adm/api/batch/locks/release,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindOperationLogs,ADM,admBatchFindOperationLogs,GET,/adm/api/batch/operations,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindRelations,ADM,admBatchFindRelations,GET,/adm/api/batch/relations,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchRunSchedulerOnce,ADM,admBatchRunSchedulerOnce,POST,/adm/api/batch/scheduler/run-once,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindSchedules,ADM,admBatchFindSchedules,GET,/adm/api/batch/schedules,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchDisableSchedule,ADM,admBatchDisableSchedule,POST,/adm/api/batch/schedules/{scheduleId}/disable,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchEnableSchedule,ADM,admBatchEnableSchedule,POST,/adm/api/batch/schedules/{scheduleId}/enable,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchSimulateSchedule,ADM,admBatchSimulateSchedule,GET,/adm/api/batch/schedules/{scheduleId}/simulation,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindStepExecutions,ADM,admBatchFindStepExecutions,GET,/adm/api/batch/steps,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchExecutions,ADM,admBatchWorkbenchExecutions,GET,/adm/api/batch/workbench/executions,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchExecutionDetail,ADM,admBatchWorkbenchExecutionDetail,GET,/adm/api/batch/workbench/executions/{executionId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchInfrastructure,ADM,admBatchWorkbenchInfrastructure,GET,/adm/api/batch/workbench/infrastructure,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchJobs,ADM,admBatchWorkbenchJobs,GET,/adm/api/batch/workbench/jobs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchJobDetail,ADM,admBatchWorkbenchJobDetail,GET,/adm/api/batch/workbench/jobs/{jobId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchOverview,ADM,admBatchWorkbenchOverview,GET,/adm/api/batch/workbench/overview,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchRecovery,ADM,admBatchWorkbenchRecovery,GET,/adm/api/batch/workbench/recovery,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchWorkbenchSchedules,ADM,admBatchWorkbenchSchedules,GET,/adm/api/batch/workbench/schedules,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBatchFindWorkers,ADM,admBatchFindWorkers,GET,/adm/api/batch/workers,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBreakGlassFindSessions,ADM,admBreakGlassFindSessions,GET,/adm/api/break-glass,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBreakGlassOpenSession,ADM,admBreakGlassOpenSession,POST,/adm/api/break-glass,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBreakGlassCloseSession,ADM,admBreakGlassCloseSession,POST,/adm/api/break-glass/{sessionId}/close,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admBreakGlassReviewSession,ADM,admBreakGlassReviewSession,POST,/adm/api/break-glass/{sessionId}/review,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCalendarFindDays,ADM,admCalendarFindDays,GET,/adm/api/business-calendars/{calendarId}/days,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCalendarDeleteDay,ADM,admCalendarDeleteDay,DELETE,/adm/api/business-calendars/{calendarId}/days/{businessDate},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCalendarSaveDay,ADM,admCalendarSaveDay,PUT,/adm/api/business-calendars/{calendarId}/days/{businessDate},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCalendarResolveDate,ADM,admCalendarResolveDate,GET,/adm/api/business-calendars/{calendarId}/resolve,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCacheEvictKey,ADM,admCacheEvictKey,POST,/adm/api/cache/evict-key,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCacheEvictNamespace,ADM,admCacheEvictNamespace,POST,/adm/api/cache/evict-namespace,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCacheReconcile,ADM,admCacheReconcile,POST,/adm/api/cache/reconcile,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCacheRefresh,ADM,admCacheRefresh,POST,/adm/api/cache/refresh,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCacheSummary,ADM,admCacheSummary,GET,/adm/api/cache/summary,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutReconcileUnknownExecution,ADM,admCenterCutReconcileUnknownExecution,POST,/adm/api/center-cut/executions/{executionId}/reconcile-unknown,202;400;401;403;409;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutReprocessFailedExecution,ADM,admCenterCutReprocessFailedExecution,POST,/adm/api/center-cut/executions/{executionId}/reprocess-failed,202;400;401;403;409;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindJobs,ADM,admCenterCutFindJobs,GET,/adm/api/center-cut/jobs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindJobDetail,ADM,admCenterCutFindJobDetail,GET,/adm/api/center-cut/jobs/{centerCutJobId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindParameters,ADM,admCenterCutFindParameters,GET,/adm/api/center-cut/jobs/{centerCutJobId}/parameters,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindResults,ADM,admCenterCutFindResults,GET,/adm/api/center-cut/jobs/{centerCutJobId}/results,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindSummary,ADM,admCenterCutFindSummary,GET,/adm/api/center-cut/jobs/{centerCutJobId}/summary,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindTargets,ADM,admCenterCutFindTargets,GET,/adm/api/center-cut/jobs/{centerCutJobId}/targets,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCenterCutFindResultDetail,ADM,admCenterCutFindResultDetail,GET,/adm/api/center-cut/results/{resultId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admChannelFindSnapshot,ADM,admChannelFindSnapshot,GET,/adm/api/channels,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admChannelExportPackage,ADM,admChannelExportPackage,GET,/adm/api/channels/package,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admChannelImportPackage,ADM,admChannelImportPackage,POST,/adm/api/channels/package/import,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admChannelSaveExecutionPolicy,ADM,admChannelSaveExecutionPolicy,PUT,/adm/api/channels/policies/{policyKey},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admChannelRefreshSnapshot,ADM,admChannelRefreshSnapshot,POST,/adm/api/channels/refresh,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
