Rank,Review_ID,Priority,Area,Review Point,Acceptance Criteria,Minimum Evidence,User Mandatory,Status,Notes,basis_sha,evidence_id
11,CPF-RV-0011,P0,Batch Rollback,Batch A/B 성공 후 C 실패 시 정의된 범위가 rollback되고 중간 데이터가 오염되지 않는다.,부분 실패 시 상태와 데이터가 일관되며 재수행 전 복구 조건이 명확하다.,"Fault injection, DB 검증, Job 상태",Y,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0011
12,CPF-RV-0012,P0,Batch Restart,Batch 실패 후 restart/checkpoint가 정확한 위치에서 재개되고 이미 처리된 데이터가 중복 반영되지 않는다.,restartable 상태·checkpoint·idempotency가 실제 데이터로 검증된다.,"Restart Test, DB 결과, execution history",Y,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0012
13,CPF-RV-0013,P0,Batch Process Kill,Batch 실행 중 Process Kill 후 재기동해도 stale lock·중복처리·유실 없이 복구된다.,비정상 종료를 실제 강제하고 재기동 후 결과가 정상 실행과 동일하다.,"Process Kill runtime Evidence, DB/로그 비교",Y,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0013
14,CPF-RV-0014,P0,Batch 로깅,Batch transactionId/jobId/stepId/executionId/attempt가 혼동 없이 표준 로그로 연결된다.,운영자가 단일 실행과 단일 업무거래를 각각 추적할 수 있다.,"로그/ADM 실행조회, trace matrix",Y,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0014
15,CPF-RV-0015,P0,Batch 예제,Batch→Domain A→B→C 성공/실패/rollback/restart 실행 예제가 존재한다.,Sample이 단순 skeleton이 아니라 실제 데이터와 transaction/recovery를 검증한다.,"EDU/Sample, Batch Test, runtime log",Y,FAIL,Batch feature EDU는 존재하지만 Batch→Domain A→B→C 통합 실행 sample을 찾지 못함. NEW-002.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0015
16,CPF-RV-0016,P1,Framework 기본 API,Framework 제공 Utils가 String/Date/Time/Number/Collection/Validation/Masking/File/ID 영역에서 책임과 품질을 갖춘다.,중복·취약·dead utility가 없고 실제 Consumer와 단위/경계 Test가 존재한다.,"Utility catalog, consumer search, tests",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0016
17,CPF-RV-0017,P1,Paging,공통 Paging이 page/size/sort/최대 size/total/empty/out-of-range/DB paging을 일관되게 처리한다.,Backend/Frontend/OpenAPI/Generated Client의 paging 계약이 동일하다.,API/SQL/Client/Frontend Test,Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0017
18,CPF-RV-0018,P0,WebClient,공통 WebClient가 timeout/pool/retry/error mapping/transaction context/masking/observability를 표준 제공한다.,개별 업무가 raw client를 제각각 생성하지 않고 표준 Client를 실제 사용한다.,"AutoConfig, consumer trace, timeout/error tests",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0018
19,CPF-RV-0019,P1,Framework 기본 API,Validation/Error/Serialization/Upload/Download 공통 API가 제품 경로에서 재사용되며 표준 계약을 갖는다.,각 기능에 owner·consumer·error contract·test가 존재한다.,"API catalog, consumer matrix, tests",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0019
20,CPF-RV-0020,P1,Framework 기본 API,Masking/Date/Time/ID/File 처리 API가 로그·DB·API 경계에서 동일 정책을 적용한다.,민감정보/시간대/ID 규칙이 경로마다 달라지지 않는다.,"Cross-module source trace, tests",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0020
21,CPF-RV-0021,P1,Code Quality,주요 Source에 한글 중심 주석이 있으며 단순 코드 번역이 아니라 설계 의도와 주의점을 설명한다.,복잡 로직의 WHY가 유지되고 stale/거짓 주석이 없다.,"Source review, comment lint/review Evidence",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0021
22,CPF-RV-0022,P1,Javadoc,Public class/interface/API/SPI에 소비자가 이해할 수 있는 한글 중심 Javadoc이 존재한다.,책임·사용조건·thread-safety/transaction 관련 계약이 필요한 곳에 명시된다.,"Javadoc source review, generated docs",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0022
23,CPF-RV-0023,P1,Javadoc,Public/주요 method의 param/return/throws/null/side-effect 계약이 정확히 문서화된다.,실제 구현과 Javadoc이 불일치하지 않는다.,"Javadoc generation, source comparison",Y,FAIL,CpfHttpClient/CpfPageRequest 등 public methods에 param/return/throws/null/side-effect method Javadoc 누락 확인. NEW-004.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0023
24,CPF-RV-0024,P1,Javadoc,Transaction/Lock/Retry/Recovery/Security 등 주요 로직 블록에 설계 의도와 실패 시 동작 설명이 있다.,유지보수자가 로직의 이유와 금지사항을 코드에서 이해할 수 있다.,Source review,Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0024
25,CPF-RV-0025,P1,Javadoc,전체 Javadoc 생성이 warning/error 기준을 만족한다.,누락 참조·잘못된 tag·깨진 link로 생성 실패하지 않는다.,Javadoc task exit code/log,Y,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0025
26,CPF-RV-0026,P1,OpenAPI/Swagger,모든 Public Controller/API가 Swagger/OpenAPI에 정확히 노출된다.,누락 operation과 비공개/retired operation의 잘못된 노출이 없다.,"OpenAPI diff, controller catalog",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0026
27,CPF-RV-0027,P1,OpenAPI/Swagger,Request/Response schema가 실제 DTO/Validation과 일치한다.,nullable/required/length/enum 등의 계약이 Source와 문서에서 동일하다.,"Schema diff, generated client compile",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0027
28,CPF-RV-0028,P1,OpenAPI/Swagger,정상 및 400/401/403/404/409/429/500/503 오류 계약이 실제 구현과 일치한다.,HTTP status와 표준 Error body가 문서·런타임 모두 동일하다.,"Negative API tests, OpenAPI",Y,FAIL,"ADM 330 operations 중 401/403/500/503 명시가 18개 수준, BZA 400=0. checked-in error contract 불완전. NEW-005.",b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0028
29,CPF-RV-0029,P1,OpenAPI/Swagger,API별 인증·권한·위험조작 조건이 Swagger/OpenAPI에 명확하다.,Frontend 표시가 아닌 Backend enforcement와 문서가 일치한다.,"Security annotations, tests, spec",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0029
30,CPF-RV-0030,P1,OpenAPI/Swagger,실제 유효한 Example과 Generated Client가 존재하고 ADM/BZA/EDU Consumer가 이를 사용한다.,raw HTTP 우회 없이 생성 Client가 compile/runtime에서 사용된다.,"Client generation, consumer trace",Y,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0030
31,CPF-RV-0031,P0,Architecture,cpf-core는 topology-independent 기술 핵심 계약과 최소 runtime만 소유한다.,업무/Admin/Batch runtime/선택 Provider 구현이 core로 역류하지 않는다.,"Dependency scan, package ownership gate",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0031
32,CPF-RV-0032,P0,Architecture,MyBatis/JDBC 선택 Provider 구현이 cpf-core에 존재하지 않고 적절한 downstream owner에 위치한다.,core가 provider starter/implementation을 직접 참조하지 않는다.,"Dependency graph, source scan",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0032
33,CPF-RV-0033,P0,DB3,공식 DB Vendor는 Oracle/PostgreSQL/MariaDB만이며 세 Vendor 기능 동등성이 유지된다.,MySQL/MSSQL/H2가 공식 runtime/evidence vendor로 혼입되지 않는다.,"DB3 matrix, build/runtime profile",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0033
34,CPF-RV-0034,P0,DB3,Clean Install→Upgrade→Runtime Query→Rollback 전체 lifecycle을 세 Vendor에서 검증한다.,실제 runner가 존재하며 NOT_EXECUTED를 PASS로 기록하지 않는다.,"DB3 runtime logs, exit codes",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0034
35,CPF-RV-0035,P0,Approval,Approval terminal update에 fencing이 적용되어 stale owner overwrite를 방지한다.,오래된 실행이 최신 terminal 상태를 덮어쓰지 못한다.,"Concurrency Test, DB state",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0035
36,CPF-RV-0036,P0,Center-Cut,RUNNING/RETRYING을 terminal success로 오판하지 않고 partial/unknown을 구분한다.,비종료 실행은 success path로 진행하지 않는다.,State machine tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0036
37,CPF-RV-0037,P0,Center-Cut,Batch/Approval identity matching에 문자열 contains가 아닌 exact structured identity를 사용한다.,부분 문자열 충돌로 다른 실행이 매칭되지 않는다.,Negative identity tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0037
38,CPF-RV-0038,P0,FileLog,FileLog replay가 hardened writer/masking/validation 경로를 우회하지 않는다.,startup replay와 정상 append가 동일 보안·무결성 계약을 적용한다.,"Replay tests, source trace",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0038
39,CPF-RV-0039,P0,FileLog,FileLog는 hard-kill/disk-full/read-only/partial-file 후 유실·중복 없이 복구된다.,실패를 실제 강제하고 checksum/quarantine/retry 결과를 검증한다.,Runtime failure evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0039
40,CPF-RV-0040,P0,Observability,Observability PASS가 문자열/파일 존재 확인이 아니라 실제 metric/log/trace provenance로 증명된다.,운영 지표가 실제 runtime에서 생성되고 Source SHA와 연결된다.,Runtime scrape/log/trace evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0040
41,CPF-RV-0041,P0,Security,인증/권한 우회·transactionId spoof/replay·IDOR 등 negative semantic attack을 실제 검증한다.,금지 요청이 Backend에서 차단되고 감사로그가 남는다.,Negative security tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0041
42,CPF-RV-0042,P0,HA/DR,DR은 문서 수치가 아니라 외부 harness로 실제 RPO/RTO와 데이터 무결성을 측정한다.,복구 후 transaction/audit/lineage 정합성을 검산한다.,DR runtime report,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0042
43,CPF-RV-0043,P0,ADM,HIGH/CRITICAL ADM 조작은 Generated Typed Client를 사용하고 raw admMutation/raw HTTP를 우회하지 않는다.,권한·사유·승인·감사·결과 추적이 모두 Backend와 연결된다.,"Frontend source trace, backend tests",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0043
44,CPF-RV-0044,P1,BZA,Approval Simulation은 SIMULATE permission을 Backend에서 강제하고 Generated Client/Consumer까지 연결한다.,화면 숨김만으로 권한을 대체하지 않는다.,"Permission tests, client trace",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0044
45,CPF-RV-0045,P0,EDU,EDU 135 전체가 executable consumer로 존재하고 catalog/role/generated-domain과 일치한다.,문서/Stub만 존재하는 EDU가 없고 핵심 예제가 실행 Test에 들어간다.,"EDU 135 matrix, build/test",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0045
46,CPF-RV-0046,P1,EDU,PRODUCT_ADM/MERGE_EDU 등 retired/stale runtime handler가 제거되어 현재 Architecture와 충돌하지 않는다.,죽은 routing/handler가 운영 path에 남지 않는다.,"Source search, route tests",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0046
47,CPF-RV-0047,P0,Starter/BOM,모든 Module이 exactly-one Owner Group/Internal Role을 가지며 Public BOM에 Internal Leaf가 노출되지 않는다.,catalog/settings/generator/publication이 동일 canonical catalog를 따른다.,Catalog parity gate,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0047
48,CPF-RV-0048,P0,Evidence,모든 PASS Evidence가 검증 대상 exact SHA에 귀속된다.,과거 SHA 성공 결과를 현재 PASS로 승계하지 않는다.,"SHA provenance, evidence headers",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0048
49,CPF-RV-0049,P0,Verification,READY/PLANNED/NOT_EXECUTED/파일 존재를 PASS로 기록하는 false-green이 없다.,필수 Runtime은 실제 실행하거나 미검증으로 명확히 남긴다.,"Gate source, mutation/negative tests",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0049
50,CPF-RV-0050,P0,Release,Fresh clone 단일 exact SHA에서 Build→Test→DB3→EDU→ADM/BZA→Runtime→Package를 재현한다.,검증한 Source와 배포 Artifact가 동일 SHA/Hash이며 Working Tree 오염 없이 재현된다.,"Fresh clone execution log, package hash",N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0050
51,CPF-RV-0051,P0,Architecture/Ownership,Module별 공식 Owner와 책임 경계 — 구현·Ownership·Consumer를 검증한다.,Module별 공식 Owner와 책임 경계: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0051
52,CPF-RV-0052,P0,Architecture/Ownership,Module별 공식 Owner와 책임 경계 — 정상·경계 동작를 검증한다.,Module별 공식 Owner와 책임 경계: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0052
53,CPF-RV-0053,P0,Architecture/Ownership,Module별 공식 Owner와 책임 경계 — 실패·부분실패·UNKNOWN를 검증한다.,Module별 공식 Owner와 책임 경계: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0053
