defect_id,priority,area,status,source_paths,finding,impact,required_action,review_sha
QA35-DF-011,P0,Security/BFF,부분 구현,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/test/java/com/cpf/starter/security/CpfServerSessionSecurityFilterChainTest.java,"Authentication/CSRF/session boundaries improved, but tests cover synthetic controllers and no complete real ADM/BZA endpoint-permission inventory exists.",Real controller methods may remain authenticated-only or have wrong permission codes.,"Generate and verify a real endpoint-method-permission matrix, test representative READ/WRITE/DELETE/risk operations, and fail on unowned or unprotected routes.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-012,P1,Gateway,부분 구현,cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfGatewayPinnedHttpClientConfiguration.java;cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java,"DNS pinning is improved, but HTTP remains allowed without environment policy, allowed ports are not explicit, and the custom client/connection manager lifecycle is not verified.",Transport security and resource lifecycle can vary by deployment.,"Add production TLS-required and port allowlist policies, lifecycle-managed client resources, and live TLS/SNI/certificate/rebinding/redirect tests.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-013,P1,Outbound Security,부분 구현,cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchOutboundHttpPolicy.java;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/internal/PinnedArtifactHttpTransport.java,"Batch and Agent duplicate CIDR logic and parse CIDR base with InetAddress.getByName, allowing DNS names in an allowlist field intended to be literal network identity.",Policy drift and DNS re-entry are possible.,"Move literal IP/CIDR parsing into one owned public/internal utility, reject hostnames, validate configuration at startup, and add IPv4/IPv6/mixed/invalid fixtures.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-014,P0,Runtime Evidence,미검증,cpf-docs/evidence;cpf-tools/scripts/verify-cpf-qa34-java-build.ps1;cpf-tools/scripts/verify-cpf-qa34-frontend-runtime.ps1,"The push contains evidence schema/template but no current exact-SHA QA34 Java, frontend, DB, Kafka, multi-instance, or supply-chain success evidence.",The repository is not independently release-proven at e1f8bef....,Execute the repaired one-pass matrix in a fresh clone and retain exact-SHA sanitized evidence without modifying source.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-015,P1,Codex Efficiency,실패,cpf-docs/work/current/CPF_20260731_QA34_CODEX_FINAL_INDEPENDENT_VERIFICATION_REQUEST.md,"The request leaves Expected SHA as a placeholder, does not provide one copyable full invocation, and points to wrappers with missing dependencies.",Codex spends credits rediscovering parameters and then repairing the verifier.,"Provide exact SHA, environment preflight, one full invocation, impact map, known blockers, no-repeat rules, and step-level minimum revalidation scopes.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-016,P1,Scope/Ownership,재확인 필요,README.md;cpf-docs/guides,The source remediation commit also changes README and eight guides despite the earlier separate artifact-session ownership rule.,Review scope grows and parallel-session changes can overwrite each other.,"Confirm ownership, separate artifact-session changes or record an explicit approved scope merge, and require per-session changed-file manifests.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-017,P0,Evidence Lifecycle,미구현,cpf-docs/evidence/schema/CPF_QA34_INDEPENDENT_REVIEW_SCHEMA.json;cpf-tools/scripts/verify-cpf-qa34-finalize.ps1,"There is no working canonical evidence-closure implementation that proves all required evidence files, hashes, row mappings, and exact-SHA release eligibility.",Even successful component runs cannot produce a trustworthy final release index.,Implement a source-clean external evidence bundle and signed/indexed closure that never requires committing generated PASS evidence back into the verified source SHA.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-018,P1,Repository Hygiene,재확인 필요,cpf-docs/work/current;cpf-docs/work/manifest,"Current work state, historical QA documents, generated markers, and manifests are not consistently synchronized to the latest push.",Stale files repeatedly become the next QA defect.,"Add a current-document uniqueness gate, stale SHA scan, generated-artifact drift gate, and archive superseded requests after final closure.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-019,P0,ADM/Information Architecture,부분 구현,cpf-admin/frontend/src/state/createAdmState.ts;cpf-admin/frontend/src/app/routes.ts,"ADM exposes 59 menu entries, but menu metadata and labels are hardcoded in the frontend and only flat six-group navigation is available. There is no commercial menu-management workflow or server-authoritative menu hierarchy.","Menu count can grow without proving ownership, permission, route, operation, or backend capability; operations staff face an unstructured console.","Implement a canonical server-managed nested menu/capability registry with ordering, locale labels, visibility, permission binding, environment availability, audit, and frontend parity gates.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-020,P0,ADM/Route Integrity,실패,cpf-admin/frontend/src/app/routes.ts,"Unknown menu IDs, missing components, and unknown route names silently fall back to home/dashboard.",Broken or unauthorized menu wiring is hidden instead of producing explicit 403/404 and can create false-green route tests.,"Remove silent dashboard fallback; distinguish not-found, forbidden, disabled-by-environment, and feature-loading failures; add negative route fixtures and direct-link tests.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-021,P0,ADM/Gateway UX,부분 구현,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue,Nine Gateway menu IDs all load one component and the page defaults to the same internal tab; several advertised menu capabilities do not have route-specific tab state.,Clicking different Gateway menus can show the same default workflow and the menu hierarchy overstates actual feature separation.,"Use route-specific typed subroutes/tabs and deep links, or collapse duplicate menus; prove each menu opens its intended workflow and permission scope.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-022,P0,ADM/Batch Runtime Views,부분 구현,cpf-admin/frontend/src/features/batch-runtime-control/BatchViewPage.vue;cpf-admin/frontend/src/features/batch-instances;cpf-admin/frontend/src/features/batch-scheduler;cpf-admin/frontend/src/features/batch-worker-pools;cpf-admin/frontend/src/features/batch-agents;cpf-admin/frontend/src/features/batch-executions;cpf-admin/frontend/src/features/batch-recovery,Multiple commercial-looking Batch submenus are one-line wrappers over a generic dynamic table limited to discovered columns and refresh.,"Dedicated workflows lack typed filters, server paging, sorting, details, state transitions, logs, reports, approvals, deep links, and recovery controls.",Replace generic wrappers with owned feature pages and typed generated clients; each menu must implement its actual operational workflow and tests.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-023,P0,ADM/Batch Execution,부분 구현,cpf-admin/frontend/src/features/batch/BatchPage.vue;cpf-admin/frontend/src/features/batch-executions/BatchExecutionsPage.vue,"BatchPage contains many controls, but execution instances lack a dedicated commercial detail workspace covering state machine, step history, live log, report/artifact, retry ancestry, parameters, server/worker, and audit trail.",Operators cannot diagnose and safely recover one execution from a single authoritative screen.,"Implement execution list/detail/deep-link workflow with step timeline, logs, reports, artifacts, runtime identity, state actions, approval, audit, conflict/idempotency handling, and cross-navigation.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-024,P1,ADM/Batch Job Management,부분 구현,cpf-admin/frontend/src/features/batch-job-packs/BatchJobPacksPage.vue;cpf-admin/frontend/src/features/batch/BatchPage.vue,"Immutable Job Pack and approval concepts are stronger than the reference, but dedicated Job Group management, graphical dependency/critical-path analysis, bulk import/export, clone/version diff, and registration-request work queue are incomplete or not first-class.","Complex Batch estates remain difficult to design, review, migrate, and operate at scale.",Complete Job catalog/group/version/diff/import/export/dependency graph/critical path/registration approval workflows without weakening immutable definition governance.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-025,P1,ADM/Batch Scheduler,부분 구현,cpf-admin/frontend/src/features/batch-scheduler/BatchSchedulerPage.vue;cpf-admin/frontend/src/features/business-calendar,"Scheduler HA is a generic table and no integrated schedule calendar, trigger forecast, misfire simulation, holiday impact, collision/over-capacity forecast, or schedule change diff is proven.",Schedule defects and capacity conflicts are detected late and HA ownership cannot be operated safely.,"Implement schedule calendar/heatmap, next-fire and misfire simulation, holiday/business-date preview, collision/capacity forecast, leader/standby/lease status, and audited schedule changes.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-026,P0,ADM/Batch Agent and Worker,부분 구현,cpf-admin/frontend/src/features/batch-agents/BatchAgentsPage.vue;cpf-admin/frontend/src/features/batch-worker-pools/BatchWorkerPoolsPage.vue;cpf-admin/frontend/src/features/workers,"Agent and Worker Pool menus mainly expose generic status rows. Commercial drain, quarantine, capacity, version drift, heartbeat, process identity, active assignment, activation/rollback, and safe replacement workflows are not proven.",Multi-host Batch operations and incident response remain dependent on raw backend knowledge or scripts.,"Implement typed Agent/Worker/Server detail pages and permissioned drain/quarantine/restart/activation/rollback/reconcile workflows with reason, approval, CAS, audit, and result tracking.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-027,P0,ADM/Batch HA Recovery,부분 구현,cpf-admin/frontend/src/features/batch-recovery;cpf-admin/frontend/src/features/batch-leases;cpf-admin/frontend/src/features/batch-runtime-control,"Unknown-result, lease, fencing, and recovery menus do not yet prove a unified case-oriented workflow with evidence, ownership, safe decision options, compensation, and post-recovery validation.",Partial failure and process-kill scenarios can leave operators choosing unsafe actions without complete context.,"Build a recovery workbench linking ledger/reply/lease/fence/worker/process/log/artifact evidence to retry, resume, compensate, fail, or reconcile actions and approvals.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-028,P0,ADM/Batch-Online Integration,미구현,cpf-admin/frontend/src/features/transaction-groups;cpf-admin/frontend/src/features/batch;cpf-admin/frontend/src/features/incidents;cpf-admin/frontend/src/features/audit-logs,"Batch and Online share identifiers in data models, but the ADM does not prove one-click navigation among online transaction, Batch execution, Center-Cut target/result, external call, incident, log, approval, and audit evidence.",The integrated ADM objective is not achieved operationally even when backend IDs exist.,"Implement a unified trace/case model and cross-navigation with preserved filters, timestamps, masked payloads, causal links, and authorization across Online, Batch, Gateway, Incident, and Audit.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-029,P0,ADM/Online Definition,미구현,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/features/transactions;cpf-admin/frontend/src/features/standard-executions;cpf-admin/frontend/src/features/channel-policy,"No first-class commercial workflows are proven for transaction pre/post processing, pipeline composition/properties, dependency execution rules, or DBIO/query definition and impact analysis.","Core online execution behavior cannot be safely inspected, versioned, approved, or changed from ADM.","Implement versioned Online transaction pipeline, pre/post, dependency rule, DBIO/query catalog, validation, impact graph, approval, deployment, rollback, and audit workflows.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-030,P0,ADM/Online Deployment,부분 구현,cpf-admin/frontend/src/features/runtime-control;cpf-admin/frontend/src/features/service-registry;cpf-admin/frontend/src/features/gateway-operations,"Runtime change and service registry features exist, but application/component/external-integration deployment inventory, promotion, canary, rollback, version skew, and instance apply status are not unified for Online services.",Online configuration and binary/runtime changes cannot be managed as one controlled release operation.,"Create Online deployment/promotion/rollback workbench with artifact trust, environment diff, instance rollout, health gates, approval, compensation, and audit.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-031,P1,ADM/Online Runtime Monitoring,부분 구현,cpf-admin/frontend/src/features/dashboard;cpf-admin/frontend/src/features/capacity;cpf-admin/frontend/src/features/topology;cpf-admin/frontend/src/features/reliability,"Topology/capacity/reliability exist, but dedicated service throughput, thread/connection pool, dependency latency, delayed asynchronous queue, backpressure, and processing-flow diagnostics are not proven.",Operators see aggregate health without enough drill-down to isolate saturation and latency sources.,"Implement typed real-time monitors, thresholds, time range, percentile/error breakdown, instance comparison, dependency flow, delayed-async backlog, and drill-through to traces/logs.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-032,P0,ADM/Online Observability,부분 구현,cpf-admin/frontend/src/features/transaction-groups;cpf-admin/frontend/src/features/logs;cpf-admin/frontend/src/features/errors;cpf-admin/frontend/src/app/routes.ts,"Transaction group detail is strong, but dedicated error queue/workbench, protocol-message trace, dependency log, integrated correlation search, and statistics/analysis workflows are incomplete; the errors feature is not registered as a route.","Failure triage, protocol diagnosis, and trend analysis remain fragmented.","Complete unified transaction/error/message/dependency log workbench with case assignment, masked payload compare, request/response decoding, statistics, retention/export, and route integration.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-033,P1,ADM/System Administration,미구현,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/state/createAdmState.ts,"Operator/permission/security features exist, but no explicit menu management, notice/bulletin, active session/login failure history, usage history, read-only DB schema/migration/drift browser, or label/localization catalog is registered.",Framework administrators lack minimum governance and support functions expected from a commercial administration console.,"Implement or explicitly map these capabilities with owner APIs, paging, permissions, audit, masking, and evidence; do not count hidden folders or generic audit rows as completion.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-034,P1,ADM/Common Operations,부분 구현,cpf-admin/frontend/src/features/cache;cpf-admin/frontend/src/features/downloads;cpf-admin/frontend/src/features/file-jobs;cpf-admin/frontend/src/features/service-registry;cpf-admin/frontend/src/features/gateway-operations,"Cache, file jobs, downloads, registry, and Gateway health exist, but datasource pool monitoring, local/remote file health, supported-protocol connection monitoring, event log, and notification coverage are not a coherent common-operations capability.",Resource and connection issues require multiple screens or external tools and may not correlate to transactions/incidents.,"Add datasource/file/connection/event operational views with instance metrics, thresholds, masked diagnostics, notifications, and trace/incident cross-links. Persistent TCP is not required unless officially supported.",e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-035,P0,ADM/Traceability Gate,미구현,cpf-admin/frontend/src/app/featureCoverage.ts;cpf-admin/frontend/src/app/routes.test.ts;cpf-admin/frontend/e2e/route-quality.spec.ts,Current coverage mainly checks menu and route IDs. It does not prove menu -> route -> component -> generated operation -> OpenAPI -> backend -> permission -> audit -> browser scenario.,"A menu can be counted complete while opening a generic page, unresolved operation, wrong tab, unauthorized endpoint, or no backend consumer.",Implement an executable ADM capability graph and fail completion when any required edge or scenario evidence is missing.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
QA35-DF-036,P1,ADM/Commercial UX Quality,부분 구현,cpf-admin/frontend/src/App.vue;cpf-admin/frontend/src/features;cpf-admin/frontend/e2e,"Search/favorites/recent/responsive navigation are useful, but labels mix Korean/English, generic tables dominate some areas, and consistent paging/detail/loading/empty/stale/error/accessibility/responsive/risk-action contracts are not proven for all 59 routes.",Feature breadth does not translate into consistent commercial operator quality.,Define and enforce shared list/detail/action/page-state/accessibility/visual-regression contracts for every route and three browsers.,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
