requirement_id,priority,area,requirement_type,owner_module,source_scope,consumer_scope,requirement,implementation_details,positive_acceptance,negative_acceptance,concurrency_failure_recovery,evidence_required,completion_prohibited_when,related_defects,initial_status
QA33-REQ-011,P0,Build,SOURCE_REMEDIATION,settings.gradle,settings.gradle;cpf-tools/build/gradle-plugin/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Convention plugin 정본을 복원하거나 표준 plugin 공급 경로로 이관한다.,includeBuild 대상 gradle-plugin Source가 삭제됐다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-011,미구현
QA33-REQ-012,P0,Build,SOURCE_REMEDIATION,cpf-gateway,cpf-gateway/build.gradle;settings.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",공식 :cpf-starter-resilience/:cpf-starter-observability Project path로 수정한다.,Gateway가 존재하지 않는 :cpf-starters:resilience/:observability를 참조한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-012,미구현
QA33-REQ-013,P0,Build,SOURCE_REMEDIATION,cpf-admin,cpf-admin/build.gradle;settings.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",공식 :cpf-starter-security 경로를 사용한다.,ADM이 존재하지 않는 :cpf-starters:security를 참조한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-013,미구현
QA33-REQ-014,P0,Build,SOURCE_REMEDIATION,cpf-biz-admin,cpf-biz-admin/build.gradle;settings.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",공식 :cpf-starter-security 경로를 사용한다.,BZA가 존재하지 않는 :cpf-starters:security를 참조한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-014,미구현
QA33-REQ-015,P1,Build,SOURCE_REMEDIATION,cpf-gateway,cpf-gateway/build.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",중복을 제거하고 jar/bootJar/war/bootWar 산출물 Matrix를 명시한다.,bootJar enabled 선언이 중복됐다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-015,미구현
QA33-REQ-016,P1,Dependency Ownership,SOURCE_REMEDIATION,repository-wide,build.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",DB Driver를 실제 Vendor Runtime/Adapter Owner에만 선언한다.,Root가 MariaDB Driver를 모든 subproject runtimeOnly로 주입한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-016,미구현
QA33-REQ-017,P0,Frontend Build,SOURCE_REMEDIATION,cpf-admin,cpf-admin/frontend/package.json;cpf-admin/frontend/package-lock.json,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",승인 Registry에서 exact lockfile을 재생성하고 clean npm ci를 통과시킨다.,ADM manifest와 lockfile root dependency가 불일치한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-017,미구현
QA33-REQ-018,P0,Frontend Build,SOURCE_REMEDIATION,cpf-biz-admin,cpf-biz-admin/frontend/package.json;cpf-biz-admin/frontend/package-lock.json,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",BZA exact lockfile을 재생성하고 clean npm ci를 통과시킨다.,BZA manifest와 lockfile이 불일치한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-018,미구현
QA33-REQ-019,P1,Dependency Lock,SOURCE_REMEDIATION,**,**/gradle.lockfile;build.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact","모든 resolvable configuration lock, convergence, published POM, final artifact graph를 대조한다.",신규 dependency 전체가 lock/convergence/published POM에 반영됐는지 미확인이다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-019,미검증
QA33-REQ-020,P0,Architecture Ownership,SOURCE_REMEDIATION,cpf-core,cpf-core/build.gradle,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Core에는 topology-independent 계약만 남기고 선택 Runtime을 Starter/Adapter Owner로 이관한다.,"cpf-core가 Kafka, AMQP, WebFlux, OpenTelemetry SDK/OTLP를 직접 implementation한다.",정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-020,미구현
QA33-REQ-021,P0,Legacy Removal,SOURCE_REMEDIATION,cpf-core,cpf-core/build.gradle;cpf-starters/messaging-kafka/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Kafka를 Product Primary로 단일화하고 AMQP Primary Bean/Consumer/Dependency를 제거한다.,Kafka Starter와 Core Kafka/AMQP가 동시에 남아 Dual Primary다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-021,미구현
QA33-REQ-022,P0,Architecture Ownership,SOURCE_REMEDIATION,cpf-common,cpf-common/build.gradle;cpf-starters/cache/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Cache 계약과 Local/Distributed Provider를 분리하고 실제 Consumer를 Starter로 이관한다.,cpf-common이 Caffeine/Redis를 직접 소유하면서 Cache Starter도 존재한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-022,미구현
QA33-REQ-023,P1,Architecture Ownership,SOURCE_REMEDIATION,cpf-core,cpf-core/build.gradle;cpf-starters/observability/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",Core의 OTel Runtime을 제거하고 Observability Starter가 SDK/exporter를 소유한다.,OTel SDK/exporter가 Core와 Starter에 중복된다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-023,미구현
QA33-REQ-024,P1,Architecture Ownership,SOURCE_REMEDIATION,cpf-starters,cpf-starters/**;all consumers,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact","Starter별 실제 Consumer, disabled profile, failure policy, operation endpoint를 call graph로 증명한다.",신규 Starter가 실제 Product Consumer에 연결된 Primary인지 미확인이다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-024,미검증
QA33-REQ-025,P0,Frontend,SOURCE_REMEDIATION,cpf-admin,cpf-admin/frontend/src/features/core/methods.ts;src/shared/cpfApi.ts,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",삭제된 token API 참조를 제거하고 server session clear 계약으로 통합한다.,methods.ts가 존재하지 않는 clearAdmAccessToken을 import한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-025,미구현
QA33-REQ-026,P0,Frontend,SOURCE_REMEDIATION,cpf-admin,cpf-admin/frontend/src/generated/**;scripts/verify-generated-client.mjs,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",OpenAPI exact SHA에서 client를 생성하고 generate 후 git diff 0 gate를 적용한다.,ADM Orval generated client와 source marker가 없다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-026,미구현
QA33-REQ-027,P0,Frontend,SOURCE_REMEDIATION,cpf-biz-admin,cpf-biz-admin/frontend/src/generated/**;scripts/verify-generated-client.mjs,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",BZA exact-SHA client를 생성하고 Consumer를 이관한다.,BZA Orval generated client와 marker가 없다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-027,미구현
QA33-REQ-028,P0,Frontend Migration,SOURCE_REMEDIATION,cpf-admin,cpf-admin/frontend/src/**,"해당 Source를 사용하는 모든 Product Consumer, Generated Domain, Test, SQL, Script, Runtime Artifact",허용된 Orval mutator 외 raw fetch를 제거하고 Query/Mutation Hook으로 이관한다.,ADM 핵심 API가 직접 fetch/getJson/sendJson을 계속 사용한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,기존 결함을 재현하는 Fixture 또는 오설정에서 반드시 실패하거나 정의된 안전 상태로 전이해야 한다.,"관련 기능은 multi-instance, duplicate, response loss, timeout, process kill, retry/reconcile/rollback을 포함한다.","sourceSha/resultSha, command, profile/environment, startedAt/finishedAt, exitCode, report/log/artifact SHA-256, sanitized flag",파일/Dependency/Interface/DTO/화면/Marker만 존재하거나 실제 Consumer·failure/recovery·exact-SHA Evidence가 누락된 경우,QA33-DF-028,미구현
