defect_id,priority,area,title,current_status,evidence_or_source_scope,root_cause,impact,required_remediation,closure_criteria,related_requirement_ids,source_type,review_base_sha
QA31-D019,P0,Shell,Shell 상세 결과 원장 손실,REOPEN_REVALIDATION,ApprovedShellExecutor; JobPackDispatcher; JdbcWorkerExecutionRepository,Executor 결과를 status/message로 축약,감사·복구 정보 손실,상세 Result Table/Attempt 저장,exit/stdout/stderr/hash/truncation/unknown 보존,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D020,P1,Shell,Secret·OS 격리 부분 구현,REOPEN_REVALIDATION,ApprovedShellExecutor; ScriptArtifactVerifier,민감값도 properties 임시파일; ProcessHandle 수준,Secret 노출·Child Process 잔존,Secret Provider FD/stdin·OS 격리·Trust Store,실제 OS Test Evidence,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D021,P0,ADM,Secret/Path/File Picker 실제 미설치,REOPEN_REVALIDATION,AdmParameterReferenceCatalogAdapter,Reference Catalog가 UNAVAILABLE 고정 반환,UI는 기능처럼 보여도 사용 불가,실제 Provider Catalog 또는 Capability 차단,Secret 값 비노출 Reference 선택 성공,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D022,P1,ADM,Service Registry Code 하드코딩,REOPEN_REVALIDATION,AdmServiceRegistryController,Controller List.of Catalog,Code 불일치·확장 난립,공통 Code/Capability Catalog,Backend/UI 동일 Catalog,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D023,P1,ADM,Log Export 단일 ADM 메모리 종속,REOPEN_REVALIDATION,AdmLogExportService,Local Temp+ConcurrentHashMap,재기동/LB 전환 시 다운로드 실패,공유 Durable Store+DB Metadata+Approval,다른 ADM Instance/재기동 후 다운로드,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D024,P0,Evidence,최신 Push 후 QA31 완료·원장 문서가 이전 SHA/WORKTREE 상태 유지,재확인 필요,cpf-docs/work/review/CPF_20260730_QA31_DEVELOPMENT_COMPLETION_REPORT.md:7-14; cpf-docs/quality/CPF_20260730_QA31_UNRESOLVED_REGISTER.csv,Push 이후 Active Evidence 재생성 절차가 실행되지 않아 9594...와 WORKING_TREE_NOT_COMMITTED를 계속 기록,최신 Commit 324958...에 대한 완료 주장과 문서가 모순되어 전체 Evidence 신뢰 상실,최신 exact SHA에서 모든 result/evidence/integrity manifest 재생성하고 stale SHA를 Gate로 차단,Active 결과 문서 stale SHA/WORKTREE marker 0; Base/Start/End/Artifact SHA 일치,"BUILD-PROV-001,BUILD-PROV-003,BUILD-REL-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D025,P0,Status,QA31 결과 Matrix가 완료 0·부분 구현 73·미검증 92 상태,부분 구현,cpf-docs/work/review/CPF_20260730_QA31_DEVELOPMENT_COMPLETION_REPORT.md:19-41,정적 Overlay 개발과 일부 Harness만 수행되고 Java25/Frontend/3DB/Runtime/Browser 검증 미실행,이전 개발이 완료됐다는 외부 인식과 실제 원장 상태가 불일치,QA31 23/99/66 및 통합 926 행을 최신 Source에 재연결하고 실행형 항목 전부 검증,필수 행 미검증/부분 구현 0; 완료 행마다 재현 가능한 Evidence,"OSS-TEST-001,BUILD-OBS-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D026,P0,CI,최신 exact SHA의 GitHub CI/Combined Status 없음,미검증,GitHub commit 3249581e8f01dcb546bc6601c31aee525f564d21 combined status: empty,Push 후 required workflow와 commit status 증적이 생성·연결되지 않음,최신 Source의 build/test/security/license 결과를 독립적으로 확인할 수 없음,required checks를 최신 SHA에서 실행하고 workflow run/artifact/JUnit/SBOM hash를 Evidence로 연결,최신 SHA required checks 모두 success; 누락/취소/skipped 필수 job 0,"BUILD-GOV-001,OSS-SUPPLY-001,OSS-TEST-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D027,P1,Frontend,ADM runtime dependency가 Vue 하나뿐이며 확정 OSS UI Stack 미적용,미구현,cpf-admin/frontend/package.json:15-30 @ 324958...,Element Plus/TanStack Table/Vue Router/Pinia/TanStack Query/Zod/Orval가 의존성과 실제 consumer에 없음,자체 UI/router/state/fetch 구현이 계속 Primary Path,확정 OSS stack 도입 후 ADM 전체 consumer migration과 legacy 제거,ADM dependency/consumer/parity/Browser Gate 통과; legacy import 0,"OSS-UI-001,OSS-FE-001,OSS-API-001,OSS-TEST-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D028,P1,Frontend,BZA runtime dependency가 Vue 하나뿐이며 확정 OSS UI Stack 미적용,미구현,cpf-biz-admin/frontend/package.json:15-30 @ 324958...,Element Plus/TanStack Table/Vue Router/Pinia/TanStack Query/Zod/Orval가 의존성과 실제 consumer에 없음,BZA 자체 CRUD/state/fetch 구현과 ADM/BZA 표준 불일치 지속,확정 OSS stack 도입 후 BZA 전체 consumer migration과 legacy 제거,BZA dependency/consumer/parity/Browser Gate 통과; legacy import 0,"OSS-UI-001,OSS-FE-001,OSS-API-001,OSS-TEST-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D029,P0,Gateway,Gateway가 SCG Server Web MVC가 아닌 자체 Web MVC Proxy이며 bootWar도 활성,부분 구현,cpf-gateway/build.gradle:3-23 @ 324958...,spring-boot-starter-webmvc 기반 custom proxy를 유지하고 SCG starter/BOM/route mapping이 없음,범용 Data Plane 자체 구현의 보안·성능·유지보수 부담과 JAR/WAR 이중 배포,SCG Server Web MVC + Embedded Tomcat 단일 bootJar로 전환하고 custom forwarding/bootWar 제거,cpf-gateway.jar만 생성·실행; SCG가 모든 route consumer 처리; webflux/netty/war artifact 0,"OSS-GWY-001,BUILD-PKG-001,BUILD-PKG-002",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D030,P0,Architecture,cpf-core가 WebFlux·Kafka·AMQP·OpenAPI 등을 api로 전파,부분 구현,cpf-core/build.gradle:26-60 @ 324958...,java-library api scope와 public signatures가 기능별 기술 stack을 모든 consumer에 노출,최소 consumer도 불필요한 network/broker/UI-doc 의존성과 취약점 범위를 상속,API/SPI와 기능별 starter/adapter로 분리하고 published POM에서 기술 의존성 제거,cpf-core-api 최소 graph; kafka/amqp/webflux/springdoc api exposure 0,"OSS-ARCH-001,BUILD-API-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D031,P0,Architecture,cpf-common이 core·MyBatis3·Redis·POI·Jackson 등을 api로 전파,부분 구현,cpf-common/build.gradle:26-51 @ 324958...,업무 공통 라이브러리에 서로 무관한 cache/excel/db/json 기술 구현이 묶여 있음,consumer classpath 충돌·라이선스/CVE 범위 확대·기능별 선택 불가,common API/SPI와 cache/excel/mybatis/validation starter로 분리,기능 미사용 consumer dependency 0; published POM 최소화,"OSS-ARCH-001,BUILD-API-001,OSS-CACHE-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D032,P0,Dependency,MyBatis Boot starter 4.0.0과 3.0.4 불일치 지속,확정,cpf-core/build.gradle:26-29; cpf-common/build.gradle:30-32 @ 324958...,모듈별 직접 버전 선언과 api 전파,Boot4 호환성·published graph·consumer resolution 불안정,MyBatis 4.x 단일 BOM/lock/starter 경계로 통일,직접/전이/POM/lock 모두 단일 버전,"BUILD-DEP-001,BUILD-DEP-002",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D033,P0,Messaging,Kafka가 core api에 결합되고 In-memory/Testcontainers 계약이 없음,부분 구현,cpf-core/build.gradle:39-42 @ 324958...,Broker 구현이 API 모듈에 노출되고 AMQP와 동시 기본,제품 Broker 경계와 실제 Kafka 동작·중복/재전달 검증 불명확,"Kafka adapter/starter, simple in-memory test adapter, Testcontainers Kafka integration 구축",core API broker dependency 0; 실제 Kafka 필수 integration scenarios PASS; AMQP primary 제거,"OSS-MSG-001,OSS-ARCH-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D034,P0,Supply Chain,CycloneDX·ORT·Syft·Grype 통합 Release Gate 부재,미구현,전체 build/release pipeline,dependency/license/final artifact/vulnerability 결과가 상호 대조되지 않음,금지 라이선스·Unknown·shaded package·CVE가 최종 배포물에 유입 가능,4도구 pin/자동 Gate/merged decision report/NOTICE를 구현,금지 fixture가 CI 실패; final artifact와 build SBOM parity,"OSS-SUPPLY-001,OSS-GOV-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D035,P1,Frontend Security,ADM/BZA BFF·Server Session 전환 완료 증적 없음,미검증,ADM/BZA auth/session source and browser E2E,browser token storage 제거·HttpOnly cookie·CSRF·role revalidation의 최신 실행 증적 없음,세션 탈취/XSS/권한 변경/다중 인스턴스 위험,Spring Security + Spring Session JDBC BFF 경계 구현 및 browser negative tests,JS-readable token 0; cookie/CSRF/session lifecycle 전체 PASS,"OSS-BFF-001,SEC-HTTP-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D036,P1,Frontend API,Orval 생성 Client와 OpenAPI drift Gate 부재,미구현,ADM/BZA frontend API source/package/config,수동 fetch·endpoint·DTO cast가 계속 사용되고 generated client manifest 없음,frontend/backend 계약 drift와 오류 mapping 분산,Orval config/mutator/generated clients/consumer migration/raw fetch allowlist,clean regenerate diff 0; raw endpoint 0; contract/E2E PASS,OSS-API-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D037,P1,Gateway,SCG/Spring Cloud Release Train 호환 버전 정본 부재,미구현,gradle/cpf-stack.properties; BOM; gateway build,Spring Boot 4.1 target과 호환되는 Spring Cloud Gateway/Release Train이 고정되지 않음,dependency conflict·비호환 API·재현성 위험,공식 compatibility 확인 후 stack properties/BOM/lock에 exact version 고정,dependency convergence 및 gateway startup/route tests,"OSS-GWY-001,BUILD-DEP-002",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D038,P1,Offline,OFFLINE이 CPF group만 제한하고 Plugin Portal/Maven Central 접근 허용,확정,settings.gradle:20-79; build.gradle:53-89 @ 324958...,외부 plugin/third-party repository는 mode와 무관하게 열림,완전 air-gap 주장과 실제 resolution 불일치,CPF_OFFLINE/FULL_OFFLINE 분리 또는 FULL_OFFLINE에서 모든 repository를 approved bundle/mirror로 제한,empty cache+network block 전체 build PASS; 외부 접근 0,"BUILD-ART-002,BUILD-ART-003,BUILD-ART-005",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D039,P0,Provenance,JAR Git-Commit가 Git 실패를 허용하고 빈 값 가능,확정,build.gradle:228-242 @ 324958...,git rev-parse ignoreExitValue 후 output을 그대로 manifest에 기록,source archive/CI/git 없음 환경에서 provenance fail-open,strict source identity resolver와 signed source manifest fallback,Release artifact UNKNOWN/blank SHA 0; JAR/SBOM/release manifest parity,"BUILD-PROV-001,BUILD-PROV-002,BUILD-PROV-003",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D040,P0,Generator,Source Identity UNKNOWN 시 promoted artifact 재사용 검증 생략,확정,cpf-tools/generator/verify-local-artifact-propagation.ps1; create-domain-repository.ps1,Git 실패를 UNKNOWN으로 처리하고 비교 조건을 건너뜀,과거/다른 source artifact를 현재 source와 일치한다고 재사용 가능,UNKNOWN fail-closed 또는 signed source manifest 필수,git missing/damaged/mismatch negative tests,BUILD-PROV-003,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D041,P1,Observability,생성기 하위 Artifact 검증 stdout/stderr 완전 폐기,확정,cpf-tools/generator/create-domain-repository.ps1 Invoke-CpfLocalArtifactPublish,verify-local-artifact-propagation.ps1를 *> $null로 실행,무결성/manifest/source mismatch 원인 은폐와 잘못된 자동 재게시,sanitized diagnostics 보존·failure taxonomy·security failure auto-republish 금지,실패 시 진단 파일/Exit code/failure code 존재,BUILD-OBS-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D042,P1,Generator,Standalone export가 외부 repository와 regex mutation에 의존,확정,cpf-tools/generator/export-domain-repository.ps1,generated settings/build에 portal/central을 남기고 text regex로 project dependency 제거,offline/standalone 신뢰성과 변환 완전성 부족,structured canonical templates와 resolved graph 검증,network blocked standalone build; project deps 0; zero-match fail,"BUILD-GEN-002,BUILD-ART-002",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D043,P1,Generator,Federation 검증이 제한된 확장자·문자열에 의존,확정,cpf-tools/generator/verify-domain-federation.ps1 및 export final scan,metadata/resource/POM/bytecode/version catalog 등 우회 가능,내부 root/project 참조가 standalone artifact에 잔존 가능,text/binary/archive/bytecode/resolution graph 전수 Gate,mutated bypass corpus 모두 차단,BUILD-GEN-003,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D044,P1,Release,master/repository/gh CLI 하드코딩 지속 가능성,재확인 필요,check-commercial-release.ps1; verify-cpf-20260730-full-implementation.ps1; verify-github-governance.ps1; workflow,branch string과 도구 설치 상태를 정책으로 사용,detached/tag/fork/default branch 변경 시 잘못된 차단,metadata 기반 release ref/governance adapter로 전환하고 repository-wide scanner 수행,hardcoded protected branch 0 또는 승인 정책 파일만 존재,"BUILD-REL-001,BUILD-GOV-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D045,P0,Security,BZA bootstrap에 ADM 수준 운영 승인·one-time 경계 없음,확정,cpf-biz-admin/.../BzaBootstrapRunner.java,"enabled와 env 값으로 실행, loginId 기반 default operationId",운영 환경 특권 계정 반복/오용/충돌 위험,one-time approval token/expiry/fingerprint/disable-after-success/reconciliation,restart/concurrent/stolen env/expired token tests PASS,SEC-BOOTSTRAP-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D046,P0,Deployment,배포 실패 시 실제 변경 여부와 무관하게 전체 인스턴스 rollback,확정,cpf-batch/control-server/.../DeploymentEngine.java,rollbackAfterFailure가 manifest.instances 전체 순회,건드리지 않은 정상 인스턴스까지 중단·상태 불일치,per-instance state journal과 changed set 역순 selective rollback,각 단계 failure injection에서 변경 인스턴스만 rollback,OPS-DEPLOY-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D047,P1,Security,DB agent_base_url을 검증 없이 RestClient baseUrl로 사용,확정,cpf-batch/control-server/.../RuntimeLifecycleService.java,endpoint inventory 값에 canonical URI/network allowlist 없음,SSRF/잘못된 Agent 호출 및 transport error 정보 손실,표준 endpoint policy와 typed transport error/reconcile,malicious URL/redirect/private metadata/DNS tests,"SRC-EGRESS-001,OPS-PROBE-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D048,P1,Probe,HttpRuntimeHealthProbe가 timeout을 사용하지 않고 문자열로 UP 판정,확정,cpf-batch/control-server/.../HttpRuntimeHealthProbe.java,"timeoutSeconds 무시, status/content-type/schema 미검증",false positive/negative와 배포 오판,typed readiness schema와 actual deadlines/auth/TLS,200 invalid/500 UP/slow/wrong type tests,OPS-PROBE-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D049,P0,Artifact Security,Runtime artifact key path·manifest binding·anti-rollback 부족,부분 구현,cpf-batch/host-agent/.../ArtifactVerifier.java,digest signature는 있으나 trust anchor path/owner/symlink/signer/version/environment/TOCTOU 정책 미완전,검증 우회·downgrade·잘못된 signer 설치,"signed canonical manifest, key lifecycle, immutable staging, anti-rollback",wrong key/symlink/swap/downgrade negative tests,SEC-ARTIFACT-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D050,P1,Resource,Archive ZIP entry materialization 및 GZIP unbounded readAllBytes,확정,cpf-core/.../LocalCpfArchiveService.java,entry/content 전체 byte[] 반환과 GZIP 상한 없는 전체 읽기,동시 대용량·압축 폭주 시 heap/disk DoS,streaming API와 entry/total/concurrency/ratio budgets,zip bomb/multi-entry/concurrent load peak budget 내,"SRC-RESOURCE-001,SRC-FS-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D051,P1,Resource,Attachment store/read가 byte[] 전체 적재,확정,cpf-core/.../LocalCpfAttachmentStorageAdapter.java,API와 구현이 전체 byte array 복제/readAllBytes 중심,동시 업로드/다운로드 시 heap 압박,"streaming content contract, quota, permission, atomic storage",concurrent max-size load에서 heap/latency 기준 통과,"SRC-RESOURCE-001,SRC-FS-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D052,P0,Deployment,Host Agent rollback이 STOP 결과 성공 확인 없이 artifact rollback,확정,cpf-batch/host-agent/.../AgentController.java,manager.execute(STOP) 반환을 무시,실행 중 프로세스와 이전 artifact 혼합 상태,"STOP/Drain actual state 확인 후 rollback, UNKNOWN reconcile",STOP fail/timeout에서 installer rollback 미호출,"OPS-DEPLOY-001,SRC-EXEC-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D053,P1,File Lifecycle,Host Agent 로그 ZIP 응답 후 삭제·TTL 수명주기 없음,확정,cpf-batch/host-agent/.../AgentController.java logs(),FileSystemResource만 반환하고 completion cleanup contract 없음,민감 로그/디스크 누수,stream completion cleanup 또는 artifact TTL/ledger,success/cancel/disconnect/restart 후 stale archive 0,"SRC-FS-001,SRC-RESOURCE-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D054,P1,Quality,Repository-wide 동적 SQL 안전 Gate 없음,미구현,all JDBC/MyBatis/vendor SQL,안전한 placeholder 사례와 위험한 fragment 결합을 전수 구분하지 않음,SQL injection 및 false-positive 일괄 수정 위험,parameter/identifier/order policy와 3DB negative corpus,unsafe SQL 0; approved dynamic cases documented/tested,SRC-SQL-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D055,P1,Reliability,Repository-wide memory/disk/thread/process output budget Gate 없음,미구현,all readAllBytes/byte[]/walk/process output/spool/cache,개별 size limit만 있고 aggregate concurrency/resource lifecycle 기준 없음,OOM/disk full/thread leak/FD exhaustion,"common resource policy, streaming refactor, stress/failure tests",release load에서 defined budgets 초과 0,"SRC-RESOURCE-001,SRC-CONC-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D056,P1,Security,Repository-wide file/path/symlink/TOCTOU Gate 없음,미구현,all Files/Path/temp/archive/upload/export,분산된 normalize/startsWith 검사와 platform permission 차이,path escape/overwrite/secret residue,common safe file service and architecture scanner,negative corpus 전부 차단; cleanup/permission evidence,SRC-FS-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D057,P1,Reliability,Repository-wide 예외 taxonomy·interrupt·unknown Gate 없음,미구현,all Java/PowerShell runtime paths,catch-all과 transport failure 축약을 일관되게 검사하지 않음,원인 은폐·잘못된 retry/상태 전이,"typed errors, interrupt restore, unknown reconcile, static rule",catch/printStackTrace 위반 0 또는 승인 예외,SRC-ERR-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D058,P1,Security,Repository-wide outbound URI/SSRF/timeout 정책 미통합,미구현,WebClient/RestClient/socket/URI/PowerShell HTTP,endpoint 검증·redirect/TLS/deadline가 호출별 구현,"SSRF, timeout leak, policy drift",single endpoint/client policy and raw client gate,malicious URI corpus 차단; timeout/cancel evidence,SRC-EGRESS-001,LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
QA32-D059,P0,Security,Repository-wide privileged process execution Gate 미통합,미구현,ProcessBuilder/PowerShell/systemctl/shell/file executors,allowlist/path trust/secret transport/output/process tree가 구현별 분산,명령 주입·권한 오용·결과불명,structured command executor policy and full inventory,injection/path/env/output flood tests PASS,"SRC-EXEC-001,SEC-SCRIPT-001",LATEST_SOURCE_REVIEW,3249581e8f01dcb546bc6601c31aee525f564d21
