requirement_id,work_package,priority,category,title,user_outcome,implementation_scope,required_consumer_flow,validation,required_evidence,completion_blockers,scope_type,requested_status
QA31-GSC-003,WP03,P0,Approval,위험 상태 전환 단일 승인 경계,BLOCK/RETIRE도 Dual Control,Approval Owner command only,ADM Approval→Gateway Owner,direct state API denied,approval audit,직접 API 허용,DefectClosure,OPEN
QA31-GSC-004,WP03,P0,Approval,불변 Snapshot/Hash/Expiry,승인 후 변경·만료·자기승인 거부,payload hash/version/requester/approver/TTL/idempotency,Approval Runtime,hash drift/self/expired/replay,approval ledger,ID 문자열 존재만 확인,DefectClosure,OPEN
QA31-GSC-005,WP03,P1,Audit,보안 실패 Immutable Audit,변조/Replay/권한 실패 추적,redacted request metadata and trace,Security Filter→Audit,attack scenarios,audit rows,Secret 원문 기록,DefectClosure,OPEN
QA31-BAT-001,WP04,P0,Payload,Canonical JSON 직렬화,외부 Executor 상호운용,ObjectMapper typed schema/content type,Batch Runtime Executor,Map/DTO/nested/list,contract capture,Objects.toString,DefectClosure,OPEN
QA31-BAT-002,WP04,P0,Version,Published Version/Checksum 고정,배포 후 변경에도 실행 정의 불변,projection/outbox/scheduler/execution/worker checksum,Control→Scheduler→Worker,publish v1 then draft v2,DB chain evidence,실행 시 최신 정의 조회,DefectClosure,OPEN
QA31-BAT-003,WP04,P0,File,Ready→Claim→Execute 수직 연결,중복 없는 파일 처리,stable marker/checksum/claim/fencing/release,Dispatcher→File Provider→Ledger,worker crash/restart,file claim+attempt,Utility만 존재,DefectClosure,OPEN
QA31-BAT-004,WP04,P1,RemoteFile,Remote Capability 정확성,지원하지 않는 조합을 Publish 전 차단,scan/watch/claim capability matrix,ADM/Definition Validator/Worker,remote watch unsupported/supported,capability+validation,runtime에서 늦게 실패,DefectClosure,OPEN
QA31-BAT-005,WP04,P0,ShellLedger,Shell 상세 결과 보존,감사·복구 가능한 실행 결과,exit/stdout/stderr/truncated/duration/hash/unknown,Shell→Execution Detail/Attempt,success/fail/timeout/kill fail,detail rows,status/message만 저장,DefectClosure,OPEN
QA31-BAT-006,WP04,P1,Secret,Secret 안전 전달,민감값이 일반 파일/명령행에 노출되지 않음,Secret Reference→Provider→FD/stdin,Definition→Worker→Process,process inspection/temp scan,redacted evidence,properties file에 secret,DefectClosure,OPEN
QA31-BAT-007,WP04,P1,Isolation,Process Tree·실행계정 격리,Timeout 후 Child Process 잔존 0,Windows Job Object/Unix group/container adapter,Shell Executor,child spawn/ignore signal,process list evidence,ProcessHandle만 근거,DefectClosure,OPEN
QA31-BAT-008,WP04,P1,Signature,Trust Store Signature,Hash만 아닌 승인 서명 검증 지원,versioned trust store/revocation,Script Catalog→Verifier,valid/revoked/unknown signer,verification result,signature 필드만 존재,DefectClosure,OPEN
QA31-ADM-001,WP05,P1,ADMUsability,메뉴 정보구조,운영 Domain별 메뉴와 하위 기능을 일관되게 구성,Gateway/Service/Batch/Observability/Security/Approval/Recovery/System,Router·Menu Seed·Permission,메뉴/Deep Link Browser,browser/API/DB evidence,메뉴 숨김만으로 권한 처리,UserApprovedADM,OPEN
QA31-ADM-002,WP05,P0,ADMUsability,Capability-aware 메뉴,미설치·Down·권한 없음 상태를 구분,Capability API 기반 enable/disable/reason,Menu→Capability,not installed/down/forbidden,browser/API/DB evidence,빈 화면 또는 404,UserApprovedADM,OPEN
QA31-ADM-003,WP05,P1,ADMUsability,Global Search,ID·서비스·Route·Execution·Transaction 빠른 탐색,통합 검색 계약과 결과 Type,Search UI→Owner Query,키보드 검색/권한 필터,browser/API/DB evidence,Client 전체 데이터 검색,UserApprovedADM,OPEN
QA31-ADM-004,WP05,P1,ADMUsability,Breadcrumb·최근·즐겨찾기,운영자가 반복 메뉴 이동 감소,라우트 메타·사용자별 상태,Router/Preference Store,refresh/deep link,browser/API/DB evidence,브라우저 메모리만 의존,UserApprovedADM,OPEN
QA31-ADM-005,WP05,P1,ADMUsability,Saved Filter,복잡한 운영 필터 저장·공유 범위 선택,Server-side filter model/version,List UI→Query API,재접속/권한 변경,browser/API/DB evidence,URL에 PII/Secret 저장,UserApprovedADM,OPEN
QA31-ADM-006,WP05,P1,ADMUsability,Table 개인화,컬럼·정렬·밀도·고정 열 설정,allowlist 기반 사용자 설정,UI/Preference API,unknown column migration,browser/API/DB evidence,Backend 미지원 sort,UserApprovedADM,OPEN
QA31-ADM-007,WP05,P0,ADMUsability,상태 신뢰도,상태값과 source instance/observedAt/stale 표시,Typed status metadata,Owner→ADM Projection,stale/down/recovered,browser/API/DB evidence,현재시각 임의 생성,UserApprovedADM,OPEN
QA31-ADM-008,WP05,P1,ADMUsability,Detail Drawer/Page,목록 Context 유지하며 상세·관련 링크 제공,typed detail endpoint,List→Detail→Timeline,새로고침/직접 URL,browser/API/DB evidence,Map/raw JSON만 표시,UserApprovedADM,OPEN
QA31-ADM-009,WP05,P1,ADMUsability,Timeline,transactionId 기반 호출·상태·Attempt 연결,ordered segment/attempt model,Log/Ledger/Batch/Gateway,partial/missing span,browser/API/DB evidence,서로 다른 ID 혼용,UserApprovedADM,OPEN
QA31-ADM-010,WP05,P1,ADMUsability,Diff Preview,변경 전후·정책 버전·영향 대상 시각화,server canonical diff,Edit→Validate→Diff,concurrent version conflict,browser/API/DB evidence,Client JSON stringify diff,UserApprovedADM,OPEN
QA31-ADM-011,WP05,P1,ADMUsability,Dry-run/Simulation,위험 조치 전 예상 결과 확인,Owner simulation API,UI→Owner,invalid/partial impact,browser/API/DB evidence,실행 API를 Preview로 재사용,UserApprovedADM,OPEN
QA31-ADM-012,WP05,P0,ADMUsability,위험조치 UX,Reason·Approval·Typed confirmation·권한,Approval request snapshot,UI→Approval→Owner,self/expired/hash drift,browser/API/DB evidence,버튼 클릭 즉시 실행,UserApprovedADM,OPEN
QA31-ADM-013,WP05,P0,ADMUsability,Async 진행,202 Operation의 진행·취소·재검증,SSE+Polling fallback,Operation API/UI,disconnect/reconnect/stale,browser/API/DB evidence,spinner만 표시,UserApprovedADM,OPEN
QA31-ADM-014,WP05,P1,ADMUsability,Bulk Action,부분 성공·실패를 항목별 표시,batch command/idempotency,UI→Owner,mixed permission/conflict,browser/API/DB evidence,전체 SUCCESS 하나,UserApprovedADM,OPEN
QA31-ADM-015,WP05,P0,ADMUsability,Recovery Workspace,Unknown·Failed·Drift·Spool을 한 곳에서 조치,reconcile/replay/compensate command links,Operations APIs,owner down/retry,browser/API/DB evidence,DB 직접 수정,UserApprovedADM,OPEN
QA31-ADM-016,WP05,P1,ADMUsability,Error UX,표준 오류 코드·원인·가능 조치·trace 표시,typed error mapping,API client/global error,validation/conflict/timeout/unknown,browser/API/DB evidence,모두 일반 500,UserApprovedADM,OPEN
QA31-ADM-017,WP05,P1,ADMUsability,접근성·Keyboard,운영 핵심 흐름을 키보드와 Screen Reader 사용,focus/aria/dialog/table,Vue components,axe/keyboard E2E,browser/API/DB evidence,마우스 전용,UserApprovedADM,OPEN
QA31-ADM-018,WP05,P0,ADMUsability,Browser 회귀,ADM 핵심 수직 흐름 자동화,Playwright 등 실제 Browser,Frontend+Backend,menu/search/detail/approval/async/recovery,browser/API/DB evidence,TypeScript compile만,UserApprovedADM,OPEN
QA31-BZA-001,WP06,P1,BZARegression,조직 Hierarchy·유효기간,조직개편 전후 이력 보존,Directory Owner,BZA UI→API→Owner,tree/history E2E,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-002,WP06,P1,BZARegression,직원 복수 Assignment,겸직·파견·직무대행 표현,Assignment Runtime,BZA UI→API→Owner,overlap/expiry,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-003,WP06,P1,BZARegression,Identity/Profile 분리,인증 상태와 재직 상태 혼용 금지,BZA Account+Directory,BZA UI→API→Owner,pending/active/retired,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-004,WP06,P1,BZARegression,Masked/Raw PII,기본 Mask·권한/사유 Raw,BZA API/UI/Audit,BZA UI→API→Owner,direct URL/no-store,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-005,WP06,P1,BZARegression,Approval Simulation,순차/병렬/ALL/ANY/N_OF_M 결재선 미리보기,BZA Approval Engine,BZA UI→API→Owner,policy version/participants,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-006,WP06,P1,BZARegression,동시 승인·Idempotency,중복 결정과 충돌 안전,Approval Instance,BZA UI→API→Owner,parallel decisions,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-007,WP06,P1,BZARegression,위임·만료·Escalation,부재·대결·재상신 실제 실행,Approval Runtime,BZA UI→API→Owner,time-based scenarios,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-BZA-008,WP06,P1,BZARegression,Browser E2E,조직→직원→권한→결재 수직 검증,BZA UI/API/DB,BZA UI→API→Owner,permission/direct URL,browser/API/DB evidence,Enum/Table만 존재,TargetCompliance,OPEN
QA31-EDU-001,WP07,P1,EDUReference,EDU Profile 격리,운영 기본 설치에서 Sample 비활성,cpf-reference profile/seed/capability,cpf-reference Public API consumer,prod profile sample route 0,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-002,WP07,P1,EDUReference,표준 Header/Context,transactionId·trace·segment 전파 샘플,HTTP Local/Remote chain,cpf-reference Public API consumer,header/trace assertions,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-003,WP07,P1,EDUReference,표준 Error/Validation,field error·business error·unexpected error,API+UI sample,cpf-reference Public API consumer,error envelope tests,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-004,WP07,P1,EDUReference,Local/Remote Parity,같은 Public Port의 동일 결과/오류,dual topology sample,cpf-reference Public API consumer,contract parity,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-005,WP07,P1,EDUReference,Timeout Budget,호출 계층 예산 감소와 만료,service chain,cpf-reference Public API consumer,budget propagation,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-006,WP07,P1,EDUReference,Retry/Circuit/Bulkhead,안전 재시도·회로·격리 예제,fault target,cpf-reference Public API consumer,storm prevention tests,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-007,WP07,P1,EDUReference,Idempotency,동일 키 중복 생성 방지,sample command+store,cpf-reference Public API consumer,concurrent duplicate,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-008,WP07,P1,EDUReference,Optimistic Lock,버전 충돌과 UI 재조회,sample item CRUD,cpf-reference Public API consumer,parallel update,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-009,WP07,P1,EDUReference,Unknown/Reconciliation,Timeout 결과불명·조회·수동 확정,sample remote operation,cpf-reference Public API consumer,unknown recovery,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-010,WP07,P1,EDUReference,Compensation Hook,부분 성공 후 보상,multi-step sample,cpf-reference Public API consumer,compensation idempotency,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-011,WP07,P1,EDUReference,CRUD/Search/Paging,Allowlist·Page/Slice/Cursor,ref sample item DB,cpf-reference Public API consumer,3 vendor tests,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-012,WP07,P1,EDUReference,Transaction Commit/Rollback,다중 Row 원자성,service+repository,cpf-reference Public API consumer,forced rollback,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-013,WP07,P1,EDUReference,File/Attachment,upload/range/chunk/checksum/path alias,reference file API,cpf-reference Public API consumer,traversal/checksum,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-014,WP07,P1,EDUReference,Compression,ZIP 안전 압축·해제·상한,sample archive,cpf-reference Public API consumer,zip slip/bomb limits,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-015,WP07,P1,EDUReference,Messaging Outbox/Inbox,publish·consume·idempotency,broker sample,cpf-reference Public API consumer,duplicate/restart,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-016,WP07,P1,EDUReference,DLQ/Replay,Poison 격리와 승인 Replay,broker ops sample,cpf-reference Public API consumer,replay audit,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-017,WP07,P1,EDUReference,Fixed-length Message,layout parse/write/error offset/masking,reference layout,cpf-reference Public API consumer,encoding/byte boundary,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-018,WP07,P1,EDUReference,Async 202/Polling/SSE,비동기 작업·진행·완료,operation sample,cpf-reference Public API consumer,disconnect fallback,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-019,WP07,P1,EDUReference,Security/RBAC/ABAC,권한 성공·실패·직접 URL,sample secure API/UI,cpf-reference Public API consumer,permission matrix,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-020,WP07,P1,EDUReference,Masking/Audit,PII mask·raw reason·immutable audit,sample directory,cpf-reference Public API consumer,no-store/redaction,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-021,WP07,P1,EDUReference,Dynamic Config,default→property→profile→override→call,config sample,cpf-reference Public API consumer,rollback/audit,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-022,WP07,P1,EDUReference,Log/Metrics/Trace,transaction timeline·SLI·trace boost,observable sample,cpf-reference Public API consumer,correlation evidence,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-023,WP07,P1,EDUReference,Gateway Sample,route·health·failover·rate limit,reference target+gateway,cpf-reference Public API consumer,target down/failover,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-024,WP07,P1,EDUReference,Batch Definition Sample,publish→schedule→worker 고정 버전,reference job,cpf-reference Public API consumer,v1/v2 isolation,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-025,WP07,P1,EDUReference,Batch Executor Samples,Spring/Shell/File/Service/Message/Protocol,reference jobs,cpf-reference Public API consumer,success/failure/unknown,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-026,WP07,P1,EDUReference,Lease/Fencing,다중 인스턴스 중복 방지,worker/runner sample,cpf-reference Public API consumer,stale owner rejection,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-027,WP07,P1,EDUReference,Generator Golden Sample,생성 Domain과 MBR parity,generator pipeline,cpf-reference Public API consumer,create/remove/regenerate,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-028,WP07,P1,EDUReference,OpenAPI/JavaDoc/TestKit,개발자가 계약과 예제를 IDE/Test에서 발견,public artifacts,cpf-reference Public API consumer,consumer compile,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-029,WP07,P1,EDUReference,3DB Lifecycle Sample,refDB install/seed/upgrade/rollback,vendor scripts,cpf-reference Public API consumer,Maria/Postgres/Oracle,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-EDU-030,WP07,P1,EDUReference,Failure Lab,DB/Broker/Target/Worker 장애 주입,isolated test profile,cpf-reference Public API consumer,recovery evidence,source/test/runtime evidence,설명/Stub만 있고 실행 Consumer 없음,UserApprovedEDU,OPEN
QA31-FIN-001,WP08,P0,FinalGate,Java25 전체 Build,최신 exact SHA 상용 판정 근거,clean test assemble qualityGate,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-002,WP08,P0,FinalGate,Frontend Verify,최신 exact SHA 상용 판정 근거,ADM/BZA typecheck/unit/build,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-003,WP08,P0,FinalGate,Browser E2E,최신 exact SHA 상용 판정 근거,ADM/BZA/EDU 실제 Browser,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-004,WP08,P0,FinalGate,MariaDB Lifecycle,최신 exact SHA 상용 판정 근거,install/seed/upgrade/verify/rollback/reinstall,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-005,WP08,P0,FinalGate,PostgreSQL Lifecycle,최신 exact SHA 상용 판정 근거,install/seed/upgrade/verify/rollback/reinstall,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-006,WP08,P0,FinalGate,Oracle Lifecycle,최신 exact SHA 상용 판정 근거,install/seed/upgrade/verify/rollback/reinstall,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-007,WP08,P0,FinalGate,Redis/Multi-instance,최신 exact SHA 상용 판정 근거,shared nonce/cache/lease/event,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-008,WP08,P0,FinalGate,Failure Injection,최신 exact SHA 상용 판정 근거,DB/Redis/target/worker/gateway/spool,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-009,WP08,P0,FinalGate,Matrix Closure,최신 exact SHA 상용 판정 근거,필수 미검증·P0 실패 0,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
QA31-FIN-010,WP08,P0,FinalGate,Result ZIP/Manifest,최신 exact SHA 상용 판정 근거,Root-relative 재현 패키지,전체 Product,실환경 명령,current evidence+logs,미실행을 PASS,ReleaseVerification,OPEN
