requirement_id,priority,area,requirement,owner_module,actual_consumers,related_defects,completion_condition,mandatory_verification,development_status,verification_status
QA35-REQ-014,P1,Gateway,Complete gateway production TLS/port/lifecycle policy and live network-identity tests.,cpf-gateway,Internal service consumers,QA35-DF-012,"Production HTTP is denied unless explicitly approved, ports are allowlisted, resources close cleanly, TLS/SNI/pin behavior is proven.","Local TLS fixtures for cert mismatch, DNS change, mixed response, redirect, timeout.",미구현,미검증
QA35-REQ-015,P1,Network Security,"Create one owned literal IP/CIDR and pinned-address contract reused by Gateway, Batch, and Agent.",cpf-core public API or an owner-approved topology-independent security utility,cpf-gateway;cpf-batch worker;host-agent,QA35-DF-013,No DNS lookup occurs while parsing literal IP/CIDR config; startup validation is fail-closed.,IPv4/IPv6/CIDR/mapped/zone/invalid hostname fixtures and dependency-boundary gate.,미구현,미검증
QA35-REQ-016,P0,Deployment/Agent,"Execute artifact trust, activation, rollback, partial failure, compensation, host-agent idempotency, and reconcile scenarios.",cpf-batch host-agent;deployment tooling,Operators and control plane,QA35-DF-014,Artifact digest/signature/size/content type and activation state survive failure and recovery.,Exact artifact hashes and process-kill/restart evidence.,미구현,미검증
QA35-REQ-017,P0,Supply Chain,Run ORT/Syft/Grype/CycloneDX/license policy and bind results to actual released JAR/WAR/ZIP/frontend artifacts.,cpf-tools;root build,Release process,QA35-DF-014;QA35-DF-017,Tool binaries/versions and every artifact hash are recorded; policy failures are fail-closed.,"Tool preflight, one execution, sanitized external evidence bundle.",미구현,미검증
QA35-REQ-018,P0,QA33 Reclassification,"Re-audit QA33 138 requirements, 414 scenarios, and 552 result rows from actual scenario evidence.",cpf-docs/quality;cpf-tools,Final governance and Codex,QA35-DF-004;QA35-DF-005,No historical completion is inherited without current exact-SHA proof; unresolved rows are explicit.,"Strict count, uniqueness, row mapping, evidence path/hash validation.",미구현,미검증
QA35-REQ-019,P0,QA34 Reclassification,Replace generic QA34 20/60/80 rows with executable scenarios and per-row evidence mapping.,cpf-docs/quality;cpf-tools,QA35 final closure,QA35-DF-005,"Every normal/error/recovery row has concrete setup, command, expected/failure/recovery assertions, and unique evidence relation.",Scenario schema validator and matrix/evidence consistency gate.,미구현,미검증
QA35-REQ-020,P1,Documentation Ownership,Separate or explicitly approve README/guide changes from source remediation and protect parallel-session ownership.,README;cpf-docs/guides;work manifests,Artifact session and development session,QA35-DF-016,No session overwrites another owner’s files; merged scope is documented and reviewed.,Changed-file ownership gate and handover manifest.,미구현,미검증
QA35-REQ-021,P1,Repository Hygiene,Remove/archive superseded current requests and stale generated/evidence artifacts without deleting source or canonical build tooling.,cpf-docs/work;generated artifacts,All contributors,QA35-DF-018,"One current request, no stale current SHA, no garbage/cache/log/old ZIP, protected cpf-tools/build retained.",Repository hygiene and delete-manifest review.,미구현,미검증
QA35-REQ-022,P0,Codex Independent Review,"Provide one exact, copyable Fresh Clone verification invocation with preflight, impact map, known blockers, no-repeat order, and minimum revalidation scopes.",cpf-docs/work/current;cpf-tools,Codex reviewer,QA35-DF-015,"Codex runs preflight once, each large stage once, performs no redesign, and reports all failures with source/environment classification.",Dry-run parameter/preflight validation and independent review schema.,미구현,미검증
QA35-REQ-023,P0,Final Release Closure,"Complete QA35 only when source, matrices, external evidence bundle, artifacts, and current documents agree at one pushed SHA.",all owner modules,Release owner,QA35-DF-001 through QA35-DF-018,"No P0/P1 source defect, no unresolved development row, required runtime rows complete, exact hashes match, fresh clone is clean.",Final external evidence closure plus independent Codex PASS; no source modification during verification.,미구현,미검증
QA35-REQ-024,P0,ADM Information Architecture,"Implement a server-authoritative nested ADM menu and capability registry for Online, Batch, Integration, Monitoring, Security, Framework, and Analysis, including ordering, locale labels, availability, permission and audit metadata.",cpf-admin;cpf-common,"ADM shell, menu administration, authorization service",QA35-DF-019;QA35-DF-033,No duplicated hardcoded menu truth; backend/frontend/menu/permission registries are parity-checked and administrators can safely manage menu metadata.,"Registry API/DB/vendor/generator parity, permission tests, menu administration E2E, drift negative fixture.",미구현,미검증
QA35-REQ-025,P0,ADM Route Integrity,"Remove silent dashboard fallback and implement explicit 403, 404, disabled-feature, and component-load error routes with direct-link recovery.",cpf-admin/frontend,All ADM routes and shell,QA35-DF-020;QA35-DF-036,Unknown/forbidden/disabled routes never render dashboard as success and preserve safe navigation context.,Unit and Chromium/Firefox/WebKit direct-link negative matrix for all route states.,미구현,미검증
QA35-REQ-026,P0,ADM Gateway Navigation,Make every Gateway menu open the intended route-specific tab/workflow or consolidate duplicate menus into one clearly tabbed workspace.,cpf-admin/frontend;cpf-gateway,Gateway operators,QA35-DF-021,"Each Gateway menu has a unique capability contract, deep link, permission, operation consumer, and browser assertion.",Nine-menu route/tab/permission/API E2E and back-forward/deep-link tests.,미구현,미검증
QA35-REQ-027,P0,ADM Capability Traceability,Create an executable menu-to-route-to-component-to-operationId-to-OpenAPI-to-backend-to-permission-to-audit-to-E2E graph.,cpf-admin;cpf-tools,ADM/BZA release gates,QA35-DF-035;QA35-DF-019,No required ADM capability is complete when any graph edge or row-specific evidence is absent.,"Static graph, runtime operation inventory, endpoint permission matrix, all-route browser evidence.",미구현,미검증
QA35-REQ-028,P1,ADM Integrated Dashboard,"Provide an integrated Online+Batch+Gateway operational dashboard with health, backlog, failures, SLO, capacity, pending approvals, incidents, deployment drift, and actionable drill-down.",cpf-admin,Platform operators and incident commanders,QA35-DF-028;QA35-DF-031,"Dashboard metrics are sourced from real APIs, time-bounded, instance-aware, permissioned, and deep-link to authoritative workbenches.","Metric contract/unit tests, multi-instance runtime fixture, all drill-down route E2E.",미구현,미검증
QA35-REQ-029,P0,Batch Job Catalog,"Complete Job catalog, immutable definition/version, Job Group, clone/diff, bulk import/export, registration request, dependency graph, critical path, and impact analysis.",cpf-batch;cpf-admin,"Batch designers, approvers, operators",QA35-DF-024,Definitions are versioned and immutable after publication; every change validates dependencies/resources/recovery and follows approval/audit lifecycle.,"API/DB/3-vendor tests, graph cycle/critical-path fixtures, import/export round-trip, UI E2E.",미구현,미검증
QA35-REQ-030,P0,Batch Schedule Operations,"Implement schedule calendar/heatmap, next-fire and misfire simulation, business-day impact, collision/capacity forecast, and HA scheduler status/change workflow.",cpf-batch;cpf-admin,Schedulers and Batch operators,QA35-DF-025,"Operators can predict schedules and safely change them with version conflict, approval, audit, and rollback.",Clock/timezone/DST/holiday/misfire/multi-instance fixtures and browser calendar E2E.,미구현,미검증
QA35-REQ-031,P0,Batch Execution Workbench,"Implement typed execution list and authoritative execution detail with state timeline, step history, parameters, worker/server/process identity, live log, report/artifact, retry ancestry, and safe state actions.",cpf-batch;cpf-admin,Batch operators and support,QA35-DF-022;QA35-DF-023,"Every execution can be diagnosed and operated without switching to generic/raw tables; actions are permissioned, idempotent, audited, and conflict-safe.","Generated client contract, paging/filter tests, process-kill/retry/log/report runtime, three-browser E2E.",미구현,미검증
QA35-REQ-032,P0,Batch Agent and Worker Operations,"Implement Host Agent, Worker Pool, Server and Runtime Instance detail with heartbeat, capacity, assignments, version drift, drain, quarantine, restart, activation, rollback, and reconciliation.",cpf-batch;cpf-admin,Batch infrastructure operators,QA35-DF-022;QA35-DF-026,Multi-host lifecycle operations are controlled through reason/approval/CAS/audit/result tracking and show partial failures.,"Multi-agent runtime fixture, offline/timeout/version-skew/partial-activation recovery, UI action E2E.",미구현,미검증
QA35-REQ-033,P0,Batch HA and Recovery,Implement lease/fencing/unknown-result/recovery case workbench with evidence timeline and retry/resume/compensate/fail/reconcile decisions.,cpf-batch;cpf-admin,Batch recovery operators,QA35-DF-027,Recovery decisions use current ownership/ledger/reply/process evidence and prevent duplicate or stale-owner actions.,Two-worker lease/fence/process-kill/unknown-result/late-reply fixtures and audited action E2E.,미구현,미검증
QA35-REQ-034,P0,Batch Risk Governance,"Apply operation-specific permission, reason, confirmation, approval, idempotency/CAS, audit-before-after, outcome and rollback tracking to every risky Batch action.",cpf-batch;cpf-admin;cpf-starters/security/session-jdbc,Batch runtime controls,QA35-DF-023;QA35-DF-026;QA35-DF-027,No force run/retry/stop/state change/lock release/drain/quarantine/deploy/rollback/recovery action is authorized only by broad BATCH write permission.,"Endpoint-method-permission inventory, 401/403/409/CSRF tests, approval and audit failure fixtures.",미구현,미검증
QA35-REQ-035,P0,Batch-Online Unified Trace,"Implement unified navigation and causal timeline among Online transaction, segments, Gateway/external calls, Batch execution/step, Center-Cut target/result, logs, incident, approval, and audit.",cpf-admin;cpf-batch;cpf-common,Online and Batch incident response,QA35-DF-028,"One identifier search provides authorized, masked, time-ordered cross-domain evidence and deep links that preserve filters/context.","Cross-domain integration fixture, masking/permission tests, deep-link browser E2E, partial-data handling.",미구현,미검증
QA35-REQ-036,P0,Online Definition Workbench,"Implement versioned transaction pre/post processing, pipeline/properties, dependency execution rules, and DBIO/query registry with validation, impact analysis, approval, deployment and rollback.",cpf-core public contracts;cpf-common;cpf-admin,Online service owners and operators,QA35-DF-029,"Online execution definitions have an owner, version, consumer, environment promotion, audit, and rollback; no sample-only editor.","Contract/unit/DB tests, cycle/schema/SQL policy fixtures, generated client and browser E2E.",미구현,미검증
QA35-REQ-037,P0,Online Deployment Operations,"Implement application/component/external-integration deployment inventory, environment diff, artifact trust, canary/rolling apply, health gate, compensation and rollback.",cpf-admin;deployment/agent owners,Online release operators,QA35-DF-030,Per-instance desired/actual version and apply history are visible; partial failure and unknown outcome reconcile safely.,"Multi-instance deployment/kill/rollback fixture, artifact hash verification, approval and browser E2E.",미구현,미검증
QA35-REQ-038,P1,Online Runtime Diagnostics,"Implement service throughput, percentile latency, error rate, thread/connection pool, dependency latency, delayed-async backlog, backpressure, and processing-flow diagnostics.",cpf-admin;observability owners,Online operations,QA35-DF-031,"Metrics are instance/time-range aware, thresholded, correlated, and drill through to traces/logs/incidents.","Metric schema and missing/stale data fixtures, load/runtime test, browser charts/accessibility E2E.",미구현,미검증
QA35-REQ-039,P0,Online Observability Workbench,"Complete integrated transaction/error/protocol-message/dependency log workbench with decoded request-response comparison, case handling, statistics, masking, export and retention controls.",cpf-admin;logging/audit owners,"Support, security and incident teams",QA35-DF-032,"Error and protocol diagnosis are first-class routes, not orphaned components or generic logs; all payloads follow masking and permission policy.","Route/API/generated consumer tests, 401/403/error-status matrix, masking/export/retention/browser E2E.",미구현,미검증
QA35-REQ-040,P1,Analysis Center,"Provide component, SQL/DBIO, external integration, file I/O, transaction flow, and throughput analysis using production-safe read-only evidence.",cpf-admin;cpf-common,Architects and performance analysts,QA35-DF-029;QA35-DF-031;QA35-DF-032,"Analysis functions are read-only, sampled/limited, masked, explain data freshness, and link findings to definitions/deployments/traces.","Query safety/limit tests, stale/missing evidence states, representative browser scenarios.",미구현,미검증
QA35-REQ-041,P1,System Administration,"Implement menu management, notices, active session/login failure history, usage history, read-only DB schema/migration/drift browser, and label/localization catalog.",cpf-admin;cpf-common,Platform administrators,QA35-DF-019;QA35-DF-033,"Each function has owner API, paging/search/detail, permission, masking, audit, and three-vendor/generator impact where applicable.","CRUD/read-only boundary tests, session security, DB metadata parity, all-route E2E.",미구현,미검증
QA35-REQ-042,P1,Common Operations,"Implement datasource pool, cache, local/remote file, supported-protocol connection, event and notification monitoring with instance metrics and incident correlation.",cpf-admin;cpf-common,Platform operations,QA35-DF-034,Resource failures are observable and actionable without adding unsupported persistent TCP; supported connectors have explicit ownership.,"Datasource/cache/file/connection failure fixtures, alert delivery and cross-link E2E.",미구현,미검증
QA35-REQ-043,P0,ADM Commercial Quality,"Apply one commercial page contract to all 59 current routes and future routes: server paging/sort/filter, detail, loading/empty/stale/error states, 401/403/404/409/429/500/503, accessibility, responsive layout, export, saved context and visual regression.",cpf-admin/frontend;cpf-tools,All ADM operators,QA35-DF-022;QA35-DF-035;QA35-DF-036,No route is accepted from menu presence or a generic table alone; route-specific workflows and quality evidence are required.,"Automated route inventory, component contract tests, Chromium/Firefox/WebKit, keyboard/a11y, mobile overflow and visual snapshots.",미구현,미검증
