requirement_id,layer,priority,area,owner,requirement,canonical_mapping,development_status,verification_status,acceptance
GWY-RESILIENCE,CANONICAL,P0,Gateway/External/Event,cpf-gateway,단계별 Timeout/Retry/Failover/CB·Streaming·Disconnect·Unknown Ledger,GWY-RESILIENCE,부분 구현,미검증,17-axis scenario matrix complete
API-LIMIT,CANONICAL,P0,Gateway/External/Event,cpf-gateway/cpf-core,Client/Channel/API/Tenant Rate/Quota/Burst·Distributed Counter·429,API-LIMIT,부분 구현,미검증,17-axis scenario matrix complete
EXS-INST,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,기관별 Adapter의 Generated/Customer Owner와 중앙 고정 External Module 금지,EXS-INST,부분 구현,미검증,17-axis scenario matrix complete
EXS-REST,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,외부 REST Auth·Timeout·Retry·Idempotency·Schema·Mapping·Audit·Mock,EXS-REST,부분 구현,미검증,17-axis scenario matrix complete
EXS-FIXED,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,기관 고정길이 Layout/Mapping/Endpoint의 CORE-FIXED 기반 Adapter,EXS-FIXED,부분 구현,미검증,17-axis scenario matrix complete
EXS-SEC,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,mTLS/OAuth/API Key/Cert/Secret Rotation·Endpoint Allowlist·Non-repudiation,EXS-SEC,부분 구현,미검증,17-axis scenario matrix complete
EXS-FILE,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,SFTP·Filename·Ack/Nack·Checksum·Claim·Transfer·Reconciliation·Retention,EXS-FILE,부분 구현,미검증,17-axis scenario matrix complete
EXS-UNKNOWN,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,전송 전/후·응답 유실·상대 처리 불명 분류와 Blind Retry 금지,EXS-UNKNOWN,부분 구현,미검증,17-axis scenario matrix complete
EXS-RECON,CANONICAL,P0,Gateway/External/Event,generated/customer adapter,상대 조회·Callback·File Ack·수동 확인·Compensation·SLA·UI,EXS-RECON,부분 구현,미검증,17-axis scenario matrix complete
EVENT-CORE,CANONICAL,P0,Gateway/External/Event,cpf-core + event owner,Kafka Primary Topic·Envelope·Key/Partition/Order·Producer/Consumer Contract,EVENT-CORE,부분 구현,미검증,17-axis scenario matrix complete
EVENT-OUTBOX,CANONICAL,P0,Gateway/External/Event,event owner,업무 Transaction과 Publish Outbox·Claim·Stable ID·Retry·Ordering·Cleanup,EVENT-OUTBOX,부분 구현,미검증,17-axis scenario matrix complete
EVENT-BROKER,CANONICAL,P0,Gateway/External/Event,event owner,Kafka ACK/Transaction/Consumer Group/Rebalance/Backpressure/Security/Correlation,EVENT-BROKER,부분 구현,미검증,17-axis scenario matrix complete
EVENT-DLQ,CANONICAL,P0,Gateway/External/Event,event owner,Retry Topic·DLT·Poison Isolation·Replay Approval·Masking·Idempotent Reprocess,EVENT-DLQ,부분 구현,미검증,17-axis scenario matrix complete
SAGA-CORE,CANONICAL,P0,Gateway/External/Event,workflow owner,장기 흐름 Step/State/Version/Timeout/Idempotency/Correlation·Durable Orchestration,SAGA-CORE,부분 구현,미검증,17-axis scenario matrix complete
SAGA-COMP,CANONICAL,P0,Gateway/External/Event,workflow owner,Compensation Eligibility·Reverse Order·Idempotency·Partial/Unknown 분리,SAGA-COMP,부분 구현,미검증,17-axis scenario matrix complete
SAGA-MANUAL,CANONICAL,P0,Gateway/External/Event,workflow owner,자동 복구 불가 Saga의 승인된 확정·보상·재실행·Audit,SAGA-MANUAL,부분 구현,미검증,17-axis scenario matrix complete
BAT-CORE,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Spring Batch 단일 Primary Job/Step/Repository/ExecutionContext/Restart,BAT-CORE,부분 구현,미검증,17-axis scenario matrix complete
BAT-JOB,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Immutable Definition/Plan Hash·Job Identity·Parameter·Start/Stop/Restart/Recover,BAT-JOB,부분 구현,미검증,17-axis scenario matrix complete
BAT-ITEM,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Reader/Processor/Writer·Chunk/Skip/Retry/Checkpoint·Partition·Memory Bound,BAT-ITEM,부분 구현,미검증,17-axis scenario matrix complete
BAT-EXECUTOR,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Java/Shell/File/Service/Message Executor의 Timeout·Resource·Security,BAT-EXECUTOR,부분 구현,미검증,17-axis scenario matrix complete
BAT-AGENT,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Agent Pool·Capability·Zone·Lease·Heartbeat·Drain·Takeover·Artifact/Process,BAT-AGENT,부분 구현,미검증,17-axis scenario matrix complete
BAT-CALL-SYNC,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Batch/Worker 업무 동기 호출 Local/Remote·Header·Deadline·Idempotency·Unknown,BAT-CALL-SYNC,부분 구현,미검증,17-axis scenario matrix complete
BAT-CALL-ASYNC,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Batch Event/Outbox 비동기 호출·Stable ID·Retry/DLT·Completion Correlation,BAT-CALL-ASYNC,부분 구현,미검증,17-axis scenario matrix complete
BAT-SHARED,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Online/Common Facade 재사용의 Owner·Transaction·Load Isolation·Topology,BAT-SHARED,부분 구현,미검증,17-axis scenario matrix complete
CENTER-CORE,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Center-Cut Job/Item/Attempt/Aggregate 상태와 Immutable Policy,CENTER-CORE,부분 구현,미검증,17-axis scenario matrix complete
CENTER-RUNNER,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Target Generation→Claim→Dispatch→Aggregate Runner Lifecycle,CENTER-RUNNER,부분 구현,미검증,17-axis scenario matrix complete
CENTER-PARAM,CANONICAL,P0,Batch/Center-Cut,cpf-batch,대량 Parameter Snapshot·Schema·Hash·Encryption/Masking·Replay,CENTER-PARAM,부분 구현,미검증,17-axis scenario matrix complete
CENTER-CLAIM,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Item Claim·Lease·Fencing·Chunk Assignment·Stale Worker·Restart,CENTER-CLAIM,부분 구현,미검증,17-axis scenario matrix complete
CENTER-RATE,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Global/Domain/Target Rate·Concurrency·Backpressure·Throttle·Pause/Drain,CENTER-RATE,부분 구현,미검증,17-axis scenario matrix complete
CENTER-REPROCESS,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Failed/Selected/Range Reprocess·Approval·Idempotency·Prior Result·Compensation,CENTER-REPROCESS,부분 구현,미검증,17-axis scenario matrix complete
CENTER-UNKNOWN,CANONICAL,P0,Batch/Center-Cut,cpf-batch,Item/Attempt Unknown 분류·Reconciliation·수동 확정·Audit,CENTER-UNKNOWN,부분 구현,미검증,17-axis scenario matrix complete
CENTER-OPS,CANONICAL,P0,Batch/Center-Cut,cpf-batch/cpf-admin,ADM Job/Item/Attempt/Timeline/Progress/Reprocess/Pause/Cancel/Drain,CENTER-OPS,부분 구현,미검증,17-axis scenario matrix complete
ADM-AUTH,CANONICAL,P0,Admin/Security/Operations,cpf-admin,운영자 Password/MFA/OIDC·JDBC Session·Fixation/Concurrency/Revocation/Logout,ADM-AUTH,부분 구현,미검증,17-axis scenario matrix complete
ADM-RBAC,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Menu/Button/API/Command 권한·Role·유효기간·조직 Context·Server Enforcement,ADM-RBAC,부분 구현,미검증,17-axis scenario matrix complete
ADM-AUDIT,CANONICAL,P0,Admin/Security/Operations,cpf-admin,운영자·Target·Masked Before/After·Reason·Approval·Result·TXID 불변 Audit,ADM-AUDIT,부분 구현,미검증,17-axis scenario matrix complete
ADM-TX,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Online/Async/Batch/External Transaction 검색·Header·Masking·Segment/Attempt,ADM-TX,부분 구현,미검증,17-axis scenario matrix complete
ADM-TIMELINE,CANONICAL,P0,Admin/Security/Operations,cpf-admin,TXID 기반 Local/Remote/Event/Batch/Gateway/File/Agent Timeline,ADM-TIMELINE,부분 구현,미검증,17-axis scenario matrix complete
ADM-SERVICE,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Service/Endpoint/Instance/Health/Version/Zone/Routing/Maintenance 제어,ADM-SERVICE,부분 구현,미검증,17-axis scenario matrix complete
ADM-LOG,CANONICAL,P0,Admin/Security/Operations,cpf-admin,File/DB Log·Saved Search·Trace Boost·Dynamic Level·Retention·Download,ADM-LOG,부분 구현,미검증,17-axis scenario matrix complete
ADM-BATCH,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Job Definition/Execution/Step/Checkpoint/Restart/Stop/Recover와 Batch ID,ADM-BATCH,부분 구현,미검증,17-axis scenario matrix complete
ADM-CENTER,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Center-Cut Job/Item/Attempt/Progress/Reprocess/Unknown/Compensation,ADM-CENTER,부분 구현,미검증,17-axis scenario matrix complete
ADM-AGENT,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Agent/Runner/Worker Registry·Heartbeat·Artifact·Process·Drain/Takeover,ADM-AGENT,부분 구현,미검증,17-axis scenario matrix complete
ADM-EXS,CANONICAL,P0,Admin/Security/Operations,cpf-admin,External Endpoint/Health/Credential/Cert/Timeline/Unknown/Reconciliation,ADM-EXS,부분 구현,미검증,17-axis scenario matrix complete
ADM-RECOVERY,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Unknown/DLQ/Saga/Deployment/File/Batch Runbook·Recover/Compensate/Reconcile,ADM-RECOVERY,부분 구현,미검증,17-axis scenario matrix complete
ADM-INCIDENT,CANONICAL,P0,Admin/Security/Operations,cpf-admin,Alert→Incident→Severity/Owner→Runbook→Postmortem/Closure,ADM-INCIDENT,부분 구현,미검증,17-axis scenario matrix complete
ADM-UX,CANONICAL,P0,Admin/Security/Operations,cpf-admin,대량 Search/Paging/Sort/Filter/Saved·State·Responsive·A11y·Safe Download,ADM-UX,부분 구현,미검증,17-axis scenario matrix complete
ADM-APPROVAL,CANONICAL,P0,Admin/Security/Operations,cpf-admin,위험조치 Policy·ALL/ANY/N_OF_M·SoD·Expiry·Break-glass·Command Hash,ADM-APPROVAL,부분 구현,미검증,17-axis scenario matrix complete
BZA-BUSINESS,CANONICAL,P0,Admin/Security/Operations,cpf-biz-admin,업무 관리자 Menu/권한/조회/등록/변경/Download/Approval,BZA-BUSINESS,부분 구현,미검증,17-axis scenario matrix complete
BZA-ORG,CANONICAL,P0,Admin/Security/Operations,cpf-biz-admin,조직·직원·직급/직책·유효기간·겸직/대행·Masked Profile,BZA-ORG,부분 구현,미검증,17-axis scenario matrix complete
BZA-APPROVAL,CANONICAL,P0,Admin/Security/Operations,cpf-biz-admin,순차/병렬/Role/조직/ALL/ANY/N_OF_M/위임/회수/재상신/동시승인,BZA-APPROVAL,부분 구현,미검증,17-axis scenario matrix complete
BZA-SEQUENCE-SAMPLE,CANONICAL,P0,Admin/Security/Operations,cpf-biz-admin,선택형 업무 채번 Customization Sample·규칙·시험·승인·Audit,BZA-SEQUENCE-SAMPLE,부분 구현,미검증,17-axis scenario matrix complete
SEC-AUTHN,CANONICAL,P0,Admin/Security/Operations,security contract + owner,사용자/운영자/Service MFA/OIDC/OAuth/JWT/API Key/mTLS·Credential Lifecycle,SEC-AUTHN,부분 구현,미검증,17-axis scenario matrix complete
SEC-AUTHZ,CANONICAL,P0,Admin/Security/Operations,security contract + owner,RBAC/ABAC·Least Privilege·Resource/Action·SoD·Version·즉시 회수,SEC-AUTHZ,부분 구현,미검증,17-axis scenario matrix complete
SEC-SECRET,CANONICAL,P0,Admin/Security/Operations,security contract + owner,Secret Provider·Vault/File/Env·Encryption·Rotation·Revocation·Zeroization,SEC-SECRET,부분 구현,미검증,17-axis scenario matrix complete
SEC-CERT,CANONICAL,P0,Admin/Security/Operations,security contract + owner,Certificate/Key Trust·Issue/Import·Expiry·Rotation·Revocation·mTLS Identity,SEC-CERT,부분 구현,미검증,17-axis scenario matrix complete
SEC-PRIVACY,CANONICAL,P0,Admin/Security/Operations,security contract + owner,PII Catalog·목적/최소수집·Masking·Raw Access·Retention/Deletion·Export,SEC-PRIVACY,부분 구현,미검증,17-axis scenario matrix complete
SEC-DOWNLOAD,CANONICAL,P0,Admin/Security/Operations,security contract + owner,민감 Download 권한·Reason·Approval·Watermark·Limit·Expiry·Encryption,SEC-DOWNLOAD,부분 구현,미검증,17-axis scenario matrix complete
SEC-APP,CANONICAL,P0,Admin/Security/Operations,security contract + owner,Injection·SSRF·Traversal·Archive Bomb·XSS/CSRF·Deserialization·Process 보안,SEC-APP,부분 구현,미검증,17-axis scenario matrix complete
SEC-APPROVAL,CANONICAL,P0,Admin/Security/Operations,security contract + owner,보안 위험행위 Dual Control·Self Approval 금지·Target Hash·Break-glass,SEC-APPROVAL,부분 구현,미검증,17-axis scenario matrix complete
SEC-AUDIT,CANONICAL,P0,Admin/Security/Operations,security contract + owner,Append-only/Tamper Detection·Hash Chain/Signature·Clock/Identity·Export,SEC-AUDIT,부분 구현,미검증,17-axis scenario matrix complete
OPS-METRIC,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Transaction/Service/Instance/DB/Broker/Batch/Gateway/Agent Metric,OPS-METRIC,부분 구현,미검증,17-axis scenario matrix complete
OPS-SLO,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Availability/Latency/Error/Freshness/Backlog/Recovery SLI/SLO·Error Budget,OPS-SLO,부분 구현,미검증,17-axis scenario matrix complete
OPS-ALERT,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Dedup/Grouping/Inhibition/Severity/Routing/Escalation/Maintenance/Ack,OPS-ALERT,부분 구현,미검증,17-axis scenario matrix complete
OPS-INCIDENT,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Incident Lifecycle·Commander/Owner·Communication·Timeline·Evidence,OPS-INCIDENT,부분 구현,미검증,17-axis scenario matrix complete
OPS-RUNBOOK,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,탐지·영향·진단·안전조치·Rollback·Escalation·검증·종결 Runbook,OPS-RUNBOOK,부분 구현,미검증,17-axis scenario matrix complete
OPS-SELF,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,자동진단/복구 Allowlist·Attempt/Rate·Circuit Stop·Approval·Rollback,OPS-SELF,부분 구현,미검증,17-axis scenario matrix complete
OPS-TOPOLOGY,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Service/Instance/Dependency/Domain/Owner/DB/Broker/Endpoint Catalog,OPS-TOPOLOGY,부분 구현,미검증,17-axis scenario matrix complete
OPS-MAINT,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Maintenance·Admission Block·Drain/Quiesce·In-flight·Resume·Audit,OPS-MAINT,부분 구현,미검증,17-axis scenario matrix complete
OPS-CONFIG,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Runtime Config Catalog·Schema·Encryption·Version·Rollout·Rollback·Drift,OPS-CONFIG,부분 구현,미검증,17-axis scenario matrix complete
OPS-DRIFT,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,Source/Artifact/Config/DB/Route/Permission/Runtime Desired-Actual Drift,OPS-DRIFT,부분 구현,미검증,17-axis scenario matrix complete
OPS-CAPACITY,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,CPU/Memory/Thread/Connection/Queue/Storage/DB/Broker Capacity/Forecast,OPS-CAPACITY,부분 구현,미검증,17-axis scenario matrix complete
OPS-DR,CANONICAL,P0,Admin/Security/Operations,cpf-admin + runtime owner,RTO/RPO·Multi-zone/site·Backup/Restore·Failover/Failback·DR Drill,OPS-DR,부분 구현,미검증,17-axis scenario matrix complete
DEVEX-QUICK,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/public artifacts,설치→생성→Build→Run→Test→Debug 재현 Quick Start,DEVEX-QUICK,부분 구현,미검증,17-axis scenario matrix complete
DEVEX-CODEGEN,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/public artifacts,OpenAPI/Orval/DB/Domain 생성의 Exact Input·Determinism·Drift·User 영역 보호,DEVEX-CODEGEN,실패,미검증,17-axis scenario matrix complete
DEVEX-COMMENT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,source owners,Public API/SPI·Service/Controller·복구/동시성/보안 한글 JavaDoc/주석,DEVEX-COMMENT,부분 구현,미검증,17-axis scenario matrix complete
ONBOARD-DOMAIN,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools,DomainName+SystemCode 생성·충돌·DB Bootstrap·Build/Run·Remove/Regenerate,ONBOARD-DOMAIN,부분 구현,미검증,17-axis scenario matrix complete
