requirement_id,section,adm_coverage_mode,current_route_or_menu,query_api,command_api,permission_data_scope,failure_recovery_view,audit_evidence,development_status,verification_status
CPF-CONTEXT,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-TXID,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-ROLE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-ERROR,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-VALID,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-IDEMP,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-STATE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-LOCK,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-RESILIENCE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-DEADLINE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-SCHED,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-OPSDB,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-LOGDB,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-FILELOG,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-LOGFAIL,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-TRACE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CPF-MASK,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-FIXED,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-FILE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CORE-MESSAGE,Architecture/Core,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CMN-EXTENSION,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CMN-SAMPLE-DB,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CMN-CODE,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CMN-MSG,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CMN-CALENDAR,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CMN-TEMPLATE,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-OWNERSHIP,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-INSTALL,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-MIGRATION,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-ROLLBACK,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-BACKUP,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-MULTI-VENDOR,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-SQL,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-PERF,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DB-MULTI,Common/Data,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DATA-LINEAGE,Common/Data,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DATA-RETENTION,Common/Data,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
GWY-ENTRY,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
GWY-ROUTING,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
GWY-TRUST,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
GWY-RESILIENCE,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
API-LIMIT,Gateway/External/Event,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-INST,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-REST,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-FIXED,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-SEC,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-FILE,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-UNKNOWN,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EXS-RECON,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EVENT-CORE,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EVENT-OUTBOX,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EVENT-BROKER,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
EVENT-DLQ,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAGA-CORE,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAGA-COMP,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAGA-MANUAL,Gateway/External/Event,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-CORE,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-JOB,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-ITEM,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-EXECUTOR,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-AGENT,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-CALL-SYNC,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-CALL-ASYNC,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BAT-SHARED,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-CORE,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-RUNNER,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-PARAM,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-CLAIM,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-RATE,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-REPROCESS,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-UNKNOWN,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
CENTER-OPS,Batch/Center-Cut,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-AUTH,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-RBAC,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-AUDIT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-TX,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-TIMELINE,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-SERVICE,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-LOG,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-BATCH,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-CENTER,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-AGENT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-EXS,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-RECOVERY,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-INCIDENT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-UX,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ADM-APPROVAL,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BZA-BUSINESS,Admin/Security/Operations,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BZA-ORG,Admin/Security/Operations,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BZA-APPROVAL,Admin/Security/Operations,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
BZA-SEQUENCE-SAMPLE,Admin/Security/Operations,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-AUTHN,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-AUTHZ,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-SECRET,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-CERT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-PRIVACY,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-DOWNLOAD,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-APP,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-APPROVAL,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SEC-AUDIT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-METRIC,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-SLO,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-ALERT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-INCIDENT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-RUNBOOK,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-SELF,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-TOPOLOGY,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-MAINT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-CONFIG,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-DRIFT,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-CAPACITY,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
OPS-DR,Admin/Security/Operations,DIRECT_MENU_OR_OWNER_OPERATION,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DEVEX-QUICK,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DEVEX-CODEGEN,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DEVEX-COMMENT,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
ONBOARD-DOMAIN,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAMPLE-ACC,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAMPLE-MBR,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAMPLE-REF,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAMPLE-BIZADM,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
SAMPLE-EDU,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
API-CONTRACT,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
API-PAGING,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
API-ASYNC,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
API-FILE,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
RULE-ARCH,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
RULE-SEC,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
RULE-QUALITY,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-UNIT,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-CONTRACT,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-RUNTIME,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-BROWSER,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-BROKER,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-FAULT,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
TEST-EVIDENCE,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REL-BUILD,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REL-DEPLOY,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REL-MIG,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REL-COMPAT,Generator/EDU/API/Quality/Productization,OBSERVABILITY_OR_CONTROL_PLANE,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DOC-GOV,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
DOC-PRODUCT,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
PROD-EDITION,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
PROD-MULTITENANT,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
PROD-PLUGIN,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
PROD-PACKAGE,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REQ-GOV,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REQ-REVIEW,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REQ-CODEX,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
REQ-GAP,Generator/EDU/API/Quality/Productization,EVIDENCE_OR_GOVERNANCE_VIEW,미수집,미수집,미수집,미수집,미수집,미수집,부분 구현,미검증
