requirement_id,priority,area,development_status,verification_status,blocker_type,reason,required_action,source_paths,test_paths,evidence_path,related_defects
QA33-REQ-011,P0,Build,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-011
QA33-REQ-012,P0,Build,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-012
QA33-REQ-013,P0,Build,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-013
QA33-REQ-014,P0,Build,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-014
QA33-REQ-015,P1,Build,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-015
QA33-REQ-016,P1,Dependency Ownership,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,build.gradle;cpf-core/build.gradle;cpf-common/build.gradle,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-016
QA33-REQ-017,P0,Frontend Build,부분 구현,미검증,FRONTEND_REGISTRY,"Exact package-lock candidate를 생성해 792개 Package, Direct exact version, Dependency Range 검사를 통과했고 npm strict-peer 해석도 Registry 접근 단계까지 통과했다. 그러나 실행환경 DNS/승인 Registry cache에 commander 등 Metadata가 없어 clean npm ci가 ENOTCACHED로 중단됐다.","승인 Registry가 연결된 clean 환경에서 cpf-admin/frontend의 npm ci, typecheck, test, build, Playwright 3종을 실행하고 exact-SHA Evidence를 보존한다.",cpf-admin/frontend/package.json;cpf-admin/frontend/package-lock.json;cpf-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/prepare-cpf-qa33-frontend.ps1,cpf-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-017
QA33-REQ-018,P0,Frontend Build,부분 구현,미검증,FRONTEND_REGISTRY,"Exact package-lock candidate를 생성해 792개 Package, Direct exact version, Dependency Range 검사를 통과했고 npm strict-peer 해석도 Registry 접근 단계까지 통과했다. 그러나 실행환경 DNS/승인 Registry cache에 commander 등 Metadata가 없어 clean npm ci가 ENOTCACHED로 중단됐다.","승인 Registry가 연결된 clean 환경에서 cpf-biz-admin/frontend의 npm ci, typecheck, test, build, Playwright 3종을 실행하고 exact-SHA Evidence를 보존한다.",cpf-biz-admin/frontend/package.json;cpf-biz-admin/frontend/package-lock.json;cpf-biz-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/prepare-cpf-qa33-frontend.ps1,cpf-biz-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-018
QA33-REQ-019,P1,Dependency Lock,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,build.gradle;cpf-tools/scripts/verify-cpf-qa33-repository-closure.py;cpf-tools/scripts/verify-cpf-qa33-runtime.ps1,cpf-tools/scripts/verify-cpf-qa33-repository-closure.py;cpf-tools/scripts/verify-cpf-qa33-runtime.ps1,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-019
QA33-REQ-020,P0,Architecture Ownership,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-020
QA33-REQ-021,P0,Legacy Removal,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-starters/messaging-kafka/src/main/java/com/cpf/starter/kafka/KafkaCpfBrokerBridgeAdapter.java,cpf-starters/messaging-kafka/src/test/java/com/cpf/starter/kafka/KafkaCpfBrokerClientTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-021
QA33-REQ-022,P0,Architecture Ownership,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-022
QA33-REQ-023,P1,Architecture Ownership,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-023
QA33-REQ-024,P1,Architecture Ownership,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-024
QA33-REQ-025,P0,Frontend,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-admin/frontend/src/features/core/methods.ts;cpf-tools/scripts/verify-cpf-qa33-source-integrity.py,,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-025
QA33-REQ-026,P0,Frontend,완료,미검증,OPENAPI_GENERATION,"Generated Client source contract, source-SHA/hash marker, verification gate and actual authentication consumers are implemented. Exact clean npm/Orval/Browser execution is not available in this environment.","Overlay 적용·Push 후 clean exact SHA에서 npm ci, Orval 재생성, git diff 0, typecheck, unit, build, Chromium/Firefox/WebKit를 실행해 Evidence를 남긴다.",cpf-admin/frontend/src/features/core/methods.ts;cpf-tools/scripts/verify-cpf-qa33-source-integrity.py,,,QA33-DF-026
QA33-REQ-027,P0,Frontend,완료,미검증,OPENAPI_GENERATION,"Generated Client source contract, source-SHA/hash marker, verification gate and actual authentication consumers are implemented. Exact clean npm/Orval/Browser execution is not available in this environment.","Overlay 적용·Push 후 clean exact SHA에서 npm ci, Orval 재생성, git diff 0, typecheck, unit, build, Chromium/Firefox/WebKit를 실행해 Evidence를 남긴다.",cpf-admin/frontend/src/features/core/methods.ts;cpf-tools/scripts/verify-cpf-qa33-source-integrity.py,,,QA33-DF-027
QA33-REQ-028,P0,Frontend Migration,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-admin/frontend/src/features/core/methods.ts;cpf-admin/frontend/src/shared/cpfApi.ts;cpf-admin/frontend/src/shared/orval-mutator.ts,cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-028
QA33-REQ-029,P0,Frontend Migration,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-biz-admin/frontend/src/features/auth/session.ts;cpf-biz-admin/frontend/src/shared/orval-mutator.ts,cpf-biz-admin/frontend/src/features/auth/session.test.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-029
QA33-REQ-030,P1,Frontend State,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-admin/frontend/src/stores/admConsoleStore.ts;cpf-admin/frontend/src/stores/admSessionStore.ts;cpf-admin/frontend/src/stores/admInitializationStore.ts;cpf-admin/frontend/src/features/core/methods.ts,cpf-admin/frontend/src/stores/admFeatureStores.test.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-030
QA33-REQ-031,P1,Frontend Error Handling,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-admin/frontend/src/features/core/methods.ts;cpf-admin/frontend/src/state/createAdmState.ts,cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-031
QA33-REQ-032,P1,Frontend UX,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-032
QA33-REQ-033,P1,Frontend Routing,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/qa33-development-static-evidence.sanitized.json,QA33-DF-033
QA33-REQ-034,P0,BFF Security,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffCredentialResponseAdvice.java;cpf-starters/security/src/main/java/com/cpf/starter/security/JdbcCpfBffCredentialVault.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffCredentialResponseAdviceTest.java;cpf-starters/security/src/test/java/com/cpf/starter/security/CpfCredentialCipherTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-034
QA33-REQ-035,P0,BFF Security,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffCredentialResponseAdvice.java;cpf-starters/security/src/main/java/com/cpf/starter/security/JdbcCpfBffCredentialVault.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffCredentialResponseAdviceTest.java;cpf-starters/security/src/test/java/com/cpf/starter/security/CpfCredentialCipherTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-035
QA33-REQ-036,P0,Session Security,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffConcurrentSessionController.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffConcurrentSessionControllerTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-036
QA33-REQ-037,P0,CSRF,완료,미검증,EXACT_SHA_RUNTIME,Source·Consumer·Test·fail-closed Gate 개발은 완료했으나 Push 후 clean exact SHA의 실제 Runtime/장애복구 Evidence를 실행하지 않음.,Overlay 적용·삭제 Manifest 반영·Push 후 Java 25와 해당 DB/Kafka/Browser/다중 인스턴스 Runtime Gate를 실행하고 Sanitized Evidence Hash를 보존한다.,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfTrustedOriginFilter.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfTrustedOriginFilterTest.java,cpf-docs/work/review/CPF_20260731_QA33_STATIC_VERIFICATION_RESULT.json,QA33-DF-037
