scenario_id,requirement_id,priority,phase,scenario_type,title,preconditions,steps,expected_result,required_evidence,mandatory,initial_status
QA32-S011,OSS-UI-001,P1,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,Element Plus + TanStack Table Primary UI 전환 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(forbidden legacy component import scanner; dependency lock; wrapper-only architecture rule; bundle duplicate check)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; 화면별 migration parity matrix, Playwright trace/screenshot, bundle size, legacy import 0, accessibility report",Y,NOT_EXECUTED
QA32-S012,OSS-FE-001,P1,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,Vue Router + Pinia + TanStack Vue Query + Zod 표준화 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 ADM/BZA routing, client state, server state, forms, generated domain frontend template의 현재 구현 및 consumer inventory를 확보한다.",Vue Router route guard/deep link; Pinia는 사용자·환경·UI state만; TanStack Query는 server cache/cancel/invalidation; Zod schema는 frontend validation과 backend error mapping 보조. 기존 수동 경로 전수 이관을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.,Routing·client state·server state·form validation의 단일 표준과 명확한 소유 경계이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"route map, store/query inventory, E2E 결과, legacy router/fetch/mixin 제거 증적",Y,NOT_EXECUTED
QA32-S013,OSS-FE-001,P1,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,Vue Router + Pinia + TanStack Vue Query + Zod 표준화 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 ADM/BZA routing, client state, server state, forms, generated domain frontend template의 현재 구현 및 consumer inventory를 확보한다.",다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: Back/Forward/Refresh/Deep Link; stale request cancellation; mutation conflict/unknown; form cross-field/nullable/error focus. 또한 금지된 부분 구현 방식(Pinia에 서버 응답을 영구 캐시; mutation 자동 retry; hash router fallback 유지; Zod만 통과하면 backend 검증 생략)을 의도적으로 재현한다.,"위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, route map, store/query inventory, E2E 결과, legacy router/fetch/mixin 제거 증적",Y,NOT_EXECUTED
QA32-S014,OSS-FE-001,P1,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,Vue Router + Pinia + TanStack Vue Query + Zod 표준화 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(manual fetch/hashchange/global mutable scanner; query key convention test; route registry parity; form schema drift test)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; route map, store/query inventory, E2E 결과, legacy router/fetch/mixin 제거 증적",Y,NOT_EXECUTED
QA32-S015,OSS-API-001,P1,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,ADM/BZA Orval Type-safe Client 전환 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 springdoc OpenAPI, ADM/BZA frontend API 호출, BFF endpoint, generated client의 현재 구현 및 consumer inventory를 확보한다.","Orval exact pin, config/template hash, 공통 mutator, credentials/CSRF/header/error adapter, nullable/enum/date/multipart/download 지원. 생성 코드 직접 수정 금지; 수동 endpoint 문자열 전수 제거을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.",OpenAPI 정본에서 Orval Vue Query client를 재현 생성하고 기능 코드가 생성 Client/승인된 Adapter만 사용이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"OpenAPI SHA, Orval version/config hash, generated manifest, contract/E2E 결과, raw endpoint 0",Y,NOT_EXECUTED
QA32-S016,OSS-API-001,P1,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,ADM/BZA Orval Type-safe Client 전환 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 springdoc OpenAPI, ADM/BZA frontend API 호출, BFF endpoint, generated client의 현재 구현 및 consumer inventory를 확보한다.","다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: 401/403/409/422/500, timeout/cancel, file upload/download, paging arrays, mutation invalidation. 또한 금지된 부분 구현 방식(일부 API만 생성; 생성 코드 복사 후 수동 수정; Spec drift를 무시; raw fetch escape hatch가 무제한)을 의도적으로 재현한다.","위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, OpenAPI SHA, Orval version/config hash, generated manifest, contract/E2E 결과, raw endpoint 0",Y,NOT_EXECUTED
QA32-S017,OSS-API-001,P1,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,ADM/BZA Orval Type-safe Client 전환 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(OpenAPI hash→generated diff Gate; forbidden raw fetch scanner with narrow allowlist; generated code clean regeneration test)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; OpenAPI SHA, Orval version/config hash, generated manifest, contract/E2E 결과, raw endpoint 0",Y,NOT_EXECUTED
QA32-S018,OSS-BFF-001,P0,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,ADM/BZA BFF + Server-side Session 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 ADM/BZA browser, backend security, Spring Session JDBC, cookies, CSRF, role changes의 현재 구현 및 consumer inventory를 확보한다.",ADM/BZA backend가 각각 BFF 역할; Spring Security + Spring Session JDBC; CSRF; session fixation 방지; 로그인/권한변경/강제로그아웃/idle/absolute timeout; cookie namespace 분리; 내부 호출 token exchange/service credential을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.,Browser는 Secure HttpOnly SameSite Cookie 기반 서버 Session만 사용하고 Refresh/Access Token 원문에 접근하지 않음이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"Browser trace, Set-Cookie flags, CSRF evidence, DB session rows, permission revalidation, security negative report",Y,NOT_EXECUTED
QA32-S019,OSS-BFF-001,P0,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,ADM/BZA BFF + Server-side Session 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 ADM/BZA browser, backend security, Spring Session JDBC, cookies, CSRF, role changes의 현재 구현 및 consumer inventory를 확보한다.",다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: 다중 인스턴스 login/failover; CSRF 공격; session fixation; role revoke; forced logout; concurrent session 정책; cookie theft replay. 또한 금지된 부분 구현 방식(localStorage/sessionStorage에 token 저장; JS readable cookie; Gateway가 browser session 정본; 권한 변경 후 기존 session 계속 허용)을 의도적으로 재현한다.,"위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, Browser trace, Set-Cookie flags, CSRF evidence, DB session rows, permission revalidation, security negative report",Y,NOT_EXECUTED
QA32-S020,OSS-BFF-001,P0,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,ADM/BZA BFF + Server-side Session 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(token storage scanner; cookie/header security test; method security/API permission parity; session repository schema migration Gate)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; Browser trace, Set-Cookie flags, CSRF evidence, DB session rows, permission revalidation, security negative report",Y,NOT_EXECUTED
QA32-S021,OSS-BFF-001,P0,P1_OSS_FIRST_MIGRATION,P0_RECOVERY_REHEARSAL,ADM/BZA BFF + Server-side Session 장애 중단·재시작·복구,실제 또는 격리된 동등 환경에서 처리 중 상태와 persistent evidence가 준비되어 있다.,"처리 중 process kill, response loss, duplicate retry, stale worker/instance, restart를 조합하여 주입하고 reconciliation 또는 rollback을 실행한다.",데이터 손상·중복 side effect·권한 우회 없이 실제 상태가 확정되며 UNKNOWN_RESULT는 임의 성공/실패로 축약되지 않는다.,"전후 DB/ledger/state diff, recovery command, exact artifact/source SHA, final actual state",Y,NOT_EXECUTED
QA32-S022,OSS-GWY-001,P0,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,Spring Cloud Gateway Server Web MVC + Embedded Tomcat 단일 Data Plane 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 cpf-gateway, route/control-plane adapters, build.gradle, deployment scripts의 현재 구현 및 consumer inventory를 확보한다.",spring-cloud-starter-gateway-server-webmvc와 호환 Release Train/BOM pin; CPF neutral route/policy→SCG predicate/filter mapping; embedded Tomcat bootJar; bootWar 비활성; current custom HTTP forwarding consumer 전수 이관·legacy 제거; stateless scale-out을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.,SCG Server Web MVC를 유일한 Primary Data Plane으로 사용하고 단일 실행형 cpf-gateway.jar를 제공; WebFlux artifact는 구현하지 않음이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"실행형 JAR hash, dependency tree, route parity matrix, load test, legacy deletion manifest, no webflux artifact evidence",Y,NOT_EXECUTED
QA32-S023,OSS-GWY-001,P0,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,Spring Cloud Gateway Server Web MVC + Embedded Tomcat 단일 Data Plane 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 cpf-gateway, route/control-plane adapters, build.gradle, deployment scripts의 현재 구현 및 consumer inventory를 확보한다.",다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: routing/rewrite/header/CORS/rate limit/retry/timeout/streaming/download; multi-instance scale-out; route update/rollback; downstream failure. 또한 금지된 부분 구현 방식(SCG dependency만 추가하고 custom proxy가 실제 요청 처리; WebMVC/WebFlux 동시 classpath; bootWar/두 jar 병존; unsupported route가 silently ignored)을 의도적으로 재현한다.,"위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, 실행형 JAR hash, dependency tree, route parity matrix, load test, legacy deletion manifest, no webflux artifact evidence",Y,NOT_EXECUTED
QA32-S024,OSS-GWY-001,P0,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,Spring Cloud Gateway Server Web MVC + Embedded Tomcat 단일 Data Plane 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(SCG route mapping contract; custom proxy import/bean 0 Gate; artifact contains Tomcat and no WebFlux/Netty; route/filter capability matrix)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; 실행형 JAR hash, dependency tree, route parity matrix, load test, legacy deletion manifest, no webflux artifact evidence",Y,NOT_EXECUTED
QA32-S025,OSS-GWY-001,P0,P1_OSS_FIRST_MIGRATION,P0_RECOVERY_REHEARSAL,Spring Cloud Gateway Server Web MVC + Embedded Tomcat 단일 Data Plane 장애 중단·재시작·복구,실제 또는 격리된 동등 환경에서 처리 중 상태와 persistent evidence가 준비되어 있다.,"처리 중 process kill, response loss, duplicate retry, stale worker/instance, restart를 조합하여 주입하고 reconciliation 또는 rollback을 실행한다.",데이터 손상·중복 side effect·권한 우회 없이 실제 상태가 확정되며 UNKNOWN_RESULT는 임의 성공/실패로 축약되지 않는다.,"전후 DB/ledger/state diff, recovery command, exact artifact/source SHA, final actual state",Y,NOT_EXECUTED
QA32-S026,OSS-MSG-001,P0,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,Kafka Primary + In-memory Test Adapter + Testcontainers Kafka 정상 수직 Slice,"Repository HEAD와 시작 SHA를 기록하고 message API/SPI, producers/consumers, batch/event flows, testkit, deployment의 현재 구현 및 consumer inventory를 확보한다.",CpfMessagePort/API와 kafka adapter/starter 분리; schema/version/header/idempotency/DLT/retry/attempt ledger; at-least-once + consumer idempotency 정본; AMQP primary 제거. In-memory는 publish/consume/header/duplicate injection만 구현을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.,"Kafka를 유일한 Product Messaging Primary로 사용하고 unit에는 단순 In-memory adapter, integration에는 실제 Kafka Testcontainers 사용이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.","Kafka container logs, topic config, producer/consumer metrics, ledger, duplicate side-effect 0, in-memory contract parity",Y,NOT_EXECUTED
QA32-S027,OSS-MSG-001,P0,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,Kafka Primary + In-memory Test Adapter + Testcontainers Kafka 실패·우회 차단,"Repository HEAD와 시작 SHA를 기록하고 message API/SPI, producers/consumers, batch/event flows, testkit, deployment의 현재 구현 및 consumer inventory를 확보한다.",다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: partition/order/rebalance/consumer crash/duplicate/redelivery/DLT/broker outage/offset recovery/schema incompatibility. 또한 금지된 부분 구현 방식(In-memory test만으로 Kafka 완료; exactly-once를 DB side effect 포함 증명 없이 선언; spring-kafka가 core api에 잔존; Kafka와 AMQP 동시 기본)을 의도적으로 재현한다.,"위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, Kafka container logs, topic config, producer/consumer metrics, ledger, duplicate side-effect 0, in-memory contract parity",Y,NOT_EXECUTED
QA32-S028,OSS-MSG-001,P0,P1_OSS_FIRST_MIGRATION,COMPLETION_GATE,Kafka Primary + In-memory Test Adapter + Testcontainers Kafka 완료 판정 Gate,모든 변경이 Working Tree에 존재하고 Result Matrix 초안이 작성되어 있다.,"정적·Architecture Gate(core public graph에서 kafka/amqp 0; topic/config schema lint; serializer compatibility; Testcontainers required integration Gate)를 실행하고 동일 패턴을 repository 전체, generator template, generated source, published artifact에서 재검색한다.","미구현·부분 구현·미검증 행이 남으면 완료가 거부된다. 모든 소비자 이관, legacy 제거, 실행 Evidence가 있을 때만 완료된다.","Gate command/환경/시작·종료시각/Exit Code/report hash; Kafka container logs, topic config, producer/consumer metrics, ledger, duplicate side-effect 0, in-memory contract parity",Y,NOT_EXECUTED
QA32-S029,OSS-MSG-001,P0,P1_OSS_FIRST_MIGRATION,P0_RECOVERY_REHEARSAL,Kafka Primary + In-memory Test Adapter + Testcontainers Kafka 장애 중단·재시작·복구,실제 또는 격리된 동등 환경에서 처리 중 상태와 persistent evidence가 준비되어 있다.,"처리 중 process kill, response loss, duplicate retry, stale worker/instance, restart를 조합하여 주입하고 reconciliation 또는 rollback을 실행한다.",데이터 손상·중복 side effect·권한 우회 없이 실제 상태가 확정되며 UNKNOWN_RESULT는 임의 성공/실패로 축약되지 않는다.,"전후 DB/ledger/state diff, recovery command, exact artifact/source SHA, final actual state",Y,NOT_EXECUTED
QA32-S030,OSS-RES-001,P1,P1_OSS_FIRST_MIGRATION,POSITIVE_VERTICAL_SLICE,Spring Cloud CircuitBreaker + Resilience4j 표준화 정상 수직 Slice,Repository HEAD와 시작 SHA를 기록하고 HTTP/service call/gateway/agent/broker adapters와 runtime policy의 현재 구현 및 consumer inventory를 확보한다.,"Spring Cloud CircuitBreaker abstraction, centralized policy adapter, timeout/bulkhead/circuit/retry/rate limiter; mutation retry는 idempotency/operationId 보장 시만; gateway와 중복 적용 금지을 구현한다. UI/API/Owner/DB 또는 State/Runtime Consumer/실패·복구/Audit가 해당되는 경우 모두 연결한 뒤 실제 실행한다.",표준 호출 경계에서 Resilience4j 구현을 사용하고 CPF가 retry 허용·idempotency·request hash·attempt ledger를 소유이 실제 Primary Path에서 동작하며 legacy fallback 없이 성공한다.,"Attempt별 상태/시간/target/policy version, metrics, fault injection results",Y,NOT_EXECUTED
QA32-S031,OSS-RES-001,P1,P1_OSS_FIRST_MIGRATION,NEGATIVE_FAILURE_INJECTION,Spring Cloud CircuitBreaker + Resilience4j 표준화 실패·우회 차단,Repository HEAD와 시작 SHA를 기록하고 HTTP/service call/gateway/agent/broker adapters와 runtime policy의 현재 구현 및 consumer inventory를 확보한다.,"다음 실패·오용 조건을 fixture 또는 실제 환경으로 주입한다: timeout, half-open, bulkhead exhaustion, response loss, unknown/reconcile, retry budget exhaustion. 또한 금지된 부분 구현 방식(annotation을 업무 코드에 무분별하게 분산; 모든 exception 자동 retry; timeout 이후 side effect를 FAILED로 단정)을 의도적으로 재현한다.","위험 입력·불완전 구현·정책 우회는 fail-closed로 차단되고, 상태·오류·원장·복구 가능성이 명확히 기록된다.","Negative fixture 결과, Exit Code, typed error/state, audit/ledger, Attempt별 상태/시간/target/policy version, metrics, fault injection results",Y,NOT_EXECUTED
