defect_id,priority,area,title,evidence,impact,root_cause,status,related_requirements,origin,baseline_sha
QA35-DF-018,P0,ADM Safety,위험조치 전 메뉴 공통 안전 계약 Matrix 부재,"Reason, Approval, Expected Version, 재확인 Dialog, 결과 추적, Audit가 어떤 Route/Button에 필요한지 정본화되지 않음.",운영 제어 기능에서 승인·감사·동시성 보호 누락을 전수 검증할 수 없음.,기능별 구현과 공통 운영 안전 축을 별도 Requirement로 관리하지 않음.,미구현,QA35-REQ-016;QA35-REQ-021,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-019,P0,EDU,최종 Requirement/Public API→EDU Coverage Matrix 부재,최상위 정본은 cpf-reference를 실제 EDU·복구·운영 예제 Owner로 정의하지만 162 Requirement와 Public API를 예제에 연결한 Catalog가 없음.,Framework 기능이 구현돼도 교육·Reference Runtime·회귀 예제 누락이 반복됨.,EDU를 별도 Sample로 취급하고 제품 완료 축에 자동 포함하지 않음.,미구현,QA35-REQ-025;QA35-REQ-032,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-020,P0,EDU Impact,QA34 대규모 Framework 변경에 cpf-reference 변경이 없음,latest QA34 Commit의 124개 변경 파일에 cpf-reference/**가 포함되지 않음.,새 Build/OpenAPI/BFF/Batch/Gateway/Recovery 계약이 EDU 예제와 동기화됐다는 근거가 없음.,Framework 계약 변경 시 EDU·Generator·ADM Impact Row를 Mandatory로 생성하지 않음.,미검증,QA35-REQ-025;QA35-REQ-028;QA35-REQ-032,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-021,P0,EDU Runtime,EDU 예제의 오류·동시성·결과불명·복구·보안·ADM 관측 검증 부재,개발자 Guide는 변경 명령 하나의 절차만 제시하며 전체 기능군 실행 Matrix와 exact-SHA Evidence가 없음.,Happy-path Sample만 존재해도 EDU 완료로 오판 가능.,예제 완료 조건을 제품 Requirement 공통 완료 축과 동일하게 적용하지 않음.,미검증,QA35-REQ-027;QA35-REQ-028;QA35-REQ-029,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-022,P1,ADM/EDU Boundary,Production ADM 초기 State에 EDU/REF 식별자가 기본값으로 포함,"CPF_EDU_TASKLET_JOB, CPF_REF_CENTER_CUT_SAMPLE_JOB 등이 ADM default form에 존재함.",교육 Seed와 제품 운영 기본값 경계가 흐려지고 미설치 환경에서 잘못된 기본 조치를 유도할 수 있음.,EDU Data를 Profile/Fixture로 격리하지 않고 제품 UI State에 직접 포함함.,부분 구현,QA35-REQ-031,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-023,P0,Supply Chain,기본 Artifact 탐색이 nested Batch·BOM·Plugin·DB Pack을 보장하지 않음,"기본 glob은 cpf-*/build 하위 1단계와 ADM/BZA dist 중심이며 nested cpf-batch/*, BOM/Plugin marker/POM, DB Pack은 ArtifactPaths가 없으면 누락 가능.",QA34-REQ-018의 전체 Final Artifact 동일 SHA/SBOM 계약을 충족하지 못함.,제품 Artifact Catalog 정본 없이 파일 Glob으로 Release 대상을 추정함.,부분 구현,QA35-REQ-033,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-024,P1,Governance,README 완료 기준에서 Evidence exact-SHA 문구가 약화됨,latest Commit에서 Source·API·SQL·Test·문서·Artifact·Evidence 동일 SHA 문구 중 Evidence가 제거되고 Matrix/Evidence 기준 문구가 Guide 중심으로 변경됨.,문서와 실제 검증의 분리 원칙이 약화되고 완료 보고가 Source/Guide 존재 중심으로 회귀함.,README 문구 변경 시 Governance Regression Review가 없음.,실패,QA35-REQ-003,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-025,P1,Documentation,최신 Commit에 포함된 Guide가 이전 SHA·과거 Build Blocker를 유지,개발자 매뉴얼 기준 Commit은 c2e168...이고 settings includeBuild 대상 부재를 현재 blocker로 설명하지만 latest Source에는 해당 Build Tooling이 존재함.,다음 개발자가 이미 해결된 문제를 재탐색하고 실제 신규 결함을 놓침.,Guide 갱신 후 exact-SHA Source Reconciliation Gate가 없음.,실패,QA35-REQ-003,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-026,P0,Evidence Semantics,Broad Wrapper 성공을 다수 Requirement Evidence로 자동 확장,Runtime Matrix/Final Closure가 단계명과 성공 여부로 광범위한 Requirement ID를 부여하지만 각 Requirement별 필수 Artifact·Assertion을 검증하는 Semantic Gate가 없음.,특정 기능이 실제로 검증되지 않아도 releaseEligible=true로 승격될 위험.,Evidence 존재/Exit Code와 Requirement 수용조건 충족을 동일시함.,부분 구현,QA35-REQ-012;QA35-REQ-034,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-027,P0,Process,환경 의존 검증을 마지막 all-or-nothing 단계로 집중,"Java, npm Registry, 3 Browser, 3DB, Kafka, Backup, Runtime URL, ORT/Syft/Grype를 마지막 Wrapper에 동시에 요구함.",한 환경 미비로 전체 검증이 연기되고 Source 결함도 다음 회차까지 남음.,저비용 deterministic preflight와 환경 Runtime Gate를 분리하지 않음.,실패,QA35-REQ-008;QA35-REQ-009;QA35-REQ-011,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-028,P0,Impact Governance,Framework 변경 시 EDU·ADM·Generator 영향도 자동 Gate 부재,QA34 Requirement 20건에는 EDU 전체성·ADM 메뉴 제품성 검증이 독립 P0로 포함되지 않음.,핵심 제품 표면이 매 회차 범위 밖으로 밀리고 마지막에 다시 누락됨.,Requirement를 결함 단위로만 닫고 최종 제품 횡단 완료 축을 매 회차 재적용하지 않음.,미구현,QA35-REQ-014;QA35-REQ-025;QA35-REQ-032,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-029,P0,ADM Baseline,기존 최소 ADM 화면 44장에 대한 기능 단위 비교가 QA35에 누락,기존 산출물은 CPF 59 Route만 기준으로 삼고 외부 최소 기능선의 세부 기능을 전수 매핑하지 않음,누락된 전통 운영기능이 Route 이름에 가려질 수 있음,메뉴명 중심 검토로 세부 기능·업무 결과를 분해하지 않음,미구현,QA35-REQ-036;QA35-REQ-055,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-030,P0,ADM System,Menu/Notice/Login/Usage/DB Schema 등 시스템 관리 기능이 불명확 또는 미구현,"첨부 온라인 01~04, 27~29와 현재 routes 비교",운영 거버넌스·접근 이력·DB 연결상태·메뉴권한 완전성 부족,플랫폼 기능 개발에 집중하며 ADM 자체 운영기능을 후순위로 둠,부분 구현,QA35-REQ-038,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-031,P0,ADM Common,Datasource·Receiver Directory·Framework effective state 관제 부족,"첨부 온라인 05~10, 배치 09~11 비교",DB pool 장애·알림 대상·실제 적용상태를 운영자가 확인하기 어려움,범용 Config/Notification/Topology Route가 세부 운영기능을 대체한다고 간주,부분 구현,QA35-REQ-039,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-032,P0,ADM Online Design,거래 Test/Profile/Profile Schema/DBIO/Pipeline 관리 기능 부족,첨부 온라인 11~15와 current transactions/standardExecutions/configs 비교,거래 설계·배포·변경 영향도를 ADM에서 안전하게 운영하지 못함,거래 Runtime 관제와 설계 Metadata 운영을 분리하지 않음,부분 구현,QA35-REQ-040,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-033,P0,ADM Online Monitoring,Online Executor·Deferred·지연비동기·서비스 처리량 세부 관제 부족,첨부 온라인 Menu와 current capacity/reliability 비교,병목·Queue 포화·지연 원인을 신속히 진단하기 어려움,통합 SLO/Recovery 화면이 저수준 Runtime 관제를 모두 포괄한다고 가정,부분 구현,QA35-REQ-041,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-034,P0,ADM Online Logs/Stats,거래/전문/Error/Debug/Code 적용/거래통계/처리시간 통계의 특화 화면 부족,첨부 온라인 16~19와 menu tree 비교,운영 분석과 원인 추적이 generic logs/capacity에 제한됨,로그 수집 기능과 운영자용 분석 View를 동일시,부분 구현,QA35-REQ-042,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-035,P0,ADM Deployment,Online Component·XIO/FIO Adapter 배포/버전/Drift 통합 조회 부족,첨부 온라인 menu tree·분석 menu와 gateway/batch deployment 비교,서비스·연계 adapter의 실제 적용 버전과 rollback 상태 추적 곤란,Gateway/Batch별 배포 기능을 통합 Artifact 운영으로 확장하지 않음,부분 구현,QA35-REQ-043,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-036,P0,ADM Batch Definition,Job Definition 상세·복제·Parameter·Trigger·Job Group Lifecycle이 불명확,"첨부 배치 01,02,06,12와 current batch/job-packs 비교",배치 설계 변경을 ADM에서 완결할 수 없음,Job Pack과 Runtime 실행 기능을 Job Definition 관리로 완료 처리,부분 구현,QA35-REQ-044,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-037,P0,ADM Batch DAG,Job 선후행 Flow Diagram·Cycle/Critical Path 기능 부족,첨부 배치 03,대규모 배치 Dependency와 지연 영향 파악 불가,Scheduler 존재를 Dependency 시각화/검증 완료로 간주,미구현,QA35-REQ-045,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-038,P0,ADM Batch Control,긴급 Job 승인·수동 실행·Instance 제어의 공통 안전 계약 미확인,"첨부 배치 07,14와 approvals/executions/recovery 비교",고위험 배치 조치의 maker-checker·idempotency·unknown result 누락 가능,공통 Approval Route와 개별 Command Consumer 연결을 전수 검증하지 않음,부분 구현,QA35-REQ-046,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-039,P0,ADM Batch Infrastructure,Agent/Host OS·JVM·Disk·heartbeat·quarantine 관제 완성도 미확인,첨부 배치 08과 current batch-agents/capacity 비교,배치 장애의 Host/Agent 원인 진단 및 안전 제어 부족,Route 존재를 field/action/runtime completeness로 오판,부분 구현,QA35-REQ-047,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-040,P0,ADM Batch Config,Batch scope 환경변수·통지 수신자·Report Artifact 관리 부족,"첨부 배치 09,11,14",배치 운영 설정과 결과물·알림을 실행 단위로 추적하기 어려움,범용 Config/Notification/Download로 도메인 요구를 대체,부분 구현,QA35-REQ-048,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-041,P0,ADM Center-Cut,Center-Cut Profile 상세·실행통계·복구 연결 미확인,첨부 온라인 21~23와 current batch-center-cut 비교,Center-Cut 상용 운영도구 완성도 판정 불가,단일 Route 존재만으로 정의·실행·분석 전 범위를 완료 처리,부분 구현,QA35-REQ-049,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-042,P0,ADM Integration,온라인·배치·Gateway·File·Notification을 단일 검색/Timeline으로 연결하지 못함,첨부의 Online/Batch 분리 구조와 CPF 통합 목표 비교,통합 ADM임에도 운영자가 여러 메뉴에서 동일 장애를 수동 상관분석,도메인별 고급 화면을 만들고 Cross-domain correlation을 마지막에 미룸,미구현,QA35-REQ-050,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-043,P0,ADM Analytics,Report/SQL/XIO/FIO/영향도 분석 기능군 부재,첨부 온라인 25~26,변경 영향·성능·연계 병목을 운영 화면에서 분석 불가,관제와 분석을 동일 범주로 보고 별도 Analytics Owner를 두지 않음,미구현,QA35-REQ-051,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-044,P0,ADM Information Architecture,59 Route가 기능별로 존재하지만 통합 온라인·배치 제품 IA와 작업 흐름 기준 재편이 미흡,현재 home/online/batch/integration/monitoring/framework group와 첨부 최소 menu 비교,메뉴가 많아도 사용자가 설계→배포→관제→복구→감사를 따라가기 어려움,Route 수를 완성도로 사용하고 persona/task-flow IA 검증 부족,부분 구현,QA35-REQ-037,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-045,P0,ADM Quality,캡처 최소선의 검색·Paging·상세·Drill-down을 상회하는 화면 품질 전수 기준 없음,첨부 44개 화면과 current E2E 비교,빈 화면·generic component·interaction 없는 route도 완료 처리 가능,공통 UI smoke와 실제 업무 기능 완성도를 분리하지 않음,미구현,QA35-REQ-052;QA35-REQ-053,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-046,P0,ADM Superset,CPF의 고급 Recovery/Approval/Fencing 기능과 기본 운영기능이 하나의 Workflow로 결합됐는지 미검증,current recoveryCenter/reliability/approvals/batch-leases와 첨부 최소 기능 비교,고급 기능은 있으나 일상 운영기능 누락으로 제품 전체 사용성이 낮아질 수 있음,고급 차별점 개발이 기본 CRUD/Monitoring/Analysis closure보다 앞섬,부분 구현,QA35-REQ-054,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-001,P0,Baseline,Latest master changed to docs-only commit but QA baseline remained prior SHA,95e592... modifies README and 8 guides only; current QA docs still e1/QA34,문서와 Source/Evidence 기준이 분리,Guide 변경을 product verification과 결합하지 않음,실패,QA36-GAP-001;QA36-GAP-015,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-002,P0,Governance,Current Work Request falsely states only one independent verification remains,CPF_CURRENT_WORK_REQUEST.md exact text,Source failure and full QA continuity are hidden,문서가 실제 Git보다 먼저 종료,실패,REQ-REVIEW;QA36-GAP-001,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-003,P0,CI,Latest exact SHA has no combined status and no workflow run,GitHub status/workflow query returns empty,Push regression automatically undetected,Repository CI/required status not enforced,미구현,QA36-GAP-017,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-004,P0,Canonical QA,Canonical 162 have no latest-SHA complete status/trace/evidence matrix,Final Target count 162; current QA focuses QA34,전체 제품 완료 판단 불가,세션별 Delta가 canonical status를 대체,미구현,QA36-GAP-002,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-005,P0,Continuity,"Legacy 1,873 requirements and 441 scenarios not rejudged at latest SHA",Enterprise QA manifest/request,누락/회귀/중복을 알 수 없음,작은 다음-QA matrix로 대체,미검증,QA36-GAP-003;QA36-GAP-004,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-006,P0,Frontend,ADM tracked OpenAPI remains old SHA and only two auth operations,cpf-admin/frontend/openapi/cpf-openapi.json,전체 ADM typed contract/build 실패,runtime export/generation not committed as closure,실패,DEVEX-CODEGEN;API-CONTRACT,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-007,P0,Frontend,ADM marker schema2 conflicts with schema3 verifier,marker and verify-generated-client.mjs,fresh clone verify/build failure,producer/artifact/verifier not updated atomically,실패,DEVEX-CODEGEN;REL-BUILD,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-008,P0,BZA Frontend,BZA mirrors partial auth-only OpenAPI and generated-client closure risk,BZA snapshot previously confirmed at source commit,BZA build/consumer contract unreliable,ADM/BZA generation treated as script existence,실패,QA36-GAP-010,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-009,P0,EDU,cpf-reference build proves module existence but not 162/Public API executable coverage,cpf-reference/build.gradle,Framework features can ship without examples/fault/ADM evidence,EDU was treated as sample module,부분 구현,QA36-GAP-022,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-010,P0,ADM,59 routes and advanced features do not prove 87 minimum capability/business outcome,route/capability matrices,online-batch integrated product may miss basic design/analysis/operations,menu count used as completeness proxy,부분 구현,QA36-GAP-021,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-011,P0,Build,Build tooling source exists but Java25 fresh cache/published consumer evidence absent,settings/build and no CI,other PC fresh clone reproducibility unknown,verification deferred to final wrapper,미검증,QA36-GAP-011,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-012,P0,Local Runtime,Local web/batch modules exist but startup/API/UI/shutdown/resource evidence absent,local runtime build files,developer topology support unproven,module existence counted ahead of runtime,미검증,QA36-GAP-012,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-013,P0,Database,3DB runners exist but latest SHA actual install/upgrade/rollback/backup/perf evidence absent,QA34 DB matrix and current evidence state,official vendor support unproven,static parity and wrapper existence substituted,미검증,QA36-GAP-026,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-014,P0,Distributed Runtime,Kafka/Gateway/Batch/Scheduler/Agent multi-instance/process-kill evidence absent,no CI/runtime evidence,unknown-result/fencing/takeover claims unproven,expensive runtime always deferred,미검증,QA36-GAP-013;QA36-GAP-027,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-015,P0,Generator,Golden domain and generator lifecycle not executed at latest SHA,Canonical requirement and prior QA,new domain reproducibility/user-code safety unknown,templates and scripts counted before lifecycle,미검증,QA36-GAP-023,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-016,P0,Documentation,Guide baseline is e1 while latest is 95 and functions are described without exact runtime evidence,03 ADM guide header and latest commit,manual may overstate supported functionality,docs-only commit not source/evidence reconciled,실패,QA36-GAP-015,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-017,P0,Evidence,Wrapper exit code can cover broad requirements without semantic assertion inventory,QA34 source/runtime wrappers,false-green releaseEligible risk,evidence existence conflated with acceptance,부분 구현,QA36-GAP-029,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
QA36-DF-018,P0,Supply Chain,Final Artifact catalog is not explicit for all nested runtimes/BOM/plugin/front/db/script,prior QA35 finding,release scan/signature scope incomplete,glob-based artifact discovery,부분 구현,QA36-GAP-019,QA36_PROJECT_WIDE,95e592c05fc457301efdb13ee50e0d7453325806
