scope,requirement_id,reused_capability,reused_source,actual_consumer,class_method_bean,test_evidence,justification,source_sha
EDU32,EDU-011,External REST,cpf-reference/src/main/java/com/cpf/reference/online/counterparty/rest/EduDev09Handler.java,EDU-DEV-09 concrete handler -> EduExecutionService -> durable operation ledger,EduDev09Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/counterparty/rest/EduDev09IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/external/**/*.java,"Existing External REST contracts are consumed by EDU-DEV-09 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-012,Fixed-length Protocol,cpf-reference/src/main/java/com/cpf/reference/online/counterparty/fixedwidth/EduDev10Handler.java,EDU-DEV-10 concrete handler -> EduExecutionService -> durable operation ledger,EduDev10Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/counterparty/fixedwidth/EduDev10IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/telegram/**/*.java,"Existing Fixed-length Protocol contracts are consumed by EDU-DEV-10 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-013,File/Archive,cpf-reference/src/main/java/com/cpf/reference/online/file/sftp/EduDev26Handler.java,EDU-DEV-26 concrete handler -> EduExecutionService -> durable operation ledger,EduDev26Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/file/sftp/EduDev26IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/filetransfer/**/*.java|cpf-reference/src/test/java/com/cpf/reference/archive/**/*.java,"Existing File/Archive contracts are consumed by EDU-DEV-26 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-014,Cache,cpf-reference/src/main/java/com/cpf/reference/online/cache/consistency/EduDev36Handler.java,EDU-DEV-36 concrete handler -> EduExecutionService -> durable operation ledger,EduDev36Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/cache/consistency/EduDev36IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/config/**/*.java|cpf-admin/src/test/**/*Cache*Test.java,"Existing Cache contracts are consumed by EDU-DEV-36 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-015,Feature Flag,cpf-reference/src/main/java/com/cpf/reference/online/runtime/featuretoggle/EduDev35Handler.java,EDU-DEV-35 concrete handler -> EduExecutionService -> durable operation ledger,EduDev35Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/runtime/featuretoggle/EduDev35IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/config/**/*.java,"Existing Feature Flag contracts are consumed by EDU-DEV-35 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-016,Secret,cpf-reference/src/main/java/com/cpf/reference/platform/security/secretrotation/EduOps03Handler.java,EDU-OPS-03 concrete handler -> EduExecutionService -> durable operation ledger,EduOps03Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/platform/security/secretrotation/EduOps03IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/security/**/*.java|cpf-admin/src/test/**/*Secret*Test.java,"Existing Secret contracts are consumed by EDU-OPS-03 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-017,Security,cpf-reference/src/main/java/com/cpf/reference/online/security/authorization/EduDev11Handler.java,EDU-DEV-11 concrete handler -> EduExecutionService -> durable operation ledger,EduDev11Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/security/authorization/EduDev11IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/security/**/*.java,"Existing Security contracts are consumed by EDU-DEV-11 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-018,Observability,cpf-reference/src/main/java/com/cpf/reference/online/observability/correlation/EduDev42Handler.java,EDU-DEV-42 concrete handler -> EduExecutionService -> durable operation ledger,EduDev42Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/observability/correlation/EduDev42IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/logging/**/*.java|cpf-reference/src/test/java/com/cpf/reference/audit/**/*.java,"Existing Observability contracts are consumed by EDU-DEV-42 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-019,Database 3 Vendors,cpf-reference/src/main/java/com/cpf/reference/online/database/migration/EduDev14Handler.java,EDU-DEV-14 concrete handler -> EduExecutionService -> durable operation ledger,EduDev14Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/database/migration/EduDev14IntegrationTest.java|cpf-tools/scripts/tests/test_verify_cpf_db_lifecycle_contract.py|cpf-tools/db/**/verify/**/*,"Existing Database 3 Vendors contracts are consumed by EDU-DEV-14 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-020,Migration,cpf-reference/src/main/java/com/cpf/reference/platform/database/lifecycle/EduOps04Handler.java,EDU-OPS-04 concrete handler -> EduExecutionService -> durable operation ledger,EduOps04Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/platform/database/lifecycle/EduOps04IntegrationTest.java|cpf-tools/scripts/tests/test_verify_cpf_db_lifecycle_contract.py|cpf-tools/db/**/verify/**/*,"Existing Migration contracts are consumed by EDU-OPS-04 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-021,Batch Tasklet,cpf-reference/src/main/java/com/cpf/reference/batch/tasklet/close/EduBat01Handler.java,EDU-BAT-01 concrete handler -> EduExecutionService -> durable operation ledger,EduBat01Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/batch/tasklet/close/EduBat01IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/batch/**/*.java|cpf-batch/**/src/test/**/*.java,"Existing Batch Tasklet contracts are consumed by EDU-BAT-01 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-022,Batch Chunk,cpf-reference/src/main/java/com/cpf/reference/batch/chunk/membergrade/EduBat02Handler.java,EDU-BAT-02 concrete handler -> EduExecutionService -> durable operation ledger,EduBat02Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/batch/chunk/membergrade/EduBat02IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/batch/**/*Chunk*|cpf-batch/**/src/test/**/*Chunk*,"Existing Batch Chunk contracts are consumed by EDU-BAT-02 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-023,Scheduler HA,cpf-reference/src/main/java/com/cpf/reference/batch/scheduler/businessday/EduBat07Handler.java,EDU-BAT-07 concrete handler -> EduExecutionService -> durable operation ledger,EduBat07Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/batch/scheduler/businessday/EduBat07IntegrationTest.java|cpf-batch/scheduler/src/test/**/*.java|cpf-reference/src/test/java/com/cpf/reference/batch/**/*Scheduler*,"Existing Scheduler HA contracts are consumed by EDU-BAT-07 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-024,Remote Worker,cpf-reference/src/main/java/com/cpf/reference/batch/remote/reassignment/EduBat24Handler.java,EDU-BAT-24 concrete handler -> EduExecutionService -> durable operation ledger,EduBat24Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/batch/remote/reassignment/EduBat24IntegrationTest.java|cpf-batch/**/src/test/**/*Worker*,"Existing Remote Worker contracts are consumed by EDU-BAT-24 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-025,Center-Cut,cpf-reference/src/main/java/com/cpf/reference/batch/centercut/approval/EduBat06Handler.java,EDU-BAT-06 concrete handler -> EduExecutionService -> durable operation ledger,EduBat06Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/batch/centercut/approval/EduBat06IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/centercut/**/*.java|cpf-batch/**/src/test/**/*CenterCut*,"Existing Center-Cut contracts are consumed by EDU-BAT-06 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-026,Host Agent,cpf-reference/src/main/java/com/cpf/reference/batch/agent/offline/EduBat28Handler.java,EDU-BAT-28 concrete handler -> EduExecutionService -> durable operation ledger,EduBat28Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/batch/agent/offline/EduBat28IntegrationTest.java|cpf-batch/host-agent/src/test/**/*.java,"Existing Host Agent contracts are consumed by EDU-BAT-28 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-027,Deployment,cpf-reference/src/main/java/com/cpf/reference/platform/deployment/rolling/EduOps07Handler.java,EDU-OPS-07 concrete handler -> EduExecutionService -> durable operation ledger,EduOps07Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/platform/deployment/rolling/EduOps07IntegrationTest.java|cpf-admin/src/test/**/*RuntimeControl*|cpf-tools/scripts/tests/**/*promotion*,"Existing Deployment contracts are consumed by EDU-OPS-07 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-028,Gateway,cpf-reference/src/main/java/com/cpf/reference/optional/gateway/registry/EduGw07Handler.java,EDU-GW-07 concrete handler -> EduExecutionService -> durable operation ledger,EduGw07Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/optional/gateway/registry/EduGw07IntegrationTest.java|cpf-gateway/src/test/**/*.java,"Existing Gateway contracts are consumed by EDU-GW-07 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-029,ADM,cpf-reference/src/main/java/com/cpf/reference/optional/operations/search/EduAdm08Handler.java,EDU-ADM-08 concrete handler -> EduExecutionService -> durable operation ledger,EduAdm08Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/optional/operations/search/EduAdm08IntegrationTest.java|cpf-admin/src/test/**/*.java|cpf-admin/frontend/src/**/*.test.ts,"Existing ADM contracts are consumed by EDU-ADM-08 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-030,REF Backoffice (canonical BZA trace ID only),cpf-reference/src/main/java/com/cpf/reference/optional/backoffice/directory/EduBackoffice07Handler.java,EDU-BZA-07 canonical ID -> REF Backoffice handler -> refDB business/operation ledger,EduBackoffice07Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/optional/backoffice/directory/EduBackoffice07IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/optional/backoffice/directory/EduBackoffice07FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/optional/backoffice/directory/EduBackoffice07RecoveryTest.java,Implemented entirely by removable REF Backoffice and refDB. product backoffice module and generated domains are intentionally absent.,1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-031,Supply Chain,cpf-reference/src/main/java/com/cpf/reference/online/audit/evidence/EduDev41Handler.java,EDU-DEV-41 concrete handler -> EduExecutionService -> durable operation ledger,EduDev41Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/online/audit/evidence/EduDev41IntegrationTest.java|cpf-tools/scripts/tests/test_verify_cpf_supply_chain.py,"Existing Supply Chain contracts are consumed by EDU-DEV-41 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
EDU32,EDU-032,Multi-instance/DR,cpf-reference/src/main/java/com/cpf/reference/platform/recovery/disaster/EduOps12Handler.java,EDU-OPS-12 concrete handler -> EduExecutionService -> durable operation ledger,EduOps12Handler#buildBusinessResult,cpf-reference/src/test/java/com/cpf/reference/platform/recovery/disaster/EduOps12IntegrationTest.java|cpf-tools/runtime/**/*test*|cpf-core/src/test/**/*Runtime*,"Existing Multi-instance/DR contracts are consumed by EDU-OPS-12 concrete handler with durable state, failure/recovery and executable tests; the representative is unique and not a bulk marker mapping.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-01,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.generator.domain,cpf-reference/src/main/java/com/cpf/reference/online/generator/domain/EduDev01Handler.java,com.cpf.reference.online.generator.domain.EduDev01Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/generator/domain/EduDev01UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/generator/domain/EduDev01IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/generator/domain/EduDev01FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/generator/domain/EduDev01RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/generator/domain/EduDev01ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-02,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.query.scoped,cpf-reference/src/main/java/com/cpf/reference/online/query/scoped/EduDev02Handler.java,com.cpf.reference.online.query.scoped.EduDev02Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/query/scoped/EduDev02UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/query/scoped/EduDev02IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/query/scoped/EduDev02FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/query/scoped/EduDev02RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/query/scoped/EduDev02ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-03,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.command.audit,cpf-reference/src/main/java/com/cpf/reference/online/command/audit/EduDev03Handler.java,com.cpf.reference.online.command.audit.EduDev03Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/command/audit/EduDev03UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/command/audit/EduDev03IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/command/audit/EduDev03FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/command/audit/EduDev03RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/command/audit/EduDev03ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-04,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.concurrency.optimisticlock,cpf-reference/src/main/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04Handler.java,com.cpf.reference.online.concurrency.optimisticlock.EduDev04Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/concurrency/optimisticlock/EduDev04ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-05,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.idempotency.payment,cpf-reference/src/main/java/com/cpf/reference/online/idempotency/payment/EduDev05Handler.java,com.cpf.reference.online.idempotency.payment.EduDev05Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/idempotency/payment/EduDev05UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/idempotency/payment/EduDev05IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/idempotency/payment/EduDev05FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/idempotency/payment/EduDev05RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/idempotency/payment/EduDev05ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-06,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.servicecall.topology,cpf-reference/src/main/java/com/cpf/reference/online/servicecall/topology/EduDev06Handler.java,com.cpf.reference.online.servicecall.topology.EduDev06Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/servicecall/topology/EduDev06UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/servicecall/topology/EduDev06IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/servicecall/topology/EduDev06FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/servicecall/topology/EduDev06RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/servicecall/topology/EduDev06ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-07,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.messaging.outboxinbox,cpf-reference/src/main/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07Handler.java,com.cpf.reference.online.messaging.outboxinbox.EduDev07Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/messaging/outboxinbox/EduDev07ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
MANUAL135,EDU-DEV-08,CPF public transaction/header/idempotency/recovery contracts,Product public API/SPI selected by com.cpf.reference.online.file.attachment,cpf-reference/src/main/java/com/cpf/reference/online/file/attachment/EduDev08Handler.java,com.cpf.reference.online.file.attachment.EduDev08Handler#definition/execute,cpf-reference/src/test/java/com/cpf/reference/online/file/attachment/EduDev08UnitTest.java|cpf-reference/src/test/java/com/cpf/reference/online/file/attachment/EduDev08IntegrationTest.java|cpf-reference/src/test/java/com/cpf/reference/online/file/attachment/EduDev08FailureTest.java|cpf-reference/src/test/java/com/cpf/reference/online/file/attachment/EduDev08RecoveryTest.java|cpf-reference/src/test/java/com/cpf/reference/online/file/attachment/EduDev08ConcurrencyTest.java,"Concrete per-ID handler and executable tests consume durable CPF contracts; reuse does not replace the ID-specific business state, failure, recovery or operation-ledger implementation.",1edd96c6dcc69b0b4d6e9e22a0709d910d7cfb04
