feature_id,area,coverage_scope,expected_reference,current_source_evidence,requirement_mapping,public_contract_mapping,adm_route_mapping,runtime_command,development_status,verification_status,gap,acceptance
EDU-013,File/Archive,streaming·atomic publish·zip-slip·cleanup,reference file/archive flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-014,Cache,local/distributed provider·invalidate,reference cache flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-015,Feature Flag,OpenFeature evaluation/audit/override,reference feature flag flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-016,Secret,secret/key rotation·masking,reference secret flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-017,Security,authN/authZ/data scope/CSRF/session,reference secure BFF/API,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-018,Observability,metric/trace/log/audit correlation,reference observable flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-019,Database,MariaDB/PostgreSQL/Oracle query parity,reference DB profiles,test property 일부만 확인,미수집,미수집,미수집,미수집,부분 구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-020,Migration,install/upgrade/rollback/drift,reference migration exercise,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-021,Batch Tasklet,tasklet job·restart·operator view,cpf-reference batch,build dependency만 확인,미수집,미수집,미수집,미수집,부분 구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-022,Batch Chunk,reader/processor/writer·restart/skip,cpf-reference batch,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-023,Scheduler,HA lease/fencing/outbox/unknown,reference scheduler,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-024,Remote Worker,Kafka dispatch/reply/ACK/process kill,reference worker runtime,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-025,Center-Cut,definition·execution·recovery,reference center-cut,ADM default ID만 확인,미수집,미수집,미수집,미수집,부분 구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-026,Host Agent,artifact install·signature·rollback,reference agent runtime,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-027,Deployment,rolling/canary/blue-green·rollback/reconcile,reference deployment runtime,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-028,Gateway,route/trust/retry/ledger/stream/recovery,reference gateway runtime,QA34에서 cpf-reference 변경 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-029,ADM,조회·상세·제어·승인·감사·복구,ADM linked reference flows,전체 연결 Matrix 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-030,BZA,고객 업무 관리자 customization,BZA reference domain,전체 연결 Matrix 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-031,Supply Chain,artifact/SBOM/license/vulnerability/signature,reference release exercise,전체 artifact catalog 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-032,Multi-instance/DR,failover/fencing/restart/backup restore,reference fault lab,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
