requirement_id,section,edu_feature_ids,public_contract,reference_source,normal_scenario,error_fault_recovery_scenario,adm_observation_path,runtime_command,coverage_development_status,runtime_verification_status,evidence
CPF-ROUTING,Architecture/Core,EDU-005 | EDU-018 | EDU-028,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-gateway/src/main/java/**/*.java,EDU-005-SCN-NORMAL | EDU-018-SCN-NORMAL | EDU-028-SCN-NORMAL,EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY,/serviceRegistry | /logs | /gateway-dashboard,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | ./gradlew.bat :cpf-gateway:test --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-HEALTH,Architecture/Core,EDU-005 | EDU-018 | EDU-028,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-gateway/src/main/java/**/*.java,EDU-005-SCN-NORMAL | EDU-018-SCN-NORMAL | EDU-028-SCN-NORMAL,EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY,/serviceRegistry | /logs | /gateway-dashboard,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | ./gradlew.bat :cpf-gateway:test --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-HEADER,Architecture/Core,EDU-003 | EDU-004,cpf-core/src/main/java/com/cpf/core/api/transaction/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java,cpf-reference/src/main/java/com/cpf/reference/transaction/**/*.java | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java,EDU-003-SCN-NORMAL | EDU-004-SCN-NORMAL,EDU-003-SCN-ERROR | EDU-003-SCN-RECOVERY | EDU-003-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/transactionGroups | /responseCodes,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.transaction.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-CONTEXT,Architecture/Core,EDU-003 | EDU-004,cpf-core/src/main/java/com/cpf/core/api/transaction/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java,cpf-reference/src/main/java/com/cpf/reference/transaction/**/*.java | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java,EDU-003-SCN-NORMAL | EDU-004-SCN-NORMAL,EDU-003-SCN-ERROR | EDU-003-SCN-RECOVERY | EDU-003-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/transactionGroups | /responseCodes,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.transaction.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-TXID,Architecture/Core,EDU-003 | EDU-004,cpf-core/src/main/java/com/cpf/core/api/transaction/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java,cpf-reference/src/main/java/com/cpf/reference/transaction/**/*.java | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java,EDU-003-SCN-NORMAL | EDU-004-SCN-NORMAL,EDU-003-SCN-ERROR | EDU-003-SCN-RECOVERY | EDU-003-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/transactionGroups | /responseCodes,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.transaction.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-ROLE,Architecture/Core,EDU-003 | EDU-004,cpf-core/src/main/java/com/cpf/core/api/transaction/**/*.java | cpf-core/src/main/java/com/cpf/core/api/header/**/*.java,cpf-reference/src/main/java/com/cpf/reference/transaction/**/*.java | cpf-reference/src/main/java/com/cpf/reference/header/**/*.java,EDU-003-SCN-NORMAL | EDU-004-SCN-NORMAL,EDU-003-SCN-ERROR | EDU-003-SCN-RECOVERY | EDU-003-SCN-CONCURRENCY | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/transactionGroups | /responseCodes,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.transaction.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-ERROR,Architecture/Core,EDU-004,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java,EDU-004-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/responseCodes,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-VALID,Architecture/Core,EDU-004,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java,EDU-004-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/responseCodes,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-IDEMP,Architecture/Core,EDU-006,cpf-core/src/main/java/com/cpf/core/api/idempotency/**/*.java,cpf-reference/src/main/java/com/cpf/reference/idempotency/**/*.java,EDU-006-SCN-NORMAL,EDU-006-SCN-ERROR | EDU-006-SCN-RECOVERY | EDU-006-SCN-CONCURRENCY,/recoveryCenter,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.idempotency.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-STATE,Architecture/Core,EDU-007 | EDU-032,cpf-core/src/main/java/com/cpf/core/api/concurrency/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,cpf-reference/src/main/java/com/cpf/reference/crud/**/*.java | cpf-tools/runtime/**/*,EDU-007-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-007-SCN-ERROR | EDU-007-SCN-RECOVERY | EDU-007-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/recoveryCenter | /topology,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.crud.*Concurrency*"" --no-daemon | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-LOCK,Architecture/Core,EDU-007 | EDU-032,cpf-core/src/main/java/com/cpf/core/api/concurrency/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,cpf-reference/src/main/java/com/cpf/reference/crud/**/*.java | cpf-tools/runtime/**/*,EDU-007-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-007-SCN-ERROR | EDU-007-SCN-RECOVERY | EDU-007-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/recoveryCenter | /topology,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.crud.*Concurrency*"" --no-daemon | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-RESILIENCE,Architecture/Core,EDU-005 | EDU-008 | EDU-011,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/recovery/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-reference/src/main/java/com/cpf/reference/failure/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java,EDU-005-SCN-NORMAL | EDU-008-SCN-NORMAL | EDU-011-SCN-NORMAL,EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-008-SCN-ERROR | EDU-008-SCN-UNKNOWN | EDU-008-SCN-RECOVERY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY,/serviceRegistry | /recoveryCenter | /gateway-health,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""*UnknownResult*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-DEADLINE,Architecture/Core,EDU-005 | EDU-008 | EDU-011,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/api/recovery/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java | cpf-reference/src/main/java/com/cpf/reference/failure/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java,EDU-005-SCN-NORMAL | EDU-008-SCN-NORMAL | EDU-011-SCN-NORMAL,EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY | EDU-008-SCN-ERROR | EDU-008-SCN-UNKNOWN | EDU-008-SCN-RECOVERY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY,/serviceRegistry | /recoveryCenter | /gateway-health,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""*UnknownResult*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-SCHED,Architecture/Core,EDU-023,cpf-batch/contract/src/main/java/**/*.java,cpf-batch/scheduler/**/*.java,EDU-023-SCN-NORMAL,EDU-023-SCN-ERROR | EDU-023-SCN-RECOVERY | EDU-023-SCN-CONCURRENCY,/batchScheduler,./gradlew.bat :cpf-batch:scheduler:test --no-daemon,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-OPSDB,Architecture/Core,EDU-018 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-018-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/logs | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
