requirement_id,origin,priority,area,requirement,canonical_mapping,related_defects,owner,consumer,acceptance_criteria,verification_method,regression_protection,development_status,verification_status,phase
QA35-REQ-011,QA35_V2_ACTIVE,P0,Runnable Verification,모든 Verification Command를 실제 Parameter Binding으로 검증하고 sanitized 환경 입력 Manifest와 완전한 PowerShell 실행 예시를 제공한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-006;QA35-DF-010;QA35-DF-027,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"명령 누락 Parameter 0, preflight input checker 통과",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Gate
QA35-REQ-012,QA35_V2_ACTIVE,P0,Evidence Semantics,Requirement별 필수 Artifact·Scenario·Assertion·환경을 검사하는 Evidence Semantic Verifier를 구현한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-007;QA35-DF-026,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Exit 0만으로 Requirement 완료 불가, 누락 artifact/empty scenario fixture 실패",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Evidence
QA35-REQ-013,QA35_V2_ACTIVE,P0,QA34 Closure,QA35 개발 후 QA34 20건을 latest exact SHA에서 재실행·재분류하고 실제 실패를 QA35 결함과 연결한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-009,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,QA34 development/verification status가 실제 Evidence와 일치,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Final
QA35-REQ-014,QA35_V2_ACTIVE,P0,ADM Inventory,"ADM 59개 Route 각각의 Menu ID, Group, Component, Owner Module, API Operation, Permission, Button, Data Scope, 위험도, Audit, Test를 정본 Matrix로 만든다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-011;QA35-DF-028,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"59/59 행 완성, orphan route/menu/API 0",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-015,QA35_V2_ACTIVE,P0,ADM Menu Contract,Backend Session/Menu Seed·Permission Registry와 Frontend menu/router ID를 Typed Contract로 연결한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-011;QA35-DF-012;QA35-DF-016,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"실제 Session DTO fixture, route/menu/permission mismatch 0",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-016,QA35_V2_ACTIVE,P0,ADM Authorization,"Route·Button별 Permission, Data Scope, State Guard, Reason, Approval, Expected Version, Masking을 전수 정의·Backend Negative Test한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-016;QA35-DF-018,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"권한 없는 메뉴/API/버튼 401/403, 범위 초과·상태 위반 차단",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-017,QA35_V2_ACTIVE,P1,ADM Gateway UX,Gateway 9개 메뉴를 독립 Component로 분리하거나 명시적 route mode를 도입해 Deep Link·권한·API·제목·상태를 분리한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-015,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,각 메뉴 고유 목적/URL/API/권한/상호작용 Test,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-018,QA35_V2_ACTIVE,P0,ADM Interaction Matrix,59개 Route의 최소 조회·검색·Paging·정렬·상세·조치 Interaction Fixture를 Repository에 Commit하고 Schema/Hash를 관리한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-013;QA35-DF-014,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"모든 Route interaction 1개 이상 또는 승인된 read-only 기준, 외부 임의 Fixture 금지",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-019,QA35_V2_ACTIVE,P0,ADM Route E2E,"E2E가 URL, active menu, heading, 전용 component marker, 기대 API operation과 결과를 Route별로 검증한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-012;QA35-DF-013,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,fallback/redirect/mock-shape-negative fixture가 실패,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-020,QA35_V2_ACTIVE,P0,ADM State E2E,각 ADM 기능에 정상·Empty·Loading·401·403·409·429·500·503·부분 실패·재시도 결과를 가시적으로 검증한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-014,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Route별 적용 가능한 상태 Matrix 100%, assertion 없는 PASS 0",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-021,QA35_V2_ACTIVE,P0,ADM Dangerous Actions,"위험조치에 재확인, 이유, 승인/Break-glass, Expected Version, 멱등성, 결과 추적, immutable audit를 적용한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-018,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,대표 조치별 정상/거절/중복/충돌/결과불명/감사 E2E,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-022,QA35_V2_ACTIVE,P1,ADM Quality,Chromium·Firefox·WebKit에서 전체 Route의 접근성·Keyboard·Responsive·Deep Link·Refresh를 실제 Backend로 검증한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-013;QA35-DF-014,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,3 Browser exact-SHA report와 route count 일치,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-023,QA35_V2_ACTIVE,P0,ADM Typed Consumer,모든 ADM/BZA Public Operation을 Generated Type/Query/Mutation Consumer로 이관하고 generic 문자열 URL의 허용 범위를 제한한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-005;QA35-DF-017,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,OpenAPI operation ↔ generated client ↔ frontend consumer 1:1 또는 승인된 server-only N/A,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-024,QA35_V2_ACTIVE,P0,ADM Operations,각 메뉴가 Owner Runtime의 실제 Query/Command/Audit/Metric/Trace/Recovery 결과와 연결되는지 통합 검증한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-011;QA35-DF-017,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Mock 아닌 Runtime Consumer, transaction/execution/instance 단위 추적",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,ADM
QA35-REQ-025,QA35_V2_ACTIVE,P0,EDU Catalog,162 Canonical Requirement와 모든 Public API/SPI를 EDU 예제·Source·실행 명령·Test·ADM 경로·Evidence에 양방향 매핑한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-019;QA35-DF-020;QA35-DF-028,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Coverage 100% 또는 승인된 N/A, orphan public contract/sample 0",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,EDU
QA35-REQ-026,QA35_V2_ACTIVE,P0,EDU Ownership,cpf-reference 예제는 Public API/SPI만 소비하고 Internal Package·Owner DB 직접 접근·Legacy Primary를 사용하지 않는다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-019,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,ArchUnit/Dependency Gate와 실제 Consumer Bean/Route,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,EDU
QA35-REQ-027,QA35_V2_ACTIVE,P0,EDU Scenario Quality,각 EDU 기능군에 정상·Validation·권한·동시성·중복·Timeout·결과불명·복구·Masking 시나리오를 제공한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-021,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Happy path 전용 예제 0, Scenario와 expected result 명시",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,EDU
QA35-REQ-028,QA35_V2_ACTIVE,P0,EDU Runtime Coverage,"Local/Remote, 3DB, Kafka, File, External REST/전문, Gateway, Batch, Scheduler, Worker, Agent, Deployment/rollback을 실행 가능한 Reference Runtime으로 제공한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-020;QA35-DF-021,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,fresh clone profile별 start→invoke→fault→recover→stop Evidence,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,EDU
QA35-REQ-029,QA35_V2_ACTIVE,P0,EDU ADM Link,각 주요 EDU 흐름을 ADM에서 조회·상세·위험조치·승인·재처리·대사·감사할 수 있게 연결한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-021,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,EDU transaction/execution/incident가 ADM Route와 Operation에 연결,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,EDU/ADM
QA35-REQ-030,QA35_V2_ACTIVE,P1,Generator/EDU,"Generator가 만든 신규 Domain에 표준 EDU Scenario, Test, ADM registration, OpenAPI consumer와 사용자 수정 보호 영역을 제공한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-020;QA35-DF-028,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,새 Domain 생성→build→runtime→ADM→remove/regenerate parity,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Generator
QA35-REQ-031,QA35_V2_ACTIVE,P1,EDU Isolation,EDU/REF Seed와 식별자를 product ADM 기본 State에서 제거하고 EDU Profile/Fixture로 격리한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-022,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"product profile에 EDU default 0, EDU profile에서만 명시 활성화",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,EDU/ADM
QA35-REQ-032,QA35_V2_ACTIVE,P0,EDU Impact Gate,Public API/SPI·Requirement·Starter·Generator·ADM Operation 변경 시 EDU Coverage Row와 Test 변경을 강제한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-019;QA35-DF-020;QA35-DF-028,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,변경된 contract에 EDU impact 누락 시 CI 실패,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Gate
QA35-REQ-033,QA35_V2_ACTIVE,P0,Artifact Catalog,"BOM, Plugin/Marker/POM, 모든 nested Runtime JAR/WAR/ZIP, ADM/BZA bundle, DB Pack, Script Pack을 명시적 Release Artifact Catalog로 관리한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-023,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Glob 추정 제거, artifact별 SHA/SBOM/license/vulnerability/signature",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Supply Chain
QA35-REQ-034,QA35_V2_ACTIVE,P0,Final Exact SHA,QA35 Source 완료 후 fresh clone exact SHA에서 Java/Frontend/3 Browser/3DB/Kafka/Multi-instance/Fault/Supply-chain 전체 Runtime을 실행한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-008;QA35-DF-009;QA35-DF-026,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"sourceSha=resultSha=latest, dirty=false, releaseEligible=true, 미검증 0",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Final
QA35-REQ-035,QA35_V2_ACTIVE,P0,Codex One-pass,Codex가 재탐색하지 않도록 변경·Requirement·Command·Evidence·미실행·Expected Result를 정확히 제공하고 단계별 재실행 범위를 제한한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-010;QA35-DF-027,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"REVIEW_INDEX 순서 1회, 실패 단계만 재실행, 전체 반복 금지",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Final
QA35-REQ-036,QA35_V2_ACTIVE,P0,ADM External Baseline,첨부된 44개 화면을 기능 단위 최소 기준선으로 고정하고 current CPF Route/API/Permission/Test와 양방향 Mapping한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-029,ADM,전체 ADM Consumer,87개 capability 모두 충족/고급 대체/명시적 N/A 판정과 근거 Source·Runtime Evidence,screenshot evidence index + minimum capability verifier,기존 CPF 고급 기능 유지,미구현,미검증,ADM
QA35-REQ-037,QA35_V2_ACTIVE,P0,ADM Information Architecture,온라인·배치 통합 운영자의 업무 흐름을 기준으로 ADM IA를 통합 홈→설계→배포→관제→복구→분석→감사 순으로 재구성한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-044,cpf-admin,운영자,"Target Menu Architecture 전 항목, breadcrumb/deep link/global search, 중복/고아 menu 0",IA contract test + 3 browser,기존 59 route bookmark migration,미구현,미검증,ADM
QA35-REQ-038,QA35_V2_ACTIVE,P0,ADM System Management,사용자·Role·Menu Registry·권한 Matrix·공지·로그인/사용 이력·System Log·DB Schema 기능을 상용 수준으로 완성한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-030,cpf-admin/security,Platform Admin,각 기능 CRUD/조회/승인/감사/negative test와 실제 backend consumer,system admin integration test,기존 permissions/operators/security 보호,미구현,미검증,ADM
QA35-REQ-039,QA35_V2_ACTIVE,P0,ADM Common Operations,Node/Profile/Logger/Cache/Datasource/Message/Code/Notification Receiver/Event/Log Download를 effective runtime state까지 운영 가능하게 한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-031,cpf-admin/common/core,Platform Operator,"요청값과 instance별 effective값, partial failure, retry/rollback, audit",multi-instance common ops runtime,기존 configs/cache/logLevel/notifications 보호,미구현,미검증,ADM
QA35-REQ-040,QA35_V2_ACTIVE,P0,ADM Online Design,거래 Test·Metadata·Profile·Property Schema·전후처리 Pipeline·Deferred Rule·DBIO Registry를 versioned 설계/배포 도구로 구현한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-032,cpf-admin/online owners,Online Operator/Developer,"Draft/validate/impact/publish/rollback, typed API, consumer linkage",online design contract/runtime test,transactions/standardExecutions/channelPolicy 보호,미구현,미검증,ADM
QA35-REQ-041,QA35_V2_ACTIVE,P0,ADM Online Runtime Monitoring,"TPS/Latency/Error, Executor/Thread/Queue, Deferred/DLT, 지연비동기/Unknown을 service·channel·instance별로 관제한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-033,cpf-admin/observability,Online Operator,"RED/USE metric, stale indicator, drill-down, alert/recovery links",load/fault/multi-instance runtime test,capacity/reliability/recoveryCenter 보호,미구현,미검증,ADM
QA35-REQ-042,QA35_V2_ACTIVE,P0,ADM Online Logs and Statistics,거래·전문·Error·Debug·Code 적용 이력과 거래/전문 처리시간 통계를 특화 화면으로 제공한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-034,cpf-admin/observability,Online Operator/Auditor,"대량 검색, masking, segment detail, percentile, export approval, source log link",log/statistics runtime + browser test,logs/transactionGroups/logPolicies 보호,미구현,미검증,ADM
QA35-REQ-043,QA35_V2_ACTIVE,P0,ADM Unified Deployment,Online Component·Gateway·XIO/FIO·File Adapter·Batch Artifact의 버전/Source SHA/Instance Drift/배포/rollback을 통합한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-035,cpf-admin/deployment owners,Release Operator,Artifact catalog→rollout→effective state→partial failure→rollback/reconcile,multi-cell deployment fault test,gateway/batch deployment security 보호,미구현,미검증,ADM
QA35-REQ-044,QA35_V2_ACTIVE,P0,ADM Batch Definition,Job Definition·Parameter·Program·Trigger·Schedule·Job Group·clone/version/publish/deprecate를 완성한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-036,cpf-batch/cpf-admin,Batch Designer/Operator,"Definition detail completeness, version/impact, consumer and execution linkage",batch definition contract + browser,job-packs/scheduler 보호,미구현,미검증,ADM
QA35-REQ-045,QA35_V2_ACTIVE,P0,ADM Batch DAG,Job 선후행·조건·성공/실패 분기를 DAG로 편집/검증/조회하고 cycle·critical path·영향도를 제공한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-037,cpf-batch/scheduler,Batch Designer/Operator,"DAG persisted version, cycle fail, critical path, execution overlay",DAG unit/DB/browser/runtime,scheduler HA contract 보호,미구현,미검증,ADM
QA35-REQ-046,QA35_V2_ACTIVE,P0,ADM Batch Execution Safety,긴급/수동 실행과 pause/resume/stop/restart/rerun/server change를 공통 승인·Reason·Version·Idempotency·Unknown 결과 계약으로 묶는다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-038,cpf-batch/cpf-admin,Batch Operator/Approver,"maker-checker, duplicate/conflict/response-loss/process-kill evidence",dangerous command runtime matrix,기존 recovery/fencing 보호,미구현,미검증,ADM
QA35-REQ-047,QA35_V2_ACTIVE,P0,ADM Batch Infrastructure,Agent/Worker/Host의 heartbeat·OS/JVM/Disk·queue·capacity·quarantine·command result를 통합 관제한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-039,cpf-batch/host-agent,Batch Infra Operator,stale/takeover/quarantine/capacity alert and audit,two-worker/agent kill/runtime,worker pool/agent contract 보호,미구현,미검증,ADM
QA35-REQ-048,QA35_V2_ACTIVE,P0,ADM Batch Operational Configuration,Batch scope Config/Path·Receiver·Job Log·Report Artifact를 definition/execution 단위로 연결한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-040,cpf-batch/cpf-admin,Batch Operator,"schema validation, rollout, safe log/report download, notification delivery trace",batch config/artifact runtime,common config/download security 보호,미구현,미검증,ADM
QA35-REQ-049,QA35_V2_ACTIVE,P0,ADM Center-Cut,Center-Cut Profile·속도/분할/Encoding·Simulation·Execution/통계·복구를 완성한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-041,cpf-batch/center-cut,Center-Cut Operator,"profile version/publish, rate/partition metrics, failure/restart/reconcile",center-cut DB/runtime/browser,기존 center-cut runner 보호,미구현,미검증,ADM
QA35-REQ-050,QA35_V2_ACTIVE,P0,ADM Cross-domain Operations,Global Search와 Online→Gateway→External→Batch→File→Notification 통합 Timeline을 구현한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-042,cpf-admin/core observability,통합 운영자,"공통 correlation ID, entity resolution, deep links, partial/unknown/recovery timeline",end-to-end reference scenario,기존 transaction/batch IDs 보호,미구현,미검증,ADM
QA35-REQ-051,QA35_V2_ACTIVE,P0,ADM Analytics,거래·전문·Batch SLA·SQL/DBIO·XIO/FIO·File·영향도 분석 Menu를 운영 데이터와 연결한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-043,cpf-admin/analytics,Operator/Architect,집계 정의·timezone·freshness·drill-down·governed export·saved report,analytics query/browser/performance,operational DB 부하 보호,미구현,미검증,ADM
QA35-REQ-052,QA35_V2_ACTIVE,P0,ADM Screen Completeness,모든 ADM 화면에 적용 가능한 검색·Server Paging/Sort·상세·Loading/Empty/Error·Freshness·Export·Audit 품질 기준을 적용한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-045,cpf-admin/frontend,모든 운영자,"ADM-Q-001~020 applicable row 100%, N/A 근거 필수",screen quality semantic gate,기존 성공 route 회귀 보호,미구현,미검증,ADM
QA35-REQ-053,QA35_V2_ACTIVE,P0,ADM Browser Product Verification,59 Route와 신규 Target Menu를 실제 Backend에서 3 Browser로 업무 interaction과 결과까지 검증한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-045,cpf-admin/frontend,모든 운영자,"URL/menu/heading/component/operation/result/state/permission assertions, false-green fixtures",Chromium/Firefox/WebKit release E2E,accessibility/responsive 보호,미구현,미검증,ADM
QA35-REQ-054,QA35_V2_ACTIVE,P0,ADM Superset Closure,CPF의 Recovery/Unknown/Approval/Break-glass/Fencing 등 고급 기능을 최소 운영기능과 하나의 사용자 Workflow로 통합하고 Benchmark보다 높은 완성도를 증명한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-046,cpf-admin/all owners,Platform/Online/Batch Operator,"87 capability + CPF advanced capabilities 양방향 closure, orphan command 0",integrated runtime/evidence semantic verifier,CPF 차별 기능 절대 축소 금지,미구현,미검증,ADM
