scenario_id,requirement_id,scenario_type,scenario,acceptance_evidence,development_status,verification_status,evidence_id
QA34-SCN-015-RECOVERY,QA34-REQ-015,복구,retry/stream/client disconnect/async completion/audit recovery를 실제 검증한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,multi-instance exact-once ledger completion evidence,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-016-NORMAL,QA34-REQ-016,정상,Artifact Repository DNS/TLS/Host/IP identity를 고정한다. 정상 구성과 정상 처리에서 계약이 성립한다.,rebinding/proxy/redirect/signature/key rotation fixture,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-016-NEGATIVE,QA34-REQ-016,오류,Artifact Repository DNS/TLS/Host/IP identity를 고정한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,rebinding/proxy/redirect/signature/key rotation fixture,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-016-RECOVERY,QA34-REQ-016,복구,Artifact Repository DNS/TLS/Host/IP identity를 고정한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,rebinding/proxy/redirect/signature/key rotation fixture,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-017-NORMAL,QA34-REQ-017,정상,Cell lock/side effect/compensation/reconcile multi-instance state machine을 검증한다. 정상 구성과 정상 처리에서 계약이 성립한다.,"각 단계 process-kill, DB failure, partial rollback evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-017-NEGATIVE,QA34-REQ-017,오류,Cell lock/side effect/compensation/reconcile multi-instance state machine을 검증한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,"각 단계 process-kill, DB failure, partial rollback evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-017-RECOVERY,QA34-REQ-017,복구,Cell lock/side effect/compensation/reconcile multi-instance state machine을 검증한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,"각 단계 process-kill, DB failure, partial rollback evidence",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-018-NORMAL,QA34-REQ-018,정상,Final Artifact/BOM/Plugin/Frontend/DB/SBOM을 동일 exact SHA로 연결한다. 정상 구성과 정상 처리에서 계약이 성립한다.,POM/JAR/WAR/bundle/DB pack/SBOM/signature hash manifest,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-018-NEGATIVE,QA34-REQ-018,오류,Final Artifact/BOM/Plugin/Frontend/DB/SBOM을 동일 exact SHA로 연결한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,POM/JAR/WAR/bundle/DB pack/SBOM/signature hash manifest,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-018-RECOVERY,QA34-REQ-018,복구,Final Artifact/BOM/Plugin/Frontend/DB/SBOM을 동일 exact SHA로 연결한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,POM/JAR/WAR/bundle/DB pack/SBOM/signature hash manifest,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-019-NORMAL,QA34-REQ-019,정상,"QA33 138 Requirement, 414 Scenario, 552 Result를 재판정한다. 정상 구성과 정상 처리에서 계약이 성립한다.","미검증/부분 구현 0 또는 명시적 blocker, 양방향 trace",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-019-NEGATIVE,QA34-REQ-019,오류,"QA33 138 Requirement, 414 Scenario, 552 Result를 재판정한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.","미검증/부분 구현 0 또는 명시적 blocker, 양방향 trace",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-019-RECOVERY,QA34-REQ-019,복구,"QA33 138 Requirement, 414 Scenario, 552 Result를 재판정한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.","미검증/부분 구현 0 또는 명시적 blocker, 양방향 trace",완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-020-NORMAL,QA34-REQ-020,정상,최종 Push 후 별도 fresh clone 독립 검증을 수행한다. 정상 구성과 정상 처리에서 계약이 성립한다.,empty cache exact SHA full runtime and evidence hash recalculation,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-020-NEGATIVE,QA34-REQ-020,오류,최종 Push 후 별도 fresh clone 독립 검증을 수행한다. stale/변조/권한부족/부분실패 입력을 fail-closed한다.,empty cache exact SHA full runtime and evidence hash recalculation,완료,미검증,QA34-FULL-RUNTIME-MATRIX
QA34-SCN-020-RECOVERY,QA34-REQ-020,복구,최종 Push 후 별도 fresh clone 독립 검증을 수행한다. 재시도·재기동·rollback/reconcile 후 중복 없이 복구한다.,empty cache exact SHA full runtime and evidence hash recalculation,완료,미검증,QA34-FULL-RUNTIME-MATRIX
