scenario_id,requirement_id,section,axis_id,axis,applicability,precondition,action,expected_result,required_evidence,development_status,verification_status
QA36-CAN-ARCH-MISSION-AX11,ARCH-MISSION,Architecture/Core,AX11,Resource,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Memory·Disk·Thread·Connection·Queue·Time budget·Bounded streaming·Cleanup,"ARCH-MISSION의 Resource 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MISSION-AX12,ARCH-MISSION,Architecture/Core,AX12,DataDB,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Schema/Query Owner·3DB 또는 DB-less·Migration·Rollback·Drift·Performance,"ARCH-MISSION의 DataDB 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MISSION-AX13,ARCH-MISSION,Architecture/Core,AX13,Compatibility,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Local/Remote·Mixed version·API/Message/File/DB/Config compatibility,"ARCH-MISSION의 Compatibility 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MISSION-AX14,ARCH-MISSION,Architecture/Core,AX14,Test,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Unit·Contract·Integration·Runtime·Browser·Broker·Fault 중 적용 범위,"ARCH-MISSION의 Test 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MISSION-AX15,ARCH-MISSION,Architecture/Core,AX15,Documentation,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",OpenAPI·JavaDoc·개발/운영/설치/복구 Guide와 실제 Source 일치,"ARCH-MISSION의 Documentation 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MISSION-AX16,ARCH-MISSION,Architecture/Core,AX16,Evidence,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Exact source/result SHA·clean tree·command·env·time·exit·hash·sanitized,"ARCH-MISSION의 Evidence 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MISSION-AX17,ARCH-MISSION,Architecture/Core,AX17,Hygiene,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Legacy/Dual Primary/Dead Code/Stale Evidence/Temporary/Secret 제거와 회귀 방지,"ARCH-MISSION의 Hygiene 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX01,ARCH-MSA,Architecture/Core,AX01,Ownership,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest","단일 Owner Module·Package, Public API/SPI/Internal 경계, 역방향·순환·DB 직접 접근 없음","ARCH-MSA의 Ownership 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX02,ARCH-MSA,Architecture/Core,AX02,Consumer,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",실제 Product Bean/Route/API/SQL/Frontend/Script Consumer와 Dead abstraction 없음,"ARCH-MSA의 Consumer 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX03,ARCH-MSA,Architecture/Core,AX03,Normal,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",대표 정상 Flow가 실제 Runtime에서 예상 결과와 상태·식별자를 생성,"ARCH-MSA의 Normal 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX04,ARCH-MSA,Architecture/Core,AX04,ErrorBoundary,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Invalid·Empty·Oversize·Timeout·Conflict·Dependency failure를 표준 오류로 처리,"ARCH-MSA의 ErrorBoundary 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX05,ARCH-MSA,Architecture/Core,AX05,Concurrency,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Race·Duplicate·Optimistic/Distributed Lock·Idempotency를 검증,"ARCH-MSA의 Concurrency 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX06,ARCH-MSA,Architecture/Core,AX06,MultiInstance,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",2개 이상 Instance의 Lease·Fencing·Rebalance·Failover·Stale writer를 검증,"ARCH-MSA의 MultiInstance 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX07,ARCH-MSA,Architecture/Core,AX07,UnknownResult,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Side effect 전후·Commit/ACK/Response loss를 분류하고 Blind success/retry 금지,"ARCH-MSA의 UnknownResult 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX08,ARCH-MSA,Architecture/Core,AX08,Recovery,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Retry·Restart·Reprocess·Compensation·Rollback/Forward recovery·Manual recovery,"ARCH-MSA의 Recovery 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX09,ARCH-MSA,Architecture/Core,AX09,Security,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",AuthN/AuthZ·Trust boundary·Secret/PII masking·Secure default·Negative corpus,"ARCH-MSA의 Security 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX10,ARCH-MSA,Architecture/Core,AX10,AuditOperations,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",조회·상태·제어·Reason·Approval·Immutable audit·Metric·Alert·Runbook,"ARCH-MSA의 AuditOperations 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX11,ARCH-MSA,Architecture/Core,AX11,Resource,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Memory·Disk·Thread·Connection·Queue·Time budget·Bounded streaming·Cleanup,"ARCH-MSA의 Resource 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX12,ARCH-MSA,Architecture/Core,AX12,DataDB,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Schema/Query Owner·3DB 또는 DB-less·Migration·Rollback·Drift·Performance,"ARCH-MSA의 DataDB 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX13,ARCH-MSA,Architecture/Core,AX13,Compatibility,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Local/Remote·Mixed version·API/Message/File/DB/Config compatibility,"ARCH-MSA의 Compatibility 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX14,ARCH-MSA,Architecture/Core,AX14,Test,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Unit·Contract·Integration·Runtime·Browser·Broker·Fault 중 적용 범위,"ARCH-MSA의 Test 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX15,ARCH-MSA,Architecture/Core,AX15,Documentation,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",OpenAPI·JavaDoc·개발/운영/설치/복구 Guide와 실제 Source 일치,"ARCH-MSA의 Documentation 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX16,ARCH-MSA,Architecture/Core,AX16,Evidence,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Exact source/result SHA·clean tree·command·env·time·exit·hash·sanitized,"ARCH-MSA의 Evidence 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-MSA-AX17,ARCH-MSA,Architecture/Core,AX17,Hygiene,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Legacy/Dual Primary/Dead Code/Stale Evidence/Temporary/Secret 제거와 회귀 방지,"ARCH-MSA의 Hygiene 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX01,ARCH-BOUNDARY,Architecture/Core,AX01,Ownership,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest","단일 Owner Module·Package, Public API/SPI/Internal 경계, 역방향·순환·DB 직접 접근 없음","ARCH-BOUNDARY의 Ownership 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX02,ARCH-BOUNDARY,Architecture/Core,AX02,Consumer,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",실제 Product Bean/Route/API/SQL/Frontend/Script Consumer와 Dead abstraction 없음,"ARCH-BOUNDARY의 Consumer 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX03,ARCH-BOUNDARY,Architecture/Core,AX03,Normal,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",대표 정상 Flow가 실제 Runtime에서 예상 결과와 상태·식별자를 생성,"ARCH-BOUNDARY의 Normal 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX04,ARCH-BOUNDARY,Architecture/Core,AX04,ErrorBoundary,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Invalid·Empty·Oversize·Timeout·Conflict·Dependency failure를 표준 오류로 처리,"ARCH-BOUNDARY의 ErrorBoundary 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX05,ARCH-BOUNDARY,Architecture/Core,AX05,Concurrency,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Race·Duplicate·Optimistic/Distributed Lock·Idempotency를 검증,"ARCH-BOUNDARY의 Concurrency 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX06,ARCH-BOUNDARY,Architecture/Core,AX06,MultiInstance,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",2개 이상 Instance의 Lease·Fencing·Rebalance·Failover·Stale writer를 검증,"ARCH-BOUNDARY의 MultiInstance 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX07,ARCH-BOUNDARY,Architecture/Core,AX07,UnknownResult,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Side effect 전후·Commit/ACK/Response loss를 분류하고 Blind success/retry 금지,"ARCH-BOUNDARY의 UnknownResult 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX08,ARCH-BOUNDARY,Architecture/Core,AX08,Recovery,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Retry·Restart·Reprocess·Compensation·Rollback/Forward recovery·Manual recovery,"ARCH-BOUNDARY의 Recovery 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX09,ARCH-BOUNDARY,Architecture/Core,AX09,Security,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",AuthN/AuthZ·Trust boundary·Secret/PII masking·Secure default·Negative corpus,"ARCH-BOUNDARY의 Security 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX10,ARCH-BOUNDARY,Architecture/Core,AX10,AuditOperations,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",조회·상태·제어·Reason·Approval·Immutable audit·Metric·Alert·Runbook,"ARCH-BOUNDARY의 AuditOperations 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX11,ARCH-BOUNDARY,Architecture/Core,AX11,Resource,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Memory·Disk·Thread·Connection·Queue·Time budget·Bounded streaming·Cleanup,"ARCH-BOUNDARY의 Resource 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX12,ARCH-BOUNDARY,Architecture/Core,AX12,DataDB,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Schema/Query Owner·3DB 또는 DB-less·Migration·Rollback·Drift·Performance,"ARCH-BOUNDARY의 DataDB 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX13,ARCH-BOUNDARY,Architecture/Core,AX13,Compatibility,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Local/Remote·Mixed version·API/Message/File/DB/Config compatibility,"ARCH-BOUNDARY의 Compatibility 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX14,ARCH-BOUNDARY,Architecture/Core,AX14,Test,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Unit·Contract·Integration·Runtime·Browser·Broker·Fault 중 적용 범위,"ARCH-BOUNDARY의 Test 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX15,ARCH-BOUNDARY,Architecture/Core,AX15,Documentation,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",OpenAPI·JavaDoc·개발/운영/설치/복구 Guide와 실제 Source 일치,"ARCH-BOUNDARY의 Documentation 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX16,ARCH-BOUNDARY,Architecture/Core,AX16,Evidence,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Exact source/result SHA·clean tree·command·env·time·exit·hash·sanitized,"ARCH-BOUNDARY의 Evidence 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-BOUNDARY-AX17,ARCH-BOUNDARY,Architecture/Core,AX17,Hygiene,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Legacy/Dual Primary/Dead Code/Stale Evidence/Temporary/Secret 제거와 회귀 방지,"ARCH-BOUNDARY의 Hygiene 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX01,ARCH-LAYER,Architecture/Core,AX01,Ownership,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest","단일 Owner Module·Package, Public API/SPI/Internal 경계, 역방향·순환·DB 직접 접근 없음","ARCH-LAYER의 Ownership 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX02,ARCH-LAYER,Architecture/Core,AX02,Consumer,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",실제 Product Bean/Route/API/SQL/Frontend/Script Consumer와 Dead abstraction 없음,"ARCH-LAYER의 Consumer 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX03,ARCH-LAYER,Architecture/Core,AX03,Normal,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",대표 정상 Flow가 실제 Runtime에서 예상 결과와 상태·식별자를 생성,"ARCH-LAYER의 Normal 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX04,ARCH-LAYER,Architecture/Core,AX04,ErrorBoundary,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Invalid·Empty·Oversize·Timeout·Conflict·Dependency failure를 표준 오류로 처리,"ARCH-LAYER의 ErrorBoundary 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX05,ARCH-LAYER,Architecture/Core,AX05,Concurrency,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Race·Duplicate·Optimistic/Distributed Lock·Idempotency를 검증,"ARCH-LAYER의 Concurrency 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX06,ARCH-LAYER,Architecture/Core,AX06,MultiInstance,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",2개 이상 Instance의 Lease·Fencing·Rebalance·Failover·Stale writer를 검증,"ARCH-LAYER의 MultiInstance 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX07,ARCH-LAYER,Architecture/Core,AX07,UnknownResult,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Side effect 전후·Commit/ACK/Response loss를 분류하고 Blind success/retry 금지,"ARCH-LAYER의 UnknownResult 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX08,ARCH-LAYER,Architecture/Core,AX08,Recovery,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",Retry·Restart·Reprocess·Compensation·Rollback/Forward recovery·Manual recovery,"ARCH-LAYER의 Recovery 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
QA36-CAN-ARCH-LAYER-AX09,ARCH-LAYER,Architecture/Core,AX09,Security,REQUIRED_OR_APPROVED_NA,"latest origin/master exact SHA, clean tree, owner/consumer/environment manifest",AuthN/AuthZ·Trust boundary·Secret/PII masking·Secure default·Negative corpus,"ARCH-LAYER의 Security 수용 기준 충족, 실패/부분/미검증을 숨기지 않음",source paths; command; environment/profile/topology; actual output; report/artifact hashes; sanitized,부분 구현,미검증
