route_id,path,menu_id,group,label,owner_module,risk_level,query_operation_ids,mutation_operation_ids,button_permissions,requires_server_paging,requires_detail,requires_empty_state,required_error_statuses,requires_reason,requires_approval,requires_cas,requires_audit,preserved_context,development_status,verification_status,evidence_requirement
runtimeControl,/runtimeControl,RUNTIME_CONTROL,online,Deployment·Promotion·Rollback,cpf-admin,HIGH,admRuntimeControlFindHealth;admRuntimeControlFindStatus;admRuntimeControlFindCapabilities;admRuntimeControlFindChange;admRuntimeControlFindByOperation;admRuntimeControlVerifyAudit;admRuntimeControlFindGroup;admRuntimeControlFindStateCatalog,admRuntimeControlPreviewChange;admRuntimeControlCreateChange;admRuntimeControlCancelChange;admRuntimeControlRollbackChange;admRuntimeControlSaveGroup;admRuntimeControlDeleteGroup;admRuntimeControlChangeGroupMember;admRuntimeControlPreviewTargets,RUNTIME_CONTROL_READ;RUNTIME_CONTROL_PREVIEW;RUNTIME_CONTROL_CHANGE;RUNTIME_CONTROL_CANCEL;RUNTIME_CONTROL_ROLLBACK,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
maintenance,/maintenance,MAINTENANCE,framework,점검·Drain,cpf-admin,HIGH,admMaintenanceFindActions,admMaintenanceExecuteAction,MAINTENANCE_READ;MAINTENANCE_EXECUTE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
cache,/cache,CACHE,framework,캐시,cpf-admin,HIGH,admCacheSummary,admCacheRefresh;admCacheEvictKey;admCacheEvictNamespace;admCacheReconcile,CACHE_READ;CACHE_REFRESH,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
configs,/configs,CONFIG,framework,설정,cpf-admin,HIGH,admConfigFindConfigs;admConfigFindConfig,admConfigCreateConfig;admConfigUpdateConfig;admConfigDeleteConfig,CONFIG_READ;CONFIG_WRITE;CONFIG_DELETE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
responseCodes,/responseCodes,RESPONSE_CODE,framework,응답코드,cpf-admin,MEDIUM,admResponseCodeFindAll;admResponseCodeFindOne,admResponseCodeCreate;admResponseCodeUpdate;admResponseCodeDelete,RESPONSE_CODE_READ;RESPONSE_CODE_WRITE;RESPONSE_CODE_DELETE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
businessCalendar,/businessCalendar,BUSINESS_CALENDAR,framework,영업일 · 휴일,cpf-admin,MEDIUM,admCalendarFindDays;admCalendarResolveDate,admCalendarSaveDay;admCalendarDeleteDay,BUSINESS_CALENDAR_READ;BUSINESS_CALENDAR_WRITE;BUSINESS_CALENDAR_DELETE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
recoveryCenter,/recoveryCenter,RECOVERY_CENTER,monitoring,복구 센터,cpf-admin,MEDIUM,getAdmTransactionLogRecoveryStatus,runAdmTransactionLogRecovery;retryAdmTraceRecoveryPoison;resolveAdmUnknownResult;requestAdmBrokerDlqReplay,RELIABILITY_READ;RELIABILITY_RESOLVE;RELIABILITY_REPLAY;RELIABILITY_RECOVERY_RUN,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
incidents,/incidents,INCIDENT,monitoring,Error·Unknown Result,cpf-admin,HIGH,findAdmUnknownResults;findAdmBrokerDlq;getAdmTransactionLogRecoveryStatus;admIncidentFindIncidents;admIncidentFindMaintenance;admIncidentFindPolicies,requestAdmBrokerDlqReplay;resolveAdmUnknownResult;runAdmTransactionLogRecovery;admIncidentCreateIncident;admIncidentIngestSignal;admIncidentTransitionIncident,INCIDENT_READ;RELIABILITY_RESOLVE;RELIABILITY_REPLAY;RELIABILITY_RECOVERY_RUN,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
reliability,/reliability,RELIABILITY,monitoring,Analysis Center,cpf-admin,MEDIUM,findAdmUnknownResults;findAdmBrokerDlq;findAdmBrokerOutbox;findAdmBrokerInbox;findAdmIdempotencyRecords;findAdmFileTransferHistory;getAdmTransactionLogRecoveryStatus,,RELIABILITY_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
notifications,/notifications,NOTIFICATION,integration,알림,cpf-admin,MEDIUM,admNotificationFindRules;admNotificationFindRule;admNotificationFindDeliveryLogs;admNotificationFindDeliveryAttempts,admNotificationSaveRule;admNotificationUpdateRule;admNotificationRetryDelivery;admNotificationCancelDelivery;admNotificationSendTest,NOTIFICATION_READ;NOTIFICATION_WRITE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch,/batch,BATCH,batch,Batch / Center-Cut,cpf-admin,MEDIUM,admBatchFindJobs;admBatchFindSchedules;admBatchFindExecutionPage;admBatchFindInstances;admBatchFindWorkers;admBatchWorkbenchJobDetail,,BATCH_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-overview,/batch-overview,BATCH_OVERVIEW,batch,Batch Overview,cpf-admin,MEDIUM,admBatchWorkbenchOverview;admBatchFindJobs;admBatchFindSchedules;admBatchFindExecutionPage;admBatchFindInstances;admBatchFindWorkers;admBatchFindLocks,,BATCH_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-runtime,/batch-runtime,BATCH_RUNTIME,batch,Runtime Topology,cpf-admin,HIGH,admBatchRuntimeInstances;admBatchRuntimeView;admBatchRuntimeCommandState,admBatchRuntimeCommand,BATCH_RUNTIME_READ;BATCH_RUNTIME_COMMAND,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-instances,/batch-instances,BATCH_INSTANCES,batch,Runtime Instances,cpf-admin,MEDIUM,admBatchWorkbenchInfrastructure;admBatchFindInstances;admBatchRuntimeInstances;admBatchRuntimeView,,BATCH_RUNTIME_READ,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-scheduler,/batch-scheduler,BATCH_SCHEDULER,batch,Scheduler HA,cpf-admin,MEDIUM,admBatchWorkbenchSchedules;admBatchFindSchedules;admBatchSimulateSchedule,admBatchEnableSchedule;admBatchDisableSchedule;admBatchRunSchedulerOnce,BATCH_READ;BATCH_SCHEDULE,true,true,true,401;403;404;409;429;500;503,true,true,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-worker-pools,/batch-worker-pools,BATCH_WORKER_POOLS,batch,Worker Pools,cpf-admin,MEDIUM,admBatchWorkbenchInfrastructure;admBatchFindWorkers;admBatchRuntimeView;admBatchRuntimeCommandState,admBatchRuntimeCommand,BATCH_RUNTIME_READ;BATCH_RUNTIME_COMMAND,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-center-cut,/batch-center-cut,BATCH_CENTER_CUT,batch,Center-Cut,cpf-admin,MEDIUM,admCenterCutFindSummary;admCenterCutFindJobs;admCenterCutFindJobDetail;admCenterCutFindResults;admCenterCutFindResultDetail;admCenterCutFindTargets;admCenterCutFindParameters,,BATCH_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-agents,/batch-agents,BATCH_AGENTS,batch,Host Agents,cpf-admin,MEDIUM,admBatchWorkbenchInfrastructure;admBatchRuntimeInstances;admBatchRuntimeView;admBatchRuntimeCommandState,admBatchRuntimeCommand,BATCH_RUNTIME_READ;BATCH_RUNTIME_COMMAND,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-job-packs,/batch-job-packs,BATCH_JOB_PACKS,batch,Job Packs,cpf-admin,MEDIUM,admBatchWorkbenchJobDetail;admBatchWorkbenchJobs;admBatchJobDefinitions;admBatchJobDefinitionDetail;admBatchFindJobs,admBatchJobDefinitionValidate;admBatchJobDefinitionSave;admBatchJobDefinitionTransition,BATCH_READ;BATCH_DEFINITION_VALIDATE;BATCH_DEFINITION_WRITE;BATCH_DEFINITION_TRANSITION,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-executions,/batch-executions,BATCH_EXECUTIONS,batch,Executions,cpf-admin,MEDIUM,admBatchWorkbenchExecutionDetail;admBatchWorkbenchExecutions;admBatchFindExecutionPage;admBatchFindExecutionDetail;admBatchFindStepExecutions,admBatchRetryExecution;admBatchStopExecution,BATCH_READ;BATCH_RETRY;BATCH_EXECUTE,true,true,true,401;403;404;409;429;500;503,true,true,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-deployment,/batch-deployment,BATCH_DEPLOYMENT,batch,Deployment / Rollback,cpf-admin,HIGH,admBatchRuntimeView;admBatchRuntimeCommandState,admBatchRuntimeCreateDeploymentPlan,BATCH_RUNTIME_READ;BATCH_DEPLOYMENT_PLAN,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-recovery,/batch-recovery,BATCH_RECOVERY,monitoring,Recovery / Unknown,cpf-admin,MEDIUM,admBatchWorkbenchRecovery;admBatchRuntimeView;admBatchFindGhostCandidates;findAdmUnknownResults,admBatchActGhostExecution;resolveAdmUnknownResult,BATCH_RUNTIME_READ;RELIABILITY_RESOLVE,true,true,true,401;403;404;409;429;500;503,true,true,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-leases,/batch-leases,BATCH_LEASES,monitoring,Lease / Fencing,cpf-admin,MEDIUM,admBatchWorkbenchRecovery;admBatchRuntimeView;admBatchFindLocks,admBatchReleaseLock,BATCH_READ,true,true,true,401;403;404;409;429;500;503,true,true,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-alerts,/batch-alerts,BATCH_ALERTS,monitoring,Batch Alerts,cpf-admin,MEDIUM,findAdmUnknownResults;findAdmBrokerDlq;findAdmBrokerOutbox;admBatchFindOperationLogs,,BATCH_READ;RELIABILITY_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
batch-audit,/batch-audit,BATCH_AUDIT,monitoring,Audit / Evidence,cpf-admin,MEDIUM,admBatchWorkbenchRecovery;admBatchFindOperationLogs;admAuditLogFindAuditLogs;admAuditDeliveryList;getAdmBatchJobInstanceLog,,BATCH_READ;AUDIT_LOG_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
workers,/workers,WORKER,batch,Agent / Worker,cpf-admin,MEDIUM,admBatchFindWorkers;admBatchFindInstances;admBatchRuntimeInstances,,BATCH_READ,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
downloads,/downloads,DOWNLOAD,integration,다운로드,cpf-admin,MEDIUM,admDownloadFindPolicies;admDownloadFindDownloadAuditLogs,admDownloadDownloadCsv,DOWNLOAD_READ;DOWNLOAD_EXECUTE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
file-jobs,/file-jobs,FILE_JOB,batch,대량파일 Job,cpf-admin,MEDIUM,admFileJobList;admFileJobDetail;admFileJobRows;admFileJobArtifact,admFileJobUpload;admFileJobApply;admFileJobRetry;admFileJobCancel;admFileJobRollback;admFileJobResolveUnknown,FILE_JOB_READ;FILE_JOB_UPLOAD;FILE_JOB_APPLY;FILE_JOB_RETRY;FILE_JOB_CANCEL;FILE_JOB_ROLLBACK;FILE_JOB_RESOLVE;FILE_JOB_DOWNLOAD,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
messages,/messages,MESSAGE,integration,전문·Protocol Message,cpf-admin,MEDIUM,admMessageFindMessages;admMessageFindMessage;traceAdmByTransactionId,admMessageCreateMessage;admMessageUpdateMessage;admMessageDeleteMessage,MESSAGE_READ;MESSAGE_WRITE;MESSAGE_DISABLE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
codes,/codes,CODE,framework,코드,cpf-admin,MEDIUM,admCodeFindCodes;admCodeFindCode,admCodeCreateCode;admCodeUpdateCode;admCodeDeleteCode,CODE_READ;CODE_WRITE;CODE_DISABLE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-dashboard,/gateway-dashboard,GATEWAY_DASHBOARD,online,Gateway 대시보드,cpf-admin,MEDIUM,admGatewayCapability;admGatewayOperationsSnapshot;admGatewayOperationsEvents,,GATEWAY_DASHBOARD_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-servers,/gateway-servers,GATEWAY_SERVERS,online,Gateway 연동 서버,cpf-admin,MEDIUM,admGatewayFindServerGroups;admGatewayFindGroupMembers,admGatewaySaveServerGroup;admGatewayDeleteServerGroup,GATEWAY_SERVER_READ;GATEWAY_SERVER_WRITE;GATEWAY_SERVER_DELETE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-groups,/gateway-groups,GATEWAY_GROUPS,online,Gateway 서버 그룹,cpf-admin,MEDIUM,admGatewayFindServerGroups;admGatewayFindGroupMembers,admGatewaySaveServerGroup;admGatewayDeleteServerGroup,GATEWAY_GROUP_READ;GATEWAY_GROUP_WRITE;GATEWAY_GROUP_DELETE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-routes,/gateway-routes,GATEWAY_ROUTES,online,Gateway 경로·라우팅,cpf-admin,MEDIUM,admGatewayFindBindings,admGatewaySaveBinding;admGatewayChangeBindingState;admGatewayDeleteBinding,GATEWAY_ROUTE_READ;GATEWAY_ROUTE_WRITE;GATEWAY_ROUTE_STATE;GATEWAY_ROUTE_DELETE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-security,/gateway-security,GATEWAY_SECURITY,online,Gateway 보안·제한,cpf-admin,HIGH,admGatewayFindBindings,admGatewaySaveBinding;admGatewayChangeBindingState,GATEWAY_SECURITY_READ;GATEWAY_ROUTE_WRITE;GATEWAY_ROUTE_STATE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-health,/gateway-health,GATEWAY_HEALTH,online,Gateway Health·연결시험,cpf-admin,MEDIUM,admGatewayCapability;admGatewayFindApplyStatus;admGatewayFindConnectionTests;admGatewayFindConnectionTestOperation,admGatewayRequestConnectionTest;admGatewayCancelConnectionTest;admGatewayRevalidateConnectionTest,GATEWAY_HEALTH_READ;GATEWAY_CONNECTION_TEST,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-transactions,/gateway-transactions,GATEWAY_TRANSACTIONS,online,Gateway 거래 조회,cpf-admin,MEDIUM,admGatewayOperationsSnapshot;admGatewayOperationsEvents;traceAdmByTransactionId,,GATEWAY_TRANSACTION_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-log-policies,/gateway-log-policies,GATEWAY_LOG_POLICY,online,Gateway 로그 정책,cpf-admin,MEDIUM,admGatewayOperationsSnapshot;admLogPolicyFindPolicies;admLogPolicyDistributionStatus,,GATEWAY_LOG_POLICY_READ;LOG_POLICY_READ,true,true,true,401;403;404;409;429;500;503,false,false,false,false,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
gateway-apply-status,/gateway-apply-status,GATEWAY_APPLY_STATUS,online,Gateway 적용 상태·이력,cpf-admin,MEDIUM,admGatewayFindApplyStatus;admGatewayOperationsEvents;admGatewayFindConnectionTestOperation,,GATEWAY_APPLY_STATUS_READ,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
permissions,/permissions,PERMISSION,framework,권한,cpf-admin,MEDIUM,admPermissionFindManagedMenus;admPermissionFindButtons;admPermissionFindApiPermissions;admPermissionFindRoles;admPermissionFindMenuMatrix;admPermissionFindButtonMatrix;admPermissionFindApiPermissionMatrix;admPermissionFindApiPermission;admPermissionFindButton;admPermissionFindManagedMenu;admPermissionFindRole,admPermissionUpdateApiPermissionStatus;admPermissionUpdateButtonStatus;admPermissionUpdateMenuStatus;admPermissionUpdateRoleStatus,PERMISSION_READ;PERMISSION_WRITE,true,true,true,401;403;404;409;429;500;503,true,false,false,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
password,/password,PASSWORD,framework,비밀번호,cpf-admin,HIGH,admOperatorPasswordPolicy;admOperatorValidatePassword,admOperatorChangePassword;admOperatorResetPassword;admOperatorRevokeSession,PASSWORD_READ;PASSWORD_SESSION_REVOKE;PASSWORD_CHANGE;PASSWORD_RESET,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
security,/security,SECURITY,framework,보안,cpf-admin,HIGH,admSecurityFindMfaStates;admSecurityFindIpAllowlist,admSecurityRegisterMfa;admSecurityVerifyMfa;admSecurityDisableMfa;admSecuritySaveIpAllowlist,SECURITY_READ;SECURITY_WRITE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
operators,/operators,OPERATOR,framework,운영자,cpf-admin,HIGH,admOperatorFindOperators;admOperatorFindRoles;admOperatorFindSessions;admOperatorFindMenus,admOperatorCreateOperator;admOperatorUpdateRoles;admOperatorUpdateStatus;admOperatorUnlockOperator;admOperatorUpdateContact,OPERATOR_READ;OPERATOR_CREATE;OPERATOR_ROLE_UPDATE;OPERATOR_STATUS_UPDATE;OPERATOR_UNLOCK;OPERATOR_CONTACT_UPDATE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
secrets,/secrets,SECRET,framework,Secret / Key,cpf-admin,HIGH,admSecretFindMetadata;admSecretFindProviders,admSecretRotate,SECRET_READ;SECRET_ROTATE,true,true,true,401;403;404;409;429;500;503,true,true,true,true,transactionId;executionId;correlationId;from;to;filters;tenant;environment;instance;service,완료,미검증,exact-SHA browser/API interaction evidence
