defect_id,priority,area,title,current_status,root_cause,implemented_remediation,blocking_reason,required_next_validation,related_result_ids,base_sha,head_sha
QA31-D011,P0,Gateway,TCP 성공만으로 Application UP,부분 구현,실제 요청 없이 application=UP,Application Probe 실제 HTTP 수행,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,TCP_UP/APP_DOWN 분리·Routing 제외,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D012,P0,Ledger,Retry/Failover Attempt 한 행 축약,부분 구현,Service result 최종값만 있어 Attempt별 실패 유실,시도별 Attempt Observer와 Gateway Ledger 기록,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,시도 N회=Attempt N행,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D013,P0,Approval,Gateway BLOCK/RETIRE 승인 우회,부분 구현,ADM 직접 State API가 BLOCKED/RETIRED 허용,Gateway 위험 전환 승인 Owner 경계 유지·Gate,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,직접 호출 409/403·승인 실행 성공,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D014,P0,Security,Gateway HMAC Body 미보호·Cross-instance Replay,부분 구현,Canonical에 Body Hash/Audience 없음; JVM Local Nonce,Body Hash/Audience/Key ID/공유 Nonce/보안 감사,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,1byte 변조·다른 Instance replay 거부,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D015,P0,Gateway,ADM Remote Gateway Timeout 미적용,부분 구현,설정 timeout이 WebClient.block에 연결되지 않음,Remote connect/response/overall timeout과 UNKNOWN_RESULT,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,Timeout 후 UNKNOWN_RESULT와 Reconcile,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D016,P0,Batch,외부 Executor Map이 JSON 아님,부분 구현,Objects.toString으로 Payload 생성,ObjectMapper Canonical JSON 직렬화,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,Map/DTO 유효 JSON Contract Test,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D017,P0,File,File 고급 흐름 Dispatcher 미연결,부분 구현,Ready/Claim/Restart/Reconcile Utility는 있으나 Product Flow 미사용,FILE_PROCESS Handler SPI의 실제 Worker Consumer와 EDU 구현,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,Worker Crash 후 재개 중복 0,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D018,P1,File,Remote Watch/Scan/Claim 미구현,부분 구현,Remote Alias는 Upload/Download만 가능,Remote File Capability를 실제 Client 기능대로 제한,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,미지원은 UI/Publish 차단,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D019,P0,Shell,Shell 상세 결과 원장 손실,부분 구현,Executor 결과를 status/message로 축약,exit/stdout/stderr/truncated/duration/hash/unknown 원장,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,exit/stdout/stderr/hash/truncation/unknown 보존,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D020,P1,Shell,Secret·OS 격리 부분 구현,부분 구현,민감값도 properties 임시파일; ProcessHandle 수준,"Sensitive STDIN_JSON, Signature default, Trust Store 검증",Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,실제 OS Test Evidence,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D021,P0,ADM,Secret/Path/File Picker 실제 미설치,부분 구현,Reference Catalog가 UNAVAILABLE 고정 반환,실제 Reference Catalog와 서버 Paging/더보기/선택값 복원,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,Secret 값 비노출 Reference 선택 성공,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D022,P1,ADM,Service Registry Code 하드코딩,부분 구현,Controller List.of Catalog,공유 Service Registry Catalog/STG 포함,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,Backend/UI 동일 Catalog,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D023,P1,ADM,Log Export 단일 ADM 메모리 종속,부분 구현,Local Temp+ConcurrentHashMap,ADM DB 기반 Log Export Artifact/만료/다운로드 원장,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,다른 ADM Instance/재기동 후 다운로드,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
