feature_id,area,coverage_scope,owner_module,reference_sources,tests,public_contracts,scenario_axes,adm_observation_paths,runtime_command,development_status,verification_status
EDU-011,External REST,External REST timeout·retry·circuit·TLS·masking,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/external/**/*.java | cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java,cpf-reference/src/test/java/com/cpf/reference/external/**/*.java,cpf-core/src/main/java/com/cpf/core/api/external/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/network/**/*.java,EDU-011-SCN-NORMAL | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY,/gateway-health | /capacity,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon",완료,미검증
EDU-012,Fixed-length Protocol,고정길이 전문 encode/decode·schema·validation·trace,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/telegram/**/*.java,cpf-reference/src/test/java/com/cpf/reference/telegram/**/*.java,cpf-core/src/main/java/com/cpf/core/api/message/**/*.java | cpf-core/src/main/java/com/cpf/core/api/fixed/**/*.java,EDU-012-SCN-NORMAL | EDU-012-SCN-ERROR | EDU-012-SCN-RECOVERY | EDU-012-SCN-SECURITY,/messages,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.telegram.*"" --no-daemon",완료,미검증
EDU-013,File/Archive,File transfer·archive·checksum·resume·retention,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/filetransfer/**/*.java | cpf-reference/src/main/java/com/cpf/reference/archive/**/*.java,cpf-reference/src/test/java/com/cpf/reference/filetransfer/**/*.java | cpf-reference/src/test/java/com/cpf/reference/archive/**/*.java,cpf-core/src/main/java/com/cpf/core/api/file/**/*.java,EDU-013-SCN-NORMAL | EDU-013-SCN-ERROR | EDU-013-SCN-RECOVERY | EDU-013-SCN-SECURITY,/fileJobs | /remoteLogs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.filetransfer.*"" --tests ""com.cpf.reference.archive.*"" --no-daemon",완료,미검증
EDU-014,Cache,Cache read/write·evict·namespace·reconcile·fail-closed,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-reference/src/main/java/com/cpf/reference/config/**/*.java,cpf-reference/src/test/java/com/cpf/reference/config/**/*.java | cpf-admin/src/test/**/*Cache*Test.java,cpf-core/src/main/java/com/cpf/core/api/cache/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,EDU-014-SCN-NORMAL | EDU-014-SCN-ERROR | EDU-014-SCN-RECOVERY | EDU-014-SCN-CONCURRENCY,/cache,"./gradlew.bat :cpf-admin:test --tests ""*Cache*"" --no-daemon",완료,미검증
EDU-015,Feature Flag,Feature flag rollout·disabled state·drift·audit,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/config/**/*.java,cpf-reference/src/test/java/com/cpf/reference/config/**/*.java,cpf-core/src/main/java/com/cpf/core/api/config/**/*.java,EDU-015-SCN-NORMAL | EDU-015-SCN-ERROR | EDU-015-SCN-RECOVERY | EDU-015-SCN-SECURITY,/configs | /runtimeControl,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.config.*Feature*"" --no-daemon",완료,미검증
EDU-016,Secret,Secret metadata·provider·rotation·원문 비노출,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmSecretController.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,cpf-reference/src/test/java/com/cpf/reference/security/**/*.java | cpf-admin/src/test/**/*Secret*Test.java,cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,EDU-016-SCN-NORMAL | EDU-016-SCN-ERROR | EDU-016-SCN-RECOVERY | EDU-016-SCN-SECURITY,/secrets,"./gradlew.bat :cpf-admin:test --tests ""*Secret*"" --no-daemon",완료,미검증
EDU-017,Security,인증·인가·MFA·IP allowlist·masking·audit,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,cpf-reference/src/test/java/com/cpf/reference/security/**/*.java,cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,EDU-017-SCN-NORMAL | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/security | /permissions | /operators,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증
EDU-018,Observability,통합 Log·Metric·Trace·Audit·SLO·Alert,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-reference/src/main/java/com/cpf/reference/audit/**/*.java,cpf-reference/src/test/java/com/cpf/reference/logging/**/*.java | cpf-reference/src/test/java/com/cpf/reference/audit/**/*.java,cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-core/src/main/java/com/cpf/core/api/audit/**/*.java,EDU-018-SCN-NORMAL | EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY,/logs | /auditLogs | /dashboard,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon",완료,미검증
EDU-019,Database 3 Vendors,Oracle·PostgreSQL·MariaDB install/query/drift parity,cpf-tools,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/postgresql/**/* | cpf-tools/db/vendor/mariadb/**/* | cpf-tools/db/canonical/**/*,cpf-tools/scripts/tests/test_verify_cpf_db_lifecycle_contract.py | cpf-tools/db/**/verify/**/*,cpf-common/src/main/java/com/cpf/common/api/**/*.java,EDU-019-SCN-NORMAL | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/configs | /capacity,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release,완료,미검증
EDU-020,Migration,Baseline→Sequential Upgrade→Rollback→Reapply·checksum,cpf-tools,cpf-tools/db/vendor/*/migration/**/* | cpf-tools/db/vendor/*/rollback/**/* | cpf-tools/db/vendor/*/install/**/*,cpf-tools/scripts/tests/test_verify_cpf_db_lifecycle_contract.py | cpf-tools/db/**/verify/**/*,cpf-common/src/main/java/com/cpf/common/api/**/*.java,EDU-020-SCN-NORMAL | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증
EDU-021,Batch Tasklet,Spring Batch Tasklet Job/Step·restart·context,cpf-batch,cpf-reference/src/main/java/com/cpf/reference/batch/**/*.java | cpf-batch/**/*.java,cpf-reference/src/test/java/com/cpf/reference/batch/**/*.java | cpf-batch/**/src/test/**/*.java,cpf-batch/contract/src/main/java/**/*.java | cpf-core/src/main/java/com/cpf/core/api/batch/**/*.java,EDU-021-SCN-NORMAL | EDU-021-SCN-ERROR | EDU-021-SCN-RECOVERY | EDU-021-SCN-CONCURRENCY,/batchExecutions | /batchJobs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.batch.*Tasklet*"" --no-daemon",완료,미검증
EDU-022,Batch Chunk,Spring Batch Chunk·checkpoint·retry/skip·partition,cpf-batch,cpf-reference/src/main/java/com/cpf/reference/batch/**/*.java | cpf-batch/**/*.java,cpf-reference/src/test/java/com/cpf/reference/batch/**/*Chunk* | cpf-batch/**/src/test/**/*Chunk*,cpf-batch/contract/src/main/java/**/*.java,EDU-022-SCN-NORMAL | EDU-022-SCN-ERROR | EDU-022-SCN-RECOVERY | EDU-022-SCN-CONCURRENCY,/batchExecutions | /batchWorkerPools,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.batch.*Chunk*"" --no-daemon",완료,미검증
EDU-023,Scheduler HA,Scheduler lease·leader·fencing·misfire·simulation,cpf-batch,cpf-batch/scheduler/**/*.java | cpf-reference/src/main/java/com/cpf/reference/batch/**/*.java,cpf-batch/scheduler/src/test/**/*.java | cpf-reference/src/test/java/com/cpf/reference/batch/**/*Scheduler*,cpf-batch/contract/src/main/java/**/*.java,EDU-023-SCN-NORMAL | EDU-023-SCN-ERROR | EDU-023-SCN-RECOVERY | EDU-023-SCN-CONCURRENCY,/batchScheduler | /batchLeases,./gradlew.bat :cpf-batch:scheduler:test --no-daemon,완료,미검증
EDU-024,Remote Worker,Worker pool·lease·heartbeat·drain·quarantine,cpf-batch,cpf-batch/worker/**/*.java | cpf-batch/**/worker/**/*.java,cpf-batch/**/src/test/**/*Worker*,cpf-batch/contract/src/main/java/**/*.java,EDU-024-SCN-NORMAL | EDU-024-SCN-ERROR | EDU-024-SCN-RECOVERY | EDU-024-SCN-CONCURRENCY,/batchWorkerPools | /batchInstances,./gradlew.bat :cpf-batch:worker:test --no-daemon,완료,미검증
EDU-025,Center-Cut,Center-Cut claim·rate·reprocess·unknown result,cpf-batch,cpf-reference/src/main/java/com/cpf/reference/centercut/**/*.java | cpf-batch/center-cut/**/*.java,cpf-reference/src/test/java/com/cpf/reference/centercut/**/*.java | cpf-batch/**/src/test/**/*CenterCut*,cpf-batch/contract/src/main/java/**/*.java | cpf-core/src/main/java/com/cpf/core/api/centercut/**/*.java,EDU-025-SCN-NORMAL | EDU-025-SCN-ERROR | EDU-025-SCN-UNKNOWN | EDU-025-SCN-RECOVERY,/centerCut | /batchRecovery,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.centercut.*"" --no-daemon",완료,미검증
EDU-026,Host Agent,Agent identity·mTLS·artifact verify·restart·quarantine,cpf-batch,cpf-batch/host-agent/src/main/java/**/*.java,cpf-batch/host-agent/src/test/**/*.java,cpf-batch/contract/src/main/java/**/*.java,EDU-026-SCN-NORMAL | EDU-026-SCN-ERROR | EDU-026-SCN-RECOVERY | EDU-026-SCN-SECURITY,/batchAgents | /batchInstances,./gradlew.bat :cpf-batch:host-agent:test --no-daemon,완료,미검증
EDU-027,Deployment,Artifact deployment·promotion·rollback·CAS·approval,cpf-admin,deploy/**/* | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-tools/promotion/**/*,cpf-admin/src/test/**/*RuntimeControl* | cpf-tools/scripts/tests/**/*promotion*,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,EDU-027-SCN-NORMAL | EDU-027-SCN-ERROR | EDU-027-SCN-RECOVERY | EDU-027-SCN-SECURITY,/runtimeControl | /approvals,"./gradlew.bat :cpf-admin:test --tests ""*RuntimeControl*"" --no-daemon",완료,미검증
EDU-028,Gateway,Default deny routing·DNS rebinding·TLS·health·trace,cpf-gateway,cpf-gateway/src/main/java/**/*.java,cpf-gateway/src/test/**/*.java,cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/network/**/*.java,EDU-028-SCN-NORMAL | EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY,/gateway-dashboard | /gateway-routes | /gateway-health,./gradlew.bat :cpf-gateway:test --no-daemon,완료,미검증
EDU-029,ADM,59 Route 상용 Page·Generated Client·Permission·Audit,cpf-admin,cpf-admin/src/main/java/**/*.java | cpf-admin/frontend/src/**/*.ts | cpf-admin/frontend/src/**/*.vue,cpf-admin/src/test/**/*.java | cpf-admin/frontend/src/**/*.test.ts,cpf-core/src/main/java/com/cpf/core/api/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,EDU-029-SCN-NORMAL | EDU-029-SCN-ERROR | EDU-029-SCN-RECOVERY | EDU-029-SCN-SECURITY,/dashboard | /approvals | /auditLogs,npm --prefix ./cpf-admin/frontend run verify,완료,미검증
EDU-030,BZA,업무 관리자 조직·승인·감사·Generated Client,cpf-biz-admin,cpf-biz-admin/src/main/java/**/*.java | cpf-biz-admin/frontend/src/**/*.ts | cpf-biz-admin/frontend/src/**/*.vue,cpf-biz-admin/src/test/**/*.java | cpf-biz-admin/frontend/src/**/*.test.ts,cpf-common/src/main/java/com/cpf/common/api/**/*.java,EDU-030-SCN-NORMAL | EDU-030-SCN-ERROR | EDU-030-SCN-RECOVERY | EDU-030-SCN-SECURITY,/approvals,npm --prefix ./cpf-biz-admin/frontend run verify,완료,미검증
EDU-031,Supply Chain,SBOM·Vulnerability·License·Artifact signature/hash,cpf-tools,cpf-tools/supply-chain/**/* | cpf-tools/release/**/*,cpf-tools/scripts/tests/test_verify_cpf_supply_chain.py,build.gradle,EDU-031-SCN-NORMAL | EDU-031-SCN-ERROR | EDU-031-SCN-RECOVERY | EDU-031-SCN-SECURITY,/runtimeControl,python ./cpf-tools/scripts/verify-cpf-supply-chain.py --root . --release,완료,미검증
EDU-032,Multi-instance/DR,다중 인스턴스·process kill·backup/restore·DR·reconcile,cpf-tools,cpf-tools/runtime/**/* | deploy/**/* | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,cpf-tools/runtime/**/*test* | cpf-core/src/test/**/*Runtime*,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,EDU-032-SCN-NORMAL | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/topology | /recoveryCenter | /maintenance,pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all,완료,미검증
