record_key,record_type,record_id,requirement_id,development_status,verification_status,evidence_id,note
SCENARIO:QA34-SCN-003-NEGATIVE,SCENARIO,QA34-SCN-003-NEGATIVE,QA34-REQ-003,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-003-RECOVERY,SCENARIO,QA34-SCN-003-RECOVERY,QA34-REQ-003,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-004,REQUIREMENT,QA34-REQ-004,QA34-REQ-004,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-004-NORMAL,SCENARIO,QA34-SCN-004-NORMAL,QA34-REQ-004,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-004-NEGATIVE,SCENARIO,QA34-SCN-004-NEGATIVE,QA34-REQ-004,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-004-RECOVERY,SCENARIO,QA34-SCN-004-RECOVERY,QA34-REQ-004,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-005,REQUIREMENT,QA34-REQ-005,QA34-REQ-005,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-005-NORMAL,SCENARIO,QA34-SCN-005-NORMAL,QA34-REQ-005,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-005-NEGATIVE,SCENARIO,QA34-SCN-005-NEGATIVE,QA34-REQ-005,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-005-RECOVERY,SCENARIO,QA34-SCN-005-RECOVERY,QA34-REQ-005,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-006,REQUIREMENT,QA34-REQ-006,QA34-REQ-006,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-006-NORMAL,SCENARIO,QA34-SCN-006-NORMAL,QA34-REQ-006,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-006-NEGATIVE,SCENARIO,QA34-SCN-006-NEGATIVE,QA34-REQ-006,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-006-RECOVERY,SCENARIO,QA34-SCN-006-RECOVERY,QA34-REQ-006,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-007,REQUIREMENT,QA34-REQ-007,QA34-REQ-007,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-007-NORMAL,SCENARIO,QA34-SCN-007-NORMAL,QA34-REQ-007,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-007-NEGATIVE,SCENARIO,QA34-SCN-007-NEGATIVE,QA34-REQ-007,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-007-RECOVERY,SCENARIO,QA34-SCN-007-RECOVERY,QA34-REQ-007,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-008,REQUIREMENT,QA34-REQ-008,QA34-REQ-008,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-008-NORMAL,SCENARIO,QA34-SCN-008-NORMAL,QA34-REQ-008,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-008-NEGATIVE,SCENARIO,QA34-SCN-008-NEGATIVE,QA34-REQ-008,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-008-RECOVERY,SCENARIO,QA34-SCN-008-RECOVERY,QA34-REQ-008,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-009,REQUIREMENT,QA34-REQ-009,QA34-REQ-009,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-009-NORMAL,SCENARIO,QA34-SCN-009-NORMAL,QA34-REQ-009,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-009-NEGATIVE,SCENARIO,QA34-SCN-009-NEGATIVE,QA34-REQ-009,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-009-RECOVERY,SCENARIO,QA34-SCN-009-RECOVERY,QA34-REQ-009,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-010,REQUIREMENT,QA34-REQ-010,QA34-REQ-010,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-010-NORMAL,SCENARIO,QA34-SCN-010-NORMAL,QA34-REQ-010,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-010-NEGATIVE,SCENARIO,QA34-SCN-010-NEGATIVE,QA34-REQ-010,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-010-RECOVERY,SCENARIO,QA34-SCN-010-RECOVERY,QA34-REQ-010,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-011,REQUIREMENT,QA34-REQ-011,QA34-REQ-011,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-011-NORMAL,SCENARIO,QA34-SCN-011-NORMAL,QA34-REQ-011,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-011-NEGATIVE,SCENARIO,QA34-SCN-011-NEGATIVE,QA34-REQ-011,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-011-RECOVERY,SCENARIO,QA34-SCN-011-RECOVERY,QA34-REQ-011,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-012,REQUIREMENT,QA34-REQ-012,QA34-REQ-012,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-012-NORMAL,SCENARIO,QA34-SCN-012-NORMAL,QA34-REQ-012,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-012-NEGATIVE,SCENARIO,QA34-SCN-012-NEGATIVE,QA34-REQ-012,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-012-RECOVERY,SCENARIO,QA34-SCN-012-RECOVERY,QA34-REQ-012,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-013,REQUIREMENT,QA34-REQ-013,QA34-REQ-013,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-013-NORMAL,SCENARIO,QA34-SCN-013-NORMAL,QA34-REQ-013,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-013-NEGATIVE,SCENARIO,QA34-SCN-013-NEGATIVE,QA34-REQ-013,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-013-RECOVERY,SCENARIO,QA34-SCN-013-RECOVERY,QA34-REQ-013,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-014,REQUIREMENT,QA34-REQ-014,QA34-REQ-014,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-014-NORMAL,SCENARIO,QA34-SCN-014-NORMAL,QA34-REQ-014,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-014-NEGATIVE,SCENARIO,QA34-SCN-014-NEGATIVE,QA34-REQ-014,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-014-RECOVERY,SCENARIO,QA34-SCN-014-RECOVERY,QA34-REQ-014,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-015,REQUIREMENT,QA34-REQ-015,QA34-REQ-015,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-015-NORMAL,SCENARIO,QA34-SCN-015-NORMAL,QA34-REQ-015,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-015-NEGATIVE,SCENARIO,QA34-SCN-015-NEGATIVE,QA34-REQ-015,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-015-RECOVERY,SCENARIO,QA34-SCN-015-RECOVERY,QA34-REQ-015,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-016,REQUIREMENT,QA34-REQ-016,QA34-REQ-016,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-016-NORMAL,SCENARIO,QA34-SCN-016-NORMAL,QA34-REQ-016,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-016-NEGATIVE,SCENARIO,QA34-SCN-016-NEGATIVE,QA34-REQ-016,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-016-RECOVERY,SCENARIO,QA34-SCN-016-RECOVERY,QA34-REQ-016,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-017,REQUIREMENT,QA34-REQ-017,QA34-REQ-017,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-017-NORMAL,SCENARIO,QA34-SCN-017-NORMAL,QA34-REQ-017,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-017-NEGATIVE,SCENARIO,QA34-SCN-017-NEGATIVE,QA34-REQ-017,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-017-RECOVERY,SCENARIO,QA34-SCN-017-RECOVERY,QA34-REQ-017,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-018,REQUIREMENT,QA34-REQ-018,QA34-REQ-018,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-018-NORMAL,SCENARIO,QA34-SCN-018-NORMAL,QA34-REQ-018,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-018-NEGATIVE,SCENARIO,QA34-SCN-018-NEGATIVE,QA34-REQ-018,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-018-RECOVERY,SCENARIO,QA34-SCN-018-RECOVERY,QA34-REQ-018,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-019,REQUIREMENT,QA34-REQ-019,QA34-REQ-019,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-019-NORMAL,SCENARIO,QA34-SCN-019-NORMAL,QA34-REQ-019,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-019-NEGATIVE,SCENARIO,QA34-SCN-019-NEGATIVE,QA34-REQ-019,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-019-RECOVERY,SCENARIO,QA34-SCN-019-RECOVERY,QA34-REQ-019,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
REQUIREMENT:QA34-REQ-020,REQUIREMENT,QA34-REQ-020,QA34-REQ-020,완료,미검증,QA34-FULL-RUNTIME-MATRIX,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
SCENARIO:QA34-SCN-020-NORMAL,SCENARIO,QA34-SCN-020-NORMAL,QA34-REQ-020,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-020-NEGATIVE,SCENARIO,QA34-SCN-020-NEGATIVE,QA34-REQ-020,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
SCENARIO:QA34-SCN-020-RECOVERY,SCENARIO,QA34-SCN-020-RECOVERY,QA34-REQ-020,완료,미검증,QA34-FULL-RUNTIME-MATRIX,exact-SHA 실행 전 미검증
