capability_id,domain,menu_group,minimum_menu_or_function,minimum_detail,screenshot_evidence,current_cpf_route_candidates,current_assessment,confirmed_gap_or_review_point,qa35_required_target,priority,development_status,verification_status
ADM-MIN-012,공통,공통 플랫폼,Logger Level 관리,Node/Logger/TTL/Reason/자동복귀,온라인-06,logLevel,충족 후보,Route 존재; 실제 Node 적용·TTL·원복·감사 실행 미검증,현재 기능을 actual runtime으로 검증하고 trace boost와 통합,P0,부분 구현,미검증
ADM-MIN-013,공통,공통 플랫폼,Logger Monitoring,"Logger 목록, effective level, source, 적용상태",온라인-06,"remoteLogs, logLevel",부분 구현,Level 변경과 실제 effective state 관제가 분리될 가능성,요청/적용/실패/원복 상태와 instance별 effective value,P0,부분 구현,미검증
ADM-MIN-014,공통,공통 플랫폼,Cache Monitoring/Control,Node/Namespace/Key/Size/Hit/Miss/Invalidate,온라인-07,cache,부분 구현,Cache route 존재하나 capacity/metrics/partial failure 검증 미완료,조회·통계·namespace/key invalidate·version guard·multi-instance result,P0,부분 구현,미검증
ADM-MIN-015,공통,공통 플랫폼,Datasource Monitoring,"Pool active/idle/wait, timeout, leak, query health",온라인-08,없음,미구현,Capacity 화면이 있어도 Datasource 전용 운영 기능 확인 안 됨,Pool/Connection/Leak/Slow acquisition/Failover 관제,P0,미구현,미검증
ADM-MIN-016,공통,공통 플랫폼,Message Catalog,"Message code, locale, version, publish",온라인 Menu,messages,부분 구현,Route 존재; locale/version/publish/consumer cache invalidation 미검증,다국어·Effective Date·Draft/Publish/Rollback·cache propagation,P0,부분 구현,미검증
ADM-MIN-017,공통,공통 플랫폼,Code Group/Item/Label,"Group, Item, Label, 순서, 기간, import/export",온라인 Menu,codes,부분 구현,Route 존재; 구조/기간/tenant/version 검증 미완료,"Group/Item/Label, hierarchy, effective date, conflict preview",P0,부분 구현,미검증
ADM-MIN-018,공통,공통 플랫폼,Notification Policy,"Event type, severity, channel, template, receiver",온라인-05,notifications,부분 구현,Notification route 있으나 정책/전송/재시도/수신자 분리 완전성 미확인,Rule→Template→Receiver Group→Delivery→Retry/Audit,P0,부분 구현,미검증
ADM-MIN-019,공통,공통 플랫폼,Notification Receiver,"개인/그룹 Email/SMS/Webhook, 유효기간","배치-11, 온라인-05",notifications,미구현,명시적 수신자 Directory/Group 관리 Route 없음,Receiver/Group/On-call schedule/validation/masking,P0,미구현,미검증
ADM-MIN-020,공통,공통 플랫폼,Event Log,Node/Group/Event ID/내용/Severity,온라인-10,"incidents, auditLogs",부분 구현,Incident/Audit는 더 발전됐으나 raw platform event inventory 연결 미확인,"Event→Alert→Incident correlation, dedupe, acknowledge",P0,부분 구현,미검증
ADM-MIN-021,공통,공통 플랫폼,Log Download,Node/Type/Path/Size/Checksum/Reason,온라인-09,"downloads, remoteLogs",부분 구현,다운로드 기능은 있으나 파일 안전성·checksum·권한/approval 전수 미확인,"bounded stream, masking, checksum, expiry, audit",P0,부분 구현,미검증
ADM-MIN-022,온라인,온라인 설계·운영·관제,거래 테스트 Console,"채널/Header/Body/Auth/Timeout 입력, 실행, 결과 비교",온라인 Menu,없음,미구현,명시적 거래 테스트 Route 없음,"승인된 Non-prod/Production-safe mode, masking, replay protection",P0,미구현,미검증
ADM-MIN-023,온라인,온라인 설계·운영·관제,거래 Metadata 등록,"거래 ID, 이름, Owner, Class, Channel, 활성화, Version",온라인-11,transactions,부분 구현,거래 메타 Route는 있으나 Class/배포/Version/Consumer 검증 미완료,"Typed transaction registry, draft/publish, impact preview",P0,부분 구현,미검증
ADM-MIN-024,온라인,온라인 설계·운영·관제,전처리/후처리 순서,"단계 순서, 조건, Class, 적용, 오류정책","온라인-12, 온라인-13","standardExecutions, channelPolicy",부분 구현,표준 실행/채널 정책으로 일부 대응하지만 명시적 pipeline editor/DAG 미확인,"Ordered pipeline, condition, timeout, skip/fail, version/rollback",P0,부분 구현,미검증
ADM-MIN-025,온라인,온라인 설계·운영·관제,거래 Profile 관리,"Profile별 Property, 거래 매핑, Class, 적용",온라인-14,configs,미구현,범용 Config로 대체 가능하나 거래 Profile 도메인 기능 없음,Transaction profile/version/assignment/effective preview,P0,미구현,미검증
ADM-MIN-026,온라인,온라인 설계·운영·관제,Profile 속성 정의,"Property schema, type, default, validation, description",온라인-15,configs,미구현,Config schema 관리 화면이 확인되지 않음,"Schema registry, type/range/secret/required/deprecation",P0,미구현,미검증
ADM-MIN-027,온라인,온라인 설계·운영·관제,Deferred 실행 규칙,"비동기/지연 실행 조건, queue, retry, timeout",온라인 Menu,"reliability, standardExecutions",부분 구현,신뢰성 기능은 있으나 정책 CRUD 및 consumer 연결 미확인,"Deferred policy, idempotency, retry/DLT, unknown result",P0,부분 구현,미검증
ADM-MIN-028,온라인,온라인 설계·운영·관제,DBIO/Query Registry,"Query ID, SQL/Mapper, datasource, timeout, version",온라인 Menu,없음,미구현,DBIO 운영 Route 없음,Query metadata/owner/vendor SQL/hash/deploy/rollback/slow query link,P0,미구현,미검증
ADM-MIN-029,온라인,온라인 설계·운영·관제,Component 배포 현황,Online component/version/node/deployment state,온라인 Menu,"serviceRegistry, topology",부분 구현,Service Registry와 topology는 있으나 배포 이력/rollback/Source SHA 연결 미확인,Artifact→deployment→instance version drift→rollback,P0,부분 구현,미검증
ADM-MIN-030,온라인,온라인 설계·운영·관제,XIO/FIO/연계 Adapter 배포,외부 연계/File adapter별 배포/상태/버전,온라인 Menu,"gateway-apply-status, file-jobs",부분 구현,Gateway/File별 기능은 있으나 통합 Adapter catalog 없음,"Protocol adapter registry, config/version/test/connectivity",P0,부분 구현,미검증
ADM-MIN-031,온라인,온라인 설계·운영·관제,서비스 처리량 Monitoring,"TPS, latency, error, channel, service, instance",온라인 Menu,"capacity, dashboard",부분 구현,Capacity/SLO가 있으나 거래/채널/서비스 Drill-down 수준 미검증,"RED metrics, percentiles, comparison, saturation",P0,부분 구현,미검증
ADM-MIN-032,온라인,온라인 설계·운영·관제,Thread/Executor Monitoring,Pool active/queue/reject/deadlock,온라인 Menu,없음,미구현,Batch worker pool 외 Online executor 전용 관제 없음,Executor/Virtual thread/queue/rejection/deadlock dump with approval,P0,미구현,미검증
ADM-MIN-033,온라인,온라인 설계·운영·관제,Deferred Monitoring,"Queue depth, oldest age, retry/DLT",온라인 Menu,"reliability, recoveryCenter",부분 구현,Unknown/DLQ는 있으나 deferred workload 전용 SLO·capacity 미확인,Queue/age/retry/poison/replay view,P0,부분 구현,미검증
ADM-MIN-034,온라인,온라인 설계·운영·관제,지연 비동기 Monitoring,Pending/late/timeout/unknown/reconcile,온라인 Menu,"reliability, recoveryCenter",부분 구현,CPF 강점 기능이나 transaction-specific drill-down 검증 필요,Transaction→remote call→unknown→reconcile timeline,P0,부분 구현,미검증
ADM-MIN-035,온라인,온라인 설계·운영·관제,서비스 처리 흐름,Inbound→service→DB→external→response flow,온라인-17,"transactionGroups, topology",부분 구현,Transaction group detail은 있으나 visual flow/DAG/critical path 미확인,"Segment graph, latency contribution, partial failure, linked logs",P0,부분 구현,미검증
ADM-MIN-036,온라인,온라인 설계·운영·관제,거래 Log 조회,거래/Trace/Global ID/고객/채널/기간 검색,온라인-17,"logs, transactionGroups",부분 구현,기능 후보 강함; 실제 paging/masking/export/retention 검증 필요,"대규모 index, masked detail, saved search, export approval",P0,부분 구현,미검증
ADM-MIN-037,온라인,온라인 설계·운영·관제,Error Log 조회/상세,"Error taxonomy, stack, request context, cause chain","온라인-16, 온라인-18","logs, incidents",부분 구현,일반 로그/Incident로 일부 대응; 전용 error facets/detail 미확인,Error code/cause/segment/instance/retry/recovery correlation,P0,부분 구현,미검증
ADM-MIN-038,온라인,온라인 설계·운영·관제,Debug Log 조회,Dynamic level/trace boost 결과 조회,온라인 Menu,"logs, logLevel",부분 구현,동적 로그와 조회 연결 확인 필요,"TTL scope, trace boost, auto cleanup, audit",P0,부분 구현,미검증
ADM-MIN-039,온라인,온라인 설계·운영·관제,전문/Message Log,고정길이/JSON Header·Body·offset·masking,온라인-17,"logs, transactionGroups",부분 구현,전문 tab 후보가 있으나 parser/error offset/download 검증 미완료,Schema/version/field masking/byte offset/compare,P0,부분 구현,미검증
ADM-MIN-040,온라인,온라인 설계·운영·관제,Code 전송/적용 이력,"Artifact/code delivery 결과, checksum, node state",온라인 Menu,"gateway-apply-status, batch-deployment",부분 구현,도메인별 배포는 있으나 통합 Code delivery 이력 없음,"Artifact SHA, signer, rollout, drift, rollback",P0,부분 구현,미검증
ADM-MIN-041,온라인,온라인 설계·운영·관제,거래 통계,전체/부점/채널/업무 성공·오류·정상률,온라인-19,"dashboard, capacity",미구현,일반 Dashboard와 명시적 다차원 거래통계는 별도,시간/채널/업무/기관/오류 다차원 Drill-down,P0,미구현,미검증
ADM-MIN-042,온라인,온라인 설계·운영·관제,전문 처리시간 통계,전문/단계/외부기관별 latency percentile,온라인 Menu,capacity,미구현,일반 SLO만으로 전문/단계별 통계 충족 불명확,"P50/P95/P99, contribution, slow sample link",P0,미구현,미검증
ADM-MIN-043,온라인,온라인 설계·운영·관제,Log 정책 설정,"Target, sampling, body/header, masking, retention",온라인 Menu,logPolicies,충족 후보,기능은 풍부해 보이나 실제 적용/rollback/multi-instance 검증 필요,현재 구현 Runtime 검증 및 policy simulation,P0,부분 구현,미검증
ADM-MIN-044,배치,배치 설계·실행·복구,Job 정의 목록,"검색, 상태, Type, Owner, Group, Program, version",배치-01,"batch, batch-job-packs",부분 구현,Job pack과 실행 화면은 있으나 개별 Job definition registry 완전성 미확인,Job definition lifecycle/version/owner/consumer,P0,부분 구현,미검증
ADM-MIN-045,배치,배치 설계·실행·복구,Job 정의 상세,"Parameter, Program, Agent, 수신자, trigger, schedule",배치-02,"batch-job-packs, batch-scheduler",부분 구현,기능이 여러 Route로 분산; single definition detail/traceability 미확인,정의→schedule→artifact→execution end-to-end detail,P0,부분 구현,미검증
ADM-MIN-046,배치,배치 설계·실행·복구,Job 복제/변경/삭제,"impact preview, version, approval, rollback",배치-02,"batch-job-packs, approvals",미구현,명시적 clone/versioned edit 기능 확인 안 됨,Draft/clone/compare/publish/deprecate with consumer impact,P0,미구현,미검증
ADM-MIN-047,배치,배치 설계·실행·복구,Job Flow/DAG,선행·후행·조건·성공/실패 dependency graph,배치-03,batch-scheduler,미구현,Scheduler Route가 있어도 DAG 시각화/validation 증거 없음,"DAG editor/viewer, cycle detection, critical path, replay impact",P0,미구현,미검증
ADM-MIN-048,배치,배치 설계·실행·복구,Job Group 관리,"Group CRUD, owner, calendar, jobs, window","배치-06, 배치-12",batch-overview,미구현,Overview는 있으나 Group domain CRUD가 명시되지 않음,Group definition/version/schedule/progress/authority,P0,미구현,미검증
ADM-MIN-049,배치,배치 설계·실행·복구,Job Group 현황,총 Job/실행/대기/실패/진행률/Window,배치-06,batch-overview,부분 구현,"Overview 후보, 실제 drill-down/aggregate semantics 미검증","Group health, SLA, critical path, delayed jobs",P0,부분 구현,미검증
ADM-MIN-050,배치,배치 설계·실행·복구,긴급 실행 요청,"요청사유, 대상, requester, 승인/반려, expiry",배치-07,"approvals, batch-executions",부분 구현,일반 승인 기능은 있으나 Batch emergency workflow 통합 미확인,"Maker-checker, risk summary, command hash, expiry, audit",P0,부분 구현,미검증
ADM-MIN-051,배치,배치 설계·실행·복구,수동/즉시 실행,"Parameter, business date, idempotency, dry-run","배치-02, 배치-14",batch-executions,부분 구현,실행 route는 있으나 dry-run/hash/duplicate/unknown 결과 검증 필요,"validated launch request, expected definition version, result tracking",P0,부분 구현,미검증
ADM-MIN-052,배치,배치 설계·실행·복구,Job Instance 검색,"상태, Job/Group, server, date, program, owner","배치-04, 배치-05, 배치-13","batch-instances, batch-executions",부분 구현,Route 존재; benchmark 수준 filter/paging/export 미검증,"대량 paging, saved filter, status taxonomy, correlation",P0,부분 구현,미검증
ADM-MIN-053,배치,배치 설계·실행·복구,Instance 상세,상태·진행률·Lock·server·parameter·history,배치-14,"batch-instances, batch-executions",부분 구현,"상세 route 후보, 모든 필드/상태 전이/감사 미확인",definition/execution/step/worker/lease/log/report linked view,P0,부분 구현,미검증
ADM-MIN-054,배치,배치 설계·실행·복구,Instance 제어,pause/resume/stop/restart/rerun/server change,배치-14,"batch-runtime, batch-recovery",부분 구현,CPF 복구 기능이 발전됐지만 command별 safety/E2E 미완료,Reason/approval/version/idempotency/fencing/unknown reconciliation,P0,부분 구현,미검증
ADM-MIN-055,배치,배치 설계·실행·복구,Job Log tail/full/download,"stdout/stderr/log type, tail, full, download",배치-15,"remoteLogs, downloads",부분 구현,공통 로그 기능과 Batch Execution 연결 미확인,"Execution ID based log index, streaming tail, checksum, masking",P0,부분 구현,미검증
ADM-MIN-056,배치,배치 설계·실행·복구,Report Artifact,"report 목록, checksum, preview, download, retention",배치-14,"downloads, batch-audit",부분 구현,다운로드는 있으나 execution output artifact catalog 미확인,Artifact owner/execution/version/checksum/approval/expiry,P0,부분 구현,미검증
ADM-MIN-057,배치,배치 설계·실행·복구,Server/Agent 현황,"Heartbeat, state, job count, IP/Port, account",배치-08,"batch-runtime, batch-agents",부분 구현,Route 후보 강함; 실제 heartbeat/stale/quarantine/command 검증 필요,"Agent lifecycle, health, command result, stale detection",P0,부분 구현,미검증
ADM-MIN-058,배치,배치 설계·실행·복구,OS/JVM/Disk Capacity,"heap, memory, disk, JVM/OS version",배치-08,"capacity, batch-agents",부분 구현,일반 capacity와 agent detail 연결 미확인,Host/JVM/container/resource trend and threshold alert,P0,부분 구현,미검증
ADM-MIN-059,배치,배치 설계·실행·복구,Worker Pool,"pool size, active, queue, saturation, scale",배치 Menu,batch-worker-pools,충족 후보,Route 존재; scale/lease/multi-instance actual runtime 미검증,Pool/queue/capacity/autoscale/manual control with audit,P0,부분 구현,미검증
ADM-MIN-060,배치,배치 설계·실행·복구,Batch 환경변수,"scope별 Path/Variable CRUD, validation",배치-09,configs,부분 구현,범용 Config는 있으나 Job/Agent/Env scope와 path safety 미확인,"Batch scoped config schema, secret ref, rollout, rollback",P0,부분 구현,미검증
ADM-MIN-061,배치,배치 설계·실행·복구,Business Calendar,"연/월/일, holiday, business day, simulation",배치-10,businessCalendar,충족 후보,Route 존재; schedule consumer parity와 3DB 검증 필요,Calendar version/effective date/simulation/impact,P0,부분 구현,미검증
ADM-MIN-062,배치,배치 설계·실행·복구,통지 수신자,Job/Group/Event별 Email/SMS/Receiver,배치-11,notifications,미구현,Receiver directory 별도 Route 없음,"On-call group, escalation, channel validation, masking",P0,미구현,미검증
ADM-MIN-063,배치,배치 설계·실행·복구,Scheduler HA,"leader, lease, fencing, misfire, takeover",배치 Menu,"batch-scheduler, batch-leases",고급 기능 후보,Benchmark보다 발전했으나 process-kill exact-SHA 미검증,leader/lease/outbox/takeover/timeline actual runtime,P0,부분 구현,미검증
ADM-MIN-064,배치,배치 설계·실행·복구,Center-Cut Profile,"ID, Class, encoding, rate, split, header, owner","온라인-21, 온라인-22",batch-center-cut,부분 구현,Route 존재; profile CRUD/version/schema detail 미확인,Profile/version/validation/simulation/deploy,P0,부분 구현,미검증
ADM-MIN-065,배치,배치 설계·실행·복구,Center-Cut 실행 Log/통계,"상태, duration, execution/business counts",온라인-23,"batch-center-cut, batch-executions",부분 구현,실행 Route와 통계 aggregation/Drill-down 미확인,Execution/partition/rate/error/retry/recovery view,P0,부분 구현,미검증
ADM-MIN-066,배치,배치 설계·실행·복구,Batch 실행 Log,Job/Host/Program/progress/status/time,온라인-24,batch-executions,부분 구현,Route 존재; benchmark field completeness and export 미검증,"Execution timeline, step metrics, worker/agent correlation",P0,부분 구현,미검증
ADM-MIN-067,배치,배치 설계·실행·복구,Job Pack/Artifact,"pack version, manifest, signature, compatibility",배치 Menu,"batch-job-packs, batch-deployment",고급 기능 후보,CPF 강점 후보이나 full artifact/supply chain evidence 미검증,"signed pack, compatibility, rollout/rollback, SHA/SBOM",P0,부분 구현,미검증
ADM-MIN-068,배치,배치 설계·실행·복구,Deployment/Rollback,"cell/instance rollout, compensation, reconcile",배치 Menu,batch-deployment,고급 기능 후보,Benchmark 이상 기능이나 multi-instance/process-kill 검증 없음,"state machine, partial failure, unknown result, immutable audit",P0,부분 구현,미검증
ADM-MIN-069,통합,통합·분석·제품 품질,온라인·배치 통합 Home,"통합 상태, 긴급 이슈, SLA, 실행/거래 Drill-down",온라인-01,dashboard,부분 구현,현재 Summary는 제한된 metric 중심이며 Online/Batch 통합 KPI/incident workflow 미확인,"통합 운영 Home, role-based widgets, critical action queue",P0,부분 구현,미검증
ADM-MIN-070,통합,통합·분석·제품 품질,Global Search,거래ID/Trace/Job/Execution/Instance/Incident/Artifact 단일 검색,캡처 전체,없음,미구현,Menu search는 있으나 운영 Entity global search 없음,Cross-domain search and direct deep link,P0,미구현,미검증
ADM-MIN-071,통합,통합·분석·제품 품질,Cross-domain Timeline,Online→Gateway→External→Batch→File→Notification,"온라인-17, 배치-14","transactionGroups, reliability",부분 구현,개별 transaction/batch detail은 있으나 하나의 correlation timeline 미확인,standard correlation IDs and unified timeline,P0,부분 구현,미검증
ADM-MIN-072,통합,통합·분석·제품 품질,통합 Recovery Center,Unknown/DLT/failed deployment/job/transaction 재처리,캡처 최소선 이상,"recoveryCenter, reliability, batch-recovery",고급 기능 후보,CPF 강점이나 domain별 command/evidence actual runtime 미검증,"case queue, ownership, approval, reconcile/compensate, result",P0,부분 구현,미검증
ADM-MIN-073,통합,통합·분석·제품 품질,Incident Management,event/alert/incident/timeline/owner/closure,온라인-10,"incidents, batch-alerts",고급 기능 후보,Route 존재; alerts-to-incident and runbook execution 미검증,dedupe/correlation/ack/assign/resolve/postmortem,P0,부분 구현,미검증
ADM-MIN-074,통합,통합·분석·제품 품질,통합 Approval/Break-glass,온라인·배치·Gateway 위험조치 공통 승인,"배치-07, 온라인-29","approvals, breakGlass",고급 기능 후보,공통 Route는 있으나 각 command consumer coverage 미완료,all dangerous command registration and maker-checker,P0,부분 구현,미검증
ADM-MIN-075,통합,통합·분석·제품 품질,통합 Audit/Evidence,화면/API/명령/결과/Artifact hash 연결,"온라인-27~29, 배치-14","auditLogs, batch-audit, downloads",고급 기능 후보,Evidence semantic closure와 source SHA 연결 미완료,Requirement→command→result→artifact immutable evidence,P0,부분 구현,미검증
ADM-MIN-076,통합,통합·분석·제품 품질,Topology/Dependency Graph,Service/instance/gateway/batch/job/external dependency,배치-03,topology,부분 구현,Service topology는 있으나 Job DAG와 code/data dependency 통합 미확인,"multi-layer graph, health overlay, impact navigation",P0,부분 구현,미검증
ADM-MIN-077,분석,통합·분석·제품 품질,Report 분석,"기준/기간/대상 선택, 표/차트, 저장/공유/export",온라인-25,없음,미구현,분석 Menu Group 자체가 없음,운영 analytics workbook with governed queries,P0,미구현,미검증
ADM-MIN-078,분석,통합·분석·제품 품질,SQL 분석,Query/DBIO/plan/latency/error/impact,온라인-25,없음,미구현,SQL/Query analysis UI 없음,"safe explain, vendor plan, slow query, linked transaction",P0,미구현,미검증
ADM-MIN-079,분석,통합·분석·제품 품질,XIO/외부연계 분석,기관/Endpoint/코드/latency/error/volume,온라인-25,gateway-transactions,부분 구현,Gateway 거래 조회는 있으나 분석 기능/비교/추세 미확인,"integration analytics, endpoint/provider comparison",P0,부분 구현,미검증
ADM-MIN-080,분석,통합·분석·제품 품질,FIO/File 분석,File job/volume/throughput/error/archive,온라인-25,"file-jobs, downloads",부분 구현,운영 실행은 있으나 분석/추세/용량 계획 미확인,file pipeline analytics and bottleneck,P0,부분 구현,미검증
ADM-MIN-081,분석,통합·분석·제품 품질,영향도 분석,거래/Job/API/Config/DB/Artifact 변경 영향,온라인-26,topology,미구현,Topology가 있어도 change impact/consumer graph 기능 없음,before publish impact graph and affected owners/tests,P0,미구현,미검증
ADM-MIN-082,품질,통합·분석·제품 품질,화면 기본 완성도,검색·Paging·정렬·상세·Empty/Loading/Error·Export,캡처 전체,59 Routes,재확인 필요,현재 Route 존재만 확인; 기능별 표준 완성도 Matrix 없음,모든 화면의 applicable capabilities 100%,P0,부분 구현,미검증
ADM-MIN-083,품질,통합·분석·제품 품질,Deep Link/Refresh/Back,"직접 URL, 새로고침, Browser history, bookmark",캡처 전체,59 Routes,부분 구현,Router는 있으나 route-specific identity E2E가 약함,59 Route exact identity and state restoration,P0,부분 구현,미검증
ADM-MIN-084,품질,통합·분석·제품 품질,접근성/반응형/Keyboard,"3 Browser, mobile, focus, label, contrast",캡처보다 상위,59 Routes,부분 구현,공통 검사 일부 있으나 실제 backend/route interactions 미완료,WCAG-oriented keyboard/ARIA/overflow/3-browser,P0,부분 구현,미검증
ADM-MIN-085,품질,통합·분석·제품 품질,Typed API/Contract,OpenAPI→Generated Client→Consumer→Error UI,캡처보다 상위,generated client,실패,현재 OpenAPI/marker/generated artifact가 상호 모순,all operations typed and bidirectional closure,P0,부분 구현,미검증
ADM-MIN-086,품질,통합·분석·제품 품질,보안·감사·마스킹,Permission/Data Scope/Reason/Approval/Expected Version,캡처보다 상위,"security, approvals, auditLogs",부분 구현,공통 기반은 강하지만 59 Route/Command 전수 적용 미확인,security matrix and negative runtime tests,P0,부분 구현,미검증
ADM-MIN-087,품질,통합·분석·제품 품질,부분 실패·결과불명·복구,"multi-instance, response loss, process kill, reconcile",캡처보다 상위,"reliability, recoveryCenter",고급 기능 후보,"Source/Runner 존재, exact-SHA runtime 미검증",CPF 차별점으로 전 Route/Command에 적용,P0,부분 구현,미검증
