requirement_id,priority,category,title,owner,development_status,verification_status,current_evidence,required_change,acceptance_criteria,verification_method,codex_stage,regression_protection
QA37-REQ-040,P1,MANUAL_EDU135,고객 Manual 연결은 추적만,cpf-reference/Owner Modules,미구현,미검증,Requirement 문서만 latest Commit에 추가됨,Manual 수정 없이 EDU ID/명령 연결 Metadata,Manual을 완료 근거로 사용 0,135 coverage matrix + source/test/runtime trace,3,135 count/id gate
QA37-REQ-041,P1,ARCHITECTURE,Module·Package 표준 배치,Architecture Owners,미구현,미검증,별도 QA37 산출물 없음,Owner/Product/EDU 책임 분리,잘못된 Module 배치 0,Architecture dependency review,2,Internal/ownership gate
QA37-REQ-042,P1,ARCHITECTURE,구현 우선·검증 분리,Architecture Owners,미구현,미검증,별도 QA37 산출물 없음,환경 부족이어도 가능한 코드·Test 개발,환경을 미개발 사유로 사용 0,Architecture dependency review,2,Internal/ownership gate
QA37-REQ-043,P1,ARCHITECTURE,Architecture Blocker Report,Architecture Owners,미구현,미검증,별도 QA37 산출물 없음,구조적 제약·근거·대안·Owner 보고,Blocker 누락 0,Architecture dependency review,2,Internal/ownership gate
QA37-REQ-044,P1,ARCHITECTURE,Decision Request,Architecture Owners,미구현,미검증,별도 QA37 산출물 없음,사용자/Architecture 결정만 별도 요약,결정 항목 명확,Architecture dependency review,2,Internal/ownership gate
QA37-REQ-045,P1,ARCHITECTURE,Follow-up Requirement 생성,Architecture Owners,미구현,미검증,별도 QA37 산출물 없음,선행 Product Gap을 실행 가능한 요건으로 변환,Acceptance/Owner/Test 포함,Architecture dependency review,2,Internal/ownership gate
QA37-REQ-046,P1,DOCKER_RUNTIME,Docker 문서 선행 확인,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,지정 5문서 순서 준수,전체 설치 재실행 0,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-047,P1,DOCKER_RUNTIME,선택 Service 기동,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,필요 DB/Redis/Kafka만 시작,불필요 Container Running 0,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-048,P1,DOCKER_RUNTIME,Java 25 Fresh Build,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Empty cache clean test assemble qualityGate,"exit 0, dirty 0",Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-049,P1,DOCKER_RUNTIME,ADM/BZA npm clean verify,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,npm ci·OpenAPI·generate·lint·typecheck·unit·build,두 Frontend success,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-050,P1,DOCKER_RUNTIME,3DB Lifecycle,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Fresh install/upgrade/rollback/reapply/backup,Vendor 3개 개별 Evidence,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-051,P1,DOCKER_RUNTIME,Kafka·Redis Runtime,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Publish/consume/cache/failover,실제 Broker/Redis 결과,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-052,P1,DOCKER_RUNTIME,Toxiproxy 장애 검증,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,DB/Kafka/Network Timeout/Loss,상태·복구·Evidence,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-053,P1,DOCKER_RUNTIME,OpenTelemetry 관측,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Trace·Metric·Log correlation,동일 transaction/operation ID,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-054,P1,DOCKER_RUNTIME,Playwright 3 Browser,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Chromium/Firefox/WebKit actual backend,핵심 EDU·ADM/BZA 흐름,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-055,P1,DOCKER_RUNTIME,Multi-instance Fault,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Process kill/response loss/takeover/rebalance,Unknown result/recovery,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-056,P1,DOCKER_RUNTIME,Trivy·ORT·SBOM,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,Vulnerability/secret/license/artifact,정책 위반 분리,Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-057,P1,DOCKER_RUNTIME,Service 종료·Volume 보존,Runtime/QA,미구현,미검증,현재 latest exact-SHA Runtime Evidence 없음,"사용 Container stop, Volume 유지","Running 0 또는 명시, data 유지",Docker environment execution,4-6,Environment manifest + cleanup gate
QA37-REQ-058,P1,DELIVERY,Requirement별 Evidence,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,Bulk-ID Evidence 금지,Result별 command/env/exit/artifact,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
QA37-REQ-059,P1,DELIVERY,개발·검증 상태 분리,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,development_status/verification_status 별도,상태 혼합 0,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
QA37-REQ-060,P1,DELIVERY,Root Overlay ZIP,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,Root-relative 단일 ZIP,Manifest/hash/path escape 0,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
QA37-REQ-061,P1,DELIVERY,Delete Manifest,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,명시 Allowlist만 사용,광범위 삭제 0,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
QA37-REQ-062,P1,DELIVERY,작업 후 독립 리뷰,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,개발 보고 재승인 금지,P0/미검증/신규 결함 기록,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
QA37-REQ-063,P1,DELIVERY,Codex 검수 패키지,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,반복 탐색 최소화,Review index/manifest/status/evidence/issues,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
QA37-REQ-064,P1,DELIVERY,사용자 Push 후 Codex,Delivery/QA,미구현,미검증,QA37 신규 산출물 필요,Final exact SHA 독립 검수,Push 전 Codex 0,Manifest/hash/review inspection,7,Package manifest and exact-SHA gate
