requirement_id,layer,section,owner,minimum_product_goal,priority,development_status,verification_status,current_rationale,source_mapping_status,consumer_mapping_status,runtime_evidence_status,acceptance_policy
CPF-ROUTING,CANONICAL_162,Architecture/Core,cpf-core,Service/Instance/Zone/Version/Weight/Maintenance Routing과 Failover,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-HEALTH,CANONICAL_162,Architecture/Core,cpf-core,Liveness·Readiness·Startup·Dependency·Business Readiness와 Build/Schema Identity,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-HEADER,CANONICAL_162,Architecture/Core,cpf-core,표준·확장 Header의 신뢰경계·생성·전파·Masking·크기·호환성,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-CONTEXT,CANONICAL_162,Architecture/Core,cpf-core,Transaction·Trace·Segment·Principal·Deadline·Attempt Context 전파,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-TXID,CANONICAL_162,Architecture/Core,cpf-core,34자리 Transaction ID 단일 정본과 Online/Async/Batch/File/ADM 연결,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-ROLE,CANONICAL_162,Architecture/Core,cpf-core,Transaction Role·Direction·Source/Target 관계의 Log/Audit 일관성,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-ERROR,CANONICAL_162,Architecture/Core,cpf-core,표준 오류·Protocol Mapping·Retryability·Unknown Result·Operator Guidance,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-VALID,CANONICAL_162,Architecture/Core,cpf-core,입출력·설정·Header·File·Message·SQL Parameter 검증과 상한,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-IDEMP,CANONICAL_162,Architecture/Core,cpf-core,Canonical Request Hash·Scope·TTL·Replay·Conflict·Race Idempotency Ledger,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-STATE,CANONICAL_162,Architecture/Core,cpf-core,장기 거래 상태전이·Optimistic Lock·Terminal State·Reconciliation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-LOCK,CANONICAL_162,Architecture/Core,cpf-core,Optimistic/Distributed Lock·Lease·Fencing·Epoch·Takeover·Stale Writer 차단,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-RESILIENCE,CANONICAL_162,Architecture/Core,cpf-core,Timeout·Retry·Circuit Breaker·Bulkhead·Rate/Backpressure·Storm 방지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-DEADLINE,CANONICAL_162,Architecture/Core,cpf-core,전체 Deadline Budget의 하위 호출·DB·Broker·File·Process 배분,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-SCHED,CANONICAL_162,Architecture/Core,cpf-core,기술 Scheduler Trigger·Claim·Misfire·Calendar·Pause/Resume 계약,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-OPSDB,CANONICAL_162,Architecture/Core,cpf-core,운영 DB Topology·Ownership·장애 정책·Backpressure·Recovery·Readiness,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-LOGDB,CANONICAL_162,Architecture/Core,cpf-core,DB Log Schema·Index·Retention·Masking·비동기 적재·ADM Projection,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-FILELOG,CANONICAL_162,Architecture/Core,cpf-core,환경·Domain·Instance·Transaction·Execution 구조화 File Log,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-LOGFAIL,CANONICAL_162,Architecture/Core,cpf-core,Log 저장 실패 격리·Spool·재전송·중복 제거·유실 탐지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-TRACE,CANONICAL_162,Architecture/Core,cpf-core,Transaction ID와 Trace/Span/Segment/Attempt 연결·Sampling·Cardinality,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CPF-MASK,CANONICAL_162,Architecture/Core,cpf-core,PII/Secret/Credential 분류·Context Masking·Raw 승인·Evidence/Download 통제,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-FIXED,CANONICAL_162,Architecture/Core,cpf-core,고정길이 전문 Layout·Encoding·Byte Length·Parser/Writer·Version·Streaming,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-FILE,CANONICAL_162,Architecture/Core,cpf-core,Path Alias·Bounded Streaming·Checksum·Atomic Publish·Traversal 방지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CORE-MESSAGE,CANONICAL_162,Architecture/Core,cpf-core,Versioned Broker Envelope·Correlation·Idempotency·Schema·TTL·Size 제한,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CMN-EXTENSION,CANONICAL_162,Common/Data,cpf-common,Core SPI 위 고객 Header·User Context·Validation·Error·Masking·Audit 확장,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CMN-SAMPLE-DB,CANONICAL_162,Common/Data,cpf-common,단일 Golden Sample Table의 CRUD/Search/Paging/Validation/Lock/Transaction 3DB,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CMN-CODE,CANONICAL_162,Common/Data,cpf-common,공통 Code Group/Item/Version/유효기간/Cache/Invalidation/Admin,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CMN-MSG,CANONICAL_162,Common/Data,cpf-common,다국어·업무·오류 Message Code/Locale/Parameter/Fallback/Cache/Version,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CMN-CALENDAR,CANONICAL_162,Common/Data,cpf-common,영업일·휴일·기관 Calendar·기준일·Override·Batch/업무 공통 소비,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CMN-TEMPLATE,CANONICAL_162,Common/Data,cpf-common,알림·문서 Template Version·Variable Schema·Escaping·Preview·Approval,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-OWNERSHIP,CANONICAL_162,Common/Data,cpf-tools/db + owner,모든 DB Artifact의 단일 Owner·Consumer와 타 Owner 직접 갱신 금지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-INSTALL,CANONICAL_162,Common/Data,cpf-tools/db + owner,3 Vendor Schema/User/권한/Table/Index/Constraint/Seed/Verify/Smoke,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-MIGRATION,CANONICAL_162,Common/Data,cpf-tools/db + owner,불변 Migration·Expand/Migrate/Contract·Checksum·Drift·Restart·Parity,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-ROLLBACK,CANONICAL_162,Common/Data,cpf-tools/db + owner,Rollback/Forward Recovery·Backup Checkpoint·승인·부분 실패 복구,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-BACKUP,CANONICAL_162,Common/Data,cpf-tools/db + owner,Backup 암호화·Retention·Restore 검증·PITR·DR 연계,P0,재확인 필요,미검증,정본 요구는 존재하나 latest Source의 실제 구현·Consumer 범위를 충분히 확인하지 못함,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-MULTI-VENDOR,CANONICAL_162,Common/Data,cpf-tools/db + owner,MariaDB·PostgreSQL·Oracle Type/Index/FK/Paging/Lock/Error 동등성,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-SQL,CANONICAL_162,Common/Data,cpf-tools/db + owner,Query ID·Owner·Parameter/Result·Sort/Filter Allowlist·Vendor SQL,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-PERF,CANONICAL_162,Common/Data,cpf-tools/db + owner,Index/Plan/Statistics/Partition/Slow Query/Capacity/Purge Regression,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DB-MULTI,CANONICAL_162,Common/Data,cpf-tools/db + owner,Multi Datasource·Replica·Read/Write Routing·Lag·Failover·Isolation,P0,재확인 필요,미검증,정본 요구는 존재하나 latest Source의 실제 구현·Consumer 범위를 충분히 확인하지 못함,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DATA-LINEAGE,CANONICAL_162,Common/Data,data owners,Input→Process→Store→External Lineage·Quality·Reconciliation·Audit,P0,재확인 필요,미검증,정본 요구는 존재하나 latest Source의 실제 구현·Consumer 범위를 충분히 확인하지 못함,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DATA-RETENTION,CANONICAL_162,Common/Data,data owners,Retention·Purge·Archive·Legal Hold·개인정보 삭제·Backup 예외,P0,재확인 필요,미검증,정본 요구는 존재하나 latest Source의 실제 구현·Consumer 범위를 충분히 확인하지 못함,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
GWY-ENTRY,CANONICAL_162,Gateway/External/Event,cpf-gateway,TLS·Listener·Protocol·Client Identity·Request Limit·Maintenance·Plane 분리,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
GWY-ROUTING,CANONICAL_162,Gateway/External/Event,cpf-gateway,SCG Route Snapshot·Registry·Rewrite·Load Balance·Version/Zone/Weight·Atomic Refresh,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
GWY-TRUST,CANONICAL_162,Gateway/External/Event,cpf-gateway,Trusted Proxy·Header Allowlist/Overwrite·Forwarded Chain·Principal·SSRF Allowlist,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
GWY-RESILIENCE,CANONICAL_162,Gateway/External/Event,cpf-gateway,단계별 Timeout/Retry/Failover/CB·Streaming·Disconnect·Unknown Ledger,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
API-LIMIT,CANONICAL_162,Gateway/External/Event,cpf-gateway/cpf-core,Client/Channel/API/Tenant Rate/Quota/Burst·Distributed Counter·429,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-INST,CANONICAL_162,Gateway/External/Event,generated/customer adapter,기관별 Adapter의 Generated/Customer Owner와 중앙 고정 External Module 금지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-REST,CANONICAL_162,Gateway/External/Event,generated/customer adapter,외부 REST Auth·Timeout·Retry·Idempotency·Schema·Mapping·Audit·Mock,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-FIXED,CANONICAL_162,Gateway/External/Event,generated/customer adapter,기관 고정길이 Layout/Mapping/Endpoint의 CORE-FIXED 기반 Adapter,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-SEC,CANONICAL_162,Gateway/External/Event,generated/customer adapter,mTLS/OAuth/API Key/Cert/Secret Rotation·Endpoint Allowlist·Non-repudiation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-FILE,CANONICAL_162,Gateway/External/Event,generated/customer adapter,SFTP·Filename·Ack/Nack·Checksum·Claim·Transfer·Reconciliation·Retention,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-UNKNOWN,CANONICAL_162,Gateway/External/Event,generated/customer adapter,전송 전/후·응답 유실·상대 처리 불명 분류와 Blind Retry 금지,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EXS-RECON,CANONICAL_162,Gateway/External/Event,generated/customer adapter,상대 조회·Callback·File Ack·수동 확인·Compensation·SLA·UI,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EVENT-CORE,CANONICAL_162,Gateway/External/Event,cpf-core + event owner,Kafka Primary Topic·Envelope·Key/Partition/Order·Producer/Consumer Contract,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EVENT-OUTBOX,CANONICAL_162,Gateway/External/Event,event owner,업무 Transaction과 Publish Outbox·Claim·Stable ID·Retry·Ordering·Cleanup,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EVENT-BROKER,CANONICAL_162,Gateway/External/Event,event owner,Kafka ACK/Transaction/Consumer Group/Rebalance/Backpressure/Security/Correlation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
EVENT-DLQ,CANONICAL_162,Gateway/External/Event,event owner,Retry Topic·DLT·Poison Isolation·Replay Approval·Masking·Idempotent Reprocess,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAGA-CORE,CANONICAL_162,Gateway/External/Event,workflow owner,장기 흐름 Step/State/Version/Timeout/Idempotency/Correlation·Durable Orchestration,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAGA-COMP,CANONICAL_162,Gateway/External/Event,workflow owner,Compensation Eligibility·Reverse Order·Idempotency·Partial/Unknown 분리,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAGA-MANUAL,CANONICAL_162,Gateway/External/Event,workflow owner,자동 복구 불가 Saga의 승인된 확정·보상·재실행·Audit,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-CORE,CANONICAL_162,Batch/Center-Cut,cpf-batch,Spring Batch 단일 Primary Job/Step/Repository/ExecutionContext/Restart,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-JOB,CANONICAL_162,Batch/Center-Cut,cpf-batch,Immutable Definition/Plan Hash·Job Identity·Parameter·Start/Stop/Restart/Recover,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-ITEM,CANONICAL_162,Batch/Center-Cut,cpf-batch,Reader/Processor/Writer·Chunk/Skip/Retry/Checkpoint·Partition·Memory Bound,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-EXECUTOR,CANONICAL_162,Batch/Center-Cut,cpf-batch,Java/Shell/File/Service/Message Executor의 Timeout·Resource·Security,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-AGENT,CANONICAL_162,Batch/Center-Cut,cpf-batch,Agent Pool·Capability·Zone·Lease·Heartbeat·Drain·Takeover·Artifact/Process,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-CALL-SYNC,CANONICAL_162,Batch/Center-Cut,cpf-batch,Batch/Worker 업무 동기 호출 Local/Remote·Header·Deadline·Idempotency·Unknown,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
