record_key,record_type,record_id,development_status,verification_status,owner_module,source_paths,test_paths,evidence_path,related_defects,notes
REQUIREMENT:QA33-REQ-013,REQUIREMENT,QA33-REQ-013,완료,미검증,cpf-admin,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-013,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-014,REQUIREMENT,QA33-REQ-014,완료,미검증,cpf-biz-admin,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-014,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-015,REQUIREMENT,QA33-REQ-015,완료,미검증,cpf-gateway,settings.gradle;build.gradle;cpf-tools/build/platform-bom/build.gradle;cpf-tools/build/gradle-plugin/build.gradle,cpf-tools/build/gradle-plugin/src/test/java/com/cpf/gradle/CpfPlatformConventionPluginTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-015,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-016,REQUIREMENT,QA33-REQ-016,완료,미검증,repository-wide,build.gradle;cpf-core/build.gradle;cpf-common/build.gradle,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-016,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-017,REQUIREMENT,QA33-REQ-017,부분 구현,미검증,cpf-admin,cpf-admin/frontend/package.json;cpf-admin/frontend/package-lock.json;cpf-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/prepare-cpf-qa33-frontend.ps1,cpf-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-017,"Exact lock candidate 792 packages, dependency-range failures 0, npm strict-peer resolution reached registry access. clean npm ci blocked by approved registry ENOTCACHED; verification remains 미검증."
REQUIREMENT:QA33-REQ-018,REQUIREMENT,QA33-REQ-018,부분 구현,미검증,cpf-biz-admin,cpf-biz-admin/frontend/package.json;cpf-biz-admin/frontend/package-lock.json;cpf-biz-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/prepare-cpf-qa33-frontend.ps1,cpf-biz-admin/frontend/scripts/verify-lockfile.mjs;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-018,"Exact lock candidate 792 packages, dependency-range failures 0, npm strict-peer resolution reached registry access. clean npm ci blocked by approved registry ENOTCACHED; verification remains 미검증."
REQUIREMENT:QA33-REQ-019,REQUIREMENT,QA33-REQ-019,완료,미검증,**,build.gradle;cpf-tools/scripts/verify-cpf-qa33-repository-closure.py;cpf-tools/scripts/verify-cpf-qa33-runtime.ps1,cpf-tools/scripts/verify-cpf-qa33-repository-closure.py;cpf-tools/scripts/verify-cpf-qa33-runtime.ps1,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-019,"REQUIREMENT: Source, fail-closed gate, negative self-test/runtime runner implementation complete. Exact-SHA Java25/DB/Kafka/Browser/SBOM runtime verification remains unverified."
REQUIREMENT:QA33-REQ-020,REQUIREMENT,QA33-REQ-020,완료,미검증,cpf-core,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-020,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-021,REQUIREMENT,QA33-REQ-021,완료,미검증,cpf-core,cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-starters/messaging-kafka/src/main/java/com/cpf/starter/kafka/KafkaCpfBrokerBridgeAdapter.java,cpf-starters/messaging-kafka/src/test/java/com/cpf/starter/kafka/KafkaCpfBrokerClientTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-021,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-022,REQUIREMENT,QA33-REQ-022,완료,미검증,cpf-common,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-022,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-023,REQUIREMENT,QA33-REQ-023,완료,미검증,cpf-core,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-023,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-024,REQUIREMENT,QA33-REQ-024,완료,미검증,cpf-starters,cpf-core/build.gradle;cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerBridgeAdapter.java;cpf-common/build.gradle;cpf-starters/cache/build.gradle;cpf-starters/messaging-kafka/build.gradle,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-024,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-025,REQUIREMENT,QA33-REQ-025,완료,미검증,cpf-admin,cpf-admin/frontend/src/features/core/methods.ts;cpf-tools/scripts/verify-cpf-qa33-source-integrity.py,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-025,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-026,REQUIREMENT,QA33-REQ-026,완료,미검증,cpf-admin,cpf-admin/frontend/orval.config.ts;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-admin/frontend/scripts/generate-checked-client.mjs;cpf-admin/frontend/scripts/write-generated-marker.mjs;cpf-admin/frontend/scripts/verify-generated-client.mjs;cpf-admin/frontend/src/generated/cpf-api.ts;cpf-admin/frontend/src/generated/source-sha.json;cpf-admin/frontend/src/features/core/methods.ts;cpf-admin/frontend/src/stores/admConsoleStore.ts;cpf-tools/scripts/prepare-cpf-qa33-frontend.ps1;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-admin/frontend/scripts/verify-generated-client.mjs;cpf-admin/frontend/src/stores/admFeatureActionRegistry.test.ts;cpf-admin/frontend/src/stores/admFeatureStores.test.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-026,"ADM OpenAPI snapshot, source-SHA marker, generated auth client and actual ADM consumers are wired. Exact npm/Orval regeneration and browser runtime remain unverified."
REQUIREMENT:QA33-REQ-027,REQUIREMENT,QA33-REQ-027,완료,미검증,cpf-biz-admin,cpf-biz-admin/frontend/orval.config.ts;cpf-biz-admin/frontend/openapi/cpf-openapi.json;cpf-biz-admin/frontend/scripts/generate-checked-client.mjs;cpf-biz-admin/frontend/scripts/write-generated-marker.mjs;cpf-biz-admin/frontend/scripts/verify-generated-client.mjs;cpf-biz-admin/frontend/src/generated/cpf-api.ts;cpf-biz-admin/frontend/src/generated/source-sha.json;cpf-biz-admin/frontend/src/features/auth/session.ts;cpf-tools/scripts/prepare-cpf-qa33-frontend.ps1;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-biz-admin/frontend/scripts/verify-generated-client.mjs;cpf-biz-admin/frontend/src/app/router.contract.test.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-027,"BZA OpenAPI snapshot, source-SHA marker, generated auth client and actual BZA consumers are wired. Exact npm/Orval regeneration and browser runtime remain unverified."
REQUIREMENT:QA33-REQ-028,REQUIREMENT,QA33-REQ-028,완료,미검증,cpf-admin,cpf-admin/frontend/src/features/core/methods.ts;cpf-admin/frontend/src/shared/cpfApi.ts;cpf-admin/frontend/src/shared/orval-mutator.ts,cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-028,REQUIREMENT: Approved mutator/required-optional initialization source and fail-closed frontend closure gate implemented. Clean npm ci and browser exact-SHA verification remain unverified.
REQUIREMENT:QA33-REQ-029,REQUIREMENT,QA33-REQ-029,완료,미검증,cpf-biz-admin,cpf-biz-admin/frontend/src/features/auth/session.ts;cpf-biz-admin/frontend/src/shared/orval-mutator.ts,cpf-biz-admin/frontend/src/features/auth/session.test.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-029,REQUIREMENT: Approved mutator/required-optional initialization source and fail-closed frontend closure gate implemented. Clean npm ci and browser exact-SHA verification remain unverified.
REQUIREMENT:QA33-REQ-030,REQUIREMENT,QA33-REQ-030,완료,미검증,cpf-admin,cpf-admin/frontend/src/stores/admConsoleStore.ts;cpf-admin/frontend/src/stores/admSessionStore.ts;cpf-admin/frontend/src/stores/admInitializationStore.ts;cpf-admin/frontend/src/features/core/methods.ts,cpf-admin/frontend/src/stores/admFeatureStores.test.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-030,"Pinia Session·Initialization Store 분리, 실제 Consumer 위임, Negative Store Test와 Frontend Closure Gate 반영 완료. exact-SHA Browser Runtime 검증은 미검증."
REQUIREMENT:QA33-REQ-031,REQUIREMENT,QA33-REQ-031,완료,미검증,cpf-admin,cpf-admin/frontend/src/features/core/methods.ts;cpf-admin/frontend/src/state/createAdmState.ts,cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-031,REQUIREMENT: Approved mutator/required-optional initialization source and fail-closed frontend closure gate implemented. Clean npm ci and browser exact-SHA verification remain unverified.
REQUIREMENT:QA33-REQ-032,REQUIREMENT,QA33-REQ-032,완료,미검증,cpf-admin,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-032,"REQUIREMENT: Route quality, responsive, keyboard, error and permission E2E source/gate implemented. Three-browser exact-SHA execution remains unverified."
REQUIREMENT:QA33-REQ-033,REQUIREMENT,QA33-REQ-033,완료,미검증,cpf-admin,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-admin/frontend/e2e/route-quality.spec.ts;cpf-biz-admin/frontend/e2e/route-quality.spec.ts;cpf-tools/scripts/verify-cpf-qa33-frontend-closure.py,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-033,"REQUIREMENT: Route quality, responsive, keyboard, error and permission E2E source/gate implemented. Three-browser exact-SHA execution remains unverified."
REQUIREMENT:QA33-REQ-034,REQUIREMENT,QA33-REQ-034,완료,미검증,repository-wide,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffCredentialResponseAdvice.java;cpf-starters/security/src/main/java/com/cpf/starter/security/JdbcCpfBffCredentialVault.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffCredentialResponseAdviceTest.java;cpf-starters/security/src/test/java/com/cpf/starter/security/CpfCredentialCipherTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-034,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-035,REQUIREMENT,QA33-REQ-035,완료,미검증,repository-wide,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffCredentialResponseAdvice.java;cpf-starters/security/src/main/java/com/cpf/starter/security/JdbcCpfBffCredentialVault.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffCredentialResponseAdviceTest.java;cpf-starters/security/src/test/java/com/cpf/starter/security/CpfCredentialCipherTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-035,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-036,REQUIREMENT,QA33-REQ-036,완료,미검증,repository-wide,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffConcurrentSessionController.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffConcurrentSessionControllerTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-036,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-037,REQUIREMENT,QA33-REQ-037,완료,미검증,repository-wide,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfTrustedOriginFilter.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfTrustedOriginFilterTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-037,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-038,REQUIREMENT,QA33-REQ-038,완료,미검증,repository-wide,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfTrustedOriginFilter.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfTrustedOriginFilterTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-038,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-039,REQUIREMENT,QA33-REQ-039,완료,미검증,ADM,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffSessionBridgeFilter.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffSessionBridgeFilterTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-039,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-040,REQUIREMENT,QA33-REQ-040,완료,미검증,ADM,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffConcurrentSessionController.java;cpf-starters/security/src/main/java/com/cpf/starter/security/CpfBffLogoutFilter.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfBffLogoutFilterTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-040,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-041,REQUIREMENT,QA33-REQ-041,완료,미검증,repository-wide,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfSessionReadinessVerifier.java,cpf-starters/security/src/test/java/com/cpf/starter/security/CpfSessionReadinessVerifierTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-041,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-042,REQUIREMENT,QA33-REQ-042,완료,미검증,ADM,cpf-starters/security/src/main/java/com/cpf/starter/security/CpfServerSessionSecurityAutoConfiguration.java,,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-042,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
REQUIREMENT:QA33-REQ-043,REQUIREMENT,QA33-REQ-043,완료,미검증,repository-wide,cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchCanonicalDigest.java;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcBatchExecutionControlPlaneAdapter.java;cpf-tools/db/vendor/postgresql/migration/flyway/batDB/V89__batch_execution_idempotency_lifecycle.sql,cpf-batch/contract/src/test/java/com/cpf/batch/api/BatchCanonicalDigestTest.java,cpf-docs/evidence/current/qa33-development/CPF_20260731_QA33_FINAL_SOURCE_VALIDATION.sanitized.json,QA33-DF-043,Source/Negative 정적 검수 완료. Java25·DB·Kafka·Browser·Agent 실제 Runtime exact-SHA 검증 전에는 전체 완료 금지.
