requirement_id,catalog_group,owner_scope,development_status,development_basis,static_gate,verification_class,verification_status,verification_owner,completion_note
CPF-ROUTING,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-HEALTH,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-HEADER,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-CONTEXT,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-TXID,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-ROLE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-ERROR,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-VALID,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-IDEMP,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-STATE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-LOCK,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-RESILIENCE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-DEADLINE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-SCHED,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-OPSDB,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-LOGDB,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-FILELOG,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-LOGFAIL,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-TRACE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CPF-MASK,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-FIXED,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-FILE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CORE-MESSAGE,Architecture/Core,cpf-core; cpf-tools/scripts/check-architecture-ownership.ps1; cpf-tools/verification/20260729_04/check_final_source_closure.py,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CMN-EXTENSION,Common/Data,cpf-common; cpf-admin; cpf-core/src/main/java/com/cpf/core/api,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CMN-SAMPLE-DB,Common/Data,cpf-common; cpf-admin; cpf-core/src/main/java/com/cpf/core/api,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CMN-CODE,Common/Data,cpf-common; cpf-admin; cpf-core/src/main/java/com/cpf/core/api,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CMN-MSG,Common/Data,cpf-common; cpf-admin; cpf-core/src/main/java/com/cpf/core/api,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CMN-CALENDAR,Common/Data,cpf-common; cpf-admin; cpf-core/src/main/java/com/cpf/core/api,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CMN-TEMPLATE,Common/Data,cpf-common; cpf-admin; cpf-core/src/main/java/com/cpf/core/api,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-OWNERSHIP,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-INSTALL,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-MIGRATION,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-ROLLBACK,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-BACKUP,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-MULTI-VENDOR,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,STATIC_AND_EXACT_SHA_REVIEW,정적 검증 완료,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-SQL,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-PERF,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DB-MULTI,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DATA-LINEAGE,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
DATA-RETENTION,Common/Data,cpf-tools/db; cpf-tools/scripts/sync-database-artifacts.ps1; cpf-tools/db/metadata,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,THREE_DB_LIFECYCLE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
GWY-ENTRY,Gateway/External/Event,cpf-gateway; cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-core/src/main/java/com/cpf/core/api/servicecall,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
GWY-ROUTING,Gateway/External/Event,cpf-gateway; cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-core/src/main/java/com/cpf/core/api/servicecall,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
GWY-TRUST,Gateway/External/Event,cpf-gateway; cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-core/src/main/java/com/cpf/core/api/servicecall,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
GWY-RESILIENCE,Gateway/External/Event,cpf-gateway; cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-core/src/main/java/com/cpf/core/api/servicecall,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
API-LIMIT,Gateway/External/Event,cpf-gateway; cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-core/src/main/java/com/cpf/core/api/servicecall,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EXS-INST,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
