scenario_id,work_package,priority,title,precondition,execution_steps,expected_result,required_evidence,automation_level,requested_status
QA31-S035,WP07,P1,EDU Timeout Budget,cpf-reference EDU profile와 해당 Sample Fixture,Timeout Budget Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,호출 계층 예산 감소와 만료; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S036,WP07,P1,EDU Retry/Circuit/Bulkhead,cpf-reference EDU profile와 해당 Sample Fixture,Retry/Circuit/Bulkhead Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,안전 재시도·회로·격리 예제; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S037,WP07,P1,EDU Idempotency,cpf-reference EDU profile와 해당 Sample Fixture,Idempotency Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,동일 키 중복 생성 방지; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S038,WP07,P1,EDU Optimistic Lock,cpf-reference EDU profile와 해당 Sample Fixture,Optimistic Lock Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,버전 충돌과 UI 재조회; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S039,WP07,P1,EDU Unknown/Reconciliation,cpf-reference EDU profile와 해당 Sample Fixture,Unknown/Reconciliation Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,Timeout 결과불명·조회·수동 확정; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S040,WP07,P1,EDU Compensation Hook,cpf-reference EDU profile와 해당 Sample Fixture,Compensation Hook Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,부분 성공 후 보상; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S041,WP07,P1,EDU CRUD/Search/Paging,cpf-reference EDU profile와 해당 Sample Fixture,CRUD/Search/Paging Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,Allowlist·Page/Slice/Cursor; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S042,WP07,P1,EDU Transaction Commit/Rollback,cpf-reference EDU profile와 해당 Sample Fixture,Transaction Commit/Rollback Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,다중 Row 원자성; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S043,WP07,P1,EDU File/Attachment,cpf-reference EDU profile와 해당 Sample Fixture,File/Attachment Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,upload/range/chunk/checksum/path alias; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S044,WP07,P1,EDU Compression,cpf-reference EDU profile와 해당 Sample Fixture,Compression Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,ZIP 안전 압축·해제·상한; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S045,WP07,P1,EDU Messaging Outbox/Inbox,cpf-reference EDU profile와 해당 Sample Fixture,Messaging Outbox/Inbox Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,publish·consume·idempotency; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S046,WP07,P1,EDU DLQ/Replay,cpf-reference EDU profile와 해당 Sample Fixture,DLQ/Replay Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,Poison 격리와 승인 Replay; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S047,WP07,P1,EDU Fixed-length Message,cpf-reference EDU profile와 해당 Sample Fixture,Fixed-length Message Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,layout parse/write/error offset/masking; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S048,WP07,P1,EDU Async 202/Polling/SSE,cpf-reference EDU profile와 해당 Sample Fixture,Async 202/Polling/SSE Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,비동기 작업·진행·완료; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S049,WP07,P1,EDU Security/RBAC/ABAC,cpf-reference EDU profile와 해당 Sample Fixture,Security/RBAC/ABAC Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,권한 성공·실패·직접 URL; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S050,WP07,P1,EDU Masking/Audit,cpf-reference EDU profile와 해당 Sample Fixture,Masking/Audit Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,PII mask·raw reason·immutable audit; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S051,WP07,P1,EDU Dynamic Config,cpf-reference EDU profile와 해당 Sample Fixture,Dynamic Config Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,default→property→profile→override→call; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S052,WP07,P1,EDU Log/Metrics/Trace,cpf-reference EDU profile와 해당 Sample Fixture,Log/Metrics/Trace Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,transaction timeline·SLI·trace boost; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S053,WP07,P1,EDU Gateway Sample,cpf-reference EDU profile와 해당 Sample Fixture,Gateway Sample Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,route·health·failover·rate limit; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S054,WP07,P1,EDU Batch Definition Sample,cpf-reference EDU profile와 해당 Sample Fixture,Batch Definition Sample Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,publish→schedule→worker 고정 버전; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S055,WP07,P1,EDU Batch Executor Samples,cpf-reference EDU profile와 해당 Sample Fixture,Batch Executor Samples Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,Spring/Shell/File/Service/Message/Protocol; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S056,WP07,P1,EDU Lease/Fencing,cpf-reference EDU profile와 해당 Sample Fixture,Lease/Fencing Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,다중 인스턴스 중복 방지; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S057,WP07,P1,EDU Generator Golden Sample,cpf-reference EDU profile와 해당 Sample Fixture,Generator Golden Sample Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,생성 Domain과 MBR parity; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S058,WP07,P1,EDU OpenAPI/JavaDoc/TestKit,cpf-reference EDU profile와 해당 Sample Fixture,OpenAPI/JavaDoc/TestKit Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,개발자가 계약과 예제를 IDE/Test에서 발견; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S059,WP07,P1,EDU 3DB Lifecycle Sample,cpf-reference EDU profile와 해당 Sample Fixture,3DB Lifecycle Sample Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,refDB install/seed/upgrade/rollback; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S060,WP07,P1,EDU Failure Lab,cpf-reference EDU profile와 해당 Sample Fixture,Failure Lab Sample API/Consumer 실행 후 정상·오류·복구 Case 수행,DB/Broker/Target/Worker 장애 주입; 운영 Profile 비활성; Stub이 아닌 실제 Public API Consumer 확인,JUnit/Contract/Runtime/API/DB evidence,Automated,OPEN
QA31-S061,WP08,P0,Java25 Full Gate,공식 JDK25 환경,clean test assemble qualityGate,Exit 0,build logs/JUnit,Automated,OPEN
QA31-S062,WP08,P0,3DB Lifecycle,세 Vendor clean DB,install→seed→upgrade→verify→rollback→reinstall,모든 단계 PASS,DB logs,Automated,OPEN
QA31-S063,WP08,P0,Redis Multi-instance,Redis+2 Gateway+2 Worker,Replay/Lease/Event/Failover,중복 0·복구,runtime logs,Automated,OPEN
QA31-S064,WP08,P0,Browser Full Flow,ADM/BZA/EDU 실행,핵심 메뉴·권한·승인·복구,Browser PASS,video/screenshots,Automated,OPEN
QA31-S065,WP08,P0,Failure Injection,DB/Redis/Target/Process 장애,각 장애 주입,False Success 0·복구 상태,chaos report,Automated,OPEN
QA31-S066,WP08,P0,Root-relative ZIP,개발 결과 존재,패키징 Script 실행·새 Directory에 해제,경로·Hash·Secret Scan PASS,manifest,Automated,OPEN
