id,kind,wp,title,priority,owner,request,development_status,verification_status,source_evidence
WP01-R006,Requirement,WP01,전체 Test,P0,각 Owner Module,모든 subproject test를 수행하고 동일 Root Cause를 전수 수정한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R007,Requirement,WP01,전체 Assemble,P0,각 Owner Module,"Boot JAR, WAR, Library JAR, Batch Artifact와 Runtime Classpath를 검증한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R008,Requirement,WP01,ADM Frontend,P0,각 Owner Module,"Typecheck, Unit, Lint, Production Build를 실행한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R009,Requirement,WP01,BZA Frontend,P0,각 Owner Module,"Typecheck, Unit, Lint, Production Build를 실행한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R010,Requirement,WP01,Final Gate,P0,각 Owner Module,qualityGate와 최종 Script를 검토 후 실행하고 False Green/Negative를 수정한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R011,Requirement,WP01,기존 MariaDB,P0,각 Owner Module,"기존 DB 보존 상태로 Seed Cleanup, Drift, Upgrade, Rollback, Reapply를 검증한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R012,Requirement,WP01,분리 Clean Install,P0,각 Owner Module,"새 Database/Schema에서 Provision, Install, Seed, Verify를 수행한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R013,Requirement,WP01,Runtime Query,P0,각 Owner Module,MariaDB에서 CPF/BZA/BAT/Generated Domain Runtime Query를 실제 실행한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R014,Requirement,WP01,PG/Oracle 상태,P0,각 Owner Module,Source/Static 완료와 실제 Runtime 미검증을 분리한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R015,Requirement,WP01,Repository Cleanup,P0,각 Owner Module,"build, dist, node_modules, tmp, log, dump, 빈 폴더, stale 산출물을 제거한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R016,Requirement,WP01,문서 SHA 동기화,P0,각 Owner Module,"Current, Continuity, Handover, Report, Review, Evidence를 최신 SHA로 갱신한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R017,Requirement,WP01,Evidence 유효성,P0,각 Owner Module,"PASS마다 명령, 종료코드, 환경, 시간, SHA를 기록한다.",완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R018,Requirement,WP01,Working Tree,P0,각 Owner Module,git diff --check와 git status를 확인하고 잔여 WIP를 명확히 기록한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R019,Requirement,WP01,CI 대체 근거,P0,각 Owner Module,CI가 없으면 exact-SHA 로컬 통합 로그를 공식 Evidence로 보존한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R020,Requirement,WP01,Commit 이력 설명,P0,각 Owner Module,날짜형 Commit을 Handover에서 실제 변경 범위와 연결한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R021,Requirement,WP01,문서 충돌 제거,P0,각 Owner Module,과거 검수 전용 지시와 현재 개발 지시가 동시에 Active로 남지 않게 한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP01-R022,Requirement,WP01,완료 수치,P0,각 Owner Module,구현 가능한 미구현·부분 구현 수 0을 Matrix와 Source로 양방향 검증한다.,완료,미검증,cpf-tools/scripts/check-platform-runtime-query-packs.ps1; cpf-tools/scripts/verify-cpf-20260730-full-implementation.ps1; exact-SHA 실행 Evidence 필요
WP02-R001,Requirement,WP02,Platform Module,P0,cpf-core/cpf-tools/각 Module,CPF/CMN/ADM/BZA/BAT/GWY/REF를 유지하고 고객 Domain 고정 목록을 만들지 않는다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R002,Requirement,WP02,Generated Domain 발견,P0,cpf-core/cpf-tools/각 Module,유효 domain-manifest.json을 가진 Domain만 Metadata로 발견한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R003,Requirement,WP02,Golden parity,P0,cpf-core/cpf-tools/각 Module,cpf-member는 Generator-owned 파일 단위 parity를 유지한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R004,Requirement,WP02,고정 switch 금지,P0,cpf-core/cpf-tools/각 Module,"ACC/MBR/EXS를 Tool, Build, Deploy, Gate의 조건 목록에 추가하지 않는다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R005,Requirement,WP02,Gateway Ownership,P0,cpf-core/cpf-tools/각 Module,Gateway Snapshot/Runtime 구현은 cpf-gateway가 소유하고 Core는 Contract/SPI만 둔다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R006,Requirement,WP02,Batch Ownership,P0,cpf-core/cpf-tools/각 Module,Batch Runtime 구현은 cpf-batch가 소유한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R007,Requirement,WP02,ADM 경계,P0,cpf-core/cpf-tools/각 Module,ADM은 타 Owner DB를 직접 수정하지 않고 Command/Query Port를 호출한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R008,Requirement,WP02,내부 호출 우회 금지,P0,cpf-core/cpf-tools/각 Module,ACC→MBR 내부 호출을 Gateway Mandatory Hop으로 만들지 않는다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R009,Requirement,WP02,Local/Remote 동일 계약,P0,cpf-core/cpf-tools/각 Module,Local Provider와 Remote Provider는 동일 Typed Port를 구현한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R010,Requirement,WP02,Public API 안정성,P0,cpf-core/cpf-tools/각 Module,"Public API/SPI는 JavaDoc, Version, Compatibility Test를 갖는다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R011,Requirement,WP02,Internal 차단,P0,cpf-core/cpf-tools/각 Module,외부 Module의 Internal Import를 ArchUnit/Build Gate로 실패시킨다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R012,Requirement,WP02,Consumer 검증,P0,cpf-core/cpf-tools/각 Module,"Interface/SPI마다 기본 구현, 실제 Consumer, 오류·복구 Test를 둔다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R013,Requirement,WP02,순환 차단,P0,cpf-core/cpf-tools/각 Module,Module과 Feature Package 순환 의존을 차단한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R014,Requirement,WP02,선택 Provider,P0,cpf-core/cpf-tools/각 Module,"gRPC, Redis, Broker, SFTP 등은 Capability Adapter로 분리한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R015,Requirement,WP02,Feature Package,P0,cpf-core/cpf-tools/각 Module,Backend/Frontend를 기능 Owner 기준 Package로 구성한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R016,Requirement,WP02,Legacy 제거,P0,cpf-core/cpf-tools/각 Module,Consumer 이관 후 불필요 Compat Controller/Alias/Dead Code를 제거한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R017,Requirement,WP02,사용자 영역 보호,P0,cpf-core/cpf-tools/각 Module,Generator-owned 영역만 동기화하고 사용자 코드를 덮어쓰지 않는다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP02-R018,Requirement,WP02,Decision 기록,P0,cpf-core/cpf-tools/각 Module,Owner 변경·삭제의 이유와 대체 구현을 Decision/Handover에 남긴다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/parameter; cpf-admin/frontend/src/components/parameters; exact-SHA 실행 Evidence 필요
WP03-R001,Requirement,WP03,홈 분리,P0,cpf-admin/frontend,홈은 전체 현황·나의 업무·대기 승인·최근 장애/변경 Landing으로 제공한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R002,Requirement,WP03,5개 메뉴,P0,cpf-admin/frontend,"온라인 운영, 배치 운영, 연계 관리, 통합 관제, 프레임워크 관리만 최상위로 둔다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R003,Requirement,WP03,온라인 운영,P0,cpf-admin/frontend,거래 관리·운영·조회·분석과 Gateway 관리 흐름을 구성한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R004,Requirement,WP03,배치 운영,P0,cpf-admin/frontend,작업 관리·실행 운영·작업자/Agent·복구·실행 조회를 구성한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R005,Requirement,WP03,연계 관리,P0,cpf-admin/frontend,연계 정의·실시간·메시지·파일·Provider·실행 내역을 구성한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R006,Requirement,WP03,통합 관제,P0,cpf-admin/frontend,통합 현황·실시간 관제·로그/추적·알림/장애·장애 분석을 구성한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R007,Requirement,WP03,프레임워크 관리,P0,cpf-admin/frontend,시스템·공통·자원·사용자/권한·승인/감사·DB 관리를 구성한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R008,Requirement,WP03,단일 Owner 메뉴,P0,cpf-admin/frontend,기능은 한 메뉴에서만 편집하고 다른 곳은 Filtered Deep Link만 제공한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R009,Requirement,WP03,2단계 제한,P0,cpf-admin/frontend,세부 기능은 Tab/Drawer/Context Action으로 처리한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R010,Requirement,WP03,Capability 노출,P0,cpf-admin/frontend,Gateway 등 선택 기능은 설치/Profile Capability에 따라 메뉴·API·권한을 함께 제어한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R011,Requirement,WP03,미설치/장애 구분,P0,cpf-admin/frontend,미설치는 숨기고 설치됐으나 Down이면 unavailable과 복구 동선을 보인다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R012,Requirement,WP03,역할별 가시성,P0,cpf-admin/frontend,"Role, Domain, Environment, Organization Scope를 적용한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R013,Requirement,WP03,Manifest 정합,P0,cpf-admin/frontend,"Menu, Route, API, Button Permission을 선언형 Manifest로 연결한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R014,Requirement,WP03,Feature 분리,P0,cpf-admin/frontend,"Page, Component, State, API, Model, Test를 기능 Directory에 분리한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R015,Requirement,WP03,대형 파일 Gate,P0,cpf-admin/frontend,압축 1줄 Vue와 거대 Java/TS 파일을 금지한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R016,Requirement,WP03,Raw JSON 금지,P0,cpf-admin/frontend,운영 기본 화면은 구조화 Table/Timeline/Field View를 제공한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R017,Requirement,WP03,조회 편의,P0,cpf-admin/frontend,"검색, Paging, 정렬, 저장 필터, 최근 조회, 컬럼 개인화를 제공한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R018,Requirement,WP03,오류 UX,P0,cpf-admin/frontend,빈 목록 위장 없이 오류 코드·원인·재시도·Trace를 표시한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R019,Requirement,WP03,접근성,P0,cpf-admin/frontend,"Keyboard, Focus, Label, ARIA, Contrast, Responsive를 검증한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP03-R020,Requirement,WP03,외부 CDN 금지,P0,cpf-admin/frontend,Font/Script/Style Runtime CDN 의존을 금지한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/registry; exact-SHA 실행 Evidence 필요
WP04-R001,Requirement,WP04,Gateway 관리 위치,P0,cpf-core API + cpf-gateway + cpf-admin,온라인 운영 아래 Gateway 관리에서 타깃 서버 등록부터 연동까지 처리한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R002,Requirement,WP04,공통 서비스 원장,P0,cpf-core API + cpf-gateway + cpf-admin,"Service, Endpoint, Instance의 Canonical 원장은 공통 Registry가 소유한다.",완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R003,Requirement,WP04,중복 IP 금지,P0,cpf-core API + cpf-gateway + cpf-admin,Gateway가 Host/IP/Port 원장을 별도로 중복 저장하지 않는다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R004,Requirement,WP04,Binding 분리,P0,cpf-core API + cpf-gateway + cpf-admin,Registry 정보와 외부 공개 설정을 Versioned Gateway Binding으로 연결한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R005,Requirement,WP04,Service 등록,P0,cpf-core API + cpf-gateway + cpf-admin,"ID, 이름, Owner, 유형, 환경, 사용기간, 설명을 Typed Form으로 등록한다.",완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R006,Requirement,WP04,Endpoint 등록,P0,cpf-core API + cpf-gateway + cpf-admin,"Code, Target Protocol, Base Address, Context, Timeout, Retry, TLS, Contract Version을 등록한다.",완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R007,Requirement,WP04,Instance 등록,P0,cpf-core API + cpf-gateway + cpf-admin,"ID, Host, Port, Zone, Cell, Weight, Priority, Drain, Maintenance를 등록한다.",완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R008,Requirement,WP04,Server Group,P0,cpf-core API + cpf-gateway + cpf-admin,2대 이상 Instance를 그룹화하고 동일 Protocol/Contract를 강제한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R009,Requirement,WP04,SLB 지원,P0,cpf-core API + cpf-gateway + cpf-admin,SLB/VIP가 있으면 단일 Endpoint로 등록한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R010,Requirement,WP04,SLB 없음,P0,cpf-core API + cpf-gateway + cpf-admin,SLB가 없으면 Client-side Load Balancing을 사용한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R011,Requirement,WP04,등록 Wizard,P0,cpf-core API + cpf-gateway + cpf-admin,Gateway 화면에서 미등록 Service/Endpoint/Instance를 단계별 등록한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R012,Requirement,WP04,기존 Registry 선택,P0,cpf-core API + cpf-gateway + cpf-admin,기존 Service/Endpoint/Group을 검색해 Binding한다.,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
WP04-R013,Requirement,WP04,연동 상태,P0,cpf-core API + cpf-gateway + cpf-admin,"미연동, 준비, 검증 실패, 승인 대기, 적용, 정상, 부분 적용, 차단, 해제를 구분한다.",완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/registry; cpf-tools/db/vendor/*/migration/flyway/**/V74__*; exact-SHA 실행 Evidence 필요
