defect_id,priority,classification,status,area,source_or_command,finding,impact,root_cause,required_fix,acceptance_gate,baseline_sha,qa32_completion_effect
QA33-DF-011,P0,SOURCE_CONFIRMED,실패,Build,settings.gradle;cpf-tools/build/gradle-plugin/**,includeBuild 대상 gradle-plugin Source가 삭제됐다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Convention plugin 정본을 복원하거나 표준 plugin 공급 경로로 이관한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-012,P0,SOURCE_CONFIRMED,실패,Build,cpf-gateway/build.gradle;settings.gradle,Gateway가 존재하지 않는 :cpf-starters:resilience/:observability를 참조한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,공식 :cpf-starter-resilience/:cpf-starter-platform-operations-observability Project path로 수정한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-013,P0,SOURCE_CONFIRMED,실패,Build,cpf-admin/build.gradle;settings.gradle,ADM이 존재하지 않는 :cpf-starters:security를 참조한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,공식 :cpf-starter-security 경로를 사용한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-014,P0,SOURCE_CONFIRMED,실패,Build,cpf-biz-admin/build.gradle;settings.gradle,BZA가 존재하지 않는 :cpf-starters:security를 참조한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,공식 :cpf-starter-security 경로를 사용한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-015,P1,SOURCE_CONFIRMED,미검증,Build,cpf-gateway/build.gradle,bootJar enabled 선언이 중복됐다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,중복을 제거하고 jar/bootJar/war/bootWar 산출물 Matrix를 명시한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-016,P1,SOURCE_CONFIRMED,미검증,Dependency Ownership,build.gradle,Root가 MariaDB Driver를 모든 subproject runtimeOnly로 주입한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,DB Driver를 실제 Vendor Runtime/Adapter Owner에만 선언한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-017,P0,SOURCE_CONFIRMED,실패,Frontend Build,cpf-admin/frontend/package.json;cpf-admin/frontend/package-lock.json,ADM manifest와 lockfile root dependency가 불일치한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,승인 Registry에서 exact lockfile을 재생성하고 clean npm ci를 통과시킨다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-018,P0,SOURCE_CONFIRMED,실패,Frontend Build,cpf-biz-admin/frontend/package.json;cpf-biz-admin/frontend/package-lock.json,BZA manifest와 lockfile이 불일치한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,BZA exact lockfile을 재생성하고 clean npm ci를 통과시킨다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-019,P1,EXACT_SOURCE_RECHECK,재확인 필요,Dependency Lock,**/gradle.lockfile;build.gradle,신규 dependency 전체가 lock/convergence/published POM에 반영됐는지 미확인이다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,"모든 resolvable configuration lock, convergence, published POM, final artifact graph를 대조한다.",정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-020,P0,SOURCE_CONFIRMED,실패,Architecture Ownership,cpf-core/build.gradle,"cpf-core가 Kafka, AMQP, WebFlux, OpenTelemetry SDK/OTLP를 직접 implementation한다.",Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Core에는 topology-independent 계약만 남기고 선택 Runtime을 Starter/Adapter Owner로 이관한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-021,P0,SOURCE_CONFIRMED,실패,Legacy Removal,cpf-core/build.gradle;cpf-starters/messaging-kafka/**,Kafka Starter와 Core Kafka/AMQP가 동시에 남아 Dual Primary다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Kafka를 Product Primary로 단일화하고 AMQP Primary Bean/Consumer/Dependency를 제거한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-022,P0,SOURCE_CONFIRMED,실패,Architecture Ownership,cpf-common/build.gradle;cpf-starters/cache/**,cpf-common이 Caffeine/Redis를 직접 소유하면서 Cache Starter도 존재한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Cache 계약과 Local/Distributed Provider를 분리하고 실제 Consumer를 Starter로 이관한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-023,P1,SOURCE_CONFIRMED,미검증,Architecture Ownership,cpf-core/build.gradle;cpf-starters/observability/**,OTel SDK/exporter가 Core와 Starter에 중복된다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Core의 OTel Runtime을 제거하고 Observability Starter가 SDK/exporter를 소유한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-024,P1,EXACT_SOURCE_RECHECK,재확인 필요,Architecture Ownership,cpf-starters/**;all consumers,신규 Starter가 실제 Product Consumer에 연결된 Primary인지 미확인이다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,"Starter별 실제 Consumer, disabled profile, failure policy, operation endpoint를 call graph로 증명한다.",정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-025,P0,SOURCE_CONFIRMED,실패,Frontend,cpf-admin/frontend/src/features/core/methods.ts;src/shared/cpfApi.ts,methods.ts가 존재하지 않는 clearAdmAccessToken을 import한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,삭제된 token API 참조를 제거하고 server session clear 계약으로 통합한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-026,P0,SOURCE_CONFIRMED,실패,Frontend,cpf-admin/frontend/src/generated/**;scripts/verify-generated-client.mjs,ADM Orval generated client와 source marker가 없다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,OpenAPI exact SHA에서 client를 생성하고 generate 후 git diff 0 gate를 적용한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-027,P0,SOURCE_CONFIRMED,실패,Frontend,cpf-biz-admin/frontend/src/generated/**;scripts/verify-generated-client.mjs,BZA Orval generated client와 marker가 없다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,BZA exact-SHA client를 생성하고 Consumer를 이관한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-028,P0,SOURCE_CONFIRMED,실패,Frontend Migration,cpf-admin/frontend/src/**,ADM 핵심 API가 직접 fetch/getJson/sendJson을 계속 사용한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,허용된 Orval mutator 외 raw fetch를 제거하고 Query/Mutation Hook으로 이관한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-029,P0,SOURCE_CONFIRMED,실패,Frontend Migration,cpf-biz-admin/frontend/src/features/auth/session.ts;src/**,BZA API가 raw fetch wrapper를 계속 사용한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,인증 bootstrap 예외를 명시하고 일반 API를 Orval/TanStack Query로 이관한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-030,P1,SOURCE_CONFIRMED,미검증,Frontend State,cpf-admin/frontend/src/stores/admConsoleStore.ts;src/features/**/methods.ts,Pinia가 대형 Legacy action object를 spread해 감싸며 기능 분리가 미완료다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,기능별 Store/Query composable로 분리하고 cross-feature dependency를 제한한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-031,P1,SOURCE_CONFIRMED,미검증,Frontend Error Handling,cpf-admin/frontend/src/features/core/methods.ts,Promise.allSettled가 초기 필수 API 실패를 삼킨다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,필수/선택 API를 분류하고 화면별 실패·재시도·권한 상태를 노출한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-032,P1,EXACT_SOURCE_RECHECK,재확인 필요,Frontend UX,cpf-admin/frontend/src/components/**;cpf-biz-admin/frontend/src/components/**,Element Plus/TanStack/Zod가 실제 전 화면 Primary인지 미검증이다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Route별 검색/Paging/Sort/Validation/A11y/반응형 Browser E2E를 추가한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-033,P1,EXACT_SOURCE_RECHECK,재확인 필요,Frontend Routing,cpf-admin/frontend/src/app/router.ts;cpf-biz-admin/frontend/src/app/router.ts,"Deep link, refresh, 권한 guard, 403/404, history fallback이 미검증이다.",Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,WAS topology별 Router base/static fallback과 세션·권한 변화를 E2E로 검증한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-034,P0,SOURCE_CONFIRMED,실패,BFF Security,CpfBffCredentialResponseAdvice,Token을 Session으로 옮긴 뒤 sessionId를 응답 Body에 반환한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,sessionId를 Body/DOM/log에서 제거하고 Cookie 외 노출을 금지한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-035,P0,SOURCE_CONFIRMED,실패,BFF Security,CpfBffCredentialResponseAdvice,Map이 아니거나 accessToken이 비어 있으면 원 Body를 반환해 credential stripping이 fail-open이다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Typed BFF response로 고정하고 unknown credential shape는 fail-closed한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-036,P0,SOURCE_CONFIRMED,실패,Session Security,CpfBffSessionBridgeFilter;SPRING_SESSION_ATTRIBUTES,Access/Refresh Token 원문을 JDBC Session Attribute에 저장한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Refresh token 암호화/참조화와 access token 최소 수명·회전·DB masking을 구현한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-037,P0,SOURCE_CONFIRMED,실패,CSRF,CpfBffCsrfFilter;CpfServerSessionSecurityAutoConfiguration,Spring Security 표준 CSRF와 별도 custom filter가 병렬이며 cookie/path가 하드코딩됐다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,표준 CSRF repository/filter chain으로 통합하고 matcher/rotation/origin 정책을 적용한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
