requirement_id,priority,category,title,applicable_surfaces,current_gap_or_risk,required_outcome,required_implementation,prohibited_partial_completion,required_static_architecture_gates,required_runtime_failure_scenarios,required_evidence,suggested_owner,dependency_or_precondition,initial_status,completion_blocker
OSS-SCHED-001,P1,Scheduler,db-scheduler 기본 Trigger + Quartz 고급 선택 Adapter,"cpf-batch scheduler, cron/misfire/cluster takeover",시간 Trigger·cluster scheduling을 자체 확대하거나 Quartz를 과도하게 기본화할 가능성,단순 persistent cluster trigger는 db-scheduler를 기본으로 하고 고급 calendar/JTA 요구가 입증된 경우만 Quartz adapter,CpfScheduleTriggerPort 뒤 adapter; trigger owner와 Job execution owner 분리; misfire/lease/takeover/audit; 현재 custom scheduler consumer parity 후 제거,Spring @Scheduled를 분산 정본으로 사용; db-scheduler와 Quartz 동시 기본; trigger 성공을 job 성공으로 기록,single active adapter Gate; schedule definition drift; cluster lock/fencing test; optional Quartz absence build,"node crash takeover, clock skew, misfire, duplicate fire, disabled window, trigger→Spring Batch handoff","trigger table/lease/audit, duplicate execution 0, failover timing",Batch,OSS-BATCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-DB-001,P0,Database,Flyway OSS Core Migration 정본,"cpf-tools/db vendor packs, all schemas, install/upgrade/reapply/rollback",Migration 순서/checksum/history를 자체 도구와 파일로 관리하며 실제 3DB lifecycle 검증이 미완료,Flyway OSS Core를 migration history/order/checksum engine으로 사용하고 CPF vendor SQL·restore/rollback/evidence를 유지,org.flywaydb OSS allowlist; DB별 module; canonical location/schema/history; baseline/repair 승인; forward-fix와 백업/복원; Teams/Enterprise artifact 금지,Flyway 파일만 추가하고 기존 실행 path 사용; repair 자동 실행; 상용 Undo 의존; 한 DB만 검증,artifact coordinate allowlist; checksum/catalog parity; migration naming/order; 3DB clean/upgrade/rollback/reinstall Gate,"MariaDB/PostgreSQL/Oracle fresh install, N-1 upgrade, failed migration, checksum tamper, restore and re-run","Flyway info/validate/migrate output, DB version, schema diff, rollback/restore evidence",Database + Release,OSS-GOV-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-OBS-001,P1,Observability,Micrometer Observation + OpenTelemetry OTLP,metrics/traces/log correlation across modules and public API,OTel SDK/exporter가 core 내부에서 직접 조립되고 계측 중복·public API 누출 위험,"Application instrumentation은 Micrometer Observation, export는 OTel/OTLP adapter/agent로 분리","Observation convention, trace/span attributes allowlist, masking/cardinality budget, OTLP adapter; OTel types public API 금지; agent와 starter 중복 계측 방지",SDK type를 API/SPI에 노출; PII/high-cardinality attribute; agent+manual duplicate spans,jdeps/public signature gate; telemetry duplicate detector; attribute allowlist/cardinality tests,"cross-service trace, Kafka propagation, error/timeout/unknown, collector outage, sampling change","trace/metric/log correlation, exporter config, masking report, overhead benchmark",Observability + Core,OSS-ARCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-CACHE-001,P1,Cache,Caffeine L1 + 선택형 Valkey L2 Provider,"cpf-common cache, session/cache/lock/invalidation adapters",Cache/Redis가 common api로 전파되고 Redis server licensing/bundling 경계가 불명확,Caffeine local cache와 opt-in Valkey-compatible distributed adapter를 분리하고 DB를 Source of Truth로 유지,cpf-cache-api/starter-caffeine/starter-valkey; TTL/key/invalidation/fail mode; Redis server 번들 제거; client protocol compatibility; Spring Session JDBC 기본 유지,Valkey를 필수 기동조건; Redis/Valkey server binary를 제품에 번들; cache miss/error를 source success로 위장,consumer dependency graph; server binary/package scan; cache key/TTL policy test; provider absence startup matrix,"cache stampede, stale invalidation, provider outage, multi-instance, fail-open/closed, recovery","dependency graph, cache metrics, provider test, no server bundle evidence",Cache + Platform,OSS-ARCH-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-FLAG-001,P2,Feature Flag,OpenFeature SDK + CPF Provider,향후 feature flag client/control plane,CPF 전용 client API를 만들면 consumer 결합과 평가 semantics 재개발 위험,Feature Flag 요구가 실제 범위일 때 OpenFeature API를 사용하고 CPF가 provider/control/audit를 구현,"OpenFeature provider, evaluation context policy, default/fallback, version/audit; no feature implemented이면 ADR로 명시적 제외",요구 없이 engine/UI를 선행 구현; 평가 실패 시 위험 기능 자동 활성; vendor-specific API public 노출,provider contract; flag inventory; fallback/kill-switch architecture tests,"provider outage, stale config, targeting, kill switch, multi-instance version conflict","ADR 또는 구현 evidence, evaluation logs without PII, rollback",Architecture + Product,OSS-GOV-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-SECRET-001,P0,Secrets,CPF SecretProvider SPI + 고객 관리 Secret Store,전체 secret reference/resolve/rotation/runtime configuration,환경 Provider 중심이며 특정 Server 번들·원문 저장·운영 provider policy 경계가 불완전,CPF는 reference/lifecycle/audit만 소유하고 원문 저장은 고객 관리 Vault/OpenBao/Cloud Service 등에 위임,"provider SPI, reference allowlist, environment classification, version/rotation/expiry, char[] lifecycle, masking. HashiCorp Vault server 등 제한 라이선스 서버 번들 금지",CPF DB에 범용 secret 원문 저장; production에서 ENV provider 무제한; command line/log/evidence 노출,secret scanner; provider allowlist; server binary/license scan; reference-only API architecture test,"missing/revoked/rotated secret, provider outage, wrong environment, audit/masking, concurrent rotation","provider metadata, no plaintext scan, rotation test, access audit",Security + Platform,OSS-GOV-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-SUPPLY-001,P0,Supply Chain,CycloneDX + ORT + Final Artifact Syft + Grype,Gradle/npm/source/final JAR/ZIP/container/filesystem release pipeline,직접·전이 dependency/license/SBOM/final artifact/CVE를 상호 대조하는 자동 Release Gate가 없음,"Build graph는 CycloneDX, compliance는 ORT, 최종 산출물 inventory는 Syft, vulnerability는 Grype로 검증",PR fast scan와 Release full scan 분리; Java/npm/OS/shaded/generated/bundled package 포함; SBOM parity; license notice; CVE severity/exception/expiry policy; offline DB snapshot provenance,도구 설치만 하고 Release Gate 미연결; Source SBOM만 생성; findings를 경고로 처리; final artifact 미스캔,tool version pin/lock; known prohibited fixture; SBOM component parity; missing NOTICE/Unknown/CVE threshold fail tests,"clean release, unknown license injection, shaded dependency, vulnerable package fixture, offline scan, scanner failure","4개 도구 output/hash, merged decision report, THIRD-PARTY-NOTICES, exceptions, final artifact hash",Release Governance + Security,OSS-GOV-001,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OSS-TEST-001,P1,Quality,Playwright·접근성·OSS Migration Parity Gate,"ADM/BZA UI, gateway, messaging, batch, DB, all adopted OSS","정적/단위 검증 중심이고 실제 Browser 및 기존/OSS parity, 성능·실패 검증이 부족",OSS 교체는 동일 기능·보안·성능·복구 Scenario가 통과하고 legacy 제거까지 완료되어야 함,Playwright Chromium/Firefox/WebKit; eslint accessibility; contract/performance/security parity; screenshots/traces masking; migration wave별 rollback plan,compile/test만으로 migration 완료; happy path만; 한 browser만; legacy fallback으로 pass,parity matrix completeness; scenario coverage; legacy path disabled fixture; evidence schema validator,"deep link, role/action, paging/sort/filter, keyboard, failure/recovery, load, scale-out","browser traces, performance baselines, migration diff, rollback rehearsal",QA + All Owners,"OSS-UI-001,OSS-GWY-001,OSS-MSG-001",OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-DEP-001,P0,Build,MyBatis Boot 4 단일 버전 정합성,모든 Gradle 모듈·published POM·generated domain,core 4.0.0/common 3.0.4 및 api 전파로 consumer별 해석 위험,Boot 4 호환 MyBatis starter 4.x 단일 버전을 BOM/lock으로 강제,모든 직접 선언 제거 또는 BOM alias 사용; published graph도 동일,한 모듈만 수정; runtime classpath만 보고 published POM 불일치 방치,dependencyInsight/convergence/POM scan,"모든 module test, generated consumer, 3DB mapper smoke",lockfile/POM/SBOM/resolved graph,Build + DB,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-DEP-002,P0,Build,Dependency Convergence·BOM·Lock State Gate,전체 configurations와 included builds,BOM 중복·버전 분산·lock 선언만 있고 strict 재현성 미증명,직접·전이·plugin 버전이 정본과 lock에 수렴,BOM/platform/constraint/lockfiles 정리; dynamic/changing version 금지,선언만 추가하고 lockfile 미갱신; conflict를 Gradle 선택에 맡김,all configuration convergence; lock drift,"빈 cache 재빌드, dependency tamper","lockfiles, dependency report, hashes",Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-PROV-001,P0,Provenance,Release Provenance Fail-closed,release/source archive/CI/JAR manifest,Git 또는 CI identity 실패 시 빈/UNKNOWN metadata 허용,Release artifact는 repo/commit/ref/source manifest와 cryptographically 연결,Git→CI SHA→signed source manifest resolver; release에서 UNKNOWN 금지,일반 build fallback을 release에도 허용,provenance schema/identity gate,"git 없음, detached, shallow, source archive, mismatch","signed provenance, JAR/SBOM/manifest parity",Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-ART-001,P1,Artifact,Artifact Mode 계약 단일화,root/settings/plugin/generator/scripts,AUTO/LOCAL_DEV/REMOTE/OFFLINE 결정이 경로별로 다름,Mode와 결정 출처·허용 repo·publish/read 정책을 단일 정본화,CI/release에서 explicit mode; AUTO local only; common resolver,일부 script만 수정; silent local fallback,mode parity scanner,"all modes, missing config, CI AUTO rejection",mode decision/effective repos,Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-ART-002,P1,Artifact,Full Offline/Air-gap Repository 정책,"plugins, third-party, included builds, npm, tools",OFFLINE이 CPF group만 봉인하고 central/portal은 열림,FULL_OFFLINE에서 모든 plugin/library/tool/network resolution 0,approved offline bundle/mirror; isolated caches; network block,CPF artifact만 offline으로 두고 완전 offline 주장,repo URL/network access gate,empty cache+blocked network all builds,"resolution events, packet/network evidence",Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-PKG-001,P1,Packaging,Jar/War Deployment Matrix·Runtime Smoke,all applications,bootJar/bootWar가 혼재하고 실제 배포 topology 검증 부족,지원 artifact 종류별 start/health/shutdown/upgrade를 실제 증명,제품별 canonical artifact; unsupported packaging disable,archive 생성만으로 배포 완료,artifact task matrix,embedded/external runtime smoke,artifact hashes/logs,Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-FE-001,P1,Frontend,Node/npm Toolchain 고정,ADM/BZA/generator/CI,Node/npm 버전과 lock 사용 환경이 재현되지 않음,Node/npm exact supported range와 package manager version 고정,engines/packageManager/corepack/toolchain manifest; npm ci only,로컬 버전만 문서화,version preflight/lock drift,clean cache build on OS matrix,versions/lock hash,Frontend,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-FE-002,P1,Frontend,Frontend Dependency·Bundle Evidence 정확성,ADM/BZA build/artifact,index/hash asset 존재만 검사하고 lock/network/bundle integrity 미증명,실제 dependency state와 source가 bundle에 재현 연결,"npm ci logs, registry/network, npm ls, bundle manifest, asset graph",정적 파일 존재만으로 PASS,lock/dependency/bundle parity,"offline build, missing asset, dynamic import, browser load","commands, hashes, browser console",Frontend,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-GEN-001,P1,Generator,Domain Template Contract,generator templates/generated domains,생성물이 product rules를 완전 상속하는지 부족,template manifest와 generated output schema/ownership/version contract,"structured template, ownership, regeneration safety, extension points",샘플 한 번 생성만,template/output schema gate,create/recreate/upgrade/custom edit preservation,generated diff/manifests,Generator,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-GEN-002,P1,Generator,Structured Standalone Export,export-domain-repository,regex mutation과 외부 repo 잔존,canonical structured standalone build를 직접 생성,"manifest/template AST, exact transformation count, no project deps",regex replace 성공처럼 보임; zero-match 무시,resolved graph/forbidden refs,standalone build all modes,export manifest/build logs,Generator,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-GEN-003,P1,Generator,Standalone Federation Boundary Gate,source/resources/metadata/bytecode,일부 확장자·문자열만 검사,root/internal dependency가 모든 표현과 산출물에서 0,text/binary/archive/bytecode/Gradle graph/POM/SBOM scan,java/gradle grep만,mutated bypass fixtures,standalone runtime/public API,scan report/graph,Generator,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-ART-003,P1,Artifact,Repository/Publication Policy Drift Gate,root/included/plugin/BOM/export/smoke,repo 정책이 파일마다 복제돼 drift,단일 정책과 contract test로 모든 build path 일치,policy component/init script/settings plugin,한 경로만 수정,repository declarations comparison,mode matrix,policy snapshot,Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-ART-004,P1,Artifact,Artifact Promotion Failure Injection,staging→promoted repository,happy path 위주로 atomicity/rollback 불충분,부분 업로드·hash mismatch·lock loss에도 promoted 상태 불변,"immutable staging, manifest barrier, backup/rollback/fencing",복사 성공만 검증,promotion invariant gate,"disk full, kill, concurrent promote, tamper",before/after inventory/hashes,Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-API-001,P2,API,java-library API Dependency 최소화,published libraries,implementation detail이 api scope/public signature로 노출,최소 API/SPI만 published compile graph에 노출,"jdeps/public signature review, implementation scope",compile 성공만,api leakage gate,consumer minimal compile,POM/jdeps,Architecture,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
