capability_id,domain,minimum_capability,cpf_current_mapping,source_evidence,status,quality_judgment,required_action,related_requirements,review_sha
ADM-CAP-011,Batch,등록 요청 현황/승인 Queue,Generic approvals,approvals;BatchJobPacksPage.vue,부분 구현,Batch 전용 요청 상태·diff·effective date workflow 필요,Complete route-specific workflow and evidence,QA35-REQ-029;QA35-REQ-034,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-012,Batch,스케줄 시뮬레이션,Simulation exists in BatchPage,BatchPage.vue,부분 구현,기본 시뮬레이션은 있으나 misfire/DST/collision/capacity 미흡,Complete route-specific workflow and evidence,QA35-REQ-030,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-013,Batch,Schedule calendar/heatmap,Business calendar exists separately,business-calendar;batch-scheduler,부분 구현,Job schedule와 휴일·capacity를 통합한 Calendar 부재,Complete route-specific workflow and evidence,QA35-REQ-030,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-014,Batch,Scheduler HA/leader/lease,Generic BatchViewPage,BatchSchedulerPage.vue,부분 구현,조회 전용 Dynamic table,Complete route-specific workflow and evidence,QA35-REQ-030;QA35-REQ-033,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-015,Batch,Execution list/filter/paging,Generic BatchViewPage + BatchPage,BatchExecutionsPage.vue;BatchPage.vue,부분 구현,전용 typed paging/detail workflow 미흡,Complete route-specific workflow and evidence,QA35-REQ-031,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-016,Batch,Execution detail/state timeline/steps,Partial selected-run detail,BatchPage.vue,부분 구현,권위 있는 단일 상세 작업공간 부재,Complete route-specific workflow and evidence,QA35-REQ-031,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-017,Batch,강제실행/재실행/중지/상태 변경,Controls in BatchPage,BatchPage.vue,부분 구현,Broad BATCH write 권한에 의존; operation-specific governance 필요,Complete route-specific workflow and evidence,QA35-REQ-031;QA35-REQ-034,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-018,Batch,Live log/tail/full/download,Remote logs and execution trace exist,remote-logs;BatchPage.vue,부분 구현,Execution detail에서 직접 연결·tail·artifact correlation 필요,Complete route-specific workflow and evidence,QA35-REQ-031,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-019,Batch,Report/artifact 조회·다운로드,Downloads feature; no execution-specific proof,downloads;BatchPage.vue,부분 구현,실행별 report/artifact manifest와 hash 연결 필요,Complete route-specific workflow and evidence,QA35-REQ-031,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-020,Batch,Runtime Instance detail,Generic BatchViewPage,BatchInstancesPage.vue,부분 구현,조회 전용,Complete route-specific workflow and evidence,QA35-REQ-031;QA35-REQ-032,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-021,Batch,Worker Pool capacity/drain,Generic BatchViewPage,BatchWorkerPoolsPage.vue,부분 구현,"조회 전용, safe drain workflow 미완결",Complete route-specific workflow and evidence,QA35-REQ-032,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-022,Batch,Host Agent/server heartbeat/version/status,Generic BatchViewPage,BatchAgentsPage.vue,부분 구현,"조회 전용, quarantine/activation/rollback 미완결",Complete route-specific workflow and evidence,QA35-REQ-032,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-023,Batch,Lease/fencing 운영,Dedicated menu but workflow not proven,batch-leases,재확인 필요,Owner·stale lease·fence action/evidence 검증 필요,Complete route-specific workflow and evidence,QA35-REQ-033,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-024,Batch,Unknown Result/recovery/reconcile,Generic BatchViewPage,BatchRecoveryPage.vue,부분 구현,Case evidence와 의사결정 workflow 부재,Complete route-specific workflow and evidence,QA35-REQ-033,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-025,Batch,Deployment/rollback,Dedicated route exists,batch-deployment,재확인 필요,Artifact trust·partial failure·rollback UI를 Runtime 검증해야 함,Complete route-specific workflow and evidence,QA35-REQ-032;QA35-REQ-037,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-026,Batch,Center-Cut target/result operations,Dedicated feature exists,batch-center-cut;BatchPage.vue,부분 구현,Transaction/incident/audit cross-link와 recovery depth 보강,Complete route-specific workflow and evidence,QA35-REQ-035,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-027,Batch,Batch alert/audit/evidence,Dedicated menus exist,batch-alerts;batch-audit,재확인 필요,실제 row-specific evidence와 incident workflow 검증 필요,Complete route-specific workflow and evidence,QA35-REQ-034,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-028,Online,거래 메타/정의 관리,transactions route,transactions,부분 구현,거래 메타는 있으나 전체 실행 정의 lifecycle 확인 필요,Implement/mature first-class online operation workflow,QA35-REQ-036,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-029,Online,거래 전처리/후처리 관리,No first-class route,routes.ts,미구현,운영 변경/승인/impact 기능 부재,Implement/mature first-class online operation workflow,QA35-REQ-036,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-030,Online,거래 Pipeline/속성 편집,No first-class route,routes.ts,미구현,Pipeline graph/version/validation 부재,Implement/mature first-class online operation workflow,QA35-REQ-036,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-031,Online,Dependency 실행 규칙 관리,Topology/standard execution partial,standard-executions;topology,부분 구현,정의 편집·cycle·failure policy·impact workflow 미완결,Implement/mature first-class online operation workflow,QA35-REQ-036,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-032,Online,DBIO/query registry,No first-class route,routes.ts,미구현,SQL 정의·vendor semantics·impact/approval 부재,Implement/mature first-class online operation workflow,QA35-REQ-036;QA35-REQ-040,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-033,Online,Online component deployment status,Runtime control/service registry partial,runtime-control;service-registry,부분 구현,Artifact/version/apply/rollback 통합 화면 부재,Implement/mature first-class online operation workflow,QA35-REQ-037,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-034,Online,External integration deployment/route status,Gateway operations,GatewayOperationsPage.vue,부분 구현,Gateway 강점 있으나 nine-menu state mismatch,Implement/mature first-class online operation workflow,QA35-REQ-026;QA35-REQ-037,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-035,Online,서비스 처리량/latency/error,Dashboard/capacity/reliability,dashboard;capacity;reliability,부분 구현,전용 percentile/instance/time diagnostics 재확인,Implement/mature first-class online operation workflow,QA35-REQ-038,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-036,Online,Thread/connection pool monitor,No first-class route,routes.ts,미구현,Saturation diagnosis 부재,Implement/mature first-class online operation workflow,QA35-REQ-038,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-037,Online,Dependency latency/flow monitor,Topology/reliability,topology;reliability,부분 구현,실시간 edge latency/backpressure/drill-through 미완결,Implement/mature first-class online operation workflow,QA35-REQ-038,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-038,Online,Delayed async/backlog monitor,No first-class route,routes.ts,미구현,지연 비동기/queue backlog 운영 화면 부재,Implement/mature first-class online operation workflow,QA35-REQ-038,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-039,Online,Service processing flow,Topology + transaction timeline,topology;TransactionGroupsPage.vue,부분 구현,정적/실시간 flow와 definition/deployment 연결 필요,Implement/mature first-class online operation workflow,QA35-REQ-038;QA35-REQ-035,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-040,Online,Transaction/integrated log,Transaction Groups detail,TransactionGroupsPage.vue,완료,필터·paging·timeline·segments·headers·external logs·masking은 기준보다 발전,Implement/mature first-class online operation workflow,QA35-REQ-035;QA35-REQ-039,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-041,Online,Error log workbench,errors feature orphaned from routes,features/errors;routes.ts,부분 구현,전용 Error queue/detail/case route 미완결,Implement/mature first-class online operation workflow,QA35-REQ-039,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-042,Online,Protocol/message log,Log detail has 전문 tab; messages route exists,logs;messages,부분 구현,Decoded request/response and protocol correlation workflow 재확인,Implement/mature first-class online operation workflow,QA35-REQ-039,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-043,Online,Dependency log,Timeline/segments partial,TransactionGroupsPage.vue,부분 구현,Dependency-specific failure/latency analysis 보강,Implement/mature first-class online operation workflow,QA35-REQ-039,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-044,Online,Transaction/message statistics,Dashboard/capacity partial,dashboard;capacity,부분 구현,Time series/percentile/message dimension/export 미완결,Implement/mature first-class online operation workflow,QA35-REQ-038;QA35-REQ-039,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-045,Online,Log query/retention/masking policy,Log policies feature,log-policies,부분 구현,정책 기능은 강하나 all-log workbench consumer/evidence 재확인,Implement/mature first-class online operation workflow,QA35-REQ-039,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-046,Online,Component/SQL/external/file/throughput analysis,No unified analysis center,routes.ts,미구현,기준 최소 분석 메뉴 부재,Implement/mature first-class online operation workflow,QA35-REQ-040,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-047,System/Common,사용자/운영자 관리,operators,operators,부분 구현,기본 기능 존재; session/history integration 필요,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-048,System/Common,Role/permission management,permissions/security,permissions;security,부분 구현,실제 endpoint-method permission matrix와 연계 필요,Complete commercial admin/common operation contract,QA35-REQ-010;QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-049,System/Common,Menu management,No route,routes.ts,미구현,Hardcoded menu truth,Complete commercial admin/common operation contract,QA35-REQ-024;QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-050,System/Common,Notice/bulletin,No route,routes.ts,미구현,운영 공지 기능 부재,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-051,System/Common,Login/session/failure history,Audit/security partial,audit-logs;security,부분 구현,"Active session revoke, failure/lockout history 전용 화면 부재",Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-052,System/Common,Usage/audit history,Audit logs,audit-logs,부분 구현,사용 이력 분류·export·retention/permission 재확인,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-053,System/Common,DB schema/migration/drift browser,No ADM route,routes.ts,미구현,Read-only metadata visibility 부재,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-054,System/Common,Config/parameter management,configs,configs,부분 구현,환경 diff/promotion/version/secret separation 재확인,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-055,System/Common,Dynamic log level,log-level,log-level,부분 구현,TTL/reason/audit 존재 여부 Runtime 검증 필요,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-056,System/Common,Message/code/response code,messages/codes/response-codes,routes.ts,부분 구현,기능 존재; paging/locale/version/consumer parity 재확인,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-057,System/Common,Label/localization catalog,No route,routes.ts,미구현,다국어 UI label governance 부재,Complete commercial admin/common operation contract,QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-058,System/Common,Notification rule/recipient/delivery,notifications,notifications,부분 구현,규칙/발송/재처리 form 존재; channel/runtime evidence 필요,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-059,System/Common,Datasource pool monitor,No first-class route,routes.ts,미구현,Pool saturation/leak/connection health 부재,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-060,System/Common,Cache monitor/control,cache,cache,부분 구현,조회/제어/permission/audit/runtime 상태 재확인,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-061,System/Common,File health/log download,file-jobs/downloads/remote-logs,routes.ts,부분 구현,작업·다운로드는 있으나 filesystem health/quota/stale file monitor 미흡,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-062,System/Common,Supported connection monitor,Gateway health partial,gateway-health,부분 구현,공식 지원 프로토콜만 대상으로 공통 connection view 필요,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-063,System/Common,Event/incident log,incidents/audit/notifications,routes.ts,부분 구현,Event taxonomy와 transaction/resource correlation 재확인,Complete commercial admin/common operation contract,QA35-REQ-042,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-064,Quality,모든 목록의 검색·서버 Paging·정렬·상세,Uneven; generic BatchViewPage lacks contract,BatchViewPage.vue;feature pages,부분 구현,화면별 품질 편차 큼,Enforce commercial page and API contracts,QA35-REQ-043,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-065,Quality,위험조치 권한·사유·승인·감사·결과,Partial in BatchPage/approvals,BatchPage.vue;approvals,부분 구현,Operation-specific permission/CAS/partial failure 미완결,Enforce commercial page and API contracts,QA35-REQ-034;QA35-REQ-043,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-066,Quality,401/403/404/409/429/500/503,E2E scaffolding exists,e2e;routes.ts,부분 구현,All 59 route-specific error behavior 미검증,Enforce commercial page and API contracts,QA35-REQ-025;QA35-REQ-043,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-067,Quality,Accessibility/responsive/keyboard/visual regression,Responsive shell exists,App.vue;e2e,부분 구현,전체 route a11y/overflow/visual 증적 없음,Enforce commercial page and API contracts,QA35-REQ-043,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-068,Quality,Generated client and real backend consumer,OpenAPI/generated artifact defects already found,frontend openapi/generated/cpfApi,실패,상용 ADM 기능 검증 이전에 계약부터 닫아야 함,Enforce commercial page and API contracts,QA35-REQ-006;QA35-REQ-007;QA35-REQ-008;QA35-REQ-027,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
