inspection_id,area,source_pattern,aspect,inspection_point,expected,prohibited,evidence,status
QA33-INSP-017,Build,build.gradle;gradle/**;wrapper/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,JDK/Gradle/Boot/Cloud exact pin/fail-closed,cache fallback/empty provenance,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-018,Build,build.gradle;gradle/**;wrapper/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,JDK/Gradle/Boot/Cloud exact pin/fail-closed,cache fallback/empty provenance,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-019,Build,build.gradle;gradle/**;wrapper/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,JDK/Gradle/Boot/Cloud exact pin/fail-closed,cache fallback/empty provenance,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-020,Build,build.gradle;gradle/**;wrapper/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,JDK/Gradle/Boot/Cloud exact pin/fail-closed,cache fallback/empty provenance,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-021,Build,**/build.gradle,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,project path/plugin/artifact/POM ownership,duplicate task/vendor pollution,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-022,Build,**/build.gradle,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,project path/plugin/artifact/POM ownership,duplicate task/vendor pollution,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-023,Build,**/build.gradle,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,project path/plugin/artifact/POM ownership,duplicate task/vendor pollution,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-024,Build,**/build.gradle,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,project path/plugin/artifact/POM ownership,duplicate task/vendor pollution,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-025,Build,**/build.gradle,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,project path/plugin/artifact/POM ownership,duplicate task/vendor pollution,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-026,Frontend,cpf-admin/frontend/package*.json;cpf-biz-admin/frontend/package*.json,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,manifest-lock exact match,npm ci mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-027,Frontend,cpf-admin/frontend/package*.json;cpf-biz-admin/frontend/package*.json,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,manifest-lock exact match,npm ci mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-028,Frontend,cpf-admin/frontend/package*.json;cpf-biz-admin/frontend/package*.json,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,manifest-lock exact match,npm ci mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-029,Frontend,cpf-admin/frontend/package*.json;cpf-biz-admin/frontend/package*.json,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,manifest-lock exact match,npm ci mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-030,Frontend,cpf-admin/frontend/package*.json;cpf-biz-admin/frontend/package*.json,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,manifest-lock exact match,npm ci mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-031,Frontend,**/orval.config.ts;**/src/generated/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,exact-SHA generated client and consumer,marker-only/missing generated,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-032,Frontend,**/orval.config.ts;**/src/generated/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,exact-SHA generated client and consumer,marker-only/missing generated,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-033,Frontend,**/orval.config.ts;**/src/generated/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,exact-SHA generated client and consumer,marker-only/missing generated,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-034,Frontend,**/orval.config.ts;**/src/generated/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,exact-SHA generated client and consumer,marker-only/missing generated,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-035,Frontend,**/orval.config.ts;**/src/generated/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,exact-SHA generated client and consumer,marker-only/missing generated,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-036,Frontend,cpf-admin/frontend/src/**;cpf-biz-admin/frontend/src/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,raw fetch only allowed mutator/bootstrap,legacy manual client/cache/token,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-037,Frontend,cpf-admin/frontend/src/**;cpf-biz-admin/frontend/src/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,raw fetch only allowed mutator/bootstrap,legacy manual client/cache/token,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-038,Frontend,cpf-admin/frontend/src/**;cpf-biz-admin/frontend/src/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,raw fetch only allowed mutator/bootstrap,legacy manual client/cache/token,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-039,Frontend,cpf-admin/frontend/src/**;cpf-biz-admin/frontend/src/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,raw fetch only allowed mutator/bootstrap,legacy manual client/cache/token,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-040,Frontend,cpf-admin/frontend/src/**;cpf-biz-admin/frontend/src/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,raw fetch only allowed mutator/bootstrap,legacy manual client/cache/token,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-041,Security,cpf-starters/security/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,standard SecurityFilterChain/session/csrf,custom parallel filter/path gap,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-042,Security,cpf-starters/security/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,standard SecurityFilterChain/session/csrf,custom parallel filter/path gap,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-043,Security,cpf-starters/security/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,standard SecurityFilterChain/session/csrf,custom parallel filter/path gap,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-044,Security,cpf-starters/security/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,standard SecurityFilterChain/session/csrf,custom parallel filter/path gap,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-045,Security,cpf-starters/security/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,standard SecurityFilterChain/session/csrf,custom parallel filter/path gap,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-046,Security,ADM/BZA auth/session source,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,credential/session id leak 0,body/storage/log leak,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-047,Security,ADM/BZA auth/session source,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,credential/session id leak 0,body/storage/log leak,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-048,Security,ADM/BZA auth/session source,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,credential/session id leak 0,body/storage/log leak,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-049,Security,ADM/BZA auth/session source,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,credential/session id leak 0,body/storage/log leak,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-050,Security,ADM/BZA auth/session source,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,credential/session id leak 0,body/storage/log leak,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-051,Core,cpf-core/build.gradle;cpf-core/src/main/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,topology-independent contract,Kafka/AMQP/WebFlux/OTel runtime,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-052,Core,cpf-core/build.gradle;cpf-core/src/main/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,topology-independent contract,Kafka/AMQP/WebFlux/OTel runtime,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-053,Core,cpf-core/build.gradle;cpf-core/src/main/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,topology-independent contract,Kafka/AMQP/WebFlux/OTel runtime,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-054,Core,cpf-core/build.gradle;cpf-core/src/main/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,topology-independent contract,Kafka/AMQP/WebFlux/OTel runtime,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-055,Core,cpf-core/build.gradle;cpf-core/src/main/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,topology-independent contract,Kafka/AMQP/WebFlux/OTel runtime,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-056,Common,cpf-common/build.gradle;cpf-common/src/main/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,business common contract,cache/redis provider dual ownership,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-057,Common,cpf-common/build.gradle;cpf-common/src/main/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,business common contract,cache/redis provider dual ownership,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-058,Common,cpf-common/build.gradle;cpf-common/src/main/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,business common contract,cache/redis provider dual ownership,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-059,Common,cpf-common/build.gradle;cpf-common/src/main/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,business common contract,cache/redis provider dual ownership,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-060,Common,cpf-common/build.gradle;cpf-common/src/main/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,business common contract,cache/redis provider dual ownership,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-061,Gateway,cpf-gateway/build.gradle;cpf-gateway/src/main/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,SCG MVC primary lifecycle,unsafe custom retry/header/stream,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-062,Gateway,cpf-gateway/build.gradle;cpf-gateway/src/main/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,SCG MVC primary lifecycle,unsafe custom retry/header/stream,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-063,Gateway,cpf-gateway/build.gradle;cpf-gateway/src/main/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,SCG MVC primary lifecycle,unsafe custom retry/header/stream,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-064,Gateway,cpf-gateway/build.gradle;cpf-gateway/src/main/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,SCG MVC primary lifecycle,unsafe custom retry/header/stream,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-065,Gateway,cpf-gateway/build.gradle;cpf-gateway/src/main/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,SCG MVC primary lifecycle,unsafe custom retry/header/stream,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-066,Batch,cpf-batch/contract/**;cpf-batch/execution-runtime/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,Spring Batch standard state ownership,synthetic engine/unchecked identity,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-067,Batch,cpf-batch/contract/**;cpf-batch/execution-runtime/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,Spring Batch standard state ownership,synthetic engine/unchecked identity,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-068,Batch,cpf-batch/contract/**;cpf-batch/execution-runtime/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,Spring Batch standard state ownership,synthetic engine/unchecked identity,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-069,Batch,cpf-batch/contract/**;cpf-batch/execution-runtime/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,Spring Batch standard state ownership,synthetic engine/unchecked identity,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-070,Batch,cpf-batch/contract/**;cpf-batch/execution-runtime/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,Spring Batch standard state ownership,synthetic engine/unchecked identity,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-071,Kafka,CpfBatchKafka*;CpfBatchRemote*;Kafka configs,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,stable correlation/idempotency/DLT/backpressure,shared reply group/local queue,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-072,Kafka,CpfBatchKafka*;CpfBatchRemote*;Kafka configs,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,stable correlation/idempotency/DLT/backpressure,shared reply group/local queue,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-073,Kafka,CpfBatchKafka*;CpfBatchRemote*;Kafka configs,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,stable correlation/idempotency/DLT/backpressure,shared reply group/local queue,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-074,Kafka,CpfBatchKafka*;CpfBatchRemote*;Kafka configs,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,stable correlation/idempotency/DLT/backpressure,shared reply group/local queue,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-075,Kafka,CpfBatchKafka*;CpfBatchRemote*;Kafka configs,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,stable correlation/idempotency/DLT/backpressure,shared reply group/local queue,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-076,Scheduler,cpf-batch/scheduler/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,recoverable trigger→job lifecycle,polling dual state/orphan start,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-077,Scheduler,cpf-batch/scheduler/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,recoverable trigger→job lifecycle,polling dual state/orphan start,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-078,Scheduler,cpf-batch/scheduler/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,recoverable trigger→job lifecycle,polling dual state/orphan start,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-079,Scheduler,cpf-batch/scheduler/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,recoverable trigger→job lifecycle,polling dual state/orphan start,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-080,Scheduler,cpf-batch/scheduler/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,recoverable trigger→job lifecycle,polling dual state/orphan start,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-081,Database,cpf-tools/db/vendor/**/V82..V85;rollback;checksums,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,3-vendor semantic parity,file-only parity/data-loss rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-082,Database,cpf-tools/db/vendor/**/V82..V85;rollback;checksums,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,3-vendor semantic parity,file-only parity/data-loss rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-083,Database,cpf-tools/db/vendor/**/V82..V85;rollback;checksums,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,3-vendor semantic parity,file-only parity/data-loss rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-084,Database,cpf-tools/db/vendor/**/V82..V85;rollback;checksums,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,3-vendor semantic parity,file-only parity/data-loss rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-085,Database,cpf-tools/db/vendor/**/V82..V85;rollback;checksums,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,3-vendor semantic parity,file-only parity/data-loss rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-086,Deployment,cpf-batch/control-server/**/deploy/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,side-effect ledger/selective rollback,drain-only rollback/request mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-087,Deployment,cpf-batch/control-server/**/deploy/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,side-effect ledger/selective rollback,drain-only rollback/request mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-088,Deployment,cpf-batch/control-server/**/deploy/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,side-effect ledger/selective rollback,drain-only rollback/request mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-089,Deployment,cpf-batch/control-server/**/deploy/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,side-effect ledger/selective rollback,drain-only rollback/request mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-090,Deployment,cpf-batch/control-server/**/deploy/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,side-effect ledger/selective rollback,drain-only rollback/request mismatch,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-091,Agent,cpf-batch/host-agent/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,signed artifact+state/atomic activation,state tamper/unverified rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-092,Agent,cpf-batch/host-agent/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,signed artifact+state/atomic activation,state tamper/unverified rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-093,Agent,cpf-batch/host-agent/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,signed artifact+state/atomic activation,state tamper/unverified rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-094,Agent,cpf-batch/host-agent/**,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,signed artifact+state/atomic activation,state tamper/unverified rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-095,Agent,cpf-batch/host-agent/**,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,signed artifact+state/atomic activation,state tamper/unverified rollback,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-096,Archive,CpfArchive*;LocalCpfArchiveService,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,bounded streaming/atomic/security corpus,byte[] whole payload/partial target,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-097,Archive,CpfArchive*;LocalCpfArchiveService,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,bounded streaming/atomic/security corpus,byte[] whole payload/partial target,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-098,Archive,CpfArchive*;LocalCpfArchiveService,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,bounded streaming/atomic/security corpus,byte[] whole payload/partial target,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-099,Archive,CpfArchive*;LocalCpfArchiveService,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,bounded streaming/atomic/security corpus,byte[] whole payload/partial target,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-100,Archive,CpfArchive*;LocalCpfArchiveService,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,bounded streaming/atomic/security corpus,byte[] whole payload/partial target,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-101,Supply Chain,cpf-tools/supply-chain/**;generate/verify scripts,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,final artifact exact identity,dir scan/analyze-only,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-102,Supply Chain,cpf-tools/supply-chain/**;generate/verify scripts,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,final artifact exact identity,dir scan/analyze-only,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-103,Supply Chain,cpf-tools/supply-chain/**;generate/verify scripts,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,final artifact exact identity,dir scan/analyze-only,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-104,Supply Chain,cpf-tools/supply-chain/**;generate/verify scripts,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,final artifact exact identity,dir scan/analyze-only,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-105,Supply Chain,cpf-tools/supply-chain/**;generate/verify scripts,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,final artifact exact identity,dir scan/analyze-only,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-106,Quality Gate,verify-cpf-qa32*.py;verify-cpf-qa32*.ps1,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,semantic compile/runtime/evidence,marker count inflation,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-107,Quality Gate,verify-cpf-qa32*.py;verify-cpf-qa32*.ps1,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,semantic compile/runtime/evidence,marker count inflation,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-108,Quality Gate,verify-cpf-qa32*.py;verify-cpf-qa32*.ps1,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,semantic compile/runtime/evidence,marker count inflation,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-109,Quality Gate,verify-cpf-qa32*.py;verify-cpf-qa32*.ps1,CONCURRENCY,idempotency·lock·fencing·multi-instance·race,semantic compile/runtime/evidence,marker count inflation,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-110,Quality Gate,verify-cpf-qa32*.py;verify-cpf-qa32*.ps1,EVIDENCE,Test·runtime command·exact SHA·report hash·sanitization,semantic compile/runtime/evidence,marker count inflation,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-111,Generator,cpf-tools/generator/**;cpf-member/**,OWNERSHIP,Owner Module·Public API/SPI/Internal package와 dependency 방향,template-current contract parity,generated drift/manual exception,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-112,Generator,cpf-tools/generator/**;cpf-member/**,CONSUMER,실제 Product Consumer·Bean·Route·SQL·Frontend 호출 연결,template-current contract parity,generated drift/manual exception,"inspected path list, finding classification, exact SHA, command/report hash",미검증
QA33-INSP-113,Generator,cpf-tools/generator/**;cpf-member/**,FAILURE,오류·timeout·interrupt·unknown result·cleanup 경로,template-current contract parity,generated drift/manual exception,"inspected path list, finding classification, exact SHA, command/report hash",미검증
