requirement_id,source_type,priority,owner,title,current_gap,required_implementation,required_verification,development_status,verification_status,baseline_sha
CPF-SELF-DEV-011,SELF,P0,cpf-admin/cpf-batch,Worker Pool 운영 제어,Worker Pool 화면이 조회 전용이다.,"Capacity, Queue Depth, Active Task, Drain, Quarantine, Restart, Backpressure, Ownership, Audit를 제공한다.",권한·승인·부분 실패·재시도 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-012,SELF,P0,cpf-admin/cpf-batch,Host Agent 운영 제어,Host Agent 조회와 Deployment·Artifact Trust·Process Control이 분리돼 있다.,"Health, Version, Heartbeat, Deployment, Artifact Hash, Process Start/Stop/Restart, Log Tail, Rollback, Approval을 통합한다.",Offline·Partial Deploy·Hash Mismatch·Process Kill Fixture,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-013,SELF,P0,cpf-admin/cpf-batch,Recovery·Unknown Result Center,Unknown Result와 Recovery가 일반 목록 수준이다.,Lease·Fencing·Idempotency·Reconcile·Replay·Compensation·Manual Decision·Approval·Evidence를 제공한다.,Duplicate·Late Reply·ACK Failure·Process Kill·Network Partition Fixture,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-014,SELF,P1,cpf-admin/cpf-batch,Batch Job 상세·의존관계·리포트 강화,Job Pack 거버넌스는 강하지만 실행 상세·Dependency Diagram·Report 연결이 분산돼 있다.,"Definition Version, Dependency Graph, Schedule Simulation, Execution History, Impact Analysis, Artifact/Report를 하나의 상세 Workspace로 연결한다.",Graph Cycle·Disabled Dependency·Version Rollback Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-015,SELF,P0,cpf-admin/cpf-batch,Batch 위험조치 Permission Matrix,재실행·강제실행·중지·Drain·Restart 등 위험조치 권한과 승인이 균일하지 않다.,"READ·EXECUTE·RETRY·STOP·FORCE·DEPLOY·ROLLBACK·RECOVER 권한, 사유, 승인, CAS, Audit, Result Tracking을 표준화한다.",각 Action의 401·403·409·429·503 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-016,SELF,P0,cpf-admin/cpf-core/cpf-common,Online Transaction Definition Workbench,거래 정의는 있으나 전처리·후처리·Pipeline·Dependency·DBIO를 통합 관리하지 못한다.,"Transaction, Pre/Post Processor, Pipeline Stage, Dependency, Timeout/Retry, DBIO/Query, Version/Promotion/Rollback을 제공한다.",정의 변경 영향도·승인·Rollback Integration Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-017,SELF,P0,cpf-admin,Online Runtime Diagnostics,서비스 처리량·Thread/Connection Pool·Dependency Latency·Delayed Async·Backpressure 진단이 부족하다.,"Instance/Service/Route별 TPS, Latency Percentile, Pool Saturation, Queue Lag, Retry, Circuit State, Dependency Map을 제공한다.",부하·고갈·지연·부분 실패 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-018,SELF,P0,cpf-admin,Error Workbench,Error 조회가 운영 조치·거래 추적·재처리와 충분히 연결되지 않는다.,"Error Classification, 영향 Transaction/Batch, Stack Masking, Retryability, Owner, Incident, Replay/Compensation, Approval을 제공한다.",민감정보 Masking·재처리 권한·중복 방지 Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-019,SELF,P1,cpf-admin,전문·Protocol Message Workbench,전문·Message 추적과 Field-level Masking·Validation·Replay가 First-class 기능이 아니다.,"Request/Response Header, Field Schema, Validation, Correlation, Masking, Compare, Replay Guard를 제공한다.",대용량·Malformed·Masked Export Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-020,SELF,P1,cpf-admin,Online Deployment·Promotion·Rollback,Online Component 배포 상태와 환경 승격·Rollback이 운영화면에서 완결되지 않는다.,"Artifact Trust, Environment Promotion, Rollout, Health Gate, Rollback, Approval, Audit를 제공한다.",Canary Failure·Rollback·Hash Mismatch Fixture,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-021,SELF,P0,cpf-admin,Batch·Online 통합 Trace,Backend 식별자는 존재하지만 화면 간 Causal Navigation이 완결되지 않았다.,Online Transaction→Segment→Gateway/External→Batch Execution/Step→Incident→Approval→Audit를 하나의 Timeline과 Deep Link로 제공한다.,Filter·기간·Masking·Permission Context 유지 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-022,SELF,P0,cpf-admin,통합 운영 Dashboard,Batch와 Online이 동일 ADM에 있으나 공통 SLO·Incident·Capacity 관점 Dashboard가 부족하다.,"Online TPS/Latency/Error, Batch Backlog/Failure/ETA, Gateway, Agent/Worker, Incident, Approval Queue를 역할별로 제공한다.",부분 장애·데이터 지연·권한별 Card 노출 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-023,SELF,P1,cpf-admin,System/Common 운영 기능 보강,Menu 관리·공지·Session·Login 실패·사용이력·DB Schema/Drift·다국어·Datasource Pool 기능이 불명확하다.,"각 Capability를 실제 Backend API, Paging, Permission, Audit, Export와 연결한다.",Capability Registry Parity와 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-024,SELF,P1,cpf-admin,Analysis Center,Component·SQL·External I/O·File I/O·Throughput 분석 기능이 분산돼 있다.,"기간 비교, Percentile, Top-N, Causal Drilldown, Export, Saved Query를 제공한다.",대량 데이터 Paging·Timeout·Masking Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-025,SELF,P0,cpf-admin/frontend,전체 OpenAPI·Generated Client 정본화,ADM/BZA OpenAPI가 일부 인증 Operation에 한정되고 Generated Artifact가 Stale할 수 있다.,"Runtime 전체 OpenAPI Export, operationId·Schema·Error Response 검증, Orval 생성, 실제 화면 Consumer 이관, Marker 최신화를 수행한다.","Tracked Drift 0, Operation Consumer Coverage 100%",미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-026,SELF,P0,cpf-admin/frontend,전체 ADM Route 상용 Page Contract,다수 Menu가 공통 조회 Wrapper에 의존하고 전용 운영 Workflow가 없다.,모든 Route에 Search·Paging·Detail·Loading·Empty·Error·Permission·Responsive·Accessibility·Action Confirmation 계약을 적용한다.,Chromium·Firefox·WebKit 전체 Route Matrix,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-027,SELF,P0,cpf-admin/backend,실제 Controller Permission 전수 검증,Security Test가 일부 Test Controller 중심이면 실제 ADM/BZA 권한 공백을 잡지 못한다.,Controller Method↔Permission Code↔HTTP Method↔Menu Action Matrix를 생성하고 누락 시 Build를 실패시킨다.,실제 Endpoint 401·403·CSRF·Origin Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-028,SELF,P0,공통 네트워크,Literal IP/CIDR 정책 공통화,Gateway·Batch Outbound·Host Agent에 CIDR Parser가 중복되고 설정에 Hostname이 들어갈 수 있다.,"공용 Literal-IP/CIDR Parser, Startup Validation, Port/TLS Policy, Lifecycle Management를 구현한다.",IPv4·IPv6·Mixed DNS·Rebinding·Private·Metadata Negative Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-029,SELF,P0,DB,실제 Baseline Upgrade Chain,DB Matrix가 승인된 이전 Release Baseline에서 시작했음을 증명하지 않는다.,Oracle·PostgreSQL·MariaDB 각각 이전 Baseline Install→Sequential Upgrade→Runtime Query→Reverse Rollback→Reapply를 수행한다.,Baseline Artifact Hash와 Migration Checksum Evidence,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-030,SELF,P0,최종 검증,Fresh Clone 독립 완료 Gate,Source 수정과 Evidence 생성·정본 갱신이 서로 SHA를 바꿔 반복 검증을 유발한다.,최종 Push SHA의 Read-only Fresh Clone에서 검증하고 Source Defect와 Environment Blocker를 분리한다.,Codex 1회 통합 검증·Clean Tree·Exact-SHA Evidence,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
